2023 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       2,66.7,     121,     102,84.3
Abington,00010000,1,1,100.0,       5,       3,60.0,     151,     123,81.5
Academy Of the Pacific Rim Charter Public (District),04120000,1,0,0.0,       2,       1,50.0,      61,      36,59.0
Acton-Boxborough,06000000,1,1,100.0,       9,       6,66.7,     410,     367,89.5
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      68,      60,88.2
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      87,      76,87.4
Agawam,00050000,1,1,100.0,       8,       8,100.0,     293,     249,85.0
Alma del Mar Charter School (District),04090000,1,0,0.0,       2,       1,50.0,      73,      37,50.7
Amesbury,00070000,1,1,100.0,       5,       5,100.0,     173,     150,86.7
Amherst,00080000,1,1,100.0,       3,       2,66.7,     115,     100,87.0
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     121,     101,83.5
Andover,00090000,1,1,100.0,      10,       9,90.0,     499,     441,88.4
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       3,       2,66.7,      56,      27,48.2
Arlington,00100000,1,1,100.0,      11,      11,100.0,     487,     418,85.8
Ashburnham-Westminster,06100000,1,1,100.0,       4,       3,75.0,     166,     145,87.3
Ashland,00140000,1,1,100.0,       4,       3,75.0,     212,     196,92.5
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     114,     107,93.9
Athol-Royalston,06150000,1,0,0.0,       4,       3,75.0,     122,      87,71.3
Atlantis Charter (District),04910000,1,1,100.0,       2,       1,50.0,      99,      67,67.7
Attleboro,00160000,1,1,100.0,      11,       6,54.5,     412,     359,87.1
Auburn,00170000,1,0,0.0,       5,       4,80.0,     194,     169,87.1
Avon,00180000,1,1,100.0,       2,       2,100.0,      71,      60,84.5
Ayer Shirley School District,06160000,1,1,100.0,       4,       4,100.0,     148,     125,84.5
Barnstable,00200000,1,0,0.0,       9,       6,66.7,     424,     369,87.0
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       0,0.0,      53,      22,41.5
Bedford,00230000,1,1,100.0,       4,       4,100.0,     258,     221,85.7
Belchertown,00240000,1,1,100.0,       5,       5,100.0,     178,     165,92.7
Bellingham,00250000,1,1,100.0,       6,       4,66.7,     159,     136,85.5
Belmont,00260000,1,1,100.0,       6,       3,50.0,     295,     260,88.1
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      21,      18,85.7
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      58,      44,75.9
Berkley,00270000,1,1,100.0,       2,       2,100.0,      70,      65,92.9
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       0,0.0,      41,      31,75.6
Berkshire Hills,06180000,1,1,100.0,       3,       3,100.0,     114,     100,87.7
Berlin-Boylston,06200000,1,1,100.0,       3,       1,33.3,      94,      84,89.4
Beverly,00300000,1,1,100.0,       9,       8,88.9,     378,     333,88.1
Billerica,00310000,1,1,100.0,       8,       8,100.0,     380,     341,89.7
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,     105,      99,94.3
Blackstone-Millville,06220000,1,1,100.0,       4,       4,100.0,     120,      91,75.8
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      80,      76,95.0
Boston,00350000,1,0,0.0,     125,     101,80.8,"   4,446","   3,725",83.8
Boston Collegiate Charter (District),04490000,1,0,0.0,       4,       3,75.0,      78,      49,62.8
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      31,      26,83.9
Boston Green Academy Horace Mann Charter School (District),04110000,1,1,100.0,       1,       1,100.0,      66,      39,59.1
Boston Preparatory Charter Public (District),04160000,1,0,0.0,       2,       1,50.0,      69,      32,46.4
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       1,       1,100.0,      83,      61,73.5
Bourne,00360000,1,1,100.0,       4,       4,100.0,     153,     134,87.6
Boxford,00380000,1,1,100.0,       2,       2,100.0,      72,      61,84.7
Braintree,00400000,1,1,100.0,      10,       9,90.0,     428,     388,90.7
Brewster,00410000,1,1,100.0,       1,       1,100.0,      47,      40,85.1
Bridge Boston Charter School (District),04170000,1,1,100.0,       1,       1,100.0,      39,      26,66.7
Bridgewater-Raynham,06250000,1,0,0.0,       8,       8,100.0,     338,     303,89.6
Brimfield,00430000,1,0,0.0,       1,       1,100.0,      28,      27,96.4
Bristol County Agricultural,09100000,1,0,0.0,       1,       1,100.0,      39,      32,82.1
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,     106,      99,93.4
Brockton,00440000,1,1,100.0,      22,      14,63.6,"   1,167",     997,85.4
Brooke Charter School (District),04280000,1,1,100.0,       5,       3,60.0,     190,     124,65.3
Brookfield,00450000,1,0,0.0,       1,       1,100.0,      25,      21,84.0
Brookline,00460000,1,1,100.0,      11,       8,72.7,     663,     567,85.5
Burlington,00480000,1,1,100.0,       8,       6,75.0,     323,     296,91.6
Cambridge,00490000,1,1,100.0,      19,      15,78.9,     768,     651,84.8
Canton,00500000,1,1,100.0,       6,       4,66.7,     255,     226,88.6
Cape Cod Lighthouse Charter (District),04320000,1,0,0.0,       1,       0,0.0,      31,      23,74.2
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      71,      55,77.5
Carlisle,00510000,1,1,100.0,       2,       2,100.0,      60,      58,96.7
Carver,00520000,1,1,100.0,       2,       1,50.0,     128,     116,90.6
Central Berkshire,06350000,1,1,100.0,       5,       4,80.0,     121,     103,85.1
Chelmsford,00560000,1,1,100.0,       8,       8,100.0,     394,     350,88.8
Chelsea,00570000,1,1,100.0,      11,       9,81.8,     483,     363,75.2
Chesterfield-Goshen,06320000,1,1,100.0,       1,       1,100.0,      18,      12,66.7
Chicopee,00610000,1,0,0.0,      15,      13,86.7,     587,     514,87.6
Christa McAuliffe Charter School (District),04180000,1,0,0.0,       1,       0,0.0,      40,      22,55.0
City on a Hill Charter Public School (District),04370000,1,1,100.0,       1,       1,100.0,      29,      17,58.6
Clarksburg,00630000,1,1,100.0,       1,       0,0.0,      17,      14,82.4
Clinton,00640000,1,1,100.0,       3,       3,100.0,     158,     138,87.3
Codman Academy Charter Public (District),04380000,1,1,100.0,       1,       1,100.0,      56,      39,69.6
Cohasset,00650000,1,1,100.0,       4,       4,100.0,     127,     115,90.6
Collegiate Charter School of Lowell (District),35030000,1,0,0.0,       1,       0,0.0,      59,      20,33.9
Community Charter School of Cambridge (District),04360000,1,1,100.0,       2,       0,0.0,      39,      25,64.1
Community Day Charter Public School (District),04400000,1,1,100.0,       4,       4,100.0,      40,      30,75.0
Concord,00670000,1,1,100.0,       4,       4,100.0,     184,     158,85.9
Concord-Carlisle,06400000,1,1,100.0,       1,       0,0.0,     121,     104,86.0
Conservatory Lab Charter (District),04390000,1,1,100.0,       1,       1,100.0,      31,      24,77.4
Conway,00680000,1,1,100.0,       1,       1,100.0,      18,      16,88.9
Danvers,00710000,1,0,0.0,       7,       6,85.7,     276,     253,91.7
Dartmouth,00720000,1,1,100.0,       7,       4,57.1,     290,     268,92.4
Dedham,00730000,1,1,100.0,       7,       6,85.7,     239,     219,91.6
Deerfield,00740000,1,1,100.0,       1,       1,100.0,      38,      30,78.9
Dennis-Yarmouth,06450000,1,1,100.0,       6,       6,100.0,     283,     254,89.8
Dighton-Rehoboth,06500000,1,0,0.0,       5,       2,40.0,     221,     192,86.9
Douglas,00770000,1,1,100.0,       4,       2,50.0,     102,      90,88.2
Dover,00780000,1,0,0.0,       1,       1,100.0,      42,      37,88.1
Dover-Sherborn,06550000,1,0,0.0,       3,       1,33.3,     112,      98,87.5
Dracut,00790000,1,1,100.0,       6,       5,83.3,     236,     201,85.2
Dudley Street Neighborhood Charter School (District),04070000,1,1,100.0,       1,       1,100.0,      20,      18,90.0
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       6,85.7,     282,     246,87.2
Duxbury,00820000,1,1,100.0,       4,       3,75.0,     237,     216,91.1
East Bridgewater,00830000,1,1,100.0,       3,       2,66.7,     166,     144,86.7
East Longmeadow,00870000,1,1,100.0,       5,       4,80.0,     208,     191,91.8
Eastham,00850000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Easthampton,00860000,1,1,100.0,       4,       4,100.0,     124,     100,80.6
Easton,00880000,1,1,100.0,       7,       4,57.1,     265,     237,89.4
Edgartown,00890000,1,0,0.0,       1,       1,100.0,      59,      52,88.1
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,1,1,100.0,       1,       1,100.0,      39,      31,79.5
Erving,00910000,1,1,100.0,       1,       1,100.0,      20,      19,95.0
Essex North Shore Agricultural and Technical School District,08170000,1,1,100.0,       1,       1,100.0,     153,     128,83.7
Everett,00930000,1,1,100.0,      11,      10,90.9,     566,     489,86.4
Excel Academy Charter (District),04100000,1,1,100.0,       4,       2,50.0,     135,      85,63.0
Fairhaven,00940000,1,0,0.0,       4,       3,75.0,     157,     135,86.0
Fall River,00950000,1,1,100.0,      16,      13,81.3,     806,     587,72.8
Falmouth,00960000,1,1,100.0,       7,       5,71.4,     311,     277,89.1
Farmington River Reg,06620000,1,0,0.0,       1,       1,100.0,      15,      15,100.0
Fitchburg,00970000,1,1,100.0,       8,       7,87.5,     396,     333,84.1
Florida,00980000,1,1,100.0,       1,       1,100.0,      11,      11,100.0
Four Rivers Charter Public (District),04130000,1,0,0.0,       1,       0,0.0,      29,      27,93.1
Foxborough,00990000,1,1,100.0,       5,       2,40.0,     208,     185,88.9
Foxborough Regional Charter (District),04460000,NR,NR,NR,NR,NR,NR,NR,NR,NR
Framingham,01000000,1,1,100.0,      16,      11,68.8,     802,     635,79.2
Francis W. Parker Charter Essential (District),04780000,1,0,0.0,       1,       0,0.0,      49,      38,77.6
Franklin,01010000,1,0,0.0,      11,       9,81.8,     412,     347,84.2
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       1,100.0,      62,      49,79.0
Freetown-Lakeville,06650000,1,0,0.0,       5,       5,100.0,     205,     182,88.8
Frontier,06700000,1,1,100.0,       1,       1,100.0,      58,      51,87.9
Gardner,01030000,1,1,100.0,       5,       4,80.0,     188,     154,81.9
Gateway,06720000,1,1,100.0,       2,       1,50.0,      87,      68,78.2
Georgetown,01050000,1,1,100.0,       2,       1,50.0,     106,      90,84.9
Gill-Montague,06740000,1,1,100.0,       4,       2,50.0,      95,      74,77.9
Global Learning Charter Public (District),04960000,1,1,100.0,       1,       1,100.0,      46,      31,67.4
Gloucester,01070000,1,1,100.0,       8,       7,87.5,     266,     232,87.2
Gosnold,01090000,,,,,,,,,
Grafton,01100000,1,1,100.0,       6,       5,83.3,     250,     226,90.4
Granby,01110000,1,1,100.0,       2,       1,50.0,      64,      52,81.3
Greater Commonwealth Virtual District,39010000,1,1,100.0,       1,       0,0.0,      70,      54,77.1
Greater Fall River Regional Vocational Technical,08210000,1,0,0.0,       1,       1,100.0,     144,     134,93.1
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     149,     128,85.9
Greater Lowell Regional Vocational Technical,08280000,1,1,100.0,       1,       1,100.0,     201,     192,95.5
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       1,       1,100.0,     197,     178,90.4
Greenfield,01140000,1,1,100.0,       6,       2,33.3,     146,     103,70.5
Groton-Dunstable,06730000,1,1,100.0,       5,       3,60.0,     195,     166,85.1
Hadley,01170000,1,1,100.0,       2,       2,100.0,      51,      41,80.4
Halifax,01180000,1,1,100.0,       1,       1,100.0,      38,      36,94.7
Hamilton-Wenham,06750000,1,1,100.0,       6,       3,50.0,     158,     138,87.3
Hampden Charter School of Science East (District),04990000,1,1,100.0,       1,       1,100.0,      50,      31,62.0
Hampden Charter School of Science West (District),35160000,1,1,100.0,       1,       0,0.0,      34,      21,61.8
Hampden-Wilbraham,06800000,1,0,0.0,       6,       4,66.7,     218,     198,90.8
Hampshire,06830000,1,1,100.0,       1,       1,100.0,      77,      69,89.6
Hancock,01210000,1,1,100.0,       1,       1,100.0,       9,       7,77.8
Hanover,01220000,1,1,100.0,       5,       3,60.0,     209,     183,87.6
Harvard,01250000,1,1,100.0,       2,       0,0.0,      89,      80,89.9
Hatfield,01270000,1,1,100.0,       2,       1,50.0,      45,      36,80.0
Haverhill,01280000,1,1,100.0,      14,      10,71.4,     637,     547,85.9
Hawlemont,06850000,1,1,100.0,       2,       1,50.0,      11,       7,63.6
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1,1,100.0,       2,       1,50.0,      20,       8,40.0
Hill View Montessori Charter Public (District),04550000,1,1,100.0,       1,       1,100.0,      23,      14,60.9
Hilltown Cooperative Charter Public (District),04500000,1,1,100.0,       1,       0,0.0,      24,      19,79.2
Hingham,01310000,1,0,0.0,       6,       3,50.0,     326,     294,90.2
Holbrook,01330000,1,1,100.0,       2,       1,50.0,      98,      80,81.6
Holland,01350000,1,0,0.0,       1,       1,100.0,      18,      17,94.4
Holliston,01360000,1,1,100.0,       4,       4,100.0,     230,     189,82.2
