2024 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Chelmsford,00560000,1.0,1.0,100.0,       8,       7,87.5,     388,     352,90.7
Chelsea,00570000,1.0,1.0,100.0,      11,      10,90.9,     481,     373,77.5
Chesterfield-Goshen,06320000,1.0,1.0,100.0,       1,       0,0.0,      20,      13,65.0
Chicopee,00610000,1.0,0.0,0.0,      15,      14,93.3,     602,     522,86.7
Christa McAuliffe Charter School (District),04180000,1.0,0.0,0.0,       1,       0,0.0,      36,      21,58.3
City on a Hill Charter Public School (District),04370000,1.0,1.0,100.0,       1,       1,100.0,      33,      15,45.5
Clarksburg,00630000,1.0,1.0,100.0,       1,       1,100.0,      17,      16,94.1
Clinton,00640000,1.0,1.0,100.0,       3,       2,66.7,     164,     151,92.1
Codman Academy Charter Public (District),04380000,1.0,0.0,0.0,       1,       0,0.0,      55,      43,78.2
Cohasset,00650000,1.0,1.0,100.0,       4,       4,100.0,     128,     120,93.8
Collegiate Charter School of Lowell (District),35030000,1.0,0.0,0.0,       1,       0,0.0,      55,      35,63.6
Community Charter School of Cambridge (District),04360000,1.0,1.0,100.0,       1,       1,100.0,      44,      34,77.3
Community Day Charter Public School (District),04400000,1.0,1.0,100.0,      11,      11,100.0,     117,      91,77.8
Concord,00670000,1.0,1.0,100.0,       4,       3,75.0,     184,     164,89.1
Concord-Carlisle,06400000,1.0,1.0,100.0,       2,       2,100.0,     120,     112,93.3
Conservatory Lab Charter (District),04390000,1.0,0.0,0.0,       1,       0,0.0,      30,      27,90.0
Conway,00680000,1.0,1.0,100.0,       1,       1,100.0,      17,      17,100.0
Danvers,00710000,1.0,0.0,0.0,       7,       4,57.1,     272,     244,89.7
Dartmouth,00720000,1.0,0.0,0.0,       6,       5,83.3,     296,     273,92.2
Dedham,00730000,1.0,0.0,0.0,       7,       7,100.0,     250,     226,90.4
Deerfield,00740000,1.0,1.0,100.0,       1,       1,100.0,      35,      31,88.6
Dennis-Yarmouth,06450000,1.0,0.0,0.0,       6,       5,83.3,     289,     250,86.5
Dighton-Rehoboth,06500000,1.0,1.0,100.0,       5,       3,60.0,     226,     204,90.3
Douglas,00770000,1.0,1.0,100.0,       4,       3,75.0,     104,      89,85.6
Dover,00780000,1.0,1.0,100.0,       1,       1,100.0,      47,      40,85.1
Dover-Sherborn,06550000,1.0,1.0,100.0,       2,       1,50.0,     115,     101,87.8
Dracut,00790000,1.0,1.0,100.0,       7,       5,71.4,     245,     202,82.4
Dudley Street Neighborhood Charter School (District),04070000,1.0,1.0,100.0,       1,       1,100.0,      20,      15,75.0
Dudley-Charlton Reg,06580000,1.0,1.0,100.0,       7,       4,57.1,     267,     240,89.9
Duxbury,00820000,1.0,1.0,100.0,       4,       3,75.0,     238,     217,91.2
East Bridgewater,00830000,1.0,1.0,100.0,       3,       2,66.7,     162,     143,88.3
East Longmeadow,00870000,1.0,1.0,100.0,       5,       4,80.0,     215,     180,83.7
Eastham,00850000,1.0,1.0,100.0,       1,       1,100.0,      21,      18,85.7
