2022 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       2,66.7,     116,     101,87.1
Abington,00010000,1,1,100.0,       5,       4,80.0,     138,     123,89.1
Academy Of the Pacific Rim Charter Public (District),04120000,1,0,0.0,       2,       1,50.0,      56,      40,71.4
Acton-Boxborough,06000000,1,1,100.0,      10,       4,40.0,     418,     370,88.5
Acushnet,00030000,1,1,100.0,       2,       1,50.0,      71,      55,77.5
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      86,      75,87.2
Agawam,00050000,1,1,100.0,       8,       4,50.0,     315,     253,80.3
Alma del Mar Charter School (District),04090000,1,1,100.0,       2,       1,50.0,      63,      52,82.5
Amesbury,00070000,1,0,0.0,       5,       2,40.0,     159,     143,89.9
Amherst,00080000,1,1,100.0,       3,       2,66.7,     117,      98,83.8
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     126,      97,77.0
Andover,00090000,1,0,0.0,      10,      10,100.0,     498,     447,89.8
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       2,       1,50.0,      51,      37,72.5
Arlington,00100000,1,0,0.0,      11,      11,100.0,     486,     422,86.8
Ashburnham-Westminster,06100000,1,1,100.0,       4,       3,75.0,     165,     142,86.1
Ashland,00140000,1,1,100.0,       4,       4,100.0,     213,     192,90.1
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     104,      98,94.2
Athol-Royalston,06150000,1,1,100.0,       4,       4,100.0,     116,      94,81.0
Atlantis Charter (District),04910000,1,1,100.0,       1,       1,100.0,     100,      79,79.0
Attleboro,00160000,1,1,100.0,      10,      10,100.0,     408,     369,90.4
Auburn,00170000,1,1,100.0,       5,       5,100.0,     188,     175,93.1
Avon,00180000,1,1,100.0,       2,       2,100.0,      65,      59,90.8
Ayer Shirley School District,06160000,1,0,0.0,       4,       3,75.0,     142,     128,90.1
Barnstable,00200000,1,1,100.0,      10,       8,80.0,     421,     373,88.6
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       1,100.0,      58,      37,63.8
Bedford,00230000,1,1,100.0,       4,       3,75.0,     254,     229,90.2
Belchertown,00240000,1,1,100.0,       5,       5,100.0,     175,     165,94.3
Bellingham,00250000,1,1,100.0,       6,       5,83.3,     169,     146,86.4
Belmont,00260000,1,1,100.0,       6,       6,100.0,     293,     257,87.7
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      60,      47,78.3
Berkley,00270000,1,0,0.0,       2,       2,100.0,      65,      60,92.3
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       0,0.0,      43,      33,76.7
Berkshire Hills,06180000,1,1,100.0,       3,       2,66.7,     112,      98,87.5
Berlin-Boylston,06200000,1,1,100.0,       3,       3,100.0,      95,      85,89.5
Beverly,00300000,1,1,100.0,       8,       8,100.0,     348,     311,89.4
Billerica,00310000,1,1,100.0,       8,       8,100.0,     385,     337,87.5
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,     104,      98,94.2
Blackstone-Millville,06220000,1,1,100.0,       4,       3,75.0,     112,      89,79.5
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      80,      77,96.3
Boston,00350000,1,1,100.0,     125,     104,83.2,"   4,849","   4,026",83.0
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       3,100.0,      72,      49,68.1
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      28,      23,82.1
Boston Green Academy Horace Mann Charter School (District),04110000,1,1,100.0,       1,       1,100.0,      67,      45,67.2
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       2,       1,50.0,      62,      39,62.9
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       1,       1,100.0,      84,      65,77.4
Bourne,00360000,1,1,100.0,       4,       4,100.0,     148,     130,87.8
Boxford,00380000,1,1,100.0,       2,       1,50.0,      68,      60,88.2
Braintree,00400000,1,0,0.0,      10,      10,100.0,     444,     400,90.1
Brewster,00410000,1,0,0.0,       2,       1,50.0,      50,      39,78.0
Bridge Boston Charter School (District),04170000,1,1,100.0,       1,       0,0.0,      39,      25,64.1
Bridgewater-Raynham,06250000,1,1,100.0,       8,       8,100.0,     332,     303,91.3
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      27,      24,88.9
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      36,      33,91.7
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,     100,      95,95.0
Brockton,00440000,1,1,100.0,      21,      21,100.0,"   1,031",     956,92.7
Brooke Charter School (District),04280000,1,1,100.0,       5,       4,80.0,     176,     133,75.6
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      24,      20,83.3
Brookline,00460000,1,0,0.0,      12,      11,91.7,     708,     585,82.6
Burlington,00480000,1,1,100.0,       7,       7,100.0,     326,     292,89.6
Cambridge,00490000,1,0,0.0,      20,      14,70.0,     789,     671,85.0
Canton,00500000,1,0,0.0,       6,       4,66.7,     257,     236,91.8
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      34,      30,88.2
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      64,      60,93.8
Carlisle,00510000,1,1,100.0,       2,       2,100.0,      58,      53,91.4
Carver,00520000,1,1,100.0,       2,       2,100.0,     132,     122,92.4
Central Berkshire,06350000,1,1,100.0,       5,       3,60.0,     118,     109,92.4
Chelmsford,00560000,1,1,100.0,       8,       6,75.0,     387,     353,91.2
Chelsea,00570000,1,1,100.0,      10,      10,100.0,     440,     362,82.3
Chesterfield-Goshen,06320000,1,0,0.0,       1,       1,100.0,      14,      13,92.9
Chicopee,00610000,1,1,100.0,      15,      14,93.3,     592,     530,89.5
Christa McAuliffe Charter Public (District),04180000,1,1,100.0,       1,       1,100.0,      41,      34,82.9
City on a Hill Charter Public School (District),04370000,1,0,0.0,       2,       1,50.0,      29,      15,51.7
