2013 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       2,66.7,     114,     105,92.1
Abington,00010000,1,1,100.0,       5,       4,80.0,     129,     112,86.8
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       2,100.0,      38,      30,78.9
Acton,00020000,1,1,100.0,       5,       5,100.0,     147,     140,95.2
Acton-Boxborough,06000000,1,1,100.0,       2,       1,50.0,     194,     181,93.3
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      74,      65,87.8
Adams-Cheshire,06030000,1,1,100.0,       3,       2,66.7,     109,      94,86.2
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      83,      68,81.9
Agawam,00050000,1,1,100.0,       8,       8,100.0,     309,     277,89.6
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       0,0.0,      14,      10,71.4
Amesbury,00070000,1,1,100.0,       4,       4,100.0,     157,     145,92.4
Amesbury Academy Charter Public (District),04150000,1,1,100.0,       1,       1,100.0,       9,       6,66.7
Amherst,00080000,1,1,100.0,       3,       2,66.7,     119,      98,82.4
Amherst-Pelham,06050000,1,1,100.0,       2,       1,50.0,     145,     130,89.7
Andover,00090000,1,1,100.0,      10,      10,100.0,     458,     404,88.2
Arlington,00100000,1,1,100.0,       8,       7,87.5,     343,     314,91.5
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     152,     142,93.4
Ashland,00140000,1,0,0.0,       5,       4,80.0,     181,     168,92.8
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     101,      96,95.0
Athol-Royalston,06150000,1,1,100.0,       8,       2,25.0,     119,     105,88.2
Atlantis Charter (District),04910000,1,1,100.0,       2,       2,100.0,      55,      50,90.9
Attleboro,00160000,1,1,100.0,       9,       4,44.4,     378,     357,94.4
Auburn,00170000,1,1,100.0,       6,       6,100.0,     172,     157,91.3
