2025 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       2,66.7,     127,     101,79.5
Abington,00010000,1,0,0.0,       5,       5,100.0,     166,     149,89.8
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       2,100.0,      56,      36,64.3
Acton-Boxborough,06000000,1,1,100.0,       9,       8,88.9,     404,     365,90.3
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      75,      68,90.7
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      89,      82,92.1
Agawam,00050000,1,1,100.0,       8,       8,100.0,     298,     262,87.9
Alma del Mar Charter School (District),04090000,1,1,100.0,       2,       1,50.0,      86,      58,67.4
Amesbury,00070000,1,1,100.0,       5,       3,60.0,     172,     151,87.8
Amherst,00080000,1,0,0.0,       3,       3,100.0,     113,     101,89.4
Amherst-Pelham,06050000,1,0,0.0,       2,       2,100.0,     124,     103,83.1
Andover,00090000,1,1,100.0,      10,       7,70.0,     482,     435,90.2
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       2,       2,100.0,      57,      43,75.4
Arlington,00100000,1,1,100.0,      11,       9,81.8,     505,     448,88.7
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     170,     153,90.0
Ashland,00140000,1,1,100.0,       4,       4,100.0,     227,     203,89.4
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       0,0.0,     114,     108,94.7
Athol-Royalston,06150000,1,1,100.0,       4,       2,50.0,     130,     103,79.2
Atlantis Charter (District),04910000,1,1,100.0,       2,       2,100.0,     100,      81,81.0
Attleboro,00160000,1,1,100.0,      11,       8,72.7,     417,     371,89.0
Auburn,00170000,1,1,100.0,       5,       3,60.0,     193,     172,89.1
Avon,00180000,1,0,0.0,       2,       1,50.0,      73,      64,87.7
Ayer Shirley School District,06160000,1,1,100.0,       4,       3,75.0,     143,     122,85.3
Barnstable,00200000,1,1,100.0,       9,       6,66.7,     450,     398,88.4
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       0,0.0,      60,      29,48.3
Bedford,00230000,1,1,100.0,       4,       3,75.0,     245,     215,87.8
Belchertown,00240000,1,1,100.0,       5,       3,60.0,     173,     155,89.6
Bellingham,00250000,1,1,100.0,       5,       5,100.0,     156,     138,88.5
Belmont,00260000,1,1,100.0,       7,       4,57.1,     306,     281,91.8
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      21,      19,90.5
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      55,      51,92.7
Berkley,00270000,1,1,100.0,       2,       2,100.0,      69,      63,91.3
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       0,0.0,      40,      28,70.0
