2011 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       2,       2,100.0,     103,      75,72.8
Abington,00010000,1,1,100.0,       5,       4,80.0,     131,     101,77.1
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       2,100.0,      36,      26,72.2
Acton,00020000,1,1,100.0,       5,       4,80.0,     146,     135,92.5
Acton-Boxborough,06000000,1,1,100.0,       2,       2,100.0,     187,     170,90.9
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      74,      69,93.2
Adams-Cheshire,06030000,1,1,100.0,       3,       3,100.0,     110,     101,91.8
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       0,0.0,      62,      49,79.0
Agawam,00050000,1,1,100.0,       8,       8,100.0,     321,     285,88.8
Amesbury,00070000,1,1,100.0,       4,       4,100.0,     174,     160,92.0
Amesbury Academy Charter Public (District),04150000,1,1,100.0,       1,       1,100.0,       7,       6,85.7
Amherst,00080000,1,0,0.0,       4,       3,75.0,     134,     114,85.1
Amherst-Pelham,06050000,1,0,0.0,       1,       1,100.0,     148,     129,87.2
Andover,00090000,1,0,0.0,      10,       8,80.0,     451,     404,89.6
Arlington,00100000,1,1,100.0,      10,       8,80.0,     356,     284,79.8
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     157,     148,94.3
Ashland,00140000,1,0,0.0,       4,       3,75.0,     172,     152,88.4
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     102,      92,90.2
Athol-Royalston,06150000,1,1,100.0,       5,       2,40.0,     130,     121,93.1
Atlantis Charter (District),04910000,1,1,100.0,       2,       1,50.0,      56,      49,87.5
Attleboro,00160000,1,1,100.0,       9,       9,100.0,     391,     352,90.0
Auburn,00170000,1,1,100.0,       6,       5,83.3,     168,     150,89.3
Avon,00180000,1,1,100.0,       2,       1,50.0,      65,      58,89.2
Ayer,00190000,1,1,100.0,       2,       2,100.0,      93,      60,64.5
Barnstable,00200000,1,1,100.0,       7,       5,71.4,     313,     281,89.8
Barnstable Horace Mann Charter (District),04230000,1,1,100.0,       1,       1,100.0,      62,      58,93.5
Bedford,00230000,1,1,100.0,       4,       4,100.0,     218,     200,91.7
Belchertown,00240000,1,1,100.0,       4,       4,100.0,     170,     154,90.6
Bellingham,00250000,1,1,100.0,       7,       6,85.7,     176,     156,88.6
Belmont,00260000,1,1,100.0,       6,       5,83.3,     265,     223,84.2
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      33,      26,78.8
Berkley,00270000,1,1,100.0,       2,       2,100.0,      66,      61,92.4
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       1,100.0,      23,      17,73.9
Berkshire Hills,06180000,1,1,100.0,       3,       2,66.7,     128,     110,85.9
Berlin,00280000,1,1,100.0,       1,       1,100.0,      25,      23,92.0
Berlin-Boylston,06200000,1,1,100.0,       1,       1,100.0,      37,      35,94.6
Beverly,00300000,1,0,0.0,       7,       7,100.0,     310,     280,90.3
Billerica,00310000,1,1,100.0,       9,       7,77.8,     404,     356,88.1
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      99,      84,84.8
Blackstone-Millville,06220000,1,1,100.0,       4,       2,50.0,     150,     126,84.0
Blue Hills Regional Vocational Technical,08060000,1,0,0.0,       1,       0,0.0,      79,      70,88.6
Boston,00350000,1,1,100.0,     132,     109,82.6,"   4,277","   3,669",85.8
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       3,100.0,      49,      38,77.6
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      22,      22,100.0
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       2,       1,50.0,      32,      22,68.8
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       3,       3,100.0,      96,      63,65.6
Bourne,00360000,1,0,0.0,       4,       4,100.0,     165,     137,83.0
Boxborough,00370000,1,1,100.0,       1,       0,0.0,      39,      38,97.4
Boxford,00380000,1,1,100.0,       2,       1,50.0,      69,      61,88.4
Boylston,00390000,1,1,100.0,       1,       0,0.0,      29,      26,89.7
Braintree,00400000,1,1,100.0,       9,       8,88.9,     390,     361,92.6
Brewster,00410000,1,1,100.0,       2,       2,100.0,      46,      43,93.5
Bridgewater-Raynham,06250000,1,1,100.0,       7,       7,100.0,     295,     270,91.5
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      32,      27,84.4
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      33,      33,100.0
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,      92,      87,94.6
Brockton,00440000,1,1,100.0,      22,      19,86.4,"   1,111","   1,011",91.0
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      28,      20,71.4
Brookline,00460000,1,1,100.0,      10,       7,70.0,     568,     506,89.1
Burlington,00480000,1,1,100.0,       6,       6,100.0,     304,     268,88.2
Cambridge,00490000,1,1,100.0,      15,      12,80.0,     583,     497,85.2
Canton,00500000,1,0,0.0,       6,       4,66.7,     242,     218,90.1
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      26,      24,92.3
Cape Cod Regional Vocational Technical,08150000,1,0,0.0,       1,       1,100.0,      70,      64,91.4
Carlisle,00510000,1,0,0.0,       2,       2,100.0,      61,      53,86.9
Carver,00520000,1,1,100.0,       2,       2,100.0,     135,     125,92.6
Central Berkshire,06350000,1,1,100.0,       5,       3,60.0,     150,     138,92.0
Chatham,00550000,1,1,100.0,       3,       3,100.0,      71,      67,94.4
Chelmsford,00560000,1,1,100.0,       8,       6,75.0,     348,     309,88.8
Chelsea,00570000,1,1,100.0,       9,       9,100.0,     420,     353,84.0
Chesterfield-Goshen,06320000,1,1,100.0,       1,       1,100.0,      17,      15,88.2
Chicopee,00610000,1,1,100.0,      15,      14,93.3,     629,     576,91.6
Christa McAuliffe Regional Charter Public (District),04180000,1,0,0.0,       1,       0,0.0,      24,      17,70.8
City On A Hill Charter Public (District),04370000,1,1,100.0,       1,       0,0.0,      27,      17,63.0
Clarksburg,00630000,1,1,100.0,       1,       0,0.0,      17,      15,88.2
Clinton,00640000,1,1,100.0,       3,       3,100.0,     142,     132,93.0
Codman Academy Charter Public (District),04380000,1,1,100.0,       1,       1,100.0,      18,      13,72.2
Cohasset,00650000,1,1,100.0,       3,       3,100.0,     113,     105,92.9
Community Charter School of Cambridge (District),04360000,1,1,100.0,       1,       1,100.0,      28,      21,75.0
Community Day Charter Public (District),04400000,1,1,100.0,       3,       2,66.7,      37,      30,81.1
Concord,00670000,1,1,100.0,       4,       3,75.0,     155,     145,93.5
Concord-Carlisle,06400000,1,1,100.0,       1,       1,100.0,     103,      96,93.2
Conservatory Lab Charter (District),04390000,1,1,100.0,       2,       2,100.0,      16,       7,43.8
Conway,00680000,1,1,100.0,       1,       1,100.0,      15,      11,73.3
Danvers,00710000,1,1,100.0,       7,       6,85.7,     268,     243,90.7
Dartmouth,00720000,1,1,100.0,       5,       5,100.0,     276,     255,92.4
Dedham,00730000,1,1,100.0,       7,       6,85.7,     231,     206,89.2
Deerfield,00740000,1,1,100.0,       1,       0,0.0,      41,      37,90.2
Dennis-Yarmouth,06450000,1,1,100.0,       7,       7,100.0,     284,     266,93.7
Dighton-Rehoboth,06500000,1,1,100.0,       5,       5,100.0,     222,     204,91.9
Douglas,00770000,1,1,100.0,       4,       3,75.0,     115,     106,92.2
Dover,00780000,1,1,100.0,       1,       0,0.0,      44,      39,88.6
Dover-Sherborn,06550000,1,1,100.0,       2,       2,100.0,     107,      98,91.6
Dracut,00790000,1,0,0.0,       7,       6,85.7,     245,     206,84.1
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       6,85.7,     291,     272,93.5
Duxbury,00820000,1,0,0.0,       4,       4,100.0,     236,     209,88.6
East Bridgewater,00830000,1,1,100.0,       3,       3,100.0,     147,     130,88.4
East Longmeadow,00870000,1,0,0.0,       5,       3,60.0,     206,     190,92.2
Eastham,00850000,1,1,100.0,       1,       1,100.0,      24,      23,95.8
Easthampton,00860000,1,0,0.0,       4,       4,100.0,     126,     117,92.9
Easton,00880000,1,1,100.0,       7,       4,57.1,     268,     253,94.4
Edgartown,00890000,1,1,100.0,       1,       1,100.0,      47,      43,91.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,1,1,100.0,       1,       1,100.0,      22,      21,95.5
Erving,00910000,1,1,100.0,       1,       1,100.0,      15,      14,93.3
Essex Agricultural Technical,09130000,1,1,100.0,       1,       0,0.0,      44,      43,97.7
Everett,00930000,1,1,100.0,       7,       6,85.7,     422,     370,87.7
Excel Academy Charter (District),04100000,1,0,0.0,       1,       1,100.0,      18,      13,72.2
Fairhaven,00940000,1,1,100.0,       5,       3,60.0,     139,     125,89.9
Fall River,00950000,1,1,100.0,      16,      13,81.3,     711,     603,84.8
Falmouth,00960000,1,1,100.0,       7,       5,71.4,     319,     276,86.5
Farmington River Reg,06620000,1,1,100.0,       1,       1,100.0,      19,      10,52.6
Fitchburg,00970000,1,1,100.0,       9,       7,77.8,     351,     304,86.6
Florida,00980000,1,1,100.0,       1,       1,100.0,      14,      13,92.9
Foxborough,00990000,1,1,100.0,       5,       5,100.0,     221,     199,90.0
Foxborough Regional Charter (District),04460000,1,1,100.0,       2,       2,100.0,      77,      72,93.5
Framingham,01000000,1,1,100.0,      13,       9,69.2,     676,     597,88.3
Francis W. Parker Charter Essential (District),04780000,1,0,0.0,       1,       0,0.0,      51,      38,74.5
