2014 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       2,66.7,     120,     104,86.7
Abington,00010000,1,1,100.0,       5,       4,80.0,     131,     115,87.8
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       1,50.0,      38,      23,60.5
Acton,00020000,1,1,100.0,       5,       5,100.0,     149,     135,90.6
Acton-Boxborough,06000000,1,1,100.0,       2,       1,50.0,     194,     176,90.7
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      70,      63,90.0
Adams-Cheshire,06030000,1,0,0.0,       3,       2,66.7,     103,      93,90.3
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      87,      78,89.7
Agawam,00050000,1,1,100.0,       8,       8,100.0,     306,     291,95.1
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       0,0.0,      16,      12,75.0
Amesbury,00070000,1,1,100.0,       4,       4,100.0,     165,     153,92.7
Amesbury Academy Charter Public (District),04150000,1,1,100.0,       1,       0,0.0,       9,       7,77.8
Amherst,00080000,1,1,100.0,       4,       2,50.0,     121,     103,85.1
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     148,     127,85.8
Andover,00090000,1,1,100.0,      12,      12,100.0,     453,     415,91.6
Arlington,00100000,1,1,100.0,       9,       7,77.8,     362,     318,87.8
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     161,     142,88.2
Ashland,00140000,1,1,100.0,       5,       4,80.0,     182,     163,89.6
Assabet Valley Regional Vocational Technical,08010000,1,0,0.0,       1,       1,100.0,     100,      93,93.0
Athol-Royalston,06150000,1,1,100.0,       5,       3,60.0,     112,     100,89.3
Atlantis Charter (District),04910000,1,1,100.0,       2,       1,50.0,      53,      41,77.4
Attleboro,00160000,1,0,0.0,       9,       7,77.8,     401,     366,91.3
Auburn,00170000,1,1,100.0,       6,       6,100.0,     175,     161,92.0
Avon,00180000,1,0,0.0,       2,       1,50.0,      66,      60,90.9
Ayer Shirley School District,06160000,1,1,100.0,       4,       4,100.0,     140,     119,85.0
Barnstable,00200000,1,1,100.0,       7,       6,85.7,     390,     347,89.0
Barnstable Community Horace Mann Charter Public (District),04270000,1,1,100.0,       1,       1,100.0,      24,      21,87.5
Bedford,00230000,1,1,100.0,       4,       3,75.0,     213,     189,88.7
Belchertown,00240000,1,1,100.0,       5,       4,80.0,     174,     159,91.4
Bellingham,00250000,1,1,100.0,       7,       6,85.7,     181,     171,94.5
Belmont,00260000,1,1,100.0,       6,       5,83.3,     256,     225,87.9
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      23,      18,78.3
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       0,0.0,      33,      31,93.9
Berkley,00270000,1,1,100.0,       2,       2,100.0,      61,      57,93.4
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       0,0.0,      33,      27,81.8
Berkshire Hills,06180000,1,1,100.0,       3,       3,100.0,     117,     108,92.3
Berlin,00280000,1,1,100.0,       1,       0,0.0,      23,      21,91.3
Berlin-Boylston,06200000,1,1,100.0,       1,       1,100.0,      36,      34,94.4
Beverly,00300000,1,0,0.0,       7,       7,100.0,     306,     280,91.5
Billerica,00310000,1,1,100.0,       9,       8,88.9,     397,     367,92.4
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      95,      83,87.4
Blackstone-Millville,06220000,1,0,0.0,       4,       4,100.0,     137,     112,81.8
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      77,      66,85.7
Boston,00350000,1,0,0.0,     120,      92,76.7,"   4,711","   3,792",80.5
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       1,33.3,      63,      49,77.8
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      28,      23,82.1
Boston Green Academy Horace Mann Charter School (District),04110000,1,0,0.0,       1,       0,0.0,      40,      25,62.5
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       2,       1,50.0,      34,      24,70.6
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       1,       1,100.0,      71,      55,77.5
Bourne,00360000,1,1,100.0,       4,       4,100.0,     159,     133,83.6
Boxborough,00370000,1,1,100.0,       1,       1,100.0,      37,      35,94.6
Boxford,00380000,1,1,100.0,       2,       2,100.0,      65,      59,90.8
Boylston,00390000,1,1,100.0,       1,       1,100.0,      29,      21,72.4
Braintree,00400000,1,0,0.0,       9,       7,77.8,     406,     369,90.9
Brewster,00410000,1,1,100.0,       2,       1,50.0,      48,      46,95.8
Bridge Boston Charter School (District),04170000,1,1,100.0,       1,       1,100.0,       8,       5,62.5
Bridgewater-Raynham,06250000,1,1,100.0,       7,       7,100.0,     334,     303,90.7
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      29,      28,96.6
Bristol County Agricultural,09100000,1,0,0.0,       1,       0,0.0,      35,      34,97.1
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,      96,      93,96.9
Brockton,00440000,1,0,0.0,      22,      20,90.9,"   1,103","   1,000",90.7
Brooke Charter School East Boston (District),04570000,1,1,100.0,       1,       1,100.0,      16,      14,87.5
Brooke Charter School Mattapan (District),04430000,1,1,100.0,       1,       1,100.0,      26,      15,57.7
Brooke Charter School Roslindale (District),04280000,1,1,100.0,       1,       1,100.0,      38,      27,71.1
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      26,      21,80.8
Brookline,00460000,1,1,100.0,      10,      10,100.0,     627,     538,85.8
Burlington,00480000,1,1,100.0,       7,       6,85.7,     307,     280,91.2
Cambridge,00490000,1,1,100.0,      20,      20,100.0,     609,     542,89.0
Canton,00500000,1,1,100.0,       6,       6,100.0,     235,     215,91.5
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      26,      22,84.6
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      71,      57,80.3
Carlisle,00510000,1,0,0.0,       2,       1,50.0,      60,      58,96.7
Carver,00520000,1,1,100.0,       2,       2,100.0,     127,     115,90.6
Central Berkshire,06350000,1,1,100.0,       6,       6,100.0,     150,     140,93.3
Chelmsford,00560000,1,1,100.0,       8,       8,100.0,     349,     309,88.5
Chelsea,00570000,1,1,100.0,       9,       9,100.0,     411,     328,79.8
Chesterfield-Goshen,06320000,1,1,100.0,       1,       1,100.0,      17,      15,88.2
Chicopee,00610000,1,1,100.0,      15,      13,86.7,     627,     574,91.5
Christa McAuliffe Regional Charter Public (District),04180000,1,1,100.0,       1,       0,0.0,      36,      22,61.1
City On A Hill Charter Public (District),04370000,1,1,100.0,       1,       0,0.0,      32,      21,65.6
Clarksburg,00630000,1,1,100.0,       1,       1,100.0,      16,      14,87.5
Clinton,00640000,1,1,100.0,       3,       2,66.7,     127,     110,86.6
Codman Academy Charter Public (District),04380000,1,1,100.0,       1,       1,100.0,      18,      10,55.6
Cohasset,00650000,1,1,100.0,       3,       3,100.0,     116,      94,81.0
Community Charter School of Cambridge (District),04360000,1,1,100.0,       1,       1,100.0,      37,      27,73.0
Community Day Charter Public School - Gateway (District),04260000,1,1,100.0,       1,       1,100.0,      14,      10,71.4
Community Day Charter Public School - Prospect (District),04400000,1,1,100.0,       3,       2,66.7,      37,      21,56.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,1,1,100.0,       1,       1,100.0,      15,      13,86.7
Concord,00670000,1,1,100.0,       4,       3,75.0,     163,     151,92.6
Concord-Carlisle,06400000,1,1,100.0,       1,       1,100.0,     102,      94,92.2
Conservatory Lab Charter (District),04390000,1,1,100.0,       2,       1,50.0,       8,       8,100.0
Conway,00680000,1,0,0.0,       1,       1,100.0,      15,      14,93.3
Danvers,00710000,1,1,100.0,       8,       7,87.5,     269,     248,92.2
Dartmouth,00720000,1,1,100.0,       6,       6,100.0,     289,     267,92.4
Dedham,00730000,1,1,100.0,       7,       6,85.7,     233,     214,91.8
Deerfield,00740000,1,0,0.0,       1,       1,100.0,      43,      39,90.7
Dennis-Yarmouth,06450000,1,1,100.0,       7,       6,85.7,     305,     274,89.8
Dighton-Rehoboth,06500000,1,0,0.0,       7,       5,71.4,     226,     203,89.8
Dorchester Collegiate Academy Charter (District),04750000,1,1,100.0,       1,       1,100.0,      13,       7,53.8
Douglas,00770000,1,1,100.0,       4,       3,75.0,     112,      95,84.8
Dover,00780000,1,0,0.0,       1,       0,0.0,      44,      39,88.6
Dover-Sherborn,06550000,1,0,0.0,       2,       0,0.0,     106,     100,94.3
Dracut,00790000,1,1,100.0,       6,       5,83.3,     219,     194,88.6
Dudley Street Neighborhood Charter School (District),04070000,1,1,100.0,       1,       1,100.0,       8,       6,75.0
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       7,100.0,     272,     253,93.0
Duxbury,00820000,1,1,100.0,       4,       3,75.0,     249,     219,88.0
East Bridgewater,00830000,1,0,0.0,       3,       3,100.0,     125,     115,92.0
East Longmeadow,00870000,1,1,100.0,       5,       4,80.0,     193,     176,91.2
Eastham,00850000,1,1,100.0,       1,       1,100.0,      24,      23,95.8
Easthampton,00860000,1,1,100.0,       4,       2,50.0,     120,     106,88.3
Easton,00880000,1,1,100.0,       6,       4,66.7,     268,     251,93.7
Edgartown,00890000,1,1,100.0,       1,       1,100.0,      51,      48,94.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,1,1,100.0,       1,       1,100.0,      27,      22,81.5
Erving,00910000,1,0,0.0,       1,       0,0.0,      20,      19,95.0
Essex Agricultural Technical,09130000,1,0,0.0,       1,       1,100.0,      51,      47,92.2
Everett,00930000,1,1,100.0,       7,       6,85.7,     469,     400,85.3
Excel Academy Charter (District),04100000,1,0,0.0,       2,       2,100.0,      22,      16,72.7
Excel Academy Charter School - Boston II (District),04590000,1,0,0.0,       1,       1,100.0,       6,       4,66.7
Excel Academy Charter School - Chelsea (District),04610000,1,0,0.0,       1,       1,100.0,      12,      10,83.3
Fairhaven,00940000,1,1,100.0,       5,       4,80.0,     142,     118,83.1
Fall River,00950000,1,1,100.0,      17,      12,70.6,     752,     579,77.0
Falmouth,00960000,1,0,0.0,       7,       6,85.7,     296,     275,92.9
Farmington River Reg,06620000,1,1,100.0,       1,       1,100.0,      15,      15,100.0
Fitchburg,00970000,1,1,100.0,       8,       7,87.5,     355,     318,89.6
Florida,00980000,1,1,100.0,       1,       1,100.0,      13,      11,84.6
Four Rivers Charter Public (District),04130000,1,1,100.0,       1,       1,100.0,      28,      24,85.7
Foxborough,00990000,1,1,100.0,       5,       5,100.0,     220,     202,91.8
Foxborough Regional Charter (District),04460000,1,1,100.0,       2,       2,100.0,      89,      71,79.8
Framingham,01000000,1,1,100.0,      13,       9,69.2,     655,     563,86.0
Francis W. Parker Charter Essential (District),04780000,1,1,100.0,       1,       1,100.0,      49,      36,73.5
Franklin,01010000,1,1,100.0,      11,      11,100.0,     412,     373,90.5
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       1,100.0,      56,      47,83.9
Freetown-Lakeville,06650000,1,0,0.0,       5,       2,40.0,     200,     175,87.5
Frontier,06700000,1,0,0.0,       1,       0,0.0,      59,      52,88.1
Gardner,01030000,1,1,100.0,       5,       3,60.0,     179,     154,86.0
Gateway,06720000,1,1,100.0,       2,       2,100.0,      89,      73,82.0
Georgetown,01050000,1,1,100.0,       4,       3,75.0,     112,      94,83.9
Gill-Montague,06740000,1,0,0.0,       4,       3,75.0,      93,      76,81.7
Global Learning Charter Public  (District),04960000,1,1,100.0,       2,       2,100.0,      44,      33,75.0
Gloucester,01070000,1,1,100.0,       8,       7,87.5,     257,     236,91.8
Gosnold,01090000,1,1,100.0,       1,       0,0.0,       1,       1,100.0
Grafton,01100000,1,1,100.0,       6,       6,100.0,     215,     191,88.8
Granby,01110000,1,1,100.0,       3,       2,66.7,      88,      68,77.3
Greater Fall River Regional Vocational Technical,08210000,1,1,100.0,       1,       1,100.0,     132,     125,94.7
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     136,     113,83.1
Greater Lowell Regional Vocational Technical,08280000,1,0,0.0,       1,       0,0.0,     182,     164,90.1
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       2,       2,100.0,     200,     193,96.5
Greenfield,01140000,1,1,100.0,       3,       3,100.0,     154,     109,70.8
Groton-Dunstable,06730000,1,1,100.0,       4,       4,100.0,     184,     168,91.3
Hadley,01170000,1,1,100.0,       2,       1,50.0,      54,      46,85.2
Halifax,01180000,1,1,100.0,       1,       1,100.0,      39,      35,89.7
