2016 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,0,0.0,       3,       3,100.0,     119,     107,89.9
Abington,00010000,1,1,100.0,       5,       5,100.0,     132,     116,87.9
Academy Of the Pacific Rim Charter Public (District),04120000,1,0,0.0,       3,       2,66.7,      45,      32,71.1
Acton-Boxborough,06000000,1,1,100.0,       8,       8,100.0,     381,     344,90.3
Acushnet,00030000,1,1,100.0,       2,       1,50.0,      70,      65,92.9
Adams-Cheshire,06030000,1,1,100.0,       3,       3,100.0,     103,      84,81.6
Advanced Math and Science Academy Charter (District),04300000,1,0,0.0,       1,       0,0.0,      86,      61,70.9
Agawam,00050000,1,1,100.0,       8,       8,100.0,     315,     294,93.3
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       1,100.0,      23,      15,65.2
Amesbury,00070000,1,0,0.0,       4,       4,100.0,     162,     151,93.2
Amherst,00080000,1,1,100.0,       3,       3,100.0,     116,     110,94.8
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     135,     103,76.3
Andover,00090000,1,0,0.0,      10,       6,60.0,     475,     431,90.7
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       1,       1,100.0,      10,       2,20.0
Arlington,00100000,1,1,100.0,       9,       9,100.0,     381,     348,91.3
Ashburnham-Westminster,06100000,1,0,0.0,       4,       4,100.0,     164,     141,86.0
Ashland,00140000,1,1,100.0,       5,       5,100.0,     187,     173,92.5
Assabet Valley Regional Vocational Technical,08010000,1,0,0.0,       1,       1,100.0,     104,     101,97.1
Athol-Royalston,06150000,1,1,100.0,       6,       4,66.7,     104,      88,84.6
Atlantis Charter (District),04910000,1,1,100.0,       6,       2,33.3,      62,      46,74.2
Attleboro,00160000,1,1,100.0,      10,       8,80.0,     402,     358,89.1
Auburn,00170000,1,1,100.0,       6,       4,66.7,     180,     161,89.4
Avon,00180000,1,1,100.0,       2,       2,100.0,      64,      60,93.8
Ayer Shirley School District,06160000,1,1,100.0,       4,       1,25.0,     143,     120,83.9
Barnstable,00200000,1,0,0.0,       7,       6,85.7,     391,     346,88.5
Barnstable Community Horace Mann Charter Public (District),04270000,1,1,100.0,       1,       1,100.0,      24,      19,79.2
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       0,0.0,      22,      13,59.1
Bedford,00230000,1,1,100.0,       4,       4,100.0,     238,     214,89.9
Belchertown,00240000,1,0,0.0,       5,       5,100.0,     174,     166,95.4
Bellingham,00250000,1,0,0.0,       7,       5,71.4,     166,     152,91.6
Belmont,00260000,1,1,100.0,       6,       6,100.0,     259,     223,86.1
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      20,      19,95.0
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      34,      23,67.6
Berkley,00270000,1,1,100.0,       2,       2,100.0,      62,      57,91.9
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       1,100.0,      34,      23,67.6
Berkshire Hills,06180000,1,1,100.0,       3,       3,100.0,     116,     103,88.8
Berlin,00280000,1,1,100.0,       1,       1,100.0,      21,      14,66.7
Berlin-Boylston,06200000,1,1,100.0,       1,       1,100.0,      47,      42,89.4
Beverly,00300000,1,1,100.0,       7,       7,100.0,     320,     293,91.6
Billerica,00310000,1,1,100.0,       9,       9,100.0,     386,     339,87.8
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      99,      89,89.9
Blackstone-Millville,06220000,1,1,100.0,       4,       4,100.0,     137,     122,89.1
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      76,      68,89.5
Boston,00350000,,,,,,,,,
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       3,100.0,      64,      42,65.6
Boston Day and Evening Academy Charter (District),04240000,1,0,0.0,       1,       0,0.0,      23,      20,87.0
Boston Green Academy Horace Mann Charter School (District),04110000,1,1,100.0,       1,       1,100.0,      38,      25,65.8
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       1,       1,100.0,      37,      30,81.1
Boston Renaissance Charter Public (District),04810000,1,0,0.0,       1,       0,0.0,      76,      54,71.1
Bourne,00360000,1,1,100.0,       4,       3,75.0,     159,     143,89.9
Boxford,00380000,1,1,100.0,       2,       2,100.0,      67,      60,89.6
Boylston,00390000,1,1,100.0,       1,       0,0.0,      25,      21,84.0
Braintree,00400000,1,0,0.0,      10,       9,90.0,     425,     387,91.1
Brewster,00410000,1,0,0.0,       2,       2,100.0,      46,      42,91.3
Bridge Boston Charter School (District),04170000,1,1,100.0,       1,       1,100.0,      14,      14,100.0
Bridgewater-Raynham,06250000,1,0,0.0,       7,       6,85.7,     346,     318,91.9
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      28,      23,82.1
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      33,      32,97.0
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       0,0.0,      99,      91,91.9
Brockton,00440000,1,1,100.0,      23,      18,78.3,"   1,175","   1,050",89.4
Brooke Charter School East Boston (District),04570000,1,1,100.0,       1,       1,100.0,      33,      24,72.7
Brooke Charter School Mattapan (District),04430000,1,1,100.0,       1,       0,0.0,      42,      31,73.8
Brooke Charter School Roslindale (District),04280000,1,1,100.0,       1,       1,100.0,      41,      25,61.0
