2015 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     114,      97,85.1
Abington,00010000,1,1,100.0,       5,       4,80.0,     134,     121,90.3
Academy Of the Pacific Rim Charter Public,04120000,1,1,100.0,       3,       3,100.0,      41,      25,61.0
Acton-Boxborough,06000000,1,0,0.0,       2,       2,100.0,     192,     175,91.1
Acushnet,00030000,1,1,100.0,       2,       0,0.0,      68,      67,98.5
Adams-Cheshire,06030000,1,1,100.0,       3,       2,66.7,     103,      88,85.4
Advanced Math and Science Academy Charter (District),04300000,1,0,0.0,       1,       0,0.0,      90,      75,83.3
Agawam,00050000,1,1,100.0,       8,       6,75.0,     323,     292,90.4
Alma del Mar Charter School,04090000,1,1,100.0,       1,       1,100.0,      19,      14,73.7
Amesbury,00070000,1,1,100.0,       4,       4,100.0,     161,     152,94.4
Amesbury Academy Charter Public (District),04150000,1,1,100.0,       1,       0,0.0,       8,       3,37.5
Amherst,00080000,1,1,100.0,       3,       1,33.3,     120,     101,84.2
Amherst-Pelham,06050000,1,1,100.0,       2,       1,50.0,     144,     120,83.3
Andover,00090000,1,1,100.0,      12,      10,83.3,     483,     430,89.0
Arlington,00100000,1,1,100.0,       9,       7,77.8,     370,     315,85.1
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     161,     148,91.9
Ashland,00140000,1,0,0.0,       5,       4,80.0,     183,     172,94.0
Assabet Valley Regional Vocational Technical,08010000,1,0,0.0,       1,       1,100.0,     100,      92,92.0
Athol-Royalston,06150000,1,1,100.0,       5,       5,100.0,     114,      89,78.1
Atlantis Charter,04910000,1,1,100.0,       1,       0,0.0,      55,      35,63.6
Attleboro,00160000,1,1,100.0,       9,       7,77.8,     401,     360,89.8
Auburn,00170000,1,1,100.0,       6,       6,100.0,     178,     163,91.6
Avon,00180000,1,1,100.0,       2,       2,100.0,      64,      51,79.7
Ayer Shirley School District,06160000,1,0,0.0,       4,       4,100.0,     141,     122,86.5
Barnstable,00200000,1,1,100.0,       7,       5,71.4,     388,     353,91.0
Barnstable Community Horace Mann Charter Public,04270000,1,0,0.0,       1,       0,0.0,      24,      21,87.5
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       0,0.0,      11,       3,27.3
Bedford,00230000,1,1,100.0,       4,       4,100.0,     224,     201,89.7
Belchertown,00240000,1,0,0.0,       5,       5,100.0,     174,     160,92.0
Bellingham,00250000,1,1,100.0,       7,       6,85.7,     174,     156,89.7
Belmont,00260000,1,0,0.0,       6,       6,100.0,     257,     225,87.5
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      20,      15,75.0
Benjamin Franklin Classical Charter Public,04470000,1,1,100.0,       1,       1,100.0,      33,      29,87.9
Berkley,00270000,1,1,100.0,       2,       2,100.0,      62,      59,95.2
Berkshire Arts and Technology Charter Public,04140000,1,1,100.0,       1,       1,100.0,      37,      32,86.5
Berkshire Hills,06180000,1,1,100.0,       3,       2,66.7,     120,     107,89.2
Berlin,00280000,1,1,100.0,       1,       1,100.0,      21,      17,81.0
Berlin-Boylston,06200000,1,1,100.0,       1,       1,100.0,      45,      37,82.2
Beverly,00300000,1,0,0.0,       7,       4,57.1,     315,     276,87.6
Billerica,00310000,1,1,100.0,      10,       8,80.0,     383,     333,86.9
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      93,      80,86.0
Blackstone-Millville,06220000,1,0,0.0,       4,       4,100.0,     140,     123,87.9
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       0,0.0,      75,      66,88.0
Boston,00350000,1,1,100.0,     125,     101,80.8,"   4,364","   3,407",78.1
Boston Collegiate Charter,04490000,1,1,100.0,       3,       3,100.0,      64,      51,79.7
Boston Day and Evening Academy Charter,04240000,1,1,100.0,       1,       1,100.0,      28,      21,75.0
Boston Green Academy Horace Mann Charter School,04110000,1,1,100.0,       1,       0,0.0,      44,      30,68.2
Boston Preparatory Charter Public,04160000,1,1,100.0,       2,       0,0.0,      36,      23,63.9
