2012 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     115,      85,73.9
Abington,00010000,1,1,100.0,       4,       3,75.0,     118,     104,88.1
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       2,100.0,      37,      26,70.3
Acton,00020000,1,1,100.0,       5,       5,100.0,     147,     139,94.6
Acton-Boxborough,06000000,1,1,100.0,       2,       2,100.0,     194,     182,93.8
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      74,      68,91.9
Adams-Cheshire,06030000,1,1,100.0,       3,       3,100.0,     110,     105,95.5
Advanced Math and Science Academy Charter (District),04300000,1,0,0.0,       1,       0,0.0,      72,      59,81.9
Agawam,00050000,1,0,0.0,       8,       6,75.0,     316,     289,91.5
Amesbury,00070000,1,0,0.0,       4,       3,75.0,     169,     153,90.5
Amesbury Academy Charter Public (District),04150000,1,0,0.0,       1,       1,100.0,       8,       6,75.0
Amherst,00080000,1,1,100.0,       3,       2,66.7,     130,     110,84.6
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     153,     132,86.3
Andover,00090000,1,1,100.0,      10,      10,100.0,     456,     409,89.7
Arlington,00100000,1,1,100.0,       9,       6,66.7,     336,     279,83.0
Ashburnham-Westminster,06100000,1,0,0.0,       4,       3,75.0,     161,     141,87.6
Ashland,00140000,1,0,0.0,       4,       1,25.0,     179,     163,91.1
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     102,      88,86.3
Athol-Royalston,06150000,1,1,100.0,       7,       6,85.7,     128,     117,91.4
Atlantis Charter (District),04910000,1,1,100.0,       2,       2,100.0,      56,      38,67.9
Attleboro,00160000,1,1,100.0,       9,       8,88.9,     373,     335,89.8
Auburn,00170000,1,1,100.0,       6,       5,83.3,     172,     157,91.3
Avon,00180000,1,1,100.0,       2,       2,100.0,      67,      60,89.6
Barnstable,00200000,1,0,0.0,       7,       5,71.4,     333,     307,92.2
Barnstable Community Horace Mann Charter Public (District),04270000,1,0,0.0,       1,       0,0.0,      23,      19,82.6
Barnstable Horace Mann Charter (District),04230000,1,1,100.0,       1,       1,100.0,      59,      56,94.9
Bedford,00230000,1,1,100.0,       4,       3,75.0,     218,     195,89.4
Belchertown,00240000,1,1,100.0,       5,       5,100.0,     168,     153,91.1
Bellingham,00250000,1,0,0.0,       7,       4,57.1,     175,     153,87.4
Belmont,00260000,1,0,0.0,       6,       5,83.3,     247,     210,85.0
Benjamin Banneker Charter Public (District),04200000,1,0,0.0,       1,       0,0.0,      23,      17,73.9
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       0,0.0,      34,      29,85.3
Berkley,00270000,1,1,100.0,       2,       2,100.0,      63,      60,95.2
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       1,100.0,      26,      22,84.6
Berkshire Hills,06180000,1,1,100.0,       3,       2,66.7,     121,     112,92.6
Berlin,00280000,1,0,0.0,       1,       1,100.0,      23,      22,95.7
Berlin-Boylston,06200000,1,0,0.0,       1,       0,0.0,      37,      35,94.6
Beverly,00300000,1,1,100.0,       7,       7,100.0,     293,     261,89.1
Billerica,00310000,1,0,0.0,       9,       8,88.9,     401,     359,89.5
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      97,      86,88.7
Blackstone-Millville,06220000,1,1,100.0,       4,       2,50.0,     144,     124,86.1
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      80,      70,87.5
Boston,00350000,1,1,100.0,     132,     112,84.8,"   4,434","   3,748",84.5
Boston Collegiate Charter (District),04490000,1,0,0.0,       3,       2,66.7,      55,      46,83.6
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      25,      19,76.0
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       2,       2,100.0,      34,      22,64.7
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       3,       1,33.3,      94,      61,64.9
Bourne,00360000,1,1,100.0,       4,       1,25.0,     163,     142,87.1
Boxborough,00370000,1,1,100.0,       1,       1,100.0,      39,      35,89.7
Boxford,00380000,1,1,100.0,       2,       1,50.0,      68,      62,91.2
Boylston,00390000,1,0,0.0,       1,       1,100.0,      29,      26,89.7
Braintree,00400000,1,1,100.0,       9,       9,100.0,     394,     360,91.4
Brewster,00410000,1,1,100.0,       2,       2,100.0,      44,      44,100.0
Bridgewater-Raynham,06250000,1,1,100.0,       7,       7,100.0,     307,     289,94.1
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      30,      27,90.0
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      33,      28,84.8
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,      93,      82,88.2
Brockton,00440000,1,1,100.0,      22,      20,90.9,"   1,095",     990,90.4
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Brookline,00460000,1,1,100.0,      10,       6,60.0,     591,     499,84.4
Burlington,00480000,1,1,100.0,       6,       6,100.0,     299,     263,88.0
Cambridge,00490000,1,1,100.0,      15,      11,73.3,     593,     496,83.6
Canton,00500000,1,1,100.0,       6,       3,50.0,     239,     212,88.7
Cape Cod Lighthouse Charter (District),04320000,1,0,0.0,       1,       0,0.0,      26,      23,88.5
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      71,      62,87.3
Carlisle,00510000,1,1,100.0,       2,       2,100.0,      60,      55,91.7
Carver,00520000,1,1,100.0,       2,       2,100.0,     134,     123,91.8
Central Berkshire,06350000,1,0,0.0,       5,       5,100.0,     150,     141,94.0
