2010 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abington,00010000,1,1,100.0,       6,       5,83.3,     149,     125,83.9
Academy Of the Pacific Rim Charter Public (District),04120000,1,0,0.0,       2,       2,100.0,      42,      27,64.3
Acton,00020000,1,0,0.0,       5,       4,80.0,     146,     135,92.5
Acton-Boxborough,06000000,1,0,0.0,       2,       2,100.0,     186,     173,93.0
Acushnet,00030000,1,1,100.0,       2,       1,50.0,      75,      70,93.3
Adams-Cheshire,06030000,1,1,100.0,       4,       2,50.0,     114,     100,87.7
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       0,0.0,      49,      36,73.5
Agawam,00050000,1,1,100.0,       8,       8,100.0,     331,     308,93.1
Amesbury,00070000,1,0,0.0,       4,       3,75.0,     179,     162,90.5
Amesbury Academy Charter Public School,04150000,1,0,0.0,       1,       1,100.0,       6,       6,100.0
Amherst,00080000,1,0,0.0,       4,       4,100.0,     147,     124,84.4
Amherst-Pelham,06050000,1,0,0.0,       2,       1,50.0,     162,     135,83.3
Andover,00090000,1,1,100.0,      10,       8,80.0,     469,     417,88.9
Arlington,00100000,1,1,100.0,       9,       7,77.8,     354,     307,86.7
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     165,     152,92.1
Ashland,00140000,1,0,0.0,       5,       4,80.0,     179,     158,88.3
Assabet Valley Regional Vocational Technical,08010000,1,0,0.0,       1,       0,0.0,     100,      94,94.0
Athol-Royalston,06150000,1,1,100.0,       5,       3,60.0,     130,     118,90.8
Atlantis Charter (District),04910000,1,0,0.0,       2,       2,100.0,      52,      49,94.2
Attleboro,00160000,1,1,100.0,       9,       6,66.7,     405,     369,91.1
Auburn,00170000,1,1,100.0,       6,       4,66.7,     172,     157,91.3
Avon,00180000,1,1,100.0,       2,       1,50.0,      65,      55,84.6
Ayer,00190000,1,1,100.0,       2,       2,100.0,      92,      81,88.0
Barnstable,00200000,1,1,100.0,       9,       7,77.8,     350,     267,76.3
Barnstable Community Horace Mann Charter Public (District),04270000,1,0,0.0,       1,       1,100.0,      34,      16,47.1
Barnstable Horace Mann Charter (District),04230000,1,1,100.0,       1,       1,100.0,      73,      35,47.9
Bedford,00230000,1,1,100.0,       4,       3,75.0,     215,     192,89.3
Belchertown,00240000,1,0,0.0,       4,       4,100.0,     173,     163,94.2
Bellingham,00250000,1,1,100.0,       7,       6,85.7,     185,     159,85.9
Belmont,00260000,1,0,0.0,       6,       5,83.3,     260,     226,86.9
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      22,      18,81.8
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       1,100.0,      34,      31,91.2
Berkley,00270000,1,1,100.0,       2,       2,100.0,      66,      60,90.9
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       1,100.0,      29,      17,58.6
Berkshire Hills,06180000,1,0,0.0,       3,       1,33.3,     139,     116,83.5
Berlin,00280000,1,1,100.0,       1,       1,100.0,      25,      23,92.0
Berlin-Boylston,06200000,1,1,100.0,       1,       0,0.0,      37,      36,97.3
Beverly,00300000,1,1,100.0,       7,       7,100.0,     306,     281,91.8
Billerica,00310000,1,1,100.0,       9,       8,88.9,     435,     380,87.4
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       0,0.0,     105,      92,87.6
Blackstone-Millville,06220000,1,0,0.0,       4,       4,100.0,     158,     140,88.6
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      85,      69,81.2
Boston,00350000,1,1,100.0,     140,     114,81.4,"   4,464","   3,899",87.3
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       2,66.7,      41,      32,78.0
Boston Day and Evening Academy Charter (District),04240000,1,0,0.0,       2,       1,50.0,      22,      20,90.9
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       1,       1,100.0,      29,      24,82.8
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       3,       3,100.0,      98,      84,85.7
Bourne,00360000,1,1,100.0,       5,       4,80.0,     170,     149,87.6
Boxborough,00370000,1,1,100.0,       1,       1,100.0,      42,      38,90.5
Boxford,00380000,1,1,100.0,       2,       2,100.0,      76,      69,90.8
Boylston,00390000,1,1,100.0,       1,       1,100.0,      30,      29,96.7
Braintree,00400000,1,1,100.0,      12,       9,75.0,     385,     344,89.4
Brewster,00410000,1,0,0.0,       2,       2,100.0,      47,      43,91.5
Bridgewater-Raynham,06250000,1,1,100.0,       7,       6,85.7,     334,     280,83.8
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      33,      31,93.9
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      34,      33,97.1
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,      95,      89,93.7
Brockton,00440000,1,0,0.0,      22,      18,81.8,"   1,124","   1,021",90.8
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      29,      26,89.7
Brookline,00460000,1,1,100.0,      10,       7,70.0,     555,     491,88.5
Burlington,00480000,1,1,100.0,       6,       5,83.3,     305,     276,90.5
Cambridge,00490000,1,0,0.0,      15,      12,80.0,     528,     452,85.6
Canton,00500000,1,1,100.0,       6,       5,83.3,     239,     223,93.3
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      28,      24,85.7
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       0,0.0,      70,      65,92.9
Carlisle,00510000,1,1,100.0,       2,       2,100.0,      64,      58,90.6
Carver,00520000,1,1,100.0,       3,       2,66.7,     139,     125,89.9
Central Berkshire,06350000,1,0,0.0,       5,       3,60.0,     150,     132,88.0
Chatham,00550000,1,1,100.0,       3,       3,100.0,      69,      64,92.8
Chelmsford,00560000,1,1,100.0,       8,       6,75.0,     355,     331,93.2
Chelsea,00570000,1,1,100.0,       9,       7,77.8,     416,     364,87.5
Chesterfield-Goshen,06320000,1,0,0.0,       1,       1,100.0,      16,      15,93.8
Chicopee,00610000,1,1,100.0,      15,      13,86.7,     626,     570,91.1
Christa McAuliffe Regional Charter Public (District),04180000,1,0,0.0,       1,       1,100.0,      28,      14,50.0
City On A Hill Charter Public (District),04370000,1,1,100.0,       1,       1,100.0,      30,      20,66.7
Clarksburg,00630000,1,1,100.0,       1,       1,100.0,      16,      15,93.8
Clinton,00640000,1,0,0.0,       3,       3,100.0,     141,     133,94.3
Codman Academy Charter Public (District),04380000,1,1,100.0,       1,       1,100.0,      15,      13,86.7
Cohasset,00650000,1,1,100.0,       3,       3,100.0,     113,      99,87.6
Community Charter School of Cambridge (District),04360000,1,1,100.0,       1,       1,100.0,      29,      17,58.6
Community Day Charter Public (District),04400000,1,1,100.0,       3,       3,100.0,      34,      26,76.5
Concord,00670000,1,1,100.0,       4,       3,75.0,     156,     140,89.7
Concord-Carlisle,06400000,1,1,100.0,       1,       1,100.0,     106,      92,86.8
Conway,00680000,1,1,100.0,       1,       1,100.0,      16,      13,81.3
Danvers,00710000,1,1,100.0,       7,       7,100.0,     277,     257,92.8
Dartmouth,00720000,1,1,100.0,       5,       3,60.0,     270,     246,91.1
Dedham,00730000,1,1,100.0,       7,       5,71.4,     235,     212,90.2
Deerfield,00740000,1,1,100.0,       1,       1,100.0,      40,      35,87.5
Dennis-Yarmouth,06450000,1,1,100.0,       8,       7,87.5,     291,     261,89.7
Dighton-Rehoboth,06500000,1,1,100.0,       5,       5,100.0,     218,     194,89.0
Douglas,00770000,1,1,100.0,       4,       1,25.0,     116,     105,90.5
Dover,00780000,1,1,100.0,       1,       1,100.0,      43,      40,93.0
Dover-Sherborn,06550000,1,1,100.0,       2,       2,100.0,     107,     101,94.4
Dracut,00790000,1,1,100.0,       7,       6,85.7,     255,     231,90.6
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       5,71.4,     291,     269,92.4
Duxbury,00820000,1,1,100.0,       4,       3,75.0,     229,     208,90.8
East Bridgewater,00830000,1,0,0.0,       3,       3,100.0,     149,     131,87.9
East Longmeadow,00870000,1,1,100.0,       5,       5,100.0,     205,     199,97.1
Eastham,00850000,1,0,0.0,       1,       1,100.0,      24,      22,91.7
Easthampton,00860000,1,1,100.0,       4,       2,50.0,     136,     120,88.2
Easton,00880000,1,0,0.0,       7,       7,100.0,     269,     250,92.9
Edgartown,00890000,1,1,100.0,       1,       1,100.0,      49,      44,89.8
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,1,1,100.0,       1,       1,100.0,      24,      19,79.2
Erving,00910000,1,1,100.0,       1,       1,100.0,      16,      14,87.5
Essex Agricultural Technical,09130000,1,1,100.0,       1,       1,100.0,      46,      40,87.0
Everett,00930000,1,1,100.0,       7,       6,85.7,     425,     385,90.6
Excel Academy Charter (District),04100000,1,0,0.0,       1,       1,100.0,      17,      14,82.4
Fairhaven,00940000,1,1,100.0,       5,       5,100.0,     151,     136,90.1
Fall River,00950000,1,0,0.0,      16,      13,81.3,     740,     599,80.9
Falmouth,00960000,1,1,100.0,       7,       6,85.7,     333,     307,92.2
Farmington River Reg,06620000,1,1,100.0,       1,       0,0.0,      19,      18,94.7
Fitchburg,00970000,1,1,100.0,      10,       6,60.0,     381,     329,86.4
Florida,00980000,1,1,100.0,       1,       1,100.0,      14,      11,78.6
Four Rivers Charter Public (District),04130000,1,0,0.0,       1,       1,100.0,      24,      18,75.0
Foxborough,00990000,1,1,100.0,       5,       5,100.0,     214,     200,93.5
Foxborough Regional Charter (District),04460000,1,1,100.0,       2,       1,50.0,      78,      69,88.5
Framingham,01000000,1,0,0.0,      13,       9,69.2,     663,     614,92.6
Francis W. Parker Charter Essential (District),04780000,1,1,100.0,       1,       1,100.0,      48,      43,89.6
Franklin,01010000,1,0,0.0,      11,      10,90.9,     404,     359,88.9
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       0,0.0,      55,      53,96.4
Freetown,01020000,1,0,0.0,       1,       1,100.0,      29,      25,86.2
Freetown-Lakeville,06650000,1,0,0.0,       3,       2,66.7,     143,     129,90.2
Frontier,06700000,1,1,100.0,       1,       1,100.0,      67,      61,91.0
Gardner,01030000,1,1,100.0,       5,       4,80.0,     184,     163,88.6
Gateway,06720000,1,1,100.0,       5,       3,60.0,     103,      85,82.5
Georgetown,01050000,1,1,100.0,       3,       3,100.0,     114,      95,83.3
Gill-Montague,06740000,1,0,0.0,       5,       5,100.0,      93,      77,82.8
Global Learning Charter Public  (District),04960000,1,0,0.0,       1,       0,0.0,      30,      26,86.7
Gloucester,01070000,1,1,100.0,       8,       6,75.0,     253,     234,92.5
Gosnold,01090000,1,1,100.0,       1,       1,100.0,       1,       0,0.0
Grafton,01100000,1,1,100.0,       5,       5,100.0,     197,     180,91.4
Granby,01110000,1,1,100.0,       3,       3,100.0,      87,      76,87.4
Granville,01120000,1,1,100.0,       1,       1,100.0,      20,      17,85.0
Greater Fall River Regional Vocational Technical,08210000,1,0,0.0,       1,       1,100.0,     126,     118,93.7
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     141,     117,83.0
Greater Lowell Regional Vocational Technical,08280000,1,1,100.0,       1,       1,100.0,     179,     161,89.9
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       2,       2,100.0,     201,     192,95.5
Greenfield,01140000,1,1,100.0,       4,       3,75.0,     104,      85,81.7
Groton-Dunstable,06730000,1,1,100.0,       5,       5,100.0,     189,     165,87.3
Hadley,01170000,1,1,100.0,       2,       2,100.0,      50,      44,88.0
Halifax,01180000,1,1,100.0,       1,       1,100.0,      44,      42,95.5
Hamilton-Wenham,06750000,1,1,100.0,       5,       4,80.0,     171,     150,87.7
Hampden-Wilbraham,06800000,1,0,0.0,       8,       7,87.5,     264,     237,89.8
Hampshire,06830000,1,0,0.0,       1,       1,100.0,      67,      63,94.0
Hancock,01210000,1,1,100.0,       1,       1,100.0,       8,       6,75.0
Hanover,01220000,1,1,100.0,       4,       3,75.0,     208,     193,92.8
Harvard,01250000,1,1,100.0,       2,       2,100.0,      84,      81,96.4
Harwich,01260000,1,1,100.0,       3,       3,100.0,     120,     113,94.2
Hatfield,01270000,1,0,0.0,       2,       2,100.0,      39,      38,97.4
Haverhill,01280000,1,1,100.0,      13,      11,84.6,     468,     417,89.1
Hawlemont,06850000,1,1,100.0,       1,       1,100.0,      14,      11,78.6
Hill View Montessori Charter Public (District),04550000,1,1,100.0,       1,       1,100.0,      18,      14,77.8
Hilltown Cooperative Charter  Public (District),04500000,1,1,100.0,       1,       1,100.0,      15,      14,93.3
Hingham,01310000,1,1,100.0,       5,       5,100.0,     283,     257,90.8
Holbrook,01330000,1,0,0.0,       3,       3,100.0,      87,      76,87.4
Holland,01350000,1,1,100.0,       1,       1,100.0,      24,      19,79.2
Holliston,01360000,1,1,100.0,       4,       4,100.0,     226,     209,92.5
Holyoke,01370000,1,1,100.0,      11,      10,90.9,     532,     493,92.7
Holyoke Community Charter (District),04530000,1,1,100.0,       1,       1,100.0,      44,      36,81.8
Hopedale,01380000,1,1,100.0,       3,       3,100.0,      93,      79,84.9
Hopkinton,01390000,1,1,100.0,       6,       5,83.3,     239,     224,93.7
Hudson,01410000,1,0,0.0,       6,       4,66.7,     235,     205,87.2
Hull,01420000,1,1,100.0,       3,       2,66.7,      95,      81,85.3
Innovation Academy Charter (District),04350000,1,1,100.0,       3,       3,100.0,      37,      28,75.7
Ipswich,01440000,1,1,100.0,       4,       3,75.0,     155,     144,92.9
KIPP Academy Lynn Charter (District),04290000,1,1,100.0,       1,       1,100.0,      27,      20,74.1
King Philip,06900000,1,1,100.0,       2,       2,100.0,     124,     112,90.3
Kingston,01450000,1,1,100.0,       2,       1,50.0,      73,      65,89.0
Lakeville,01460000,1,0,0.0,       2,       1,50.0,      50,      34,68.0
