2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
City on a Hill Charter Public School Circuit Street (District),04370000,1,1,100.0,       1,       0,0.0,      34,      14,41.2
City on a Hill Charter Public School Dudley Square (District),35040000,1,1,100.0,       1,       1,100.0,      33,      10,30.3
City on a Hill Charter Public School New Bedford (District),35070000,1,1,100.0,       1,       0,0.0,      27,       8,29.6
Clarksburg,00630000,1,1,100.0,       1,       1,100.0,      18,      16,88.9
Clinton,00640000,1,1,100.0,       3,       2,66.7,     150,     129,86.0
Codman Academy Charter Public (District),04380000,1,1,100.0,       2,       1,50.0,      43,      34,79.1
Cohasset,00650000,1,0,0.0,       3,       2,66.7,     128,     108,84.4
Collegiate Charter School of Lowell (District),35030000,1,1,100.0,       1,       1,100.0,      49,      28,57.1
Community Charter School of Cambridge (District),04360000,1,0,0.0,       2,       0,0.0,      42,      29,69.0
Community Day Charter Public School - Gateway (District),04260000,1,0,0.0,       3,       3,100.0,      40,      25,62.5
Community Day Charter Public School - Prospect (District),04400000,1,0,0.0,       3,       2,66.7,      44,      28,63.6
Community Day Charter Public School - R. Kingman Webster (District),04310000,1,0,0.0,       3,       2,66.7,      39,      21,53.8
Concord,00670000,1,1,100.0,       4,       3,75.0,     174,     152,87.4
Concord-Carlisle,06400000,1,1,100.0,       1,       1,100.0,     118,     109,92.4
Conservatory Lab Charter (District),04390000,1,1,100.0,       1,       1,100.0,      26,      20,76.9
Conway,00680000,1,1,100.0,       1,       1,100.0,      16,      15,93.8
Danvers,00710000,1,1,100.0,       7,       7,100.0,     269,     241,89.6
Dartmouth,00720000,1,1,100.0,       6,       6,100.0,     275,     254,92.4
Dedham,00730000,1,1,100.0,       7,       6,85.7,     242,     215,88.8
Deerfield,00740000,1,1,100.0,       1,       1,100.0,      41,      37,90.2
Dennis-Yarmouth,06450000,1,1,100.0,       6,       5,83.3,     280,     256,91.4
Dighton-Rehoboth,06500000,1,1,100.0,       5,       5,100.0,     236,     211,89.4
Douglas,00770000,1,1,100.0,       4,       4,100.0,      98,      91,92.9
Dover,00780000,1,1,100.0,       1,       1,100.0,      43,      39,90.7
Dover-Sherborn,06550000,1,1,100.0,       2,       2,100.0,     117,     109,93.2
Dracut,00790000,1,1,100.0,       6,       5,83.3,     232,     186,80.2
Dudley Street Neighborhood Charter School (District),04070000,1,1,100.0,       1,       1,100.0,      22,      14,63.6
Dudley-Charlton Reg,06580000,1,1,100.0,       7,       7,100.0,     273,     249,91.2
Duxbury,00820000,1,1,100.0,       4,       4,100.0,     233,     211,90.6
East Bridgewater,00830000,1,1,100.0,       3,       2,66.7,     157,     141,89.8
East Longmeadow,00870000,1,1,100.0,       5,       5,100.0,     213,     196,92.0
Eastham,00850000,1,1,100.0,       1,       1,100.0,      23,      23,100.0
Easthampton,00860000,1,1,100.0,       4,       3,75.0,     116,     104,89.7
Easton,00880000,1,1,100.0,       6,       6,100.0,     283,     255,90.1
Edgartown,00890000,1,1,100.0,       1,       0,0.0,      46,      43,93.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,1,1,100.0,       1,       1,100.0,      48,      37,77.1
Erving,00910000,1,1,100.0,       1,       0,0.0,      18,      16,88.9
Essex North Shore Agricultural and Technical School District,08170000,1,1,100.0,       1,       1,100.0,     131,     114,87.0
Everett,00930000,1,0,0.0,      10,       8,80.0,     491,     434,88.4
Excel Academy Charter (District),04100000,1,1,100.0,       4,       3,75.0,     118,      85,72.0
Fairhaven,00940000,1,1,100.0,       4,       3,75.0,     150,     142,94.7
Fall River,00950000,1,1,100.0,      16,      16,100.0,     761,     638,83.8
Falmouth,00960000,1,1,100.0,       7,       7,100.0,     304,     263,86.5
Farmington River Reg,06620000,1,1,100.0,       1,       1,100.0,      14,      13,92.9
Fitchburg,00970000,1,0,0.0,       8,       4,50.0,     379,     327,86.3
Florida,00980000,1,1,100.0,       1,       1,100.0,      11,      10,90.9
Four Rivers Charter Public (District),04130000,1,1,100.0,       1,       1,100.0,      35,      29,82.9
Foxborough,00990000,1,1,100.0,       5,       4,80.0,     214,     200,93.5
Foxborough Regional Charter (District),04460000,1,1,100.0,       3,       2,66.7,     134,     107,79.9
Framingham,01000000,1,1,100.0,      14,      11,78.6,     767,     653,85.1
Francis W. Parker Charter Essential (District),04780000,1,1,100.0,       1,       1,100.0,      51,      34,66.7
Franklin,01010000,1,1,100.0,      11,      10,90.9,     418,     354,84.7
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       1,100.0,      51,      48,94.1
Freetown-Lakeville,06650000,1,1,100.0,       5,       4,80.0,     199,     174,87.4
Frontier,06700000,1,1,100.0,       1,       1,100.0,      57,      48,84.2
