2019 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       1,100.0,      52,      32,61.5
Bedford,00230000,1,1,100.0,       4,       4,100.0,     244,     225,92.2
Belchertown,00240000,1,1,100.0,       5,       5,100.0,     172,     155,90.1
Bellingham,00250000,1,1,100.0,       6,       4,66.7,     175,     154,88.0
Belmont,00260000,1,1,100.0,       6,       4,66.7,     287,     254,88.5
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      19,      15,78.9
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       0,0.0,      33,      27,81.8
Bentley Academy Charter School (District),35110000,1,1,100.0,       1,       1,100.0,      29,      26,89.7
Berkley,00270000,1,1,100.0,       2,       2,100.0,      58,      53,91.4
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       0,0.0,      40,      29,72.5
Berkshire Hills,06180000,1,1,100.0,       3,       1,33.3,     113,     102,90.3
Berlin,00280000,1,0,0.0,       1,       1,100.0,      21,      18,85.7
Berlin-Boylston,06200000,1,0,0.0,       1,       1,100.0,      47,      44,93.6
Beverly,00300000,1,1,100.0,       8,       8,100.0,     336,     304,90.5
Billerica,00310000,1,1,100.0,       9,       9,100.0,     380,     351,92.4
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,     100,      90,90.0
Blackstone-Millville,06220000,1,0,0.0,       5,       4,80.0,     138,     118,85.5
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      82,      74,90.2
Boston,00350000,1,0,0.0,     122,      99,81.1,"   4,260","   3,582",84.1
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       3,100.0,      68,      54,79.4
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      23,      19,82.6
Boston Green Academy Horace Mann Charter School (District),04110000,1,1,100.0,       1,       1,100.0,      47,      36,76.6
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       2,       1,50.0,      52,      31,59.6
Boston Renaissance Charter Public (District),04810000,1,1,100.0,       1,       1,100.0,      82,      59,72.0
Bourne,00360000,1,1,100.0,       4,       3,75.0,     153,     135,88.2
Boxford,00380000,1,1,100.0,       2,       2,100.0,      62,      56,90.3
Boylston,00390000,1,0,0.0,       1,       1,100.0,      22,      21,95.5
Braintree,00400000,1,1,100.0,      10,       9,90.0,     434,     402,92.6
Brewster,00410000,1,1,100.0,       2,       1,50.0,      47,      37,78.7
Bridge Boston Charter School (District),04170000,1,0,0.0,       1,       1,100.0,      31,      20,64.5
Bridgewater-Raynham,06250000,1,1,100.0,       8,       6,75.0,     328,     306,93.3
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      27,      24,88.9
Bristol County Agricultural,09100000,,,,       1,       1,100.0,      36,      33,91.7
Bristol-Plymouth Regional Vocational Technical,08100000,1,1,100.0,       1,       1,100.0,      96,      89,92.7
Brockton,00440000,1,1,100.0,      23,      23,100.0,"   1,004",     902,89.8
Brooke Charter School (District),04280000,1,1,100.0,       4,       3,75.0,     141,     102,72.3
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      26,      24,92.3
Brookline,00460000,1,1,100.0,      12,      10,83.3,     673,     569,84.5
Burlington,00480000,1,1,100.0,       7,       5,71.4,     330,     306,92.7
Cambridge,00490000,1,1,100.0,      18,      17,94.4,     687,     600,87.3
Canton,00500000,1,1,100.0,       6,       5,83.3,     264,     235,89.0
Cape Cod Lighthouse Charter (District),04320000,1,1,100.0,       1,       1,100.0,      29,      26,89.7
Cape Cod Regional Vocational Technical,08150000,1,1,100.0,       1,       1,100.0,      69,      59,85.5
Carlisle,00510000,1,1,100.0,       2,       1,50.0,      58,      55,94.8
Carver,00520000,1,1,100.0,       2,       2,100.0,     119,     113,95.0
Central Berkshire,06350000,1,1,100.0,       5,       4,80.0,     129,     119,92.2
Chelmsford,00560000,1,1,100.0,       8,       6,75.0,     378,     344,91.0
Chelsea,00570000,1,1,100.0,       9,       7,77.8,     414,     319,77.1
Chesterfield-Goshen,06320000,1,0,0.0,       1,       0,0.0,      17,      15,88.2
Chicopee,00610000,1,1,100.0,      15,      14,93.3,     617,     535,86.7
Christa McAuliffe Charter Public (District),04180000,1,1,100.0,       1,       1,100.0,      42,      27,64.3
City on a Hill Charter Public School Circuit Street (District),04370000,1,0,0.0,       1,       0,0.0,      33,      18,54.5
City on a Hill Charter Public School Dudley Square (District),35040000,1,0,0.0,       1,       0,0.0,      37,      17,45.9
City on a Hill Charter Public School New Bedford (District),35070000,1,0,0.0,       1,       1,100.0,      20,       6,30.0
Clarksburg,00630000,1,0,0.0,       1,       1,100.0,      18,      14,77.8
Clinton,00640000,1,1,100.0,       3,       3,100.0,     154,     137,89.0
Codman Academy Charter Public (District),04380000,1,1,100.0,       2,       1,50.0,      40,      24,60.0
Cohasset,00650000,1,1,100.0,       3,       2,66.7,     117,     108,92.3
Collegiate Charter School of Lowell (District),35030000,1,0,0.0,       1,       0,0.0,      40,      26,65.0
Community Charter School of Cambridge (District),04360000,1,1,100.0,       2,       2,100.0,      44,      28,63.6
Community Day Charter Public School - Gateway (District),04260000,1,1,100.0,       3,       3,100.0,      35,      24,68.6
Community Day Charter Public School - Prospect (District),04400000,1,1,100.0,       3,       2,66.7,      46,      29,63.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,1,1,100.0,       3,       3,100.0,      35,      21,60.0
Concord,00670000,1,1,100.0,       4,       4,100.0,     175,     155,88.6
Concord-Carlisle,06400000,1,1,100.0,       1,       1,100.0,     117,     109,93.2
Conservatory Lab Charter (District),04390000,1,1,100.0,       2,       1,50.0,      27,      18,66.7
Conway,00680000,1,0,0.0,       1,       1,100.0,      17,      16,94.1
Danvers,00710000,1,1,100.0,       7,       6,85.7,     267,     243,91.0
Dartmouth,00720000,1,1,100.0,       6,       6,100.0,     278,     248,89.2
Dedham,00730000,1,1,100.0,       7,       6,85.7,     254,     220,86.6
Deerfield,00740000,1,0,0.0,       1,       1,100.0,      40,      38,95.0
Dennis-Yarmouth,06450000,1,1,100.0,       6,       5,83.3,     290,     259,89.3
Dighton-Rehoboth,06500000,1,1,100.0,       5,       4,80.0,     234,     212,90.6
Douglas,00770000,1,1,100.0,       4,       3,75.0,      98,      88,89.8
Dover,00780000,1,1,100.0,       1,       1,100.0,      44,      39,88.6
Dover-Sherborn,06550000,1,1,100.0,       2,       2,100.0,     114,     108,94.7
Dracut,00790000,1,1,100.0,       6,       6,100.0,     215,     194,90.2
Dudley Street Neighborhood Charter School (District),04070000,1,1,100.0,       1,       1,100.0,      19,      16,84.2
Dudley-Charlton Reg,06580000,1,0,0.0,       7,       6,85.7,     272,     248,91.2
Duxbury,00820000,1,1,100.0,       4,       3,75.0,     241,     212,88.0
East Bridgewater,00830000,1,1,100.0,       3,       3,100.0,     156,     135,86.5
East Longmeadow,00870000,1,1,100.0,       5,       5,100.0,     208,     190,91.3
Eastham,00850000,1,1,100.0,       1,       1,100.0,      25,      20,80.0
Easthampton,00860000,1,0,0.0,       4,       3,75.0,     117,     108,92.3
Easton,00880000,1,1,100.0,       6,       5,83.3,     279,     259,92.8
Edgartown,00890000,1,1,100.0,       1,       1,100.0,      47,      39,83.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,1,1,100.0,       1,       1,100.0,      39,      32,82.1
Erving,00910000,1,1,100.0,       1,       1,100.0,      20,      17,85.0
Essex North Shore Agricultural and Technical School District,08170000,1,0,0.0,       1,       0,0.0,     130,     105,80.8
Everett,00930000,1,1,100.0,       9,       9,100.0,     547,     446,81.5
Excel Academy Charter (District),04100000,1,1,100.0,       4,       4,100.0,     112,      71,63.4
Fairhaven,00940000,1,1,100.0,       4,       4,100.0,     148,     138,93.2
Fall River,00950000,1,1,100.0,      16,      12,75.0,     812,     639,78.7
Falmouth,00960000,1,0,0.0,       7,       5,71.4,     306,     274,89.5
Farmington River Reg,06620000,1,1,100.0,       1,       1,100.0,      16,      12,75.0
Fitchburg,00970000,1,1,100.0,       8,       7,87.5,     368,     319,86.7
Florida,00980000,1,0,0.0,       1,       1,100.0,      13,      10,76.9
Four Rivers Charter Public (District),04130000,1,1,100.0,       1,       1,100.0,      31,      27,87.1
Foxborough,00990000,1,0,0.0,       5,       5,100.0,     213,     198,93.0
Foxborough Regional Charter (District),04460000,1,1,100.0,       3,       3,100.0,     115,      97,84.3
Framingham,01000000,1,1,100.0,      14,       9,64.3,     749,     649,86.6
Francis W. Parker Charter Essential (District),04780000,1,1,100.0,       1,       1,100.0,      49,      36,73.5
Franklin,01010000,1,1,100.0,      11,       8,72.7,     409,     363,88.8
Franklin County Regional Vocational Technical,08180000,1,1,100.0,       1,       0,0.0,      54,      45,83.3
Freetown-Lakeville,06650000,1,1,100.0,       5,       5,100.0,     194,     181,93.3
Frontier,06700000,1,0,0.0,       1,       0,0.0,      57,      51,89.5
Gardner,01030000,1,1,100.0,       5,       4,80.0,     179,     152,84.9
Gateway,06720000,1,1,100.0,       2,       2,100.0,      80,      77,96.3
Georgetown,01050000,1,1,100.0,       2,       1,50.0,     102,      92,90.2
Gill-Montague,06740000,1,1,100.0,       4,       4,100.0,      92,      76,82.6
Global Learning Charter Public (District),04960000,1,1,100.0,       1,       1,100.0,      45,      32,71.1
Gloucester,01070000,1,1,100.0,       8,       7,87.5,     258,     232,89.9
Gosnold,01090000,1,1,100.0,       1,       1,100.0,       1,       1,100.0
Grafton,01100000,1,1,100.0,       6,       6,100.0,     249,     226,90.8
Granby,01110000,1,1,100.0,       2,       2,100.0,      62,      58,93.5
Greater Fall River Regional Vocational Technical,08210000,1,1,100.0,       1,       1,100.0,     139,     135,97.1
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     145,     126,86.9
Greater Lowell Regional Vocational Technical,08280000,1,1,100.0,       1,       1,100.0,     182,     169,92.9
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       2,       2,100.0,     200,     186,93.0
Greenfield,01140000,1,1,100.0,       6,       4,66.7,     155,     134,86.5
Greenfield Commonwealth Virtual District,39010000,1,1,100.0,       1,       1,100.0,      33,      29,87.9
Groton-Dunstable,06730000,1,1,100.0,       5,       2,40.0,     180,     166,92.2
Hadley,01170000,1,1,100.0,       2,       1,50.0,      50,      41,82.0
Halifax,01180000,1,1,100.0,       1,       1,100.0,      39,      36,92.3
Hamilton-Wenham,06750000,1,1,100.0,       5,       4,80.0,     151,     139,92.1
Hampden Charter School of Science East (District),04990000,1,1,100.0,       1,       1,100.0,      48,      34,70.8
Hampden-Wilbraham,06800000,1,1,100.0,       7,       5,71.4,     209,     187,89.5
Hampshire,06830000,1,0,0.0,       1,       1,100.0,      75,      72,96.0
Hancock,01210000,1,1,100.0,       1,       1,100.0,       9,       7,77.8
Hanover,01220000,1,1,100.0,       4,       4,100.0,     208,     188,90.4
Harvard,01250000,1,1,100.0,       2,       2,100.0,      91,      88,96.7
Hatfield,01270000,1,1,100.0,       2,       2,100.0,      46,      39,84.8
Haverhill,01280000,1,0,0.0,      13,      11,84.6,     550,     485,88.2
Hawlemont,06850000,1,1,100.0,       1,       0,0.0,      13,       7,53.8
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1,1,100.0,       1,       1,100.0,      14,       6,42.9
Hill View Montessori Charter Public (District),04550000,1,0,0.0,       1,       1,100.0,      25,      17,68.0
Hilltown Cooperative Charter Public (District),04500000,1,1,100.0,       1,       1,100.0,      23,      19,82.6
Hingham,01310000,1,1,100.0,       6,       5,83.3,     300,     276,92.0
Holbrook,01330000,1,1,100.0,       2,       2,100.0,      91,      85,93.4
Holland,01350000,1,1,100.0,       1,       1,100.0,      20,      19,95.0
Holliston,01360000,1,1,100.0,       4,       4,100.0,     227,     209,92.1
Holyoke,01370000,1,1,100.0,      11,       6,54.5,     403,     271,67.2
Holyoke Community Charter (District),04530000,1,1,100.0,       1,       1,100.0,      52,      34,65.4
Hopedale,01380000,1,1,100.0,       3,       2,66.7,      94,      81,86.2
Hopkinton,01390000,1,0,0.0,       5,       5,100.0,     274,     250,91.2
Hudson,01410000,1,1,100.0,       5,       4,80.0,     237,     206,86.9
Hull,01420000,1,1,100.0,       3,       2,66.7,      86,      79,91.9
Innovation Academy Charter (District),04350000,1,1,100.0,       3,       3,100.0,      81,      69,85.2
Ipswich,01440000,1,1,100.0,       4,       3,75.0,     166,     149,89.8
KIPP Academy Boston Charter School (District),04630000,1,1,100.0,       2,       2,100.0,      55,      28,50.9
KIPP Academy Lynn Charter (District),04290000,1,1,100.0,       2,       0,0.0,     115,      71,61.7
King Philip,06900000,1,0,0.0,       2,       2,100.0,     134,     118,88.1
Kingston,01450000,1,1,100.0,       2,       2,100.0,      67,      63,94.0
Lawrence,01490000,1,0,0.0,      32,      27,84.4,"   1,069",     793,74.2
Lawrence Family Development Charter (District),04540000,1,1,100.0,       1,       1,100.0,      60,      45,75.0
Lee,01500000,1,0,0.0,       2,       2,100.0,      75,      67,89.3
Leicester,01510000,1,1,100.0,       4,       3,75.0,     116,     111,95.7
Lenox,01520000,1,0,0.0,       2,       2,100.0,      84,      75,89.3
Leominster,01530000,1,0,0.0,      10,       7,70.0,     420,     388,92.4
Leverett,01540000,1,1,100.0,       1,       1,100.0,      18,      15,83.3
Lexington,01550000,1,0,0.0,      10,       7,70.0,     624,     565,90.5
Libertas Academy Charter School (District),35140000,1,1,100.0,       1,       1,100.0,       8,       6,75.0
Lincoln,01570000,1,1,100.0,       4,       3,75.0,     126,     112,88.9
Lincoln-Sudbury,06950000,1,1,100.0,       1,       1,100.0,     142,     130,91.5
Littleton,01580000,1,1,100.0,       4,       4,100.0,     124,     111,89.5
Longmeadow,01590000,1,1,100.0,       6,       5,83.3,     243,     224,92.2
Lowell,01600000,1,1,100.0,      31,      24,77.4,"   1,079",     984,91.2
Lowell Community Charter Public (District),04560000,1,1,100.0,       1,       1,100.0,      64,      50,78.1
Lowell Middlesex Academy Charter (District),04580000,1,1,100.0,       1,       1,100.0,      12,      11,91.7
Ludlow,01610000,1,1,100.0,       5,       5,100.0,     230,     211,91.7
Lunenburg,01620000,1,0,0.0,       4,       2,50.0,     121,     105,86.8
Lynn,01630000,1,0,0.0,      26,      20,76.9,"   1,096",     972,88.7
Lynnfield,01640000,1,1,100.0,       4,       3,75.0,     172,     159,92.4
MATCH Charter Public School (District),04690000,1,1,100.0,       3,       1,33.3,     107,      64,59.8
Ma Academy for Math and Science,04680000,1,1,100.0,       1,       1,100.0,       6,       6,100.0
Malden,01650000,1,1,100.0,       8,       2,25.0,     458,     411,89.7
Manchester Essex Regional,06980000,1,1,100.0,       4,       4,100.0,     118,     105,89.0
Mansfield,01670000,1,1,100.0,       4,       3,75.0,     305,     291,95.4
Marblehead,01680000,1,1,100.0,       6,       6,100.0,     265,     227,85.7
Marblehead Community Charter Public (District),04640000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Marion,01690000,1,1,100.0,       1,       1,100.0,      35,      33,94.3
Marlborough,01700000,1,0,0.0,       5,       4,80.0,     391,     349,89.3
Marshfield,01710000,1,1,100.0,       7,       5,71.4,     337,     304,90.2
Martha's Vineyard,07000000,1,1,100.0,       1,       1,100.0,      77,      69,89.6
Martha's Vineyard Charter (District),04660000,1,0,0.0,       1,       0,0.0,      21,      20,95.2
Martin Luther King Jr. Charter School of Excellence (District),04920000,1,0,0.0,       1,       0,0.0,      37,      28,75.7
Masconomet,07050000,1,1,100.0,       2,       2,100.0,     136,     127,93.4
Mashpee,01720000,1,1,100.0,       3,       3,100.0,     144,     130,90.3
Mattapoisett,01730000,1,1,100.0,       1,       1,100.0,      39,      37,94.9
Maynard,01740000,1,1,100.0,       4,       3,75.0,     107,      95,88.8
Medfield,01750000,1,1,100.0,       5,       4,80.0,     225,     205,91.1
Medford,01760000,1,0,0.0,       8,       6,75.0,     411,     369,89.8
Medway,01770000,1,1,100.0,       4,       1,25.0,     166,     142,85.5
Melrose,01780000,1,1,100.0,       8,       4,50.0,     273,     246,90.1
Mendon-Upton,07100000,1,1,100.0,       4,       4,100.0,     164,     149,90.9
Methuen,01810000,1,0,0.0,       5,       5,100.0,     496,     434,87.5
Middleborough,01820000,1,1,100.0,       5,       3,60.0,     224,     195,87.1
Middleton,01840000,1,1,100.0,       2,       2,100.0,      60,      55,91.7
Milford,01850000,1,1,100.0,       6,       5,83.3,     342,     302,88.3
Millbury,01860000,1,1,100.0,       3,       3,100.0,     128,     113,88.3
Millis,01870000,1,1,100.0,       3,       3,100.0,     101,      95,94.1
Milton,01890000,1,1,100.0,       6,       6,100.0,     318,     280,88.1
Minuteman Regional Vocational Technical,08300000,1,1,100.0,       1,       1,100.0,      75,      69,92.0
Mohawk Trail,07170000,1,1,100.0,       5,       5,100.0,      82,      67,81.7
Monomoy Regional School District,07120000,1,1,100.0,       4,       3,75.0,     183,     168,91.8
Monson,01910000,1,1,100.0,       3,       3,100.0,      84,      77,91.7
Montachusett Regional Vocational Technical,08320000,1,1,100.0,       1,       1,100.0,     114,     110,96.5
Mount Greylock,07150000,1,1,100.0,       1,       1,100.0,      50,      42,84.0
Mystic Valley Regional Charter (District),04700000,1,1,100.0,       1,       0,0.0,     102,      56,54.9
Nahant,01960000,1,1,100.0,       1,       1,100.0,      13,      11,84.6
Nantucket,01970000,1,1,100.0,       4,       4,100.0,     150,     132,88.0
Narragansett,07200000,1,1,100.0,       4,       2,50.0,      98,      92,93.9
Nashoba,07250000,1,1,100.0,       6,       6,100.0,     266,     242,91.0
Nashoba Valley Regional Vocational Technical,08520000,1,1,100.0,       1,       1,100.0,      64,      56,87.5
Natick,01980000,1,0,0.0,       9,       8,88.9,     435,     386,88.7
Nauset,06600000,1,1,100.0,       2,       1,50.0,     154,     145,94.2
Needham,01990000,1,1,100.0,       8,       8,100.0,     444,     404,91.0
Neighborhood House Charter (District),04440000,1,1,100.0,       3,       3,100.0,      59,      36,61.0
New Bedford,02010000,1,0,0.0,      27,      21,77.8,     929,     777,83.6
New Heights Charter School of Brockton (District),35130000,1,1,100.0,       1,       1,100.0,      32,      15,46.9
New Salem-Wendell,07280000,1,1,100.0,       1,       1,100.0,      16,      12,75.0
Newburyport,02040000,1,0,0.0,       5,       4,80.0,     193,     176,91.2
Newton,02070000,1,1,100.0,      24,      21,87.5,"   1,157","   1,030",89.0
Norfolk,02080000,1,1,100.0,       2,       2,100.0,      79,      74,93.7
Norfolk County Agricultural,09150000,1,1,100.0,       1,       1,100.0,      57,      52,91.2
North Adams,02090000,1,1,100.0,       4,       3,75.0,     125,     112,89.6
North Andover,02110000,1,0,0.0,       7,       6,85.7,     314,     280,89.2
North Attleborough,02120000,1,1,100.0,       9,       3,33.3,     291,     257,88.3
North Brookfield,02150000,1,1,100.0,       2,       2,100.0,      46,      41,89.1
North Middlesex,07350000,1,0,0.0,       7,       5,71.4,     255,     230,90.2
North Reading,02170000,1,1,100.0,       5,       5,100.0,     210,     187,89.0
Northampton,02100000,1,1,100.0,       6,       6,100.0,     240,     209,87.1
Northampton-Smith Vocational Agricultural,04060000,1,1,100.0,       1,       1,100.0,      56,      49,87.5
Northboro-Southboro,07300000,1,1,100.0,       1,       1,100.0,     118,     107,90.7
Northborough,02130000,1,1,100.0,       5,       3,60.0,     123,     114,92.7
Northbridge,02140000,1,1,100.0,       4,       3,75.0,     167,     141,84.4
Northeast Metropolitan Regional Vocational Technical,08530000,1,1,100.0,       1,       1,100.0,     120,     107,89.2
Northern Berkshire Regional Vocational Technical,08510000,1,1,100.0,       1,       1,100.0,      47,      40,85.1
Norton,02180000,1,1,100.0,       5,       3,60.0,     201,     179,89.1
Norwell,02190000,1,1,100.0,       4,       3,75.0,     168,     158,94.0
Norwood,02200000,1,1,100.0,       8,       6,75.0,     285,     267,93.7
Oak Bluffs,02210000,1,1,100.0,       1,       1,100.0,      56,      55,98.2
Old Colony Regional Vocational Technical,08550000,1,1,100.0,       1,       0,0.0,      58,      53,91.4
Old Rochester,07400000,1,1,100.0,       2,       2,100.0,      93,      85,91.4
Old Sturbridge Academy Charter Public School (District),35150000,1,1,100.0,       1,       1,100.0,      16,      12,75.0
Orange,02230000,1,1,100.0,       2,       2,100.0,      45,      39,86.7
Orleans,02240000,1,1,100.0,       1,       1,100.0,      26,      25,96.2
Oxford,02260000,1,0,0.0,       5,       4,80.0,     126,     118,93.7
Palmer,02270000,1,1,100.0,       2,       1,50.0,     119,      96,80.7
Pathfinder Regional Vocational Technical,08600000,1,1,100.0,       1,       1,100.0,      75,      60,80.0
Paulo Freire Social Justice Charter School (District),35010000,1,1,100.0,       1,       0,0.0,      38,      18,47.4
Peabody,02290000,1,0,0.0,      11,      10,90.9,     453,     422,93.2
Pelham,02300000,1,1,100.0,       1,       1,100.0,      16,      13,81.3
Pembroke,02310000,1,1,100.0,       5,       5,100.0,     206,     188,91.3
Pentucket,07450000,1,0,0.0,       5,       5,100.0,     206,     185,89.8
Petersham,02340000,1,1,100.0,       1,       1,100.0,      12,      10,83.3
Phoenix Academy Public Charter High School Springfield (District),35080000,1,1,100.0,       1,       0,0.0,      16,       9,56.3
Phoenix Charter Academy (District),04930000,1,1,100.0,       1,       0,0.0,      16,      11,68.8
Pioneer Charter School of Science (District),04940000,1,1,100.0,       1,       1,100.0,      72,      47,65.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,1,1,100.0,       1,       1,100.0,      35,      24,68.6
Pioneer Valley,07500000,1,0,0.0,       4,       4,100.0,      79,      59,74.7
Pioneer Valley Chinese Immersion Charter (District),04970000,1,1,100.0,       1,       1,100.0,      68,      49,72.1
Pioneer Valley Performing Arts Charter Public (District),04790000,1,0,0.0,       1,       0,0.0,      47,      35,74.5
Pittsfield,02360000,1,1,100.0,      12,       9,75.0,     470,     407,86.6
Plainville,02380000,1,1,100.0,       2,       2,100.0,      51,      47,92.2
Plymouth,02390000,1,1,100.0,      14,      10,71.4,     665,     597,89.8
Plympton,02400000,1,1,100.0,       1,       1,100.0,      21,      20,95.2
Prospect Hill Academy Charter (District),04870000,1,1,100.0,       4,       3,75.0,     118,      80,67.8
Provincetown,02420000,1,1,100.0,       1,       0,0.0,      20,      18,90.0
Quabbin,07530000,1,0,0.0,       6,       6,100.0,     148,     125,84.5
Quaboag Regional,07780000,1,1,100.0,       3,       1,33.3,     106,      90,84.9
Quincy,02430000,1,1,100.0,      20,      18,90.0,     727,     674,92.7
Ralph C Mahar,07550000,1,1,100.0,       2,       2,100.0,      64,      54,84.4
Randolph,02440000,1,0,0.0,       6,       4,66.7,     240,     212,88.3
Reading,02460000,1,1,100.0,       9,       7,77.8,     327,     303,92.7
Revere,02480000,1,1,100.0,      13,       8,61.5,     544,     487,89.5
Richmond,02490000,1,1,100.0,       1,       1,100.0,      23,      19,82.6
Rising Tide Charter Public (District),04830000,1,0,0.0,       2,       2,100.0,      62,      48,77.4
River Valley Charter (District),04820000,1,1,100.0,       1,       1,100.0,      22,      21,95.5
Rochester,02500000,1,1,100.0,       1,       1,100.0,      39,      37,94.9
Rockland,02510000,1,1,100.0,       5,       5,100.0,     187,     163,87.2
Rockport,02520000,1,1,100.0,       3,       3,100.0,      92,      75,81.5
Rowe,02530000,1,0,0.0,       1,       1,100.0,      10,       9,90.0
Roxbury Preparatory Charter (District),04840000,1,1,100.0,       4,       2,50.0,     123,      69,56.1
Sabis International Charter (District),04410000,1,1,100.0,       4,       3,75.0,      94,      73,77.7
Salem,02580000,1,1,100.0,      11,       7,63.6,     374,     293,78.3
Salem Academy Charter (District),04850000,1,1,100.0,       2,       2,100.0,      50,      39,78.0
Sandwich,02610000,1,1,100.0,       3,       2,66.7,     207,     189,91.3
Saugus,02620000,1,1,100.0,       6,       5,83.3,     203,     187,92.1
Savoy,02630000,1,0,0.0,       1,       0,0.0,       7,       5,71.4
Scituate,02640000,1,1,100.0,       6,       4,66.7,     258,     233,90.3
Seekonk,02650000,1,0,0.0,       4,       2,50.0,     164,     154,93.9
Seven Hills Charter Public (District),04860000,1,1,100.0,       3,       2,66.7,      38,      25,65.8
Sharon,02660000,1,1,100.0,       6,       5,83.3,     255,     230,90.2
Shawsheen Valley Regional Vocational Technical,08710000,1,1,100.0,       1,       0,0.0,     128,     121,94.5
Sherborn,02690000,1,1,100.0,       1,       1,100.0,      35,      34,97.1
Shrewsbury,02710000,1,1,100.0,       9,       9,100.0,     418,     382,91.4
Shutesbury,02720000,1,1,100.0,       1,       1,100.0,      17,      14,82.4
Silver Lake,07600000,1,1,100.0,       2,       2,100.0,     142,     132,93.0
Sizer School: A North Central Charter Essential (District),04740000,1,1,100.0,       1,       0,0.0,      42,      26,61.9
Somerset,02730000,1,1,100.0,       4,       4,100.0,     134,     119,88.8
Somerset Berkley Regional School District,07630000,1,1,100.0,       1,       1,100.0,      83,      75,90.4
Somerville,02740000,1,1,100.0,      10,       8,80.0,     433,     377,87.1
South Hadley,02780000,1,1,100.0,       4,       3,75.0,     146,     134,91.8
South Middlesex Regional Vocational Technical,08290000,1,1,100.0,       1,       0,0.0,      81,      73,90.1
South Shore Charter Public (District),04880000,1,1,100.0,       2,       1,50.0,      84,      76,90.5
