2019 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     111,      94,84.7
Abington,00010000,1,1,100.0,       5,       5,100.0,     126,     119,94.4
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       1,50.0,      53,      33,62.3
Acton-Boxborough,06000000,1,0,0.0,       9,       8,88.9,     386,     344,89.1
Acushnet,00030000,1,0,0.0,       2,       2,100.0,      71,      63,88.7
Adams-Cheshire,06030000,1,0,0.0,       3,       2,66.7,      87,      74,85.1
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      87,      76,87.4
Agawam,00050000,1,1,100.0,       8,       8,100.0,     332,     314,94.6
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       0,0.0,      35,      22,62.9
Amesbury,00070000,1,0,0.0,       5,       4,80.0,     172,     158,91.9
Amherst,00080000,1,1,100.0,       3,       3,100.0,     123,     107,87.0
Amherst-Pelham,06050000,1,1,100.0,       2,       1,50.0,     128,     112,87.5
Andover,00090000,1,1,100.0,      10,      10,100.0,     491,     444,90.4
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       2,       2,100.0,      38,      22,57.9
Arlington,00100000,1,1,100.0,      10,       9,90.0,     422,     372,88.2
Ashburnham-Westminster,06100000,1,1,100.0,       4,       2,50.0,     166,     156,94.0
Ashland,00140000,1,1,100.0,       5,       4,80.0,     203,     187,92.1
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     112,     105,93.8
Athol-Royalston,06150000,1,1,100.0,       4,       1,25.0,     110,      85,77.3
Atlantis Charter (District),04910000,1,1,100.0,       4,       3,75.0,      90,      61,67.8
Attleboro,00160000,1,1,100.0,      10,      10,100.0,     386,     362,93.8
Auburn,00170000,1,1,100.0,       5,       4,80.0,     187,     179,95.7
Avon,00180000,1,0,0.0,       2,       1,50.0,      68,      64,94.1
Ayer Shirley School District,06160000,1,1,100.0,       4,       3,75.0,     140,     123,87.9
Barnstable,00200000,1,1,100.0,       8,       6,75.0,     388,     328,84.5
Barnstable Community Horace Mann Charter Public (District),04270000,1,1,100.0,       1,       1,100.0,      26,      24,92.3
