2011-12 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
ABINGTON,00010000,"      $8,554,968","  $69,159",    123.7
ACTON,00020000,"     $10,938,505","  $78,694",    139.0
ACTON BOXBOROUGH,06000000,"     $13,950,668","  $76,779",    181.7
ACUSHNET,00030000,"      $4,392,412","  $60,585",     72.5
ADAMS CHESHIRE,06030000,"      $7,100,027","  $69,813",    101.7
AGAWAM,00050000,"     $18,912,887","  $61,706",    306.5
AMESBURY,00070000,"     $10,624,387","  $69,668",    152.5
AMHERST,00080000,"      $8,556,305","  $75,452",    113.4
AMHERST PELHAM,06050000,"      $9,619,330","  $76,405",    125.9
ANDOVER,00090000,"     $34,234,541","  $77,947",    439.2
ARLINGTON,00100000,"     $19,024,374","  $57,825",    329.0
ASHBURNHAM WESTMINSTER,06100000,"      $9,787,916","  $69,124",    141.6
ASHLAND,00140000,"      $9,100,565","  $53,722",    169.4
ASSABET VALLEY,08010000,"      $7,171,587","  $72,808",     98.5
ATHOL ROYALSTON,06150000,"      $7,620,968","  $64,258",    118.6
ATTLEBORO,00160000,"     $27,469,280","  $74,001",    371.2
AUBURN,00170000,"     $10,579,358","  $63,846",    165.7
AVON,00180000,"      $3,811,140","  $61,970",     61.5
AYER SHIRLEY,06160000,"      $7,982,378","  $58,436",    136.6
BARNSTABLE,00200000,"     $23,608,442","  $75,306",    313.5
BEDFORD,00230000,"     $15,851,744","  $79,219",    200.1
BELCHERTOWN,00240000,"     $10,467,397","  $59,138",    177.0
BELLINGHAM,00250000,"     $11,308,279","  $67,072",    168.6
BELMONT,00260000,"     $18,361,202","  $79,143",    232.0
BERKLEY,00270000,"      $4,151,543","  $65,689",     63.2
BERKSHIRE HILLS,06180000,"      $7,749,827","  $66,982",    115.7
BERLIN,00280000,"      $1,602,654","  $78,178",     20.5
BERLIN BOYLSTON,06200000,"      $2,023,876","  $57,825",     35.0
BEVERLY,00300000,"     $19,288,952","  $68,742",    280.6
BILLERICA,00310000,"     $25,314,211","  $66,687",    379.6
BLACKSTONE MILLVILLE,06220000,"      $8,542,461","  $62,674",    136.3
BLACKSTONE VALLEY,08050000,"      $6,501,608","  $72,563",     89.6
BLUE HILLS,08060000,"      $6,388,471","  $75,693",     84.4
BOSTON,00350000,"    $349,277,260","  $81,963","  4,261.4"
BOURNE,00360000,"     $11,074,826","  $73,392",    150.9
BOXBOROUGH,00370000,"      $3,037,726","  $84,381",     36.0
BOXFORD,00380000,"      $4,578,564","  $72,217",     63.4
BOYLSTON,00390000,"      $1,970,107","  $72,165",     27.3
BRAINTREE,00400000,"     $25,657,995","  $67,203",    381.8
BREWSTER,00410000,"      $3,069,559","  $76,548",     40.1
BRIDGEWATER RAYNHAM,06250000,"     $23,390,200","  $75,161",    311.2
BRIMFIELD,00430000,"      $1,889,960","  $58,694",     32.2
BRISTOL COUNTY,09100000,"      $2,077,343","  $61,098",     34.0
BRISTOL PLYMOUTH,08100000,"      $7,323,308","  $77,908",     94.0
BROCKTON,00440000,"     $84,689,433","  $77,804","  1,088.5"
BROOKFIELD,00450000,"      $1,503,854","  $60,154",     25.0
