2012-13 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Grafton,01100000,"     $13,968,110","  $67,938",    205.6
Granby,01110000,"      $4,935,707","  $61,010",     80.9
Greater Fall River           ,08210000,"     $10,022,277","  $73,639",    136.1
Greater Lawrence             ,08230000,"      $9,840,869","  $75,007",    131.2
Greater Lowell               ,08280000,"     $14,095,019","  $77,445",    182.0
Greater New Bedford          ,08250000,"     $15,017,084","  $76,074",    197.4
Greenfield,01140000,"      $8,988,998","  $61,233",    146.8
Groton-Dunstable,06730000,"     $12,675,499","  $70,773",    179.1
Hadley,01170000,"      $3,098,718","  $61,727",     50.2
Halifax,01180000,"      $2,760,276","  $70,236",     39.3
Hamilton-Wenham,06750000,"     $11,608,428","  $77,909",    149.0
Hampden-Wilbraham,06800000,"     $16,468,524","  $69,723",    236.2
Hampshire,06830000,"      $4,271,042","  $68,777",     62.1
Hancock,01210000,"        $353,017","  $51,162",      6.9
Hanover,01220000,"     $14,080,771","  $76,236",    184.7
Harvard,01250000,"      $6,854,891","  $89,489",     76.6
Hatfield,01270000,"      $2,116,631","  $53,182",     39.8
Haverhill,01280000,"     $33,126,845","  $64,638",    512.5
Hawlemont,06850000,"        $433,500","  $61,929",      7.0
Hingham,01310000,"     $20,476,217","  $76,776",    266.7
Holbrook,01330000,"      $4,984,754","  $57,099",     87.3
Holland,01350000,"      $1,014,613","  $58,311",     17.4
Holliston,01360000,"     $16,377,233","  $76,780",    213.3
Holyoke,01370000,"     $32,650,503","  $64,834",    503.6
Hopedale,01380000,"      $5,348,460","  $65,225",     82.0
Hopkinton,01390000,"     $18,959,925","  $77,864",    243.5
Hudson,01410000,"     $16,821,190","  $71,306",    235.9
Hull,01420000,"      $6,740,696","  $75,994",     88.7
Ipswich,01440000,"     $10,096,108","  $66,553",    151.7
King Philip,06900000,"      $8,134,611","  $68,129",    119.4
Kingston,01450000,"      $3,980,614","  $66,677",     59.7
Lanesborough,01480000,"      $1,219,691","  $62,229",     19.6
Lawrence,01490000,"     $68,859,145","  $66,627","  1,033.5"
Lee,01500000,"      $4,418,028","  $61,532",     71.8
Leicester,01510000,"      $7,949,933","  $72,602",    109.5
Lenox,01520000,"      $5,222,886","  $67,742",     77.1
Leominster,01530000,"     $29,280,757","  $65,344",    448.1
Leverett,01540000,"        $928,040","  $63,564",     14.6
Lexington,01550000,"     $41,493,681","  $77,442",    535.8
Lincoln,01570000,"      $9,627,747","  $79,176",    121.6
Lincoln-Sudbury,06950000,"     $11,205,782","  $94,087",    119.1
Littleton,01580000,"      $7,156,267","  $64,821",    110.4
Longmeadow,01590000,"     $15,479,871","  $66,666",    232.2
Lowell,01600000,"     $77,061,338","  $78,298",    984.2
Ludlow,01610000,"     $12,561,228","  $58,235",    215.7
Lunenburg,01620000,"      $7,492,920","  $72,747",    103.0
Lynn,01630000,"     $68,192,252","  $69,379",    982.9
Lynnfield,01640000,"     $12,282,750","  $75,493",    162.7
Malden,01650000,"     $34,236,629","  $78,868",    434.1
Manchester Essex,06980000,"      $8,709,649","  $72,100",    120.8
Mansfield,01670000,"     $22,784,230","  $74,313",    306.6
Marblehead,01680000,"     $15,756,243","  $68,298",    230.7
Marion,01690000,"      $2,592,233","  $74,064",     35.0
Marlborough,01700000,"     $25,238,393","  $73,517",    343.3
Marshfield,01710000,"     $22,368,834","  $68,658",    325.8
Marthas Vineyard,07000000,"      $6,553,085","  $87,725",     74.7
Masconomet,07050000,"     $10,741,640","  $83,593",    128.5
Mashpee,01720000,"      $9,784,013","  $74,916",    130.6
Mattapoisett,01730000,"      $2,821,734","  $71,800",     39.3
Maynard,01740000,"      $6,969,586","  $66,188",    105.3
Medfield,01750000,"     $14,944,567","  $77,473",    192.9
Medford,01760000,"     $25,841,371","  $67,365",    383.6
Medway,01770000,"     $12,422,043","  $82,758",    150.1
Melrose,01780000,"     $14,179,771","  $53,569",    264.7
Mendon-Upton,07100000,"     $11,307,235","  $72,112",    156.8
Methuen,01810000,"     $34,682,915","  $74,732",    464.1
Middleborough,01820000,"     $14,917,505","  $66,985",    222.7
Middleton,01840000,"      $4,272,495","  $66,446",     64.3
Milford,01850000,"     $21,332,910","  $68,113",    313.2
Millbury,01860000,"      $9,474,316","  $74,076",    127.9
Millis,01870000,"      $6,319,444","  $70,451",     89.7
Milton,01890000,"     $21,717,970","  $79,176",    274.3
Minuteman                    ,08300000,"      $6,179,089","  $88,021",     70.2
Mohawk Trail,07170000,"      $5,372,550","  $65,122",     82.5
Monomoy Regional School District,07120000,"     $12,464,663","  $67,743",    184.0
Monson,01910000,"      $5,420,573","  $58,601",     92.5
Montachusett                 ,08320000,"      $7,761,494","  $73,222",    106.0
Mount Greylock,07150000,"      $3,685,322","  $73,267",     50.3
Nahant,01960000,"        $856,526","  $66,397",     12.9
Nantucket,01970000,"     $10,194,847","  $87,210",    116.9
Narragansett,07200000,"      $6,503,630","  $65,826",     98.8
Nashoba,07250000,"     $17,742,389","  $81,052",    218.9
Nashoba Valley               ,08520000,"      $3,749,563","  $72,525",     51.7
Natick,01980000,"     $23,842,234","  $69,673",    342.2
Nauset,06600000,"     $10,251,047","  $78,733",    130.2
Needham,01990000,"     $29,271,451","  $81,062",    361.1
New Bedford,02010000,"     $61,550,809","  $70,207",    876.7
New Salem-Wendell,07280000,"        $620,972","  $50,899",     12.2
Newburyport,02040000,"     $13,164,272","  $77,391",    170.1
Newton,02070000,"     $73,189,633","  $76,904",    951.7
Norfolk,02080000,"      $4,881,163","  $74,636",     65.4
Norfolk County Agricultural,09150000,"      $2,833,125","  $65,582",     43.2
North Adams,02090000,"      $8,248,777","  $57,045",    144.6
North Andover,02110000,"     $21,081,152","  $72,619",    290.3
North Attleborough,02120000,"     $19,989,274","  $71,698",    278.8
North Brookfield,02150000,"      $2,854,507","  $62,736",     45.5
North Middlesex,07350000,"     $16,264,219","  $65,083",    249.9
North Reading,02170000,"     $13,784,792","  $70,009",    196.9
North Shore                  ,08530000,"      $3,821,683","  $72,933",     52.4
Northampton,02100000,"     $11,947,720","  $57,552",    207.6
Northampton Smith            ,04060000,"      $2,735,205","  $56,983",     48.0
Northboro-Southboro,07300000,"      $8,414,740","  $83,314",    101.0
Northborough,02130000,"     $10,876,346","  $77,688",    140.0
Northbridge,02140000,"     $11,398,364","  $65,171",    174.9
Northeast Metropolitan       ,08530000,"      $9,399,605","  $84,150",    111.7
Northern Berkshire           ,08510000,"      $3,727,236","  $69,023",     54.0
Norton,02180000,"     $12,298,416","  $66,694",    184.4
Norwell,02190000,"     $11,433,489","  $74,243",    154.0
Norwood,02200000,"     $18,582,734","  $67,845",    273.9
Oak Bluffs,02210000,"      $3,445,432","  $76,565",     45.0
Old Colony                   ,08550000,"      $3,751,326","  $72,419",     51.8
Old Rochester,07400000,"      $6,235,179","  $75,213",     82.9
Orange,02230000,"      $2,885,727","  $77,158",     37.4
Orleans,02240000,"      $1,646,638","  $63,577",     25.9
Oxford,02260000,"      $8,866,192","  $65,920",    134.5
Palmer,02270000,"      $7,648,378","  $63,053",    121.3
Pathfinder                   ,08600000,"      $5,142,845","  $64,609",     79.6
Peabody,02290000,"     $31,707,344","  $71,125",    445.8
Pelham,02300000,"        $665,614","  $64,001",     10.4
Pembroke,02310000,"     $14,671,412","  $71,568",    205.0
Pentucket,07450000,"     $14,674,716","  $70,858",    207.1
Petersham,02340000,"        $494,531","  $50,462",      9.8
Pioneer Valley,07500000,"      $6,063,775","  $68,056",     89.1
