2013-14 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"      $9,175,999","  $71,464",    128.4
Acton-Boxborough,06000000,"     $14,566,560","  $78,012",    186.7
Acushnet,00030000,"      $4,370,797","  $64,276",     68.0
Adams-Cheshire,06030000,"      $6,832,826","  $71,398",     95.7
Agawam,00050000,"     $20,346,413","  $63,384",    321.0
Amesbury,00070000,"     $11,850,114","  $75,143",    157.7
Amherst,00080000,"      $8,025,622","  $70,462",    113.9
Amherst-Pelham,06050000,"     $10,045,048","  $79,282",    126.7
Andover,00090000,"     $36,734,325","  $79,015",    464.9
Arlington,00100000,"     $22,162,867","  $69,547",    318.7
Ashburnham-Westminster,06100000,"     $10,263,114","  $68,013",    150.9
Ashland,00140000,"     $13,257,016","  $75,153",    176.4
Assabet Valley Regional Vocational Technical,08010000,"      $7,856,697","  $76,778",    102.3
Athol-Royalston,06150000,"      $6,788,008","  $61,878",    109.7
Attleboro,00160000,"     $30,262,085","  $76,054",    397.9
Auburn,00170000,"     $11,764,886","  $68,440",    171.9
Avon,00180000,"      $3,994,802","  $62,811",     63.6
Ayer Shirley School District,06160000,"      $8,096,836","  $62,476",    129.6
Barnstable,00200000,"     $29,628,831","  $79,370",    373.3
Bedford,00230000,"     $16,444,115","  $78,305",    210.0
Belchertown,00240000,"     $10,572,625","  $62,155",    170.1
Bellingham,00250000,"     $11,884,010","  $69,701",    170.5
Belmont,00260000,"     $20,486,853","  $82,943",    247.0
Berkley,00270000,"      $4,169,916","  $69,615",     59.9
Berkshire Hills,06180000,"      $8,197,380","  $70,789",    115.8
Berlin,00280000,"      $1,378,415","  $77,006",     17.9
Berlin-Boylston,06200000,"      $2,748,743","  $64,373",     42.7
Beverly,00300000,"     $20,843,714","  $69,317",    300.7
Billerica,00310000,"     $27,450,277","  $72,620",    378.0
Blackstone Valley Regional Vocational Technical,08050000,"      $6,806,688","  $75,798",     89.8
Blackstone-Millville,06220000,"      $8,490,033","  $61,300",    138.5
Blue Hills Regional Vocational Technical,08060000,"      $6,494,561","  $83,157",     78.1
Boston,00350000,"    $367,109,839","  $91,661","  4,005.1"
Bourne,00360000,"     $11,118,328","  $70,817",    157.0
Boxford,00380000,"      $4,652,256","  $80,489",     57.8
Boylston,00390000,"      $1,555,879","  $75,897",     20.5
Braintree,00400000,"     $28,844,997","  $69,673",    414.0
Brewster,00410000,"      $3,376,291","  $77,616",     43.5
Bridgewater-Raynham,06250000,"     $25,170,352","  $78,904",    319.0
Brimfield,00430000,"      $1,811,560","  $58,817",     30.8
Bristol County Agricultural,09100000,"      $2,184,698","  $63,509",     34.4
Bristol-Plymouth Regional Vocational Technical,08100000,"      $7,844,069","  $78,206",    100.3
Brockton,00440000,"     $95,302,792","  $83,847","  1,136.6"
Brookfield,00450000,"      $1,567,204","  $65,849",     23.8
Brookline,00460000,"     $50,600,892","  $93,213",    542.9
Burlington,00480000,"     $26,519,317","  $87,264",    303.9
Cambridge,00490000,"     $48,949,667","  $80,024",    611.7
Canton,00500000,"     $18,009,107","  $74,729",    241.0
Cape Cod Regional Vocational Technical,08150000,"      $4,987,268","  $71,044",     70.2
Carlisle,00510000,"      $5,220,488","  $91,588",     57.0
Carver,00520000,"      $8,757,229","  $65,110",    134.5
Central Berkshire,06350000,"      $9,673,141","  $66,942",    144.5
Chelmsford,00560000,"     $25,399,363","  $70,730",    359.1
Chelsea,00570000,"     $27,031,542","  $65,436",    413.1
Chesterfield-Goshen,06320000,"        $893,353","  $62,912",     14.2
Chicopee,00610000,"     $38,822,323","  $62,596",    620.2
Clarksburg,00630000,"        $883,416","  $62,654",     14.1
Clinton,00640000,"      $8,847,829","  $68,165",    129.8
Cohasset,00650000,"      $8,999,956","  $80,935",    111.2
Concord,00670000,"     $14,600,943","  $91,142",    160.2
Concord-Carlisle,06400000,"      $9,070,690"," $100,008",     90.7
Conway,00680000,"        $806,598","  $68,940",     11.7
Danvers,00710000,"     $20,020,598","  $75,124",    266.5
Dartmouth,00720000,"     $19,368,483","  $69,098",    280.3
Dedham,00730000,"     $17,138,076","  $74,937",    228.7
Deerfield,00740000,"      $2,205,794","  $51,179",     43.1
Dennis-Yarmouth,06450000,"     $20,418,140","  $67,298",    303.4
Dighton-Rehoboth,06500000,"     $14,810,375","  $68,950",    214.8
Douglas,00770000,"      $6,680,406","  $66,340",    100.7
Dover,00780000,"      $3,932,570","  $93,410",     42.1
Dover-Sherborn,06550000,"      $9,364,218","  $90,476",    103.5
Dracut,00790000,"     $14,485,851","  $68,201",    212.4
Dudley-Charlton Reg,06580000,"     $18,123,040","  $66,263",    273.5
Duxbury,00820000,"     $17,201,323","  $73,510",    234.0
East Bridgewater,00830000,"      $9,018,277","  $69,478",    129.8
East Longmeadow,00870000,"     $14,308,524","  $71,650",    199.7
Eastham,00850000,"      $1,856,403","  $81,066",     22.9
Easthampton,00860000,"      $7,212,306","  $61,591",    117.1
Easton,00880000,"     $18,778,902","  $70,386",    266.8
Edgartown,00890000,"      $3,198,623","  $83,081",     38.5
Erving,00910000,"      $1,033,364","  $62,251",     16.6
Essex North Shore Agricultural and Technical School District,08170000,              $0,       $0,       .0
Everett,00930000,"     $35,078,635","  $72,342",    484.9
Fairhaven,00940000,"      $9,251,236","  $64,875",    142.6
Fall River,00950000,"     $45,674,072","  $63,693",    717.1
Falmouth,00960000,"     $21,386,081","  $75,757",    282.3
Farmington River Reg,06620000,"        $732,270","  $49,478",     14.8
Fitchburg,00970000,"     $26,231,101","  $73,415",    357.3
Florida,00980000,"        $477,141","  $39,762",     12.0
Foxborough,00990000,"     $16,375,355","  $78,314",    209.1
Framingham,01000000,"     $51,092,076","  $77,100",    662.7
Franklin,01010000,"     $28,927,711","  $71,215",    406.2
Franklin County Regional Vocational Technical,08180000,"      $3,656,545","  $67,216",     54.4
Freetown-Lakeville,06650000,"     $13,737,413","  $73,423",    187.1
Frontier,06700000,"      $3,509,832","  $61,576",     57.0
Gardner,01030000,"     $10,871,401","  $60,973",    178.3
Gateway,06720000,"      $4,764,527","  $56,586",     84.2
Georgetown,01050000,"      $7,262,804","  $66,266",    109.6
Gill-Montague,06740000,"      $5,196,856","  $56,672",     91.7
Gloucester,01070000,"     $18,417,303","  $72,911",    252.6
Gosnold,01090000,"         $47,465","  $47,465",      1.0
Grafton,01100000,"     $14,854,175","  $70,633",    210.3
Granby,01110000,"      $4,497,527","  $64,713",     69.5
Greater Fall River Regional Vocational Technical,08210000,"     $10,586,403","  $76,547",    138.3
Greater Lawrence Regional Vocational Technical,08230000,"     $10,120,798","  $75,697",    133.7
Greater Lowell Regional Vocational Technical,08280000,"     $13,994,594","  $75,645",    185.0
Greater New Bedford Regional Vocational Technical,08250000,"     $15,268,534","  $77,584",    196.8
Greenfield,01140000,"      $9,081,655","  $66,728",    136.1
Groton-Dunstable,06730000,"     $13,110,612","  $74,918",    175.0
Hadley,01170000,"      $3,005,593","  $62,099",     48.4
Halifax,01180000,"      $2,872,554","  $80,464",     35.7
Hamilton-Wenham,06750000,"     $11,114,155","  $72,594",    153.1
