2014-15 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"      $9,489,496","  $74,662",    127.1
Acton-Boxborough,06000000,"     $29,231,455","  $80,750",    362.0
Acushnet,00030000,"      $4,543,438","  $64,906",     70.0
Adams-Cheshire,06030000,"      $6,778,249","  $67,378",    100.6
Agawam,00050000,"     $20,849,537","  $64,769",    321.9
Amesbury,00070000,"     $12,158,388","  $77,147",    157.6
Amherst,00080000,"      $8,191,622","  $71,730",    114.2
Amherst-Pelham,06050000,"      $9,816,394","  $80,003",    122.7
Andover,00090000,"     $37,560,123","  $81,211",    462.5
Arlington,00100000,"     $23,917,577","  $66,493",    359.7
Ashburnham-Westminster,06100000,"     $10,725,833","  $68,799",    155.9
Ashland,00140000,"     $14,049,291","  $76,355",    184.0
Assabet Valley Regional Vocational Technical,08010000,"      $8,298,232","  $77,409",    107.2
Athol-Royalston,06150000,"      $6,505,576","  $63,407",    102.6
Attleboro,00160000,"     $30,332,791","  $76,386",    397.1
Auburn,00170000,"     $12,040,430","  $69,481",    173.3
Avon,00180000,"      $4,367,245","  $67,547",     64.7
Ayer Shirley School District,06160000,"      $8,313,948","  $60,863",    136.6
Barnstable,00200000,"     $29,148,135","  $78,757",    370.1
Bedford,00230000,"     $17,509,953","  $79,410",    220.5
Belchertown,00240000,"     $10,785,380","  $63,183",    170.7
Bellingham,00250000,"     $11,671,237","  $71,691",    162.8
Belmont,00260000,"     $21,190,927","  $85,241",    248.6
Berkley,00270000,"      $4,423,115","  $72,749",     60.8
Berkshire Hills,06180000,"      $8,100,013","  $71,618",    113.1
Berlin,00280000,"      $1,370,545","  $78,541",     17.5
Berlin-Boylston,06200000,"      $2,852,696","  $62,286",     45.8
Beverly,00300000,"     $21,856,518","  $71,078",    307.5
Billerica,00310000,"     $28,755,591","  $74,345",    386.8
Blackstone Valley Regional Vocational Technical,08050000,"      $7,160,903","  $75,378",     95.0
Blackstone-Millville,06220000,"      $8,408,176","  $61,779",    136.1
Blue Hills Regional Vocational Technical,08060000,"      $6,363,564","  $80,551",     79.0
Boston,00350000,"    $381,003,184","  $88,128","  4,323.3"
Bourne,00360000,"     $11,200,019","  $74,419",    150.5
Boxford,00380000,"      $4,747,304","  $75,957",     62.5
Boylston,00390000,"      $1,574,935","  $74,289",     21.2
Braintree,00400000,"     $30,370,434","  $73,535",    413.0
Brewster,00410000,"      $3,426,525","  $82,766",     41.4
Bridgewater-Raynham,06250000,"     $26,985,881","  $82,349",    327.7
Brimfield,00430000,"      $1,766,854","  $63,328",     27.9
Bristol County Agricultural,09100000,"      $2,198,543","  $66,221",     33.2
Bristol-Plymouth Regional Vocational Technical,08100000,"      $8,434,845","  $80,716",    104.5
Brockton,00440000,"     $91,426,338","  $79,723","  1,146.8"
Brookfield,00450000,"      $1,572,046","  $62,631",     25.1
Brookline,00460000,"     $53,174,888","  $91,507",    581.1
Burlington,00480000,"     $27,776,064","  $90,475",    307.0
Cambridge,00490000,"     $50,658,612","  $78,456",    645.7
Canton,00500000,"     $18,615,345","  $77,664",    239.7
Cape Cod Regional Vocational Technical,08150000,"      $4,980,425","  $68,981",     72.2
Carlisle,00510000,"      $5,297,703","  $91,182",     58.1
Carver,00520000,"      $8,237,964","  $66,921",    123.1
Central Berkshire,06350000,"      $9,712,824","  $69,081",    140.6
Chelmsford,00560000,"     $26,559,688","  $73,471",    361.5
Chelsea,00570000,"     $27,035,942","  $64,772",    417.4
Chesterfield-Goshen,06320000,"        $953,818","  $61,142",     15.6
Chicopee,00610000,"     $40,973,099","  $65,358",    626.9
Clarksburg,00630000,"        $930,689","  $61,635",     15.1
Clinton,00640000,"      $9,314,342","  $66,247",    140.6
Cohasset,00650000,"      $9,615,360","  $82,963",    115.9
Concord,00670000,"     $15,226,596","  $94,282",    161.5
Concord-Carlisle,06400000,"      $9,468,759"," $100,731",     94.0
Conway,00680000,"        $836,903","  $57,322",     14.6
Danvers,00710000,"     $21,023,540","  $78,183",    268.9
Dartmouth,00720000,"     $20,097,135","  $73,412",    273.8
Dedham,00730000,"     $17,787,199","  $76,417",    232.8
Deerfield,00740000,"      $2,295,663","  $66,349",     34.6
Dennis-Yarmouth,06450000,"     $20,080,993","  $67,658",    296.8
Dighton-Rehoboth,06500000,"     $14,914,223","  $67,485",    221.0
Douglas,00770000,"      $6,718,753","  $66,853",    100.5
Dover,00780000,"      $3,686,786","  $95,020",     38.8
Dover-Sherborn,06550000,"      $9,763,574","  $94,698",    103.1
Dracut,00790000,"     $15,116,179","  $70,080",    215.7
Dudley-Charlton Reg,06580000,"     $18,285,518","  $66,931",    273.2
Duxbury,00820000,"     $17,404,817","  $74,411",    233.9
East Bridgewater,00830000,"      $9,839,185","  $72,188",    136.3
East Longmeadow,00870000,"     $14,616,105","  $73,819",    198.0
Eastham,00850000,"      $1,931,963","  $84,365",     22.9
Easthampton,00860000,"      $7,782,569","  $70,494",    110.4
Easton,00880000,"     $19,580,625","  $73,226",    267.4
Edgartown,00890000,"      $3,417,687","  $87,633",     39.0
Erving,00910000,"      $1,185,748","  $69,342",     17.1
Essex North Shore Agricultural and Technical School District,08170000,"      $7,422,232","  $68,534",    108.3
Everett,00930000,"     $39,051,390","  $76,272",    512.0
Fairhaven,00940000,"      $9,473,021","  $65,648",    144.3
Fall River,00950000,"     $48,085,708","  $66,693",    721.0
Falmouth,00960000,"     $21,626,176","  $74,830",    289.0
Farmington River Reg,06620000,"        $760,164","  $51,018",     14.9
Fitchburg,00970000,"     $24,850,071","  $70,158",    354.2
