2014-15 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Florida,00980000,"        $511,283","  $40,903",     12.5
Foxborough,00990000,"     $16,945,176","  $80,964",    209.3
Framingham,01000000,"     $53,707,778","  $76,040",    706.3
Franklin,01010000,"     $30,206,614","  $73,230",    412.5
Franklin County Regional Vocational Technical,08180000,"      $3,882,310","  $67,754",     57.3
Freetown-Lakeville,06650000,"     $14,126,911","  $74,984",    188.4
Frontier,06700000,"      $3,451,949","  $65,008",     53.1
Gardner,01030000,"     $10,876,580","  $61,036",    178.2
Gateway,06720000,"      $4,975,095","  $57,985",     85.8
Georgetown,01050000,"      $7,349,590","  $66,512",    110.5
Gill-Montague,06740000,"      $5,375,637","  $58,115",     92.5
Gloucester,01070000,"     $19,120,842","  $72,400",    264.1
Gosnold,01090000,"         $55,340","  $34,588",      1.6
Grafton,01100000,"     $15,335,841","  $67,559",    227.0
Granby,01110000,"      $3,874,390","  $57,229",     67.7
Greater Fall River Regional Vocational Technical,08210000,"     $10,734,806","  $80,411",    133.5
Greater Lawrence Regional Vocational Technical,08230000,"     $10,624,141","  $77,944",    136.3
Greater Lowell Regional Vocational Technical,08280000,"     $14,722,047","  $79,965",    184.1
Greater New Bedford Regional Vocational Technical,08250000,"     $15,614,978","  $79,750",    195.8
Greenfield,01140000,"      $9,084,246","  $60,968",    149.0
Groton-Dunstable,06730000,"     $12,847,541","  $78,291",    164.1
Hadley,01170000,"      $3,017,996","  $60,970",     49.5
Halifax,01180000,"      $3,048,589","  $78,775",     38.7
Hamilton-Wenham,06750000,"     $10,773,032","  $73,336",    146.9
Hampden-Wilbraham,06800000,"     $16,001,008","  $71,211",    224.7
Hampshire,06830000,"      $4,674,166","  $71,361",     65.5
Hancock,01210000,"        $328,027","  $48,959",      6.7
Hanover,01220000,"     $15,521,473","  $76,609",    202.6
Harvard,01250000,"      $7,465,241","  $83,504",     89.4
Hatfield,01270000,"      $2,414,035","  $58,030",     41.6
Haverhill,01280000,"     $33,189,622","  $67,376",    492.6
Hawlemont,06850000,"        $575,405","  $55,327",     10.4
Hingham,01310000,"     $22,053,268","  $77,082",    286.1
Holbrook,01330000,"      $5,279,680","  $62,041",     85.1
Holland,01350000,"      $1,179,198","  $61,098",     19.3
Holliston,01360000,"     $16,285,433","  $78,598",    207.2
Holyoke,01370000,"     $29,775,072","  $67,517",    441.0
Hopedale,01380000,"      $5,635,272","  $65,526",     86.0
Hopkinton,01390000,"     $20,872,912","  $82,436",    253.2
Hudson,01410000,"     $17,895,923","  $73,889",    242.2
Hull,01420000,"      $6,961,852","  $80,206",     86.8
Ipswich,01440000,"      $9,882,874","  $68,727",    143.8
King Philip,06900000,"      $8,781,464","  $69,091",    127.1
Kingston,01450000,"      $4,479,519","  $66,560",     67.3
Lanesborough,01480000,"      $1,264,229","  $58,259",     21.7
Lawrence,01490000,"     $72,916,951","  $70,872","  1,028.9"
Lee,01500000,"      $4,546,268","  $64,212",     70.8
Leicester,01510000,"      $7,683,225","  $72,758",    105.6
Lenox,01520000,"      $5,654,627","  $72,217",     78.3
Leominster,01530000,"     $30,250,779","  $68,580",    441.1
Leverett,01540000,"        $916,893","  $62,374",     14.7
Lexington,01550000,"     $44,431,043","  $80,975",    548.7
Lincoln,01570000,"     $10,495,124","  $86,451",    121.4
Lincoln-Sudbury,06950000,"     $11,277,688","  $91,243",    123.6
Littleton,01580000,"      $7,971,785","  $72,469",    110.0
Longmeadow,01590000,"     $16,709,914","  $69,770",    239.5
Lowell,01600000,"     $78,519,951","  $76,951","  1,020.4"
Ludlow,01610000,"     $13,832,042","  $59,724",    231.6
Lunenburg,01620000,"      $7,578,542","  $74,592",    101.6
Lynn,01630000,"     $77,013,061","  $73,395","  1,049.3"
Lynnfield,01640000,"     $13,262,640","  $79,560",    166.7
Malden,01650000,"     $37,808,499","  $83,740",    451.5
Manchester Essex Regional,06980000,"      $9,171,242","  $72,386",    126.7
Mansfield,01670000,"     $23,626,783","  $77,465",    305.0
Marblehead,01680000,"     $17,242,167","  $67,142",    256.8
Marion,01690000,"      $2,738,775","  $82,742",     33.1
Marlborough,01700000,"     $27,895,522","  $75,495",    369.5
Marshfield,01710000,"     $23,284,966","  $70,582",    329.9
Martha's Vineyard,07000000,"      $6,741,089","  $88,815",     75.9
Masconomet,07050000,"     $11,951,229","  $94,253",    126.8
Mashpee,01720000,"     $10,022,651","  $73,750",    135.9
Mattapoisett,01730000,"      $2,964,841","  $73,206",     40.5
Maynard,01740000,"      $7,351,939","  $68,774",    106.9
Medfield,01750000,"     $15,634,934","  $78,845",    198.3
Medford,01760000,"     $28,616,170","  $72,648",    393.9
Medway,01770000,"     $12,697,237","  $85,216",    149.0
Melrose,01780000,"     $15,819,655","  $60,939",    259.6
Mendon-Upton,07100000,"     $12,321,220","  $75,823",    162.5
Methuen,01810000,"     $36,734,044","  $77,384",    474.7
Middleborough,01820000,"     $15,247,174","  $67,080",    227.3
Middleton,01840000,"      $4,415,993","  $69,763",     63.3
Milford,01850000,"     $22,969,673","  $71,246",    322.4
Millbury,01860000,"     $10,002,675","  $75,778",    132.0
Millis,01870000,"      $7,367,820","  $76,193",     96.7
Milton,01890000,"     $22,897,470","  $80,117",    285.8
Minuteman Regional Vocational Technical,08300000,"      $6,625,819","  $81,199",     81.6
Mohawk Trail,07170000,"      $5,268,019","  $74,302",     70.9
Monomoy Regional School District,07120000,"     $12,611,687","  $71,252",    177.0
Monson,01910000,"      $5,079,387","  $60,397",     84.1
Montachusett Regional Vocational Technical,08320000,"      $8,546,427","  $76,994",    111.0
Mount Greylock,07150000,"      $3,850,472","  $79,391",     48.5
Nahant,01960000,"        $804,297","  $76,600",     10.5
Nantucket,01970000,"     $11,098,510","  $84,528",    131.3
Narragansett,07200000,"      $6,695,952","  $63,710",    105.1
Nashoba,07250000,"     $18,919,145","  $71,458",    264.8
Nashoba Valley Regional Vocational Technical,08520000,"      $4,176,893","  $71,400",     58.5
Natick,01980000,"     $25,883,083","  $68,893",    375.7
Nauset,06600000,"     $10,900,076","  $80,325",    135.7
Needham,01990000,"     $33,367,115","  $87,555",    381.1
New Bedford,02010000,"     $62,241,552","  $73,320",    848.9
New Salem-Wendell,07280000,"        $664,759","  $52,759",     12.6
Newburyport,02040000,"     $14,168,338","  $78,278",    181.0
Newton,02070000,"     $80,242,396","  $75,665","  1,060.5"
Norfolk,02080000,"      $5,474,468","  $81,344",     67.3
Norfolk County Agricultural,09150000,"      $3,261,943","  $74,644",     43.7
North Adams,02090000,"      $7,989,448","  $62,613",    127.6
North Andover,02110000,"     $22,697,411","  $77,466",    293.0
North Attleborough,02120000,"     $20,924,567","  $72,079",    290.3
North Brookfield,02150000,"      $3,182,071","  $71,668",     44.4
North Middlesex,07350000,"     $16,559,494","  $64,610",    256.3
North Reading,02170000,"     $14,444,287","  $73,771",    195.8
Northampton,02100000,"     $13,058,136","  $58,980",    221.4
Northampton-Smith Vocational Agricultural,04060000,"      $2,866,382","  $60,728",     47.2
Northboro-Southboro,07300000,"      $9,312,036","  $86,947",    107.1
Northborough,02130000,"     $10,974,842","  $78,504",    139.8
Northbridge,02140000,"     $11,295,828","  $68,961",    163.8
Northeast Metropolitan Regional Vocational Technical,08530000,"      $9,338,654","  $82,279",    113.5
Northern Berkshire Regional Vocational Technical,08510000,"      $3,978,801","  $78,016",     51.0
Norton,02180000,"     $12,375,604","  $65,933",    187.7
Norwell,02190000,"     $12,461,880","  $76,313",    163.3
Norwood,02200000,"     $19,841,064","  $73,187",    271.1
Oak Bluffs,02210000,"      $3,802,890","  $86,824",     43.8
Old Colony Regional Vocational Technical,08550000,"      $4,050,015","  $73,771",     54.9
Old Rochester,07400000,"      $6,985,644","  $79,836",     87.5
Orange,02230000,"      $2,790,291","  $61,325",     45.5
Orleans,02240000,"      $1,830,831","  $73,527",     24.9
Oxford,02260000,"      $8,895,375","  $65,892",    135.0
Palmer,02270000,"      $7,663,615","  $67,521",    113.5
Pathfinder Regional Vocational Technical,08600000,"      $5,306,808","  $68,920",     77.0
Peabody,02290000,"     $32,973,953","  $75,438",    437.1
Pelham,02300000,"        $801,755","  $70,952",     11.3
Pembroke,02310000,"     $14,712,685","  $75,527",    194.8
Pentucket,07450000,"     $15,551,135","  $71,532",    217.4
Petersham,02340000,"        $656,581","  $66,998",      9.8
Pioneer Valley,07500000,"      $4,715,049","  $53,763",     87.7
Pittsfield,02360000,"     $31,392,932","  $64,515",    486.6
Plainville,02380000,"      $3,558,247","  $69,227",     51.4
Plymouth,02390000,"     $41,136,945","  $66,619",    617.5
Plympton,02400000,"      $1,304,162","  $71,657",     18.2
Provincetown,02420000,"      $1,513,916","  $79,680",     19.0
Quabbin,07530000,"     $12,124,118","  $72,643",    166.9
Quaboag Regional,07780000,"      $6,343,867","  $68,731",     92.3
Quincy,02430000,"     $52,801,618","  $76,182",    693.1
Ralph C Mahar,07550000,"      $3,905,462","  $61,118",     63.9
Randolph,02440000,"     $17,118,687","  $66,818",    256.2
Reading,02460000,"     $22,076,459","  $70,262",    314.2
Revere,02480000,"     $40,425,886","  $78,788",    513.1
Richmond,02490000,"      $1,546,938","  $93,754",     16.5
Rochester,02500000,"      $2,982,230","  $88,493",     33.7
Rockland,02510000,"     $10,197,001","  $71,109",    143.4
Rockport,02520000,"      $6,270,148","  $74,556",     84.1
Rowe,02530000,"        $522,863","  $64,551",      8.1
Salem,02580000,"     $30,744,906","  $73,185",    420.1
Sandwich,02610000,"     $16,957,424","  $91,022",    186.3
Saugus,02620000,"     $14,501,526","  $69,552",    208.5
Savoy,02630000,"        $213,838","  $52,156",      4.1
Scituate,02640000,"     $19,398,132","  $78,313",    247.7
Seekonk,02650000,"     $11,018,231","  $75,935",    145.1
Sharon,02660000,"     $20,421,703","  $78,087",    261.5
Shawsheen Valley Regional Vocational Technical,08710000,"     $10,716,903","  $82,948",    129.2
Sherborn,02690000,"      $3,057,173"," $100,565",     30.4
Shrewsbury,02710000,"     $29,976,467","  $75,488",    397.1
Shutesbury,02720000,"        $876,414","  $58,041",     15.1
Silver Lake,07600000,"     $10,633,585","  $79,060",    134.5
Somerset,02730000,"      $8,566,773","  $70,133",    122.2
Somerset Berkley Regional School District,07630000,"      $5,248,637","  $62,858",     83.5
Somerville,02740000,"     $30,433,467","  $71,541",    425.4
South Hadley,02780000,"      $9,915,608","  $69,927",    141.8
South Middlesex Regional Vocational Technical,08290000,"      $5,832,579","  $75,650",     77.1
South Shore Regional Vocational Technical,08730000,"      $4,604,998","  $85,595",     53.8
Southampton,02750000,"      $2,389,874","  $70,916",     33.7
Southborough,02760000,"      $8,857,392","  $80,230",    110.4
Southbridge,02770000,"     $11,348,586","  $68,572",    165.5
Southeastern Regional Vocational Technical,08720000,"      $9,965,582","  $81,685",    122.0
Southern Berkshire,07650000,"      $5,645,712","  $70,660",     79.9
Southern Worcester County Regional Vocational Technical,08760000,"      $7,813,907","  $72,553",    107.7
Southwick-Tolland-Granville Regional School District,07660000,"      $8,910,144","  $62,747",    142.0
Spencer-E Brookfield,07670000,"      $7,179,534","  $62,539",    114.8
Springfield,02810000,"    $130,432,206","  $65,293","  1,997.6"
Stoneham,02840000,"     $12,438,219","  $66,693",    186.5
Stoughton,02850000,"     $22,480,956","  $76,466",    294.0
Sturbridge,02870000,"      $5,089,894","  $72,921",     69.8
Sudbury,02880000,"     $16,237,472","  $76,991",    210.9
Sunderland,02890000,"      $1,071,023","  $75,424",     14.2
Sutton,02900000,"      $7,141,611","  $72,210",     98.9
Swampscott,02910000,"     $14,116,092","  $76,016",    185.7
Swansea,02920000,"     $10,276,348","  $62,775",    163.7
Tantasqua,07700000,"     $10,658,240","  $73,069",    145.9
Taunton,02930000,"     $38,245,292","  $73,662",    519.2
Tewksbury,02950000,"     $18,471,234","  $73,944",    249.8
Tisbury,02960000,"      $3,039,214","  $81,262",     37.4
Topsfield,02980000,"      $4,076,448","  $84,050",     48.5
Tri County Regional Vocational Technical,08780000,"      $7,493,981","  $79,134",     94.7
Triton,07730000,"     $16,581,702","  $75,098",    220.8
Truro,03000000,"      $1,149,926","  $72,780",     15.8
Tyngsborough,03010000,"      $9,508,082","  $71,705",    132.6
Up-Island Regional,07740000,"      $3,581,179","  $83,477",     42.9
Upper Cape Cod Regional Vocational Technical,08790000,"      $5,017,329","  $68,731",     73.0
Uxbridge,03040000,"      $8,890,566","  $70,226",    126.6
Wachusett,07750000,"     $31,595,350","  $68,835",    459.0
Wakefield,03050000,"     $17,495,437","  $68,907",    253.9
Wales,03060000,"        $740,295","  $64,373",     11.5
Walpole,03070000,"     $21,607,041","  $74,124",    291.5
Waltham,03080000,"     $36,422,449","  $75,383",    483.2
Ware,03090000,"      $5,440,456","  $61,266",     88.8
Wareham,03100000,"     $13,858,037","  $68,502",    202.3
Watertown,03140000,"     $18,114,540","  $76,887",    235.6
Wayland,03150000,"     $18,474,377","  $89,900",    205.5
Webster,03160000,"      $9,460,992","  $71,242",    132.8
Wellesley,03170000,"     $34,204,649","  $90,041",    379.9
Wellfleet,03180000,"      $1,199,765","  $80,134",     15.0
West Boylston,03220000,"      $5,592,907","  $70,796",     79.0
West Bridgewater,03230000,"      $6,039,286","  $66,220",     91.2
West Springfield,03320000,"     $19,858,513","  $67,340",    294.9
Westborough,03210000,"     $21,578,374","  $78,661",    274.3
Westfield,03250000,"     $29,473,572","  $67,184",    438.7
Westford,03260000,"     $27,457,555","  $76,165",    360.5
Westhampton,03270000,"        $746,878","  $62,763",     11.9
Weston,03300000,"     $18,480,494","  $93,953",    196.7
Westport,03310000,"      $8,106,319","  $74,575",    108.7
Westwood,03350000,"     $19,994,957","  $86,074",    232.3
Weymouth,03360000,"     $33,321,361","  $80,042",    416.3
Whately,03370000,"        $623,618","  $87,834",      7.1
Whitman-Hanson,07800000,"     $18,794,244","  $77,887",    241.3
Whittier Regional Vocational Technical,08850000,"      $9,092,041","  $83,260",    109.2
Williamsburg,03400000,"      $1,077,884","  $65,326",     16.5
Williamstown,03410000,"      $2,596,834","  $70,952",     36.6
Wilmington,03420000,"     $19,466,899","  $71,281",    273.1
Winchendon,03430000,"      $7,721,372","  $76,449",    101.0
Winchester,03440000,"     $24,712,152","  $74,033",    333.8
Winthrop,03460000,"      $9,002,723","  $59,424",    151.5
Woburn,03470000,"     $26,650,981","  $73,237",    363.9
Worcester,03480000,"    $143,116,198","  $78,256","  1,828.8"
Wrentham,03500000,"      $5,495,086","  $70,996",     77.4
State,00000000,"  $5,182,980,704","  $74,744"," 69,343.6"
