2015-16 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"      $9,767,834","  $75,486",    129.0
Acton-Boxborough,06000000,"     $29,363,081","  $79,900",    368.0
Acushnet,00030000,"      $4,755,405","  $67,934",     70.0
Adams-Cheshire,06030000,"      $6,691,452","  $74,932",     89.0
Agawam,00050000,"     $22,248,427","  $68,965",    323.0
Amesbury,00070000,"     $12,254,577","  $74,406",    165.0
Amherst,00080000,"      $9,005,730","  $74,121",    122.0
Amherst-Pelham,06050000,"      $9,168,746","  $78,702",    117.0
Andover,00090000,"     $38,327,763","  $81,653",    469.0
Arlington,00100000,"     $26,619,396","  $69,977",    380.0
Ashburnham-Westminster,06100000,"     $11,119,937","  $70,290",    158.0
Ashland,00140000,"     $14,464,647","  $76,899",    188.0
Assabet Valley Regional Vocational Technical,08010000,"      $8,686,073","  $78,750",    110.0
Athol-Royalston,06150000,"      $6,611,835","  $65,205",    101.0
Attleboro,00160000,"     $30,932,044","  $78,989",    392.0
Auburn,00170000,"     $12,056,719","  $68,465",    176.0
Avon,00180000,"      $4,459,922","  $68,299",     65.0
Ayer Shirley School District,06160000,"      $8,319,846","  $68,154",    122.0
Barnstable,00200000,"     $28,240,747","  $77,349",    365.0
Bedford,00230000,"     $18,992,213","  $85,551",    222.0
Belchertown,00240000,"     $10,912,638","  $63,188",    173.0
Bellingham,00250000,"     $11,921,547","  $76,176",    157.0
Belmont,00260000,"     $22,257,855","  $85,279",    261.0
Berkley,00270000,"      $4,521,073","  $75,101",     60.0
Berkshire Hills,06180000,"      $8,255,692","  $72,737",    114.0
Berlin,00280000,"      $1,300,964","  $79,814",     16.0
Berlin-Boylston,06200000,"      $3,105,122","  $69,778",     45.0
Beverly,00300000,"     $22,831,118","  $73,530",    311.0
Billerica,00310000,"     $30,173,624","  $80,142",    377.0
Blackstone Valley Regional Vocational Technical,08050000,"      $7,563,689","  $80,294",     94.0
Blackstone-Millville,06220000,"      $8,385,779","  $60,547",    139.0
Blue Hills Regional Vocational Technical,08060000,"      $6,405,107","  $76,708",     84.0
Boston,00350000,"    $391,799,784","  $90,626","  4,230.0"
Bourne,00360000,"     $11,660,453","  $79,269",    147.0
Boxford,00380000,"      $5,001,980","  $79,523",     63.0
Boylston,00390000,"      $1,597,746","  $74,314",     22.0
Braintree,00400000,"     $31,691,855","  $73,891",    429.0
Brewster,00410000,"      $3,414,039","  $75,868",     45.0
Bridgewater-Raynham,06250000,"     $26,779,838","  $79,868",    335.0
Brimfield,00430000,"      $1,841,401","  $69,226",     27.0
Bristol County Agricultural,09100000,"      $2,290,115","  $66,962",     34.0
Bristol-Plymouth Regional Vocational Technical,08100000,"      $8,940,007","  $85,550",    105.0
Brockton,00440000,"     $91,526,588","  $84,286","  1,086.0"
Brookfield,00450000,"      $1,573,957","  $64,772",     24.0
Brookline,00460000,"     $56,142,695","  $93,727",    599.0
Burlington,00480000,"     $29,737,101","  $94,982",    313.0
Cambridge,00490000,"     $54,449,757","  $82,409",    661.0
Canton,00500000,"     $19,709,158","  $80,870",    244.0
Cape Cod Regional Vocational Technical,08150000,"      $4,952,829","  $72,516",     68.0
Carlisle,00510000,"      $5,423,187"," $100,803",     54.0
Carver,00520000,"      $8,756,627","  $67,255",    130.0
Central Berkshire,06350000,"      $9,102,413","  $69,167",    132.0
Chelmsford,00560000,"     $27,060,165","  $73,874",    366.0
Chelsea,00570000,"     $28,155,659","  $66,342",    424.0
Chesterfield-Goshen,06320000,"      $1,008,465","  $63,827",     16.0
Chicopee,00610000,"     $45,103,467","  $70,320",    641.0
Clarksburg,00630000,"        $961,978","  $64,132",     15.0
Clinton,00640000,"      $9,543,100","  $66,410",    144.0
Cohasset,00650000,"      $9,764,547","  $80,832",    121.0
Concord,00670000,"     $15,537,242","  $95,732",    162.0
Concord-Carlisle,06400000,"      $9,582,276","  $97,978",     98.0
Conway,00680000,"        $796,751","  $68,685",     12.0
Danvers,00710000,"     $22,234,367","  $80,735",    275.0
Dartmouth,00720000,"     $20,514,152","  $66,282",    310.0
Dedham,00730000,"     $18,356,448","  $78,480",    234.0
Deerfield,00740000,"      $2,351,288","  $64,596",     36.0
Dennis-Yarmouth,06450000,"     $20,163,454","  $68,351",    295.0
Dighton-Rehoboth,06500000,"     $15,720,965","  $70,120",    224.0
Douglas,00770000,"      $6,221,055","  $69,277",     90.0
Dover,00780000,"      $3,529,309","  $96,429",     37.0
Dover-Sherborn,06550000,"      $9,720,921","  $90,341",    108.0
Dracut,00790000,"     $15,451,696","  $71,835",    215.0
Dudley-Charlton Reg,06580000,"     $18,544,661","  $69,300",    268.0
Duxbury,00820000,"     $18,099,623","  $75,040",    241.0
East Bridgewater,00830000,"      $9,657,287","  $72,393",    133.0
East Longmeadow,00870000,"     $15,018,418","  $72,728",    207.0
Eastham,00850000,"      $1,898,608","  $80,792",     24.0
Easthampton,00860000,"      $7,318,275","  $66,469",    110.0
Easton,00880000,"     $19,685,039","  $74,227",    265.0
Edgartown,00890000,"      $3,596,078","  $88,139",     41.0
Erving,00910000,"      $1,223,444","  $75,990",     16.0
Essex North Shore Agricultural and Technical School District,08170000,"      $7,830,797","  $72,507",    108.0
Everett,00930000,"     $41,665,324","  $79,227",    526.0
Fairhaven,00940000,"      $9,523,958","  $67,165",    142.0
Fall River,00950000,"     $49,756,821","  $69,591",    715.0
Falmouth,00960000,"     $22,388,260","  $74,775",    299.0
Farmington River Reg,06620000,"        $800,936","  $59,329",     14.0
Fitchburg,00970000,"     $25,944,826","  $72,736",    357.0
Florida,00980000,"        $522,236","  $44,257",     12.0
Foxborough,00990000,"     $17,464,196","  $82,651",    211.0
Framingham,01000000,"     $56,397,617","  $76,898",    733.0
Franklin,01010000,"     $31,397,705","  $76,208",    412.0
Franklin County Regional Vocational Technical,08180000,"      $3,975,523","  $71,890",     55.0
Freetown-Lakeville,06650000,"     $13,263,884","  $69,336",    191.0
Frontier,06700000,"      $3,426,386","  $66,019",     52.0
Gardner,01030000,"     $11,948,464","  $65,977",    181.0
Gateway,06720000,"      $4,909,756","  $59,440",     83.0
Georgetown,01050000,"      $7,432,647","  $69,594",    107.0
Gill-Montague,06740000,"      $5,208,901","  $58,330",     89.0
Gloucester,01070000,"     $19,448,137","  $74,743",    260.0
Gosnold,01090000,"         $50,225","  $45,659",      1.0
Grafton,01100000,"     $16,350,764","  $73,300",    223.0
Granby,01110000,"      $4,224,113","  $64,294",     66.0
Greater Fall River Regional Vocational Technical,08210000,"     $11,166,331","  $79,250",    141.0
Greater Lawrence Regional Vocational Technical,08230000,"     $10,891,707","  $83,206",    131.0
Greater Lowell Regional Vocational Technical,08280000,"     $15,303,584","  $83,577",    183.0
Greater New Bedford Regional Vocational Technical,08250000,"     $15,938,850","  $90,408",    176.0
Greenfield,01140000,"      $9,799,125","  $61,206",    160.0
Groton-Dunstable,06730000,"     $13,424,416","  $78,414",    171.0
Hadley,01170000,"      $3,240,587","  $64,425",     50.0
Halifax,01180000,"      $3,095,592","  $79,989",     39.0
Hamilton-Wenham,06750000,"     $11,456,903","  $77,047",    149.0
Hampden-Wilbraham,06800000,"     $16,055,449","  $74,503",    216.0
Hampshire,06830000,"      $4,937,763","  $73,369",     67.0
Hancock,01210000,"        $340,978","  $56,830",      6.0
Hanover,01220000,"     $16,046,856","  $76,595",    210.0
Harvard,01250000,"      $7,534,387","  $87,711",     86.0
Hatfield,01270000,"      $2,510,729","  $60,646",     41.0
Haverhill,01280000,"     $34,467,532","  $72,472",    476.0
Hawlemont,06850000,"        $548,726","  $55,992",     10.0
Hingham,01310000,"     $23,999,483","  $79,812",    301.0
Holbrook,01330000,"      $5,758,096","  $65,359",     88.0
Holland,01350000,"      $1,202,159","  $64,632",     19.0
Holliston,01360000,"     $16,538,195","  $78,566",    211.0
Holyoke,01370000,"     $27,007,864","  $62,446",    433.0
Hopedale,01380000,"      $5,767,956","  $64,303",     90.0
Hopkinton,01390000,"     $21,627,352","  $84,350",    256.0
Hudson,01410000,"     $17,886,956","  $74,710",    239.0
Hull,01420000,"      $7,122,167","  $83,594",     85.0
Ipswich,01440000,"     $10,884,303","  $68,584",    159.0
King Philip,06900000,"      $9,334,179","  $72,079",    130.0
Kingston,01450000,"      $4,609,806","  $72,141",     64.0
Lanesborough,01480000,"      $1,136,915","  $70,616",     16.0
Lawrence,01490000,"     $72,982,375","  $68,851","  1,060.0"
Lee,01500000,"      $4,620,981","  $64,629",     72.0
Leicester,01510000,"      $7,831,205","  $74,797",    105.0
Lenox,01520000,"      $5,756,691","  $72,502",     79.0
Leominster,01530000,"     $31,121,902","  $68,778",    453.0
Leverett,01540000,"        $939,864","  $55,613",     17.0
Lexington,01550000,"     $45,296,096","  $78,776",    575.0
Lincoln,01570000,"     $10,636,251","  $89,757",    119.0
Lincoln-Sudbury,06950000,"     $11,588,846","  $92,859",    125.0
Littleton,01580000,"      $8,292,410","  $72,997",    114.0
Longmeadow,01590000,"     $17,069,885","  $71,752",    238.0
Lowell,01600000,"     $80,861,650","  $79,547","  1,017.0"
Ludlow,01610000,"     $14,396,361","  $62,457",    231.0
Lunenburg,01620000,"      $7,972,611","  $76,147",    105.0
Lynn,01630000,"     $78,105,105","  $73,256","  1,066.0"
Lynnfield,01640000,"     $13,688,426","  $84,444",    162.0
Malden,01650000,"     $38,223,586","  $83,403",    458.0
Manchester Essex Regional,06980000,"      $9,804,516","  $76,658",    128.0
Mansfield,01670000,"     $24,042,330","  $80,248",    300.0
Marblehead,01680000,"     $18,880,122","  $72,199",    262.0
Marion,01690000,"      $2,812,850","  $82,488",     34.0
Marlborough,01700000,"     $28,978,734","  $78,940",    367.0
Marshfield,01710000,"     $23,232,987","  $71,092",    327.0
Martha's Vineyard,07000000,"      $7,145,843","  $91,262",     78.0
Masconomet,07050000,"     $12,258,052","  $86,350",    142.0
Mashpee,01720000,"     $10,355,630","  $78,810",    131.0
Mattapoisett,01730000,"      $3,041,840","  $74,191",     41.0
Maynard,01740000,"      $7,618,758","  $73,398",    104.0
Medfield,01750000,"     $15,917,161","  $81,710",    195.0
Medford,01760000,"     $30,006,748","  $76,179",    394.0
Medway,01770000,"     $12,615,074","  $85,410",    148.0
Melrose,01780000,"     $16,573,142","  $63,645",    260.0
Mendon-Upton,07100000,"     $12,820,983","  $78,705",    163.0
Methuen,01810000,"     $38,207,107","  $79,565",    480.0
Middleborough,01820000,"     $16,026,345","  $71,133",    225.0
Middleton,01840000,"      $4,326,619","  $70,237",     62.0
