2010-11 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
ABINGTON                     ,00010000,"      $8,090,656","  $73,887",    109.5
ACTON                        ,00020000,"     $10,565,912","  $75,741",    139.5
ACTON BOXBOROUGH             ,06000000,"     $13,149,927","  $72,411",    181.6
ACUSHNET                     ,00030000,"      $4,171,870","  $57,227",     72.9
ADAMS CHESHIRE               ,06030000,"      $6,771,934","  $65,939",    102.7
AGAWAM                       ,00050000,"     $18,947,816","  $60,750",    311.9
AMESBURY                     ,00070000,"     $11,493,776","  $70,341",    163.4
AMHERST                      ,00080000,"      $8,257,363","  $66,484",    124.2
AMHERST PELHAM               ,06050000,"      $9,935,681","  $75,213",    132.1
ANDOVER                      ,00090000,"     $33,824,063","  $77,136",    438.5
ARLINGTON                    ,00100000,"     $17,536,715","  $55,373",    316.7
ASHBURNHAM WESTMINSTER       ,06100000,"     $10,165,821","  $68,642",    148.1
ASHLAND                      ,00140000,"     $11,857,148","  $69,830",    169.8
ASSABET VALLEY               ,08010000,"      $7,078,029","  $71,858",     98.5
ATHOL ROYALSTON              ,06150000,"      $8,018,815","  $62,843",    127.6
ATTLEBORO                    ,00160000,"     $28,194,489","  $77,076",    365.8
AUBURN                       ,00170000,"     $10,211,399","  $61,146",    167.0
AVON                         ,00180000,"      $3,814,121","  $60,160",     63.4
AYER                         ,00190000,"      $5,728,782","  $75,201",     76.2
BARNSTABLE                   ,00200000,"     $21,855,067","  $68,127",    320.8
BEDFORD                      ,00230000,"     $15,523,132","  $78,281",    198.3
BELCHERTOWN                  ,00240000,"     $10,308,037","  $63,046",    163.5
BELLINGHAM                   ,00250000,"     $11,198,954","  $68,328",    163.9
BELMONT                      ,00260000,"     $18,322,136","  $79,489",    230.5
BERKLEY                      ,00270000,"      $3,943,911","  $64,548",     61.1
BERKSHIRE HILLS              ,06180000,"      $7,693,689","  $64,762",    118.8
BERLIN                       ,00280000,"      $1,371,589","  $71,811",     19.1
BERLIN BOYLSTON              ,06200000,"      $2,409,204","  $66,369",     36.3
BEVERLY                      ,00300000,"     $19,782,667","  $69,535",    284.5
BILLERICA                    ,00310000,"     $25,362,376","  $63,885",    397.0
BLACKSTONE MILLVILLE         ,06220000,"      $8,658,232","  $61,756",    140.2
BLACKSTONE VALLEY            ,08050000,"      $6,353,896","  $70,835",     89.7
BLUE HILLS                   ,08060000,"      $6,449,157","  $74,643",     86.4
BOSTON                       ,00350000,"    $355,112,043","  $83,354","  4,260.3"
BOURNE                       ,00360000,"     $10,336,436","  $65,670",    157.4
BOXBOROUGH                   ,00370000,"      $2,955,856","  $77,786",     38.0
BOXFORD                      ,00380000,"      $4,637,000","  $71,559",     64.8
BOYLSTON                     ,00390000,"      $1,893,619","  $72,001",     26.3
BRAINTREE                    ,00400000,"     $24,493,151","  $63,652",    384.8
BREWSTER                     ,00410000,"      $2,854,122","  $72,995",     39.1
BRIDGEWATER RAYNHAM          ,06250000,"     $22,327,373","  $75,532",    295.6
BRIMFIELD                    ,00430000,"      $1,779,344","  $62,653",     28.4
BRISTOL COUNTY               ,09100000,"      $2,051,871","  $61,803",     33.2
BRISTOL PLYMOUTH             ,08100000,"      $7,296,727","  $76,008",     96.0
BROCKTON                     ,00440000,"     $78,718,917","  $73,797","  1,066.7"
BROOKFIELD                   ,00450000,"      $1,524,452","  $73,645",     20.7
BROOKLINE                    ,00460000,"     $42,165,963","  $80,485",    523.9
BURLINGTON                   ,00480000,"     $24,268,380","  $84,265",    288.0
CAMBRIDGE                    ,00490000,"     $46,709,343","  $82,076",    569.1
CANTON                       ,00500000,"     $16,332,267","  $72,299",    225.9
CAPE COD                     ,08150000,"      $4,835,420","  $72,495",     66.7
CARLISLE                     ,00510000,"      $4,734,860","  $82,489",     57.4
CARVER                       ,00520000,"      $8,979,492","  $67,111",    133.8
CENTRAL BERKSHIRE            ,06350000,"      $8,860,452","  $61,022",    145.2
CHATHAM                      ,00550000,"      $4,533,058","  $70,171",     64.6
CHELMSFORD                   ,00560000,"     $22,601,526","  $66,416",    340.3
CHELSEA                      ,00570000,"     $26,233,484","  $63,751",    411.5
CHESTERFIELD GOSHEN,06320000,"        $817,487","  $54,499",     15.0
CHICOPEE                     ,00610000,"     $38,896,584","  $64,059",    607.2
CLARKSBURG                   ,00630000,"        $743,224","  $52,340",     14.2
CLINTON                      ,00640000,"      $9,875,964","  $72,778",    135.7
COHASSET                     ,00650000,"      $7,692,654","  $71,360",    107.8
CONCORD                      ,00670000,"     $12,693,575","  $83,291",    152.4
CONCORD CARLISLE             ,06400000,"      $7,991,417","  $89,892",     88.9
CONWAY                       ,00680000,"        $742,477","  $52,287",     14.2
DANVERS                      ,00710000,"     $19,245,089","  $71,015",    271.0
DARTMOUTH                    ,00720000,"     $18,761,769","  $66,531",    282.0
DEDHAM                       ,00730000,"     $15,738,333","  $69,546",    226.3
