2016-17 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Gateway,06720000,"      $4,787,913","  $60,683",     79.0
Georgetown,01050000,"      $7,648,196","  $70,103",    109.0
Gill-Montague,06740000,"      $5,329,693","  $57,869",     92.0
Gloucester,01070000,"     $20,036,972","  $76,799",    261.0
Gosnold,01090000,"         $49,733","  $45,212",      1.0
Grafton,01100000,"     $17,510,859","  $74,727",    234.0
Granby,01110000,"      $4,213,291","  $72,894",     58.0
Greater Fall River Regional Vocational Technical,08210000,"     $11,435,488","  $82,746",    138.0
Greater Lawrence Regional Vocational Technical,08230000,"     $10,725,756","  $78,749",    136.0
Greater Lowell Regional Vocational Technical,08280000,"     $15,032,636","  $82,096",    183.0
Greater New Bedford Regional Vocational Technical,08250000,"     $16,041,979","  $78,599",    204.0
Greenfield,01140000,"      $9,400,572","  $60,221",    156.0
Groton-Dunstable,06730000,"     $13,807,401","  $78,764",    175.0
Hadley,01170000,"      $3,369,402","  $64,712",     52.0
Halifax,01180000,"      $3,114,217","  $80,263",     39.0
Hamilton-Wenham,06750000,"     $11,740,095","  $77,904",    151.0
Hampden-Wilbraham,06800000,"     $16,520,975","  $79,504",    208.0
Hampshire,06830000,"      $5,023,622","  $69,105",     73.0
Hancock,01210000,"        $416,253","  $71,768",      6.0
Hanover,01220000,"     $16,485,497","  $84,281",    196.0
Harvard,01250000,"      $7,649,512","  $82,877",     92.0
Hatfield,01270000,"      $2,511,613","  $59,376",     42.0
Haverhill,01280000,"     $35,591,659","  $69,043",    516.0
Hawlemont,06850000,"        $656,943","  $63,168",     10.0
Hingham,01310000,"     $24,634,956","  $83,311",    296.0
Holbrook,01330000,"      $5,968,728","  $66,615",     90.0
Holland,01350000,"      $1,218,546","  $62,171",     20.0
Holliston,01360000,"     $17,051,599","  $81,082",    210.0
Holyoke,01370000,"     $28,102,946","  $68,779",    409.0
Hopedale,01380000,"      $6,173,775","  $68,981",     90.0
Hopkinton,01390000,"     $22,880,672","  $87,935",    260.0
Hudson,01410000,"     $17,890,123","  $74,760",    239.0
Hull,01420000,"      $6,925,024","  $84,762",     82.0
Ipswich,01440000,"     $11,304,062","  $69,265",    163.0
King Philip,06900000,"      $9,581,648","  $73,423",    131.0
Kingston,01450000,"      $4,948,146","  $70,789",     70.0
Lanesborough,01480000,"      $1,226,441","  $64,550",     19.0
Lawrence,01490000,"     $72,350,157","  $69,795","  1,037.0"
Lee,01500000,"      $4,667,272","  $74,676",     63.0
Leicester,01510000,"      $8,106,891","  $74,103",    109.0
Lenox,01520000,"      $6,006,625","  $74,524",     81.0
Leominster,01530000,"     $31,896,000","  $70,879",    450.0
Leverett,01540000,"        $909,614","  $61,460",     15.0
Lexington,01550000,"     $47,796,178","  $82,322",    581.0
Lincoln,01570000,"     $10,866,906","  $93,039",    117.0
Lincoln-Sudbury,06950000,"     $12,207,258","  $95,518",    128.0
Littleton,01580000,"      $8,858,310","  $78,326",    113.0
Longmeadow,01590000,"     $17,339,933","  $73,350",    236.0
Lowell,01600000,"     $84,278,408","  $79,969","  1,054.0"
Ludlow,01610000,"     $14,825,860","  $64,940",    228.0
Lunenburg,01620000,"      $8,396,281","  $74,900",    112.0
Lynn,01630000,"     $79,777,617","  $73,555","  1,085.0"
Lynnfield,01640000,"     $13,964,260","  $84,173",    166.0
Malden,01650000,"     $38,467,282","  $84,284",    456.0
Manchester Essex Regional,06980000,"     $10,070,833","  $77,171",    131.0
Mansfield,01670000,"     $24,477,485","  $81,213",    301.0
Marblehead,01680000,"     $19,850,480","  $74,936",    265.0
Marion,01690000,"      $2,824,731","  $84,069",     34.0
Marlborough,01700000,"     $30,358,925","  $80,549",    377.0
Marshfield,01710000,"     $23,477,633","  $72,172",    325.0
Martha's Vineyard,07000000,"      $7,211,712","  $96,802",     75.0
Masconomet,07050000,"     $12,630,342","  $92,462",    137.0
Mashpee,01720000,"     $10,445,589","  $74,718",    140.0
Mattapoisett,01730000,"      $3,082,869","  $76,498",     40.0
Maynard,01740000,"      $8,047,460","  $73,426",    110.0
Medfield,01750000,"     $16,974,849","  $85,130",    199.0
Medford,01760000,"     $29,669,763","  $75,323",    394.0
Medway,01770000,"     $12,811,450","  $81,086",    158.0
Melrose,01780000,"     $17,342,111","  $65,368",    265.0
Mendon-Upton,07100000,"     $12,975,186","  $78,924",    164.0
Methuen,01810000,"     $38,100,638","  $76,830",    496.0
Middleborough,01820000,"     $16,569,667","  $71,948",    230.0
Middleton,01840000,"      $4,725,412","  $76,094",     62.0
Milford,01850000,"     $25,632,221","  $77,299",    332.0
Millbury,01860000,"     $10,440,573","  $81,124",    129.0
Millis,01870000,"      $7,594,589","  $80,451",     94.0
Milton,01890000,"     $24,583,214","  $83,287",    295.0
Minuteman Regional Vocational Technical,08300000,"      $7,453,098"," $100,042",     75.0
Mohawk Trail,07170000,"      $5,007,829","  $69,844",     72.0
Monomoy Regional School District,07120000,"     $12,783,409","  $74,626",    171.0
Monson,01910000,"      $5,101,090","  $59,315",     86.0
Montachusett Regional Vocational Technical,08320000,"      $9,005,904","  $78,312",    115.0
Mount Greylock,07150000,"      $3,939,231","  $88,324",     45.0
Nahant,01960000,"        $698,557","  $63,505",     11.0
Nantucket,01970000,"     $12,388,021","  $89,833",    138.0
Narragansett,07200000,"      $6,998,907","  $69,213",    101.0
Nashoba,07250000,"     $20,255,232","  $74,745",    271.0
Nashoba Valley Regional Vocational Technical,08520000,"      $4,592,633","  $72,783",     63.0
Natick,01980000,"     $28,657,469","  $73,106",    392.0
Nauset,06600000,"     $11,589,415","  $84,409",    137.0
Needham,01990000,"     $36,695,287","  $91,350",    402.0
New Bedford,02010000,"     $70,136,798","  $76,004",    923.0
New Salem-Wendell,07280000,"        $729,620","  $61,313",     12.0
Newburyport,02040000,"     $14,844,223","  $79,381",    187.0
Newton,02070000,"     $87,422,643","  $81,180","  1,077.0"
Norfolk,02080000,"      $5,865,054","  $85,124",     69.0
Norfolk County Agricultural,09150000,"      $3,766,348","  $70,796",     53.0
North Adams,02090000,"      $7,753,356","  $65,154",    119.0
North Andover,02110000,"     $24,049,680","  $80,461",    299.0
North Attleborough,02120000,"     $21,319,987","  $74,467",    286.0
North Brookfield,02150000,"      $2,784,294","  $65,979",     42.0
North Middlesex,07350000,"     $16,978,956","  $67,484",    252.0
North Reading,02170000,"     $15,422,806","  $76,239",    202.0
Northampton,02100000,"     $13,804,647","  $61,711",    224.0
Northampton-Smith Vocational Agricultural,04060000,"      $3,205,559","  $62,731",     51.0
Northboro-Southboro,07300000,"      $9,838,041","  $91,602",    107.0
Northborough,02130000,"     $11,954,614","  $83,424",    143.0
Northbridge,02140000,"     $11,621,315","  $69,589",    167.0
Northeast Metropolitan Regional Vocational Technical,08530000,"      $9,784,704","  $87,442",    112.0
Northern Berkshire Regional Vocational Technical,08510000,"      $4,118,274","  $75,288",     55.0
Norton,02180000,"     $13,712,213","  $77,078",    178.0
Norwell,02190000,"     $13,729,127","  $83,511",    164.0
Norwood,02200000,"     $20,897,094","  $76,017",    275.0
Oak Bluffs,02210000,"      $3,903,527","  $85,981",     45.0
Old Colony Regional Vocational Technical,08550000,"      $4,236,705","  $78,312",     54.0
Old Rochester,07400000,"      $7,552,302","  $82,449",     92.0
Orange,02230000,"      $2,978,508","  $63,508",     47.0
Orleans,02240000,"      $1,912,737","  $85,011",     23.0
Oxford,02260000,"      $8,601,936","  $68,432",    126.0
Palmer,02270000,"      $7,809,566","  $67,092",    116.0
Pathfinder Regional Vocational Technical,08600000,"      $5,699,071","  $74,207",     77.0
Peabody,02290000,"     $35,357,633","  $79,011",    448.0
Pelham,02300000,"        $768,050","  $65,645",     12.0
Pembroke,02310000,"     $16,171,315","  $78,961",    205.0
Pentucket,07450000,"     $15,323,420","  $75,336",    203.0
Petersham,02340000,"        $619,981","  $53,911",     12.0
Pioneer Valley,07500000,"      $5,324,209","  $62,344",     85.0
Pittsfield,02360000,"     $33,160,232","  $71,053",    467.0
Plainville,02380000,"      $3,691,399","  $83,705",     44.0
Plymouth,02390000,"     $45,247,392","  $70,457",    642.0
Plympton,02400000,"      $1,309,980","  $75,286",     17.0
Provincetown,02420000,"      $1,769,336","  $90,272",     20.0
Quabbin,07530000,"     $11,136,147","  $79,886",    139.0
Quaboag Regional,07780000,"      $6,558,128","  $64,738",    101.0
Quincy,02430000,"     $56,612,249","  $81,141",    698.0
Ralph C Mahar,07550000,"      $3,904,764","  $65,627",     59.0
Randolph,02440000,"     $18,456,649","  $75,180",    246.0
Reading,02460000,"     $23,110,930","  $74,407",    311.0
Revere,02480000,"     $44,676,727","  $84,328",    530.0
Richmond,02490000,"      $1,386,367","  $73,743",     19.0
Rochester,02500000,"      $3,278,467","  $94,209",     35.0
Rockland,02510000,"     $11,578,474","  $75,578",    153.0
Rockport,02520000,"      $6,714,515","  $78,809",     85.0
Rowe,02530000,"        $613,254","  $87,608",      7.0
Salem,02580000,"     $32,111,216","  $85,470",    376.0
Sandwich,02610000,"     $16,730,756","  $77,781",    215.0
Saugus,02620000,"     $15,173,012","  $73,300",    207.0
Savoy,02630000,"        $216,529","  $46,070",      5.0
Scituate,02640000,"     $21,393,011","  $86,646",    247.0
Seekonk,02650000,"     $12,111,035","  $80,472",    151.0
Sharon,02660000,"     $22,303,492","  $77,828",    287.0
Shawsheen Valley Regional Vocational Technical,08710000,"     $11,572,138","  $88,878",    130.0
Sherborn,02690000,"      $2,976,117","  $93,589",     32.0
Shrewsbury,02710000,"     $31,383,861","  $77,223",    406.0
Shutesbury,02720000,"        $846,598","  $53,923",     16.0
Silver Lake,07600000,"     $11,462,942","  $86,709",    132.0
Somerset,02730000,"      $9,170,334","  $73,544",    125.0
Somerset Berkley Regional School District,07630000,"      $5,634,798","  $67,483",     84.0
Somerville,02740000,"     $32,590,006","  $75,703",    431.0
South Hadley,02780000,"     $10,084,630","  $74,979",    135.0
South Middlesex Regional Vocational Technical,08290000,"      $6,299,308","  $80,760",     78.0
South Shore Regional Vocational Technical,08730000,"      $4,987,557","  $81,231",     61.0
Southampton,02750000,"      $2,649,692","  $72,794",     36.0
Southborough,02760000,"      $9,776,302","  $87,211",    112.0
Southbridge,02770000,"     $11,746,316","  $66,931",    176.0
Southeastern Regional Vocational Technical,08720000,"     $10,521,267","  $82,197",    128.0
Southern Berkshire,07650000,"      $4,973,837","  $66,141",     75.0
Southern Worcester County Regional Vocational Technical,08760000,"      $8,464,543","  $77,020",    110.0
Southwick-Tolland-Granville Regional School District,07660000,"      $8,986,623","  $63,507",    142.0
Spencer-E Brookfield,07670000,"      $7,393,335","  $63,736",    116.0
Springfield,02810000,"    $133,321,815","  $64,844","  2,056.0"
Stoneham,02840000,"     $13,426,509","  $72,302",    186.0
Stoughton,02850000,"     $24,518,298","  $82,056",    299.0
Sturbridge,02870000,"      $5,407,816","  $79,410",     68.0
Sudbury,02880000,"     $17,077,552","  $80,592",    212.0
Sunderland,02890000,"      $1,267,287","  $57,348",     22.0
Sutton,02900000,"      $7,246,689","  $73,795",     98.0
Swampscott,02910000,"     $15,028,019","  $77,344",    194.0
Swansea,02920000,"     $10,945,054","  $68,924",    159.0
Tantasqua,07700000,"     $10,840,905","  $80,279",    135.0
Taunton,02930000,"     $41,376,176","  $91,703",    451.0
Tewksbury,02950000,"     $19,117,189","  $73,926",    259.0
Tisbury,02960000,"      $3,227,814","  $88,433",     37.0
Topsfield,02980000,"      $3,910,249","  $75,780",     52.0
Tri County Regional Vocational Technical,08780000,"      $7,728,023","  $84,552",     91.0
Triton,07730000,"     $15,204,610","  $74,350",    205.0
Truro,03000000,"      $1,191,627","  $74,945",     16.0
Tyngsborough,03010000,"     $10,125,859","  $78,556",    129.0
Up-Island Regional,07740000,"      $3,947,449","  $88,310",     45.0
Upper Cape Cod Regional Vocational Technical,08790000,"      $5,426,459","  $72,208",     75.0
Uxbridge,03040000,"      $9,644,416","  $73,790",    131.0
Wachusett,07750000,"     $33,697,443","  $70,989",    475.0
Wakefield,03050000,"     $19,637,358","  $73,902",    266.0
Wales,03060000,"        $752,297","  $72,336",     10.0
Walpole,03070000,"     $21,140,530","  $73,201",    289.0
Waltham,03080000,"     $39,008,945","  $78,311",    498.0
Ware,03090000,"      $5,763,875","  $64,329",     90.0
Wareham,03100000,"     $13,959,441","  $73,938",    189.0
Watertown,03140000,"     $20,386,914","  $85,372",    239.0
Wayland,03150000,"     $19,873,999","  $96,103",    207.0
Webster,03160000,"      $9,621,852","  $72,290",    133.0
Wellesley,03170000,"     $35,203,013","  $91,478",    385.0
Wellfleet,03180000,"      $1,251,312","  $73,607",     17.0
West Boylston,03220000,"      $6,018,546","  $73,218",     82.0
West Bridgewater,03230000,"      $6,786,683","  $75,743",     90.0
West Springfield,03320000,"     $21,630,529","  $67,259",    322.0
Westborough,03210000,"     $23,701,734","  $78,251",    303.0
Westfield,03250000,"     $29,676,999","  $70,275",    422.0
Westford,03260000,"     $29,138,267","  $80,072",    364.0
Westhampton,03270000,"        $819,418","  $66,082",     12.0
Weston,03300000,"     $19,118,386","  $99,887",    191.0
Westport,03310000,"      $8,671,744","  $81,298",    107.0
Westwood,03350000,"     $21,778,942","  $92,716",    235.0
Weymouth,03360000,"     $34,109,341","  $80,599",    423.0
Whately,03370000,"        $671,541","  $59,428",     11.0
Whitman-Hanson,07800000,"     $20,636,761","  $81,311",    254.0
Whittier Regional Vocational Technical,08850000,"      $9,501,520","  $83,936",    113.0
Williamsburg,03400000,"      $1,178,785","  $75,082",     16.0
Williamstown,03410000,"      $2,526,395","  $66,136",     38.0
Wilmington,03420000,"     $20,950,231","  $76,087",    275.0
Winchendon,03430000,"      $6,921,965","  $70,777",     98.0
Winchester,03440000,"     $26,953,311","  $75,752",    356.0
Winthrop,03460000,"     $10,176,375","  $66,950",    152.0
Woburn,03470000,"     $29,916,501","  $79,061",    378.0
Worcester,03480000,"    $140,665,144","  $77,569","  1,813.0"
Worthington,03490000,"        $401,002","  $58,980",      7.0
Wrentham,03500000,"      $5,782,582","  $74,807",     77.0
State,00000000,"  $5,478,845,585","  $78,670"," 69,643.0"
