2016-17 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"     $10,347,229","  $79,107",    131.0
Acton-Boxborough,06000000,"     $30,605,864","  $82,318",    372.0
Acushnet,00030000,"      $5,074,860","  $71,477",     71.0
Adams-Cheshire,06030000,"      $6,615,679","  $77,014",     86.0
Agawam,00050000,"     $22,814,271","  $69,650",    328.0
Amesbury,00070000,"     $13,027,871","  $76,997",    169.0
Amherst,00080000,"      $9,112,340","  $73,844",    123.0
Amherst-Pelham,06050000,"      $9,558,194","  $82,327",    116.0
Andover,00090000,"     $39,633,961","  $84,838",    467.0
Arlington,00100000,"     $28,114,402","  $70,251",    400.0
Ashburnham-Westminster,06100000,"     $10,626,717","  $70,190",    151.0
Ashland,00140000,"     $15,206,726","  $79,826",    190.0
Assabet Valley Regional Vocational Technical,08010000,"      $9,179,382","  $81,378",    113.0
Athol-Royalston,06150000,"      $6,999,596","  $65,972",    106.0
Attleboro,00160000,"     $30,667,056","  $84,669",    362.0
Auburn,00170000,"     $12,599,621","  $70,944",    178.0
Avon,00180000,"      $4,781,149","  $70,415",     68.0
Ayer Shirley School District,06160000,"      $8,634,782","  $61,458",    141.0
Barnstable,00200000,"     $29,137,408","  $77,135",    378.0
Bedford,00230000,"     $19,189,845","  $86,324",    222.0
Belchertown,00240000,"     $11,117,918","  $65,670",    169.0
Bellingham,00250000,"     $12,487,311","  $75,911",    165.0
Belmont,00260000,"     $23,160,307","  $85,906",    270.0
Berkley,00270000,"      $4,769,151","  $74,518",     64.0
Berkshire Hills,06180000,"      $8,122,980","  $71,254",    114.0
Berlin,00280000,"      $1,269,345","  $77,874",     16.0
Berlin-Boylston,06200000,"      $3,253,895","  $69,677",     47.0
Beverly,00300000,"     $22,826,900","  $71,528",    319.0
Billerica,00310000,"     $30,735,410","  $82,312",    373.0
Blackstone Valley Regional Vocational Technical,08050000,"      $7,836,861","  $81,380",     96.0
Blackstone-Millville,06220000,"      $9,160,257","  $66,814",    137.0
Blue Hills Regional Vocational Technical,08060000,"      $6,759,172","  $79,990",     85.0
Boston,00350000,"    $393,000,102","  $99,368","  3,955.0"
Bourne,00360000,"     $12,304,662","  $84,685",    145.0
Boxford,00380000,"      $5,418,571","  $86,697",     63.0
Boylston,00390000,"      $1,515,271","  $75,387",     20.0
Braintree,00400000,"     $33,382,817","  $81,085",    412.0
Brewster,00410000,"      $3,567,529","  $78,928",     45.0
Bridgewater-Raynham,06250000,"     $27,741,126","  $82,760",    335.0
Brimfield,00430000,"      $1,943,446","  $73,615",     26.0
Bristol County Agricultural,09100000,"      $2,413,617","  $69,357",     35.0
Bristol-Plymouth Regional Vocational Technical,08100000,"      $8,790,695","  $88,171",    100.0
Brockton,00440000,"     $96,802,988","  $89,725","  1,079.0"
Brookfield,00450000,"      $1,560,513","  $64,484",     24.0
Brookline,00460000,"     $61,973,456"," $101,413",    611.0
Burlington,00480000,"     $31,544,308"," $101,854",    310.0
Cambridge,00490000,"     $58,025,150","  $88,737",    654.0
Canton,00500000,"     $19,704,960","  $79,839",    247.0
Cape Cod Regional Vocational Technical,08150000,"      $5,005,795","  $74,491",     67.0
Carlisle,00510000,"      $5,540,820","  $99,727",     56.0
Carver,00520000,"      $8,980,898","  $68,504",    131.0
Central Berkshire,06350000,"      $9,235,038","  $71,924",    128.0
Chelmsford,00560000,"     $27,278,307","  $74,592",    366.0
Chelsea,00570000,"     $28,722,955","  $68,209",    421.0
Chesterfield-Goshen,06320000,"      $1,136,166","  $76,768",     15.0
Chicopee,00610000,"     $45,427,432","  $79,321",    573.0
Clarksburg,00630000,"        $993,824","  $64,534",     15.0
Clinton,00640000,"      $9,697,448","  $67,203",    144.0
Cohasset,00650000,"      $9,946,778","  $82,273",    121.0
Concord,00670000,"     $16,316,975","  $98,295",    166.0
Concord-Carlisle,06400000,"     $10,022,221"," $100,222",    100.0
Conway,00680000,"        $815,994","  $64,761",     13.0
Danvers,00710000,"     $22,079,290","  $80,084",    276.0
Dartmouth,00720000,"     $21,562,650","  $81,956",    263.0
Dedham,00730000,"     $19,186,812","  $82,488",    233.0
Deerfield,00740000,"      $2,354,893","  $62,797",     38.0
Dennis-Yarmouth,06450000,"     $20,202,341","  $69,519",    291.0
Dighton-Rehoboth,06500000,"     $16,898,969","  $70,796",    239.0
Douglas,00770000,"      $6,113,343","  $68,999",     89.0
Dover,00780000,"      $3,561,198","  $88,367",     40.0
Dover-Sherborn,06550000,"     $10,077,680","  $92,626",    109.0
Dracut,00790000,"     $15,508,531","  $71,600",    217.0
Dudley-Charlton Reg,06580000,"     $19,143,750","  $74,143",    258.0
Duxbury,00820000,"     $18,838,363","  $79,655",    237.0
East Bridgewater,00830000,"     $10,377,376","  $79,703",    130.0
East Longmeadow,00870000,"     $15,392,201","  $77,543",    199.0
Eastham,00850000,"      $1,888,103","  $82,450",     23.0
Easthampton,00860000,"      $7,293,275","  $64,258",    114.0
Easton,00880000,"     $20,324,632","  $78,689",    258.0
Edgartown,00890000,"      $3,521,051","  $88,247",     40.0
Erving,00910000,"      $1,262,342","  $69,743",     18.0
Essex North Shore Agricultural and Technical School District,08170000,"      $8,772,491","  $77,496",    113.0
Everett,00930000,"     $42,902,755","  $85,345",    503.0
Fairhaven,00940000,"      $9,930,877","  $68,347",    145.0
Fall River,00950000,"     $50,593,089","  $67,413",    750.0
Falmouth,00960000,"     $22,573,703","  $75,472",    299.0
Farmington River Reg,06620000,"        $725,945","  $58,076",     13.0
Fitchburg,00970000,"     $27,690,548","  $74,039",    374.0
Florida,00980000,"        $561,218","  $48,381",     12.0
Foxborough,00990000,"     $17,751,861","  $84,855",    209.0
Framingham,01000000,"     $58,328,891","  $78,674",    741.0
Franklin,01010000,"     $31,902,714","  $76,930",    415.0
Franklin County Regional Vocational Technical,08180000,"      $3,914,216","  $75,564",     52.0
Freetown-Lakeville,06650000,"     $14,647,196","  $74,845",    196.0
Frontier,06700000,"      $3,385,364","  $65,229",     52.0
Gardner,01030000,"     $11,783,916","  $69,195",    170.0
