2018-19 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"     $11,469,788","  $93,861",    122.2
Acton-Boxborough,06000000,"     $32,945,978","  $86,677",    380.1
Acushnet,00030000,"      $5,217,686","  $69,108",     75.5
Adams-Cheshire,06030000,"      $6,920,007","  $84,212",     82.2
Agawam,00050000,"     $25,584,999","  $79,828",    320.5
Amesbury,00070000,"     $13,515,170","  $79,129",    170.8
Amherst,00080000,"      $9,665,059","  $78,834",    122.6
Amherst-Pelham,06050000,"      $9,719,850","  $85,412",    113.8
Andover,00090000,"     $42,583,749","  $86,640",    491.5
Arlington,00100000,"     $31,487,608","  $74,792",    421.0
Ashburnham-Westminster,06100000,"     $11,448,289","  $70,364",    162.7
Ashland,00140000,"     $16,559,651","  $81,454",    203.3
Assabet Valley Regional Vocational Technical,08010000,"      $8,605,664","  $74,767",    115.1
Athol-Royalston,06150000,"      $7,109,204","  $66,816",    106.4
Attleboro,00160000,"     $33,104,772","  $86,233",    383.9
Auburn,00170000,"     $13,924,058","  $75,306",    184.9
Avon,00180000,"      $5,138,623","  $75,126",     68.4
Ayer Shirley School District,06160000,"      $8,946,438","  $64,689",    138.3
Barnstable,00200000,"     $30,362,307","  $82,619",    367.5
Bedford,00230000,"     $22,043,083","  $93,960",    234.6
Belchertown,00240000,"     $12,296,435","  $72,652",    169.3
Bellingham,00250000,"     $13,323,966","  $79,784",    167.0
Belmont,00260000,"     $26,213,063","  $93,414",    280.6
Berkley,00270000,"      $4,809,249","  $79,099",     60.8
Berkshire Hills,06180000,"      $8,489,457","  $76,551",    110.9
Berlin,00280000,"      $1,574,650","  $82,876",     19.0
Berlin-Boylston,06200000,"      $3,375,436","  $70,616",     47.8
Beverly,00300000,"     $25,685,258","  $75,612",    339.7
Billerica,00310000,"     $32,818,630","  $89,840",    365.3
Blackstone Valley Regional Vocational Technical,08050000,"      $8,160,566","  $78,846",    103.5
Blackstone-Millville,06220000,"      $8,815,943","  $73,344",    120.2
Blue Hills Regional Vocational Technical,08060000,"      $7,563,910","  $87,952",     86.0
Boston,00350000,"    $451,170,740"," $104,525","  4,316.4"
Bourne,00360000,"     $12,236,204","  $84,155",    145.4
Boxford,00380000,"      $5,066,868","  $83,474",     60.7
Boylston,00390000,"      $1,752,762","  $76,876",     22.8
Braintree,00400000,"     $36,406,328","  $85,197",    427.3
