2018-19 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Brewster,00410000,"      $3,599,324","  $83,705",     43.0
Bridgewater-Raynham,06250000,"     $28,870,594","  $86,428",    334.0
Brimfield,00430000,"      $1,997,193","  $78,630",     25.4
Bristol County Agricultural,09100000,"      $2,526,745","  $73,027",     34.6
Bristol-Plymouth Regional Vocational Technical,08100000,"      $9,431,431","  $91,612",    103.0
Brockton,00440000,"    $100,366,526"," $100,578",    997.9
Brookfield,00450000,"      $1,723,245","  $75,251",     22.9
Brookline,00460000,"     $63,684,809","  $98,614",    645.8
Burlington,00480000,"     $31,371,822","  $99,309",    315.9
Cambridge,00490000,"     $64,052,625","  $92,884",    689.6
Canton,00500000,"     $21,311,918","  $86,846",    245.4
Cape Cod Regional Vocational Technical,08150000,"      $5,200,207","  $81,508",     63.8
Carlisle,00510000,"      $5,897,803"," $104,201",     56.6
Carver,00520000,"      $8,799,597","  $70,060",    125.6
Central Berkshire,06350000,"      $9,060,844","  $74,452",    121.7
Chelmsford,00560000,"     $29,742,664","  $79,225",    375.4
Chelsea,00570000,"     $30,076,840","  $70,126",    428.9
Chesterfield-Goshen,06320000,"        $994,965","  $77,129",     12.9
Chicopee,00610000,"     $45,210,257","  $78,097",    578.9
Clarksburg,00630000,"      $1,173,505","  $72,439",     16.2
Clinton,00640000,"     $10,695,770","  $71,305",    150.0
Cohasset,00650000,"     $10,635,451","  $86,962",    122.3
Concord,00670000,"     $17,049,251","  $99,937",    170.6
Concord-Carlisle,06400000,"     $10,946,244"," $107,527",    101.8
Conway,00680000,"        $853,595","  $63,701",     13.4
Danvers,00710000,"     $22,308,730","  $82,108",    271.7
Dartmouth,00720000,"     $21,519,124","  $78,251",    275.0
Dedham,00730000,"     $19,678,088","  $85,445",    230.3
Deerfield,00740000,"      $2,408,174","  $63,373",     38.0
Dennis-Yarmouth,06450000,"     $22,133,060","  $82,126",    269.5
Dighton-Rehoboth,06500000,"     $17,256,442","  $75,257",    229.3
Douglas,00770000,"      $6,771,277","  $71,806",     94.3
Dover,00780000,"      $3,775,249","  $92,531",     40.8
Dover-Sherborn,06550000,"     $10,445,679","  $97,806",    106.8
Dracut,00790000,"     $16,449,709","  $73,305",    224.4
Dudley-Charlton Reg,06580000,"     $20,422,834","  $75,332",    271.1
Duxbury,00820000,"     $19,021,823","  $84,279",    225.7
East Bridgewater,00830000,"     $11,477,085","  $73,713",    155.7
East Longmeadow,00870000,"     $15,747,166","  $83,985",    187.5
Eastham,00850000,"      $1,879,547","  $90,799",     20.7
Easthampton,00860000,"      $8,139,118","  $69,804",    116.6
Easton,00880000,"     $21,402,420","  $78,656",    272.1
Edgartown,00890000,"      $3,868,372"," $100,739",     38.4
Erving,00910000,"      $1,444,946","  $79,393",     18.2
Essex North Shore Agricultural and Technical School District,08170000,"      $9,894,907","  $81,641",    121.2
Everett,00930000,"     $43,294,533","  $90,216",    479.9
Fairhaven,00940000,"     $10,672,336","  $71,771",    148.7
Fall River,00950000,"     $55,008,120","  $74,386",    739.5
Falmouth,00960000,"     $23,382,838","  $79,615",    293.7
Farmington River Reg,06620000,"        $678,082","  $52,975",     12.8
Fitchburg,00970000,"     $27,518,145","  $74,113",    371.3
Florida,00980000,"        $588,350","  $60,036",      9.8
Foxborough,00990000,"     $18,718,629","  $91,266",    205.1
Framingham,01000000,"     $61,831,647","  $88,521",    698.5
Franklin,01010000,"     $32,059,328","  $81,404",    393.8
Franklin County Regional Vocational Technical,08180000,"      $4,005,644","  $82,421",     48.6
Freetown-Lakeville,06650000,"     $15,015,507","  $76,144",    197.2
Frontier,06700000,"      $3,700,859","  $70,627",     52.4
Gardner,01030000,"     $11,902,460","  $66,830",    178.1
Gateway,06720000,"      $5,141,335","  $63,317",     81.2
Georgetown,01050000,"      $7,988,374","  $82,354",     97.0
Gill-Montague,06740000,"      $5,499,587","  $62,213",     88.4
Gloucester,01070000,"     $21,044,238","  $83,509",    252.0
Gosnold,01090000,"         $56,962","  $63,291",       .9
Grafton,01100000,"     $17,412,378","  $73,531",    236.8
Granby,01110000,"      $3,428,643","  $59,115",     58.0
Greater Fall River Regional Vocational Technical,08210000,"     $12,449,680","  $94,819",    131.3
Greater Lawrence Regional Vocational Technical,08230000,"     $12,045,286","  $85,549",    140.8
Greater Lowell Regional Vocational Technical,08280000,"     $16,677,792","  $87,778",    190.0
Greater New Bedford Regional Vocational Technical,08250000,"     $16,049,122","  $82,430",    194.7
Greenfield,01140000,"     $11,255,690","  $71,598",    157.2
Groton-Dunstable,06730000,"     $14,769,248","  $81,239",    181.8
Hadley,01170000,"      $3,487,233","  $69,745",     50.0
Halifax,01180000,"      $3,180,853","  $81,560",     39.0
Hamilton-Wenham,06750000,"     $12,374,629","  $82,663",    149.7
Hampden-Wilbraham,06800000,"     $17,637,620","  $80,317",    219.6
Hampshire,06830000,"      $5,289,920","  $72,465",     73.0
Hancock,01210000,"        $478,490","  $73,614",      6.5
Hanover,01220000,"     $16,851,373","  $83,299",    202.3
Harvard,01250000,"      $8,282,214","  $93,059",     89.0
Hatfield,01270000,"      $2,343,938","  $57,169",     41.0
Haverhill,01280000,"     $42,730,134","  $75,097",    569.0
Hawlemont,06850000,"        $903,198","  $90,320",     10.0
Hingham,01310000,"     $27,937,345","  $91,418",    305.6
Holbrook,01330000,"      $6,628,609","  $72,207",     91.8
Holland,01350000,"      $1,350,765","  $73,014",     18.5
Holliston,01360000,"     $17,465,425","  $81,329",    214.8
Holyoke,01370000,"     $27,368,154","  $70,373",    388.9
Hopedale,01380000,"      $6,627,994","  $71,577",     92.6
Hopkinton,01390000,"     $25,180,154","  $94,343",    266.9
Hudson,01410000,"     $17,905,970","  $78,192",    229.0
Hull,01420000,"      $6,595,765","  $79,659",     82.8
Ipswich,01440000,"     $11,954,230","  $77,675",    153.9
King Philip,06900000,"     $10,006,290","  $75,405",    132.7
Kingston,01450000,"      $5,205,359","  $71,111",     73.2
Lawrence,01490000,"     $78,736,883","  $74,611","  1,055.3"
Lee,01500000,"      $4,915,864","  $70,126",     70.1
Leicester,01510000,"      $8,531,550","  $75,367",    113.2
Lenox,01520000,"      $6,117,633","  $79,969",     76.5
Leominster,01530000,"     $32,800,267","  $74,682",    439.2
Leverett,01540000,"      $1,046,340","  $63,415",     16.5
Lexington,01550000,"     $54,242,578","  $87,151",    622.4
Lincoln,01570000,"     $10,826,154","  $90,520",    119.6
Lincoln-Sudbury,06950000,"     $13,163,325"," $103,976",    126.6
Littleton,01580000,"      $9,139,263","  $71,963",    127.0
Longmeadow,01590000,"     $18,549,518","  $75,008",    247.3
Lowell,01600000,"     $80,660,379","  $76,608","  1,052.9"
Ludlow,01610000,"     $15,798,501","  $69,967",    225.8
Lunenburg,01620000,"      $8,608,851","  $77,908",    110.5
Lynn,01630000,"     $87,291,692","  $77,606","  1,124.8"
Lynnfield,01640000,"     $14,746,621","  $93,688",    157.4
Malden,01650000,"     $40,561,096","  $86,558",    468.6
Manchester Essex Regional,06980000,"     $10,795,975","  $84,807",    127.3
Mansfield,01670000,"     $26,609,223","  $87,993",    302.4
Marblehead,01680000,"     $20,685,138","  $79,989",    258.6
Marion,01690000,"      $3,088,359","  $86,267",     35.8
Marlborough,01700000,"     $30,535,565","  $79,067",    386.2
Marshfield,01710000,"     $24,317,626","  $74,663",    325.7
Martha's Vineyard,07000000,"      $7,815,214"," $102,427",     76.3
Masconomet,07050000,"     $13,063,933","  $96,555",    135.3
Mashpee,01720000,"     $10,808,501","  $77,038",    140.3
Mattapoisett,01730000,"      $3,319,714","  $86,003",     38.6
Maynard,01740000,"     $10,038,310","  $88,992",    112.8
Medfield,01750000,"     $18,739,058","  $91,236",    205.4
Medford,01760000,"     $31,603,621","  $78,910",    400.5
Medway,01770000,"     $13,068,120","  $82,086",    159.2
Melrose,01780000,"     $18,146,835","  $67,136",    270.3
Mendon-Upton,07100000,"     $13,226,391","  $82,101",    161.1
Methuen,01810000,"     $38,060,371","  $76,999",    494.3
Middleborough,01820000,"     $16,788,725","  $75,625",    222.0
Middleton,01840000,"      $4,892,182","  $70,901",     69.0
Milford,01850000,"     $28,011,729","  $83,592",    335.1
Millbury,01860000,"     $10,586,518","  $78,593",    134.7
Millis,01870000,"      $8,530,998","  $88,313",     96.6
Milton,01890000,"     $25,507,618","  $82,283",    310.0
Minuteman Regional Vocational Technical,08300000,"      $7,948,911"," $106,269",     74.8
Mohawk Trail,07170000,"      $5,950,137","  $68,471",     86.9
Monomoy Regional School District,07120000,"     $13,425,043","  $75,719",    177.3
Monson,01910000,"      $5,302,584","  $64,745",     81.9
Montachusett Regional Vocational Technical,08320000,"      $9,527,372","  $81,084",    117.5
Mount Greylock,07150000,"      $7,724,794","  $73,640",    104.9
Nahant,01960000,"        $749,316","  $74,932",     10.0
Nantucket,01970000,"     $13,417,983","  $90,540",    148.2
Narragansett,07200000,"      $6,703,975","  $66,773",    100.4
Nashoba,07250000,"     $21,695,268","  $81,378",    266.6
Nashoba Valley Regional Vocational Technical,08520000,"      $5,395,409","  $81,134",     66.5
Natick,01980000,"     $33,374,567","  $79,634",    419.1
Nauset,06600000,"     $11,975,316","  $86,841",    137.9
Needham,01990000,"     $38,768,865","  $95,162",    407.4
New Bedford,02010000,"     $69,476,752","  $74,180",    936.6
New Salem-Wendell,07280000,"        $848,239","  $64,261",     13.2
Newburyport,02040000,"     $16,032,546","  $83,721",    191.5
Newton,02070000,"     $93,063,073","  $85,701","  1,085.9"
Norfolk,02080000,"      $6,541,646","  $86,301",     75.8
Norfolk County Agricultural,09150000,"      $4,292,544","  $76,927",     55.8
North Adams,02090000,"      $8,469,479","  $67,864",    124.8
North Andover,02110000,"     $24,792,940","  $79,388",    312.3
North Attleborough,02120000,"     $22,775,941","  $79,414",    286.8
North Brookfield,02150000,"      $2,935,201","  $63,670",     46.1
North Middlesex,07350000,"     $17,930,502","  $73,037",    245.5
North Reading,02170000,"     $16,359,884","  $81,759",    200.1
Northampton,02100000,"     $14,767,188","  $63,789",    231.5
Northampton-Smith Vocational Agricultural,04060000,"      $3,779,717","  $66,311",     57.0
Northboro-Southboro,07300000,"     $10,343,303","  $87,879",    117.7
Northborough,02130000,"     $12,276,315","  $92,733",    132.4
Northbridge,02140000,"     $11,787,968","  $71,529",    164.8
Northeast Metropolitan Regional Vocational Technical,08530000,"     $10,800,297","  $91,917",    117.5
Northern Berkshire Regional Vocational Technical,08510000,"      $3,992,055","  $82,995",     48.1
Norton,02180000,"     $14,126,617","  $78,569",    179.8
Norwell,02190000,"     $14,041,112","  $85,328",    164.6
Norwood,02200000,"     $23,079,015","  $85,067",    271.3
Oak Bluffs,02210000,"      $4,345,955","  $91,687",     47.4
Old Colony Regional Vocational Technical,08550000,"      $4,260,386","  $75,673",     56.3
Old Rochester,07400000,"      $7,678,395","  $85,316",     90.0
Orange,02230000,"      $3,165,862","  $75,558",     41.9
Orleans,02240000,"      $2,035,661","  $82,750",     24.6
Oxford,02260000,"      $8,607,546","  $69,980",    123.0
Palmer,02270000,"      $8,281,609","  $71,578",    115.7
Pathfinder Regional Vocational Technical,08600000,"      $5,577,105","  $75,163",     74.2
Peabody,02290000,"     $36,718,753","  $81,075",    452.9
Pelham,02300000,"        $824,382","  $67,572",     12.2
Pembroke,02310000,"     $16,621,061","  $82,446",    201.6
Pentucket,07450000,"     $15,192,569","  $76,001",    199.9
Petersham,02340000,"        $586,332","  $54,290",     10.8
Pioneer Valley,07500000,"      $4,092,167","  $67,085",     61.0
Pittsfield,02360000,"     $32,188,013","  $65,703",    489.9
Plainville,02380000,"      $4,110,369","  $76,118",     54.0
Plymouth,02390000,"     $46,809,420","  $73,037",    640.9
Plympton,02400000,"      $1,429,941","  $78,139",     18.3
Provincetown,02420000,"      $1,712,964","  $93,096",     18.4
Quabbin,07530000,"     $10,418,247","  $74,098",    140.6
Quaboag Regional,07780000,"      $7,002,183","  $69,260",    101.1
Quincy,02430000,"     $57,352,987","  $80,916",    708.8
Ralph C Mahar,07550000,"      $4,103,622","  $66,823",     61.4
Randolph,02440000,"     $17,367,824","  $69,527",    249.8
Reading,02460000,"     $24,624,090","  $77,458",    317.9
Revere,02480000,"     $47,551,865","  $85,387",    556.9
Richmond,02490000,"      $1,511,406","  $70,298",     21.5
Rochester,02500000,"      $3,394,622","  $86,819",     39.1
Rockland,02510000,"     $12,525,138","  $71,942",    174.1
Rockport,02520000,"      $6,804,068","  $73,957",     92.0
Rowe,02530000,"        $618,990","  $74,577",      8.3
Salem,02580000,"     $33,505,377","  $97,826",    342.5
Sandwich,02610000,"     $16,009,456","  $80,571",    198.7
Saugus,02620000,"     $16,217,880","  $79,970",    202.8
Savoy,02630000,"        $230,652","  $41,937",      5.5
Scituate,02640000,"     $21,999,448","  $90,907",    242.0
Seekonk,02650000,"     $12,939,121","  $81,481",    158.8
Sharon,02660000,"     $24,119,363","  $92,447",    260.9
Shawsheen Valley Regional Vocational Technical,08710000,"     $12,145,125","  $96,161",    126.3
Sherborn,02690000,"      $3,201,428","  $98,203",     32.6
Shrewsbury,02710000,"     $33,011,015","  $79,814",    413.6
Shutesbury,02720000,"      $1,004,379","  $61,243",     16.4
Silver Lake,07600000,"     $11,904,419","  $84,572",    140.8
Somerset,02730000,"     $10,362,510","  $77,102",    134.4
Somerset Berkley Regional School District,07630000,"      $5,854,541","  $72,457",     80.8
Somerville,02740000,"     $37,283,833","  $86,961",    428.7
South Hadley,02780000,"     $10,816,344","  $72,690",    148.8
South Middlesex Regional Vocational Technical,08290000,"      $6,811,481","  $85,144",     80.0
South Shore Regional Vocational Technical,08730000,"      $5,139,444","  $81,578",     63.0
Southampton,02750000,"      $2,685,642","  $69,939",     38.4
Southborough,02760000,"     $10,413,940"," $100,696",    103.4
Southbridge,02770000,"     $12,020,224","  $74,383",    161.6
Southeastern Regional Vocational Technical,08720000,"     $11,454,010","  $86,576",    132.3
Southern Berkshire,07650000,"      $5,421,731","  $75,407",     71.9
Southern Worcester County Regional Vocational Technical,08760000,"      $8,679,025","  $77,491",    112.0
Southwick-Tolland-Granville Regional School District,07660000,"      $9,062,677","  $70,362",    128.8
Spencer-E Brookfield,07670000,"      $7,509,490","  $65,931",    113.9
Springfield,02810000,"    $139,418,112","  $71,511","  1,949.6"
Stoneham,02840000,"     $14,388,959","  $73,676",    195.3
Stoughton,02850000,"     $25,247,933","  $83,327",    303.0
Sturbridge,02870000,"      $5,729,400","  $81,732",     70.1
Sudbury,02880000,"     $19,133,180","  $94,719",    202.0
Sunderland,02890000,"      $1,389,838","  $60,428",     23.0
Sutton,02900000,"      $7,755,918","  $78,106",     99.3
Swampscott,02910000,"     $15,120,283","  $81,864",    184.7
Swansea,02920000,"     $11,554,465","  $73,315",    157.6
Tantasqua,07700000,"     $11,210,547","  $80,536",    139.2
Taunton,02930000,"     $43,786,019","  $83,275",    525.8
Tewksbury,02950000,"     $20,160,037","  $77,212",    261.1
Tisbury,02960000,"      $3,539,898","  $93,376",     37.9
Topsfield,02980000,"      $4,480,931","  $82,068",     54.6
Tri-County Regional Vocational Technical,08780000,"      $8,514,015","  $90,962",     93.6
Triton,07730000,"     $15,733,906","  $78,946",    199.3
Truro,03000000,"      $1,332,122","  $83,258",     16.0
Tyngsborough,03010000,"     $10,413,179","  $81,569",    127.7
Up-Island Regional,07740000,"      $4,527,693","  $89,835",     50.4
Upper Cape Cod Regional Vocational Technical,08790000,"      $5,637,225","  $71,177",     79.2
Uxbridge,03040000,"      $9,725,823","  $74,243",    131.0
Wachusett,07750000,"     $36,107,090","  $77,867",    463.7
Wakefield,03050000,"     $21,414,527","  $80,932",    264.6
Wales,03060000,"        $820,652","  $78,909",     10.4
Walpole,03070000,"     $23,462,778","  $79,778",    294.1
Waltham,03080000,"     $42,988,665","  $81,976",    524.4
Ware,03090000,"      $5,989,791","  $65,106",     92.0
Wareham,03100000,"     $13,757,999","  $76,053",    180.9
Watertown,03140000,"     $21,926,120","  $83,624",    262.2
Wayland,03150000,"     $20,987,894","  $97,121",    216.1
Webster,03160000,"     $10,452,328","  $74,394",    140.5
Wellesley,03170000,"     $38,346,484","  $97,301",    394.1
Wellfleet,03180000,"      $1,025,695","  $78,900",     13.0
West Boylston,03220000,"      $6,735,617","  $81,446",     82.7
West Bridgewater,03230000,"      $7,279,034","  $81,604",     89.2
West Springfield,03320000,"     $22,929,387","  $70,228",    326.5
Westborough,03210000,"     $26,088,356","  $79,176",    329.5
Westfield,03250000,"     $31,548,758","  $73,978",    426.5
Westford,03260000,"     $31,756,045","  $86,249",    368.2
Westhampton,03270000,"        $892,259","  $60,698",     14.7
Weston,03300000,"     $18,573,717"," $100,873",    184.1
Westport,03310000,"      $9,065,611","  $80,943",    112.0
Westwood,03350000,"     $23,371,335","  $96,020",    243.4
Weymouth,03360000,"     $35,817,693","  $82,739",    432.9
Whately,03370000,"        $767,695","  $60,928",     12.6
Whitman-Hanson,07800000,"     $20,601,181","  $82,869",    248.6
Whittier Regional Vocational Technical,08850000,"      $9,887,539","  $87,346",    113.2
Williamsburg,03400000,"      $1,103,189","  $72,104",     15.3
Wilmington,03420000,"     $22,499,413","  $80,183",    280.6
Winchendon,03430000,"      $6,874,700","  $76,984",     89.3
Winchester,03440000,"     $28,918,485","  $80,240",    360.4
Winthrop,03460000,"     $10,834,018","  $74,053",    146.3
Woburn,03470000,"     $31,660,604","  $85,918",    368.5
Worcester,03480000,"    $151,535,395","  $80,121","  1,891.3"
Worthington,03490000,"        $376,966","  $53,852",      7.0
Wrentham,03500000,"      $6,138,763","  $76,543",     80.2
State Totals,00000000,"  $5,814,508,358","  $82,379"," 70,582.6"
