2015-16 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     750,  18.7,"      1,420",  52.9,  47.1,   8.0,  11.7,  34.2
Abington,00010000,     980,  21.6,"      1,978",  49.2,  50.8,   3.2,  13.6,  21.3
Academy Of the Pacific Rim Charter Public (District),04120000,     123,  22.8,        525,  54.3,  45.7,  10.3,  26.1,  31.6
Acton-Boxborough,06000000,"   2,122",  21.6,"      5,652",  47.9,  52.1,   4.1,  16.1,   5.5
Acushnet,00030000,     546,  18.3,        984,  47.9,  52.1,   0.4,  15.9,  21.1
Adams-Cheshire,06030000,     697,  15.8,"      1,340",  50.0,  50.0,   0.5,  24.0,  41.5
Advanced Math and Science Academy Charter (District),04300000,     480,  19.3,        981,  48.9,  51.1,   0.1,   4.5,   5.1
Agawam,00050000,"   2,600",  15.5,"      3,994",  48.3,  51.7,   4.9,  16.1,  26.3
Alma del Mar Charter School (District),04090000,      46,  34.2,        281,  53.7,  46.3,   7.1,  13.9,  51.6
Amesbury,00070000,"   1,191",  18.3,"      2,279",  47.4,  52.6,   1.4,  19.2,  21.1
Amherst,00080000,     326,  19.5,"      1,170",  49.1,  50.9,  15.3,  19.4,  30.8
Amherst-Pelham,06050000,"   1,184",  14.0,"      1,383",  48.6,  51.4,   4.6,  19.5,  20.5
Andover,00090000,"   2,790",  18.3,"      6,116",  49.9,  50.1,   3.2,  17.6,   6.1
Argosy Collegiate Charter School (District),35090000,      56,  25.5,        204,  47.1,  52.9,   7.8,  21.6,  43.6
Arlington,00100000,"   2,340",  18.0,"      5,355",  50.7,  49.3,   4.1,  13.9,   8.3
Ashburnham-Westminster,06100000,"   1,400",  18.7,"      2,395",  48.8,  51.2,   1.7,  16.5,  15.4
Ashland,00140000,"   1,213",  18.0,"      2,725",  50.4,  49.6,   4.7,  15.3,  12.8
Assabet Valley Regional Vocational Technical,08010000,     588,  16.2,"      1,072",  44.8,  55.2,   2.2,  30.4,  21.5
Athol-Royalston,06150000,     619,  17.2,"      1,443",  46.8,  53.2,   1.9,  28.5,  44.6
Atlantis Charter (District),04910000,     415,  21.7,"      1,024",  53.6,  46.4,   5.4,  12.8,  36.8
Attleboro,00160000,"   2,722",  19.9,"      5,970",  46.5,  53.5,   5.2,  15.8,  27.1
Auburn,00170000,"   1,163",  18.9,"      2,484",  50.6,  49.4,   3.1,   8.3,  15.8
Avon,00180000,     316,  14.7,        724,  49.9,  50.1,   2.3,  16.6,  25.0
Ayer Shirley School District,06160000,     846,  18.9,"      1,765",  48.0,  52.0,   3.6,  19.7,  24.0
Barnstable,00200000,"   1,937",  18.4,"      4,934",  48.8,  51.2,   9.5,  14.9,  30.1
Barnstable Community Horace Mann Charter Public (District),04270000,      86,  21.0,        288,  51.7,  48.3,  17.7,  10.1,  37.8
Baystate Academy Charter Public School (District),35020000,     153,  16.1,        299,  51.8,  48.2,  11.7,  16.7,  68.9
Bedford,00230000,"   1,226",  14.5,"      2,558",  48.8,  51.2,   6.0,  15.4,   7.5
Belchertown,00240000,"   1,212",  17.3,"      2,378",  48.7,  51.3,   0.7,  17.8,  17.7
Bellingham,00250000,     793,  18.3,"      2,317",  48.4,  51.6,   1.5,  18.7,  16.4
Belmont,00260000,"   1,414",  21.3,"      4,398",  50.1,  49.9,   6.5,   8.5,   7.2
Benjamin Banneker Charter Public (District),04200000,      69,  21.3,        345,  53.0,  47.0,   4.9,  13.3,  50.4
Benjamin Franklin Classical Charter Public (District),04470000,     162,  24.6,        450,  50.7,  49.3,   0.9,  11.6,   6.2
