2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     711,  19.0,"      1,424",  54.0,  46.0,  42.7,  11.5,  12.4
Abington,00010000,"   1,034",  22.4,"      2,194",  48.9,  51.1,  27.1,   7.5,  15.6
Academy Of the Pacific Rim Charter Public (District),04120000,     185,  19.1,        539,  49.5,  50.5,  44.9,  10.4,  26.2
Acton-Boxborough,06000000,"   2,190",  20.2,"      5,463",  48.2,  51.8,   7.9,   4.4,  14.6
Acushnet,00030000,     546,  20.2,"      1,016",  47.0,  53.1,  25.8,   1.0,  13.1
Advanced Math and Science Academy Charter (District),04300000,     510,  18.1,        964,  47.6,  52.4,   9.0,   3.2,   6.9
Agawam,00050000,"   2,460",  15.4,"      3,704",  48.4,  51.5,  32.0,   5.1,  15.8
Alma del Mar Charter School (District),04090000,     225,  24.2,        641,  53.7,  46.3,  60.7,  30.7,  20.3
Amesbury,00070000,"   1,114",  16.6,"      2,036",  47.6,  52.4,  25.3,   2.2,  21.1
Amherst,00080000,     361,  19.3,"      1,127",  47.8,  51.9,  32.8,  16.4,  22.4
Amherst-Pelham,06050000,"   1,031",  14.0,"      1,332",  48.4,  51.4,  27.1,   7.7,  20.8
Andover,00090000,"   2,783",  17.5,"      5,877",  49.3,  50.6,   8.7,   3.6,  19.7
Argosy Collegiate Charter School (District),35090000,     189,  22.2,        500,  45.8,  54.2,  59.0,  24.8,  19.4
Arlington,00100000,"   2,800",  17.7,"      6,086",  49.0,  50.9,   8.8,   5.0,  15.5
Ashburnham-Westminster,06100000,"   1,438",  18.6,"      2,400",  49.4,  50.5,  17.4,   1.7,  19.4
Ashland,00140000,"   1,315",  19.9,"      2,891",  49.0,  51.0,  16.2,   7.1,  16.7
Assabet Valley Regional Vocational Technical,08010000,     646,  16.4,"      1,130",  39.1,  60.4,  28.9,   4.0,  27.5
Athol-Royalston,06150000,     737,  18.5,"      1,545",  46.8,  53.2,  52.6,   2.7,  23.6
Atlantis Charter (District),04910000,     521,  23.9,"      1,304",  52.8,  47.2,  46.3,  13.2,  13.9
Attleboro,00160000,"   2,665",  21.4,"      6,074",  47.3,  52.7,  31.4,   5.7,  16.9
Auburn,00170000,"   1,462",  18.7,"      2,647",  50.2,  49.8,  20.3,   2.5,  10.2
Avon,00180000,     367,  13.1,        736,  48.1,  51.9,  31.9,   4.2,  19.0
Ayer Shirley School District,06160000,     870,  19.0,"      1,675",  47.4,  52.6,  25.9,   4.4,  21.2
Barnstable,00200000,"   2,301",  16.8,"      5,054",  48.8,  51.2,  38.4,  13.8,  16.9
Baystate Academy Charter Public School (District),35020000,     308,  15.0,        462,  48.9,  51.1,  66.7,   9.3,  19.3
Bedford,00230000,"   1,199",  16.0,"      2,684",  48.0,  52.0,   9.1,   5.5,  17.1
Belchertown,00240000,"   1,234",  16.4,"      2,258",  48.9,  51.2,  20.1,   1.0,  20.2
Bellingham,00250000,     842,  17.9,"      2,142",  50.6,  49.4,  21.5,   2.2,  20.5
Belmont,00260000,"   1,804",  22.2,"      4,770",  49.6,  50.4,   7.9,   8.6,   9.6
Benjamin Banneker Charter Public (District),04200000,      65,  22.1,        337,  52.2,  47.8,  54.3,   5.0,  14.8
Benjamin Franklin Classical Charter Public (District),04470000,     225,  24.5,        708,  50.9,  49.2,  12.2,   6.9,  13.0
Bentley Academy Charter School (District),35110000,     146,  17.7,        323,  53.9,  46.1,  66.9,  21.4,  13.9
Berkley,00270000,     325,  20.0,        919,  48.9,  51.1,  18.9,   1.0,  15.9
