2014-15 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Boston Preparatory Charter Public,04160000,     113,  22.1,        392,  52.6,  47.4,   7.4,  19.1,  34.9
Boston Renaissance Charter Public,04810000,     230,  19.6,        935,  51.3,  48.7,   6.5,  12.2,  45.5
Bourne,00360000,"   1,072",  17.7,"      2,046",  47.7,  52.3,   0.5,  17.1,  21.6
Boxford,00380000,     358,  15.6,        752,  47.1,  52.9,   0.9,  18.2,   3.1
Boylston,00390000,     168,  16.6,        300,  50.3,  49.7,   2.3,  11.3,   9.0
Braintree,00400000,"   3,019",  17.4,"      5,718",  49.7,  50.3,   3.1,  20.9,  16.3
Brewster,00410000,     302,  18.2,        499,  46.9,  53.1,   2.6,  20.0,  23.0
Bridge Boston Charter School,04170000,      16,  28.4,        190,  52.1,  47.9,  40.0,  20.0,  55.8
Bridgewater-Raynham,06250000,"   1,953",  19.8,"      5,300",  48.4,  51.6,   1.7,  12.7,  12.8
Brimfield,00430000,      92,  17.5,        290,  50.0,  50.0,   0.0,  13.4,  14.5
Bristol County Agricultural,09100000,     310,  17.5,        449,  70.4,  29.6,   0.0,  10.2,  14.0
Bristol-Plymouth Regional Vocational Technical,08100000,     974,  17.8,"      1,319",  42.7,  57.3,   0.3,  17.3,  20.7
Brockton,00440000,"   8,306",  18.9,"     17,301",  47.9,  52.1,  20.6,  12.8,  46.1
Brooke Charter School East Boston,04570000,     183,  17.8,        389,  51.7,  48.3,  13.9,   8.2,  40.9
Brooke Charter School Mattapan,04430000,     248,  17.6,        454,  47.6,  52.4,   5.3,   9.7,  46.9
Brooke Charter School Roslindale,04280000,     225,  18.7,        504,  51.8,  48.2,   1.4,   6.3,  36.5
Brookfield,00450000,      80,  21.2,        334,  50.6,  49.4,   0.9,  12.3,  23.1
Brookline,00460000,"   3,019",  16.9,"      7,546",  49.5,  50.5,   8.7,  15.9,   8.5
Burlington,00480000,"   2,021",  17.4,"      3,575",  48.2,  51.8,   2.9,  11.5,  10.1
Cambridge,00490000,"   3,807",  14.5,"      6,506",  49.7,  50.3,   8.4,  20.2,  28.6
Canton,00500000,"   1,896",  19.5,"      3,351",  50.3,  49.7,   1.7,  12.0,  11.0
Cape Cod Lighthouse Charter,04320000,      78,  29.2,        240,  52.9,  47.1,   0.0,  16.7,  18.3
Cape Cod Regional Vocational Technical,08150000,     484,  12.3,        642,  40.0,  60.0,   2.0,  25.1,  29.8
Carlisle,00510000,     228,  18.6,        644,  47.5,  52.5,   0.9,  15.7,   2.3
Carver,00520000,     823,  18.1,"      1,646",  48.7,  51.3,   0.2,  19.9,  19.4
Central Berkshire,06350000,"   1,041",  15.3,"      1,722",  49.1,  50.9,   0.5,  14.5,  24.6
Chelmsford,00560000,"   2,752",  18.9,"      5,177",  48.9,  51.1,   2.5,  15.5,   9.8
Chelsea,00570000,"   1,113",  22.2,"      6,506",  47.8,  52.2,  25.7,  11.9,  48.3
Chesterfield-Goshen,06320000,      45,  16.4,        158,  51.3,  48.7,   0.0,  18.4,  22.2
Chicopee,00610000,"   2,912",  17.2,"      7,901",  47.8,  52.2,   4.7,  18.8,  46.9
Christa McAuliffe Charter Public (District),04180000,     176,  20.1,        396,  50.5,  49.5,   4.0,  22.2,  12.9
City on a Hill Charter Public School Circuit Street (District),04370000,     113,  13.1,        271,  54.2,  45.8,   7.0,  22.1,  50.6
City on a Hill Charter Public School Dudley Square (District),35040000,      68,  14.8,        174,  54.0,  46.0,  10.3,  21.3,  45.4
City on a Hill Charter Public School New Bedford (District),35070000,      36,  12.8,         74,  54.1,  45.9,   6.8,  33.8,  56.8
Clarksburg,00630000,      60,  18.4,        170,  49.4,  50.6,   0.0,  23.5,  28.8
Clinton,00640000,     738,  18.0,"      1,855",  46.7,  53.3,   7.3,  20.8,  31.0
Codman Academy Charter Public (District),04380000,      82,  18.5,        288,  53.5,  46.5,   6.6,  25.7,  48.6
Cohasset,00650000,     805,  18.9,"      1,611",  48.5,  51.5,   0.2,  11.2,   4.0
Community Charter School of Cambridge,04360000,     388,  17.0,        391,  53.2,  46.8,   1.3,  22.0,  30.4
Community Day Charter Public School - Gateway,04260000,      70,  20.0,        200,  46.5,  53.5,  73.0,  12.5,  51.0
Community Day Charter Public School - Prospect,04400000,     126,  20.9,        399,  50.1,  49.9,  37.3,  11.3,  45.9
Community Day Charter Public School - R. Kingman Webster,04310000,      70,  19.9,        199,  48.2,  51.8,  51.8,   6.5,  52.8
Concord,00670000,     834,  17.5,"      2,097",  50.9,  49.1,   2.9,  16.9,   5.4
Concord-Carlisle,06400000,     544,  18.0,"      1,261",  52.0,  48.0,   0.6,  15.5,   4.8
Conservatory Lab Charter (District),04390000,      32,  19.1,        391,  46.8,  53.2,  15.9,  13.0,  27.9
Conway,00680000,      40,  16.7,        170,  41.8,  58.2,   0.0,  14.7,   9.4
Danvers,00710000,"   1,716",  19.0,"      3,587",  48.4,  51.6,   0.8,  15.7,  15.6
Dartmouth,00720000,"   1,686",  19.9,"      3,738",  48.2,  51.8,   2.4,  13.5,  18.1
Dedham,00730000,"   1,148",  16.9,"      2,814",  47.9,  52.1,   5.0,  18.4,  17.9
Deerfield,00740000,     151,  15.5,        443,  47.6,  52.4,   0.9,  18.7,  14.7
Dennis-Yarmouth,06450000,"   1,421",  15.8,"      3,099",  49.4,  50.6,   7.9,  16.7,  35.1
Dighton-Rehoboth,06500000,"   1,514",  19.7,"      2,954",  46.6,  53.4,   0.1,  12.7,  12.8
Dorchester Collegiate Academy Charter,04750000,      63,  20.1,        189,  45.0,  55.0,  16.9,  19.6,  52.9
Douglas,00770000,     620,  19.8,"      1,554",  50.1,  49.9,   0.1,  16.0,  13.6
Dover,00780000,     161,  19.0,        478,  45.2,  54.8,   2.5,  16.1,   3.1
Dover-Sherborn,06550000,     837,  15.0,"      1,185",  49.1,  50.9,   0.4,  14.4,   4.6
Dracut,00790000,"   1,583",  21.8,"      3,713",  48.1,  51.9,   1.1,  14.7,  18.6
Dudley Street Neighborhood Charter School,04070000,      33,  19.8,        218,  56.4,  43.6,  24.3,  13.8,  49.1
Dudley-Charlton Reg,06580000,"   1,573",  20.3,"      4,029",  49.9,  50.1,   1.7,  12.5,  17.6
Duxbury,00820000,"   1,398",  21.1,"      3,273",  48.3,  51.7,   0.6,  13.2,   5.5
East Bridgewater,00830000,     773,  23.1,"      2,316",  49.9,  50.1,   0.4,  17.1,  13.6
East Longmeadow,00870000,"   1,018",  18.2,"      2,695",  49.6,  50.4,   2.1,  17.6,  15.1
Eastham,00850000,     162,  13.5,        183,  50.3,  49.7,   0.5,  18.6,  26.8
Easthampton,00860000,     526,  19.3,"      1,554",  50.8,  49.2,   1.4,  17.1,  24.1
Easton,00880000,"   1,700",  19.9,"      3,837",  50.2,  49.8,   1.3,  15.5,  10.1
Edgartown,00890000,     258,  15.6,        360,  48.1,  51.9,  11.4,  26.4,  22.2
Edward M. Kennedy Academy for Health Careers,04520000,     147,  18.8,        358,  67.3,  32.7,  10.9,  14.0,  42.2
Erving,00910000,      49,  18.5,        146,  51.4,  48.6,   0.0,  22.6,  29.5
Essex North Shore Agricultural and Technical School District,08170000,     811,  16.2,"      1,108",  53.9,  46.1,   0.3,  23.1,  20.3
Everett,00930000,"   3,428",  20.1,"      7,078",  48.3,  51.7,  15.4,  13.9,  40.6
Excel Academy Charter,04100000,     207,  25.2,        606,  48.0,  52.0,  10.4,  19.1,  39.9
Fairhaven,00940000,"   1,041",  17.9,"      2,044",  48.1,  51.9,   1.2,  15.6,  24.4
Fall River,00950000,"   4,399",  19.2,"     10,160",  49.0,  51.0,   8.4,  17.8,  57.1
Falmouth,00960000,"   1,543",  17.5,"      3,544",  48.8,  51.2,   1.9,  18.4,  24.9
Farmington River Reg,06620000,      78,  14.6,        127,  46.5,  53.5,   0.0,  17.3,  27.6
Fitchburg,00970000,"   2,441",  18.7,"      5,258",  49.6,  50.4,  14.2,  20.4,  52.6
Florida,00980000,      64,   9.6,         90,  56.7,  43.3,   0.0,  34.4,  28.9
Four Rivers Charter Public,04130000,     333,  13.9,        219,  53.0,  47.0,   0.0,  16.0,  22.4
Foxborough,00990000,"   1,370",  16.3,"      2,734",  47.9,  52.1,   0.9,  17.3,  12.5
Foxborough Regional Charter,04460000,     476,  22.5,"      1,263",  53.5,  46.5,   6.6,  10.7,  11.2
Framingham,01000000,"   4,360",  16.9,"      8,525",  48.6,  51.4,  15.2,  22.9,  27.2
Francis W. Parker Charter Essential,04780000,     271,  16.8,        393,  47.3,  52.7,   0.0,  17.3,   2.3
Franklin,01010000,"   2,514",  19.2,"      5,697",  49.3,  50.7,   1.1,  15.4,   7.8
Franklin County Regional Vocational Technical,08180000,     322,  12.6,        501,  36.1,  63.9,   0.0,  28.5,  30.5
Freetown-Lakeville,06650000,"   1,021",  19.6,"      2,879",  49.4,  50.6,   0.2,  12.8,  13.9
Frontier,06700000,     472,  12.9,        609,  47.8,  52.2,   0.3,  19.9,  14.0
Gardner,01030000,     921,  18.0,"      2,483",  47.0,  53.0,   4.0,  21.8,  42.8
Gateway,06720000,     510,  14.8,        945,  50.4,  49.6,   0.5,  18.1,  27.2
Georgetown,01050000,     618,  18.3,"      1,488",  48.3,  51.7,   0.2,  13.5,   7.5
Gill-Montague,06740000,     602,  14.0,        975,  48.2,  51.8,   5.2,  21.1,  36.6
Global Learning Charter Public,04960000,     294,  15.6,        498,  52.4,  47.6,   7.0,  14.1,  40.0
Gloucester,01070000,"   1,102",  17.1,"      2,972",  48.4,  51.6,   3.3,  23.6,  32.2
Gosnold,01090000,       4,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,443",  21.4,"      3,195",  49.7,  50.3,   1.1,  16.2,  10.9
Granby,01110000,     602,  15.3,        889,  47.6,  52.4,   2.4,  15.1,  17.5
Greater Fall River Regional Vocational Technical,08210000,     932,  13.4,"      1,420",  43.1,  56.9,   0.0,  10.2,  28.8
Greater Lawrence Regional Vocational Technical,08230000,"   1,428",  12.0,"      1,334",  48.1,  51.9,   8.0,  20.7,  47.2
Greater Lowell Regional Vocational Technical,08280000,"   1,337",  17.5,"      2,104",  48.7,  51.3,   5.3,  22.0,  36.9
Greater New Bedford Regional Vocational Technical,08250000,"   1,547",  14.3,"      2,106",  52.1,  47.9,   2.4,  10.0,  30.2
Greenfield,01140000,     874,  15.0,"      1,682",  48.7,  51.3,   3.3,  15.8,  44.4
Groton-Dunstable,06730000,     953,  19.1,"      2,587",  48.1,  51.9,   0.5,  14.9,   5.8
Hadley,01170000,     339,  16.1,        624,  49.0,  51.0,   3.4,  13.5,  14.9
Halifax,01180000,     244,  19.2,        563,  47.1,  52.9,   0.5,  14.4,  16.9
Hamilton-Wenham,06750000,"   1,184",  17.3,"      1,875",  52.2,  47.8,   0.7,  13.4,   7.0
Hampden Charter School of Science,04990000,     292,  16.7,        378,  50.3,  49.7,   4.5,  11.1,  39.2
Hampden-Wilbraham,06800000,"   1,335",  18.6,"      3,288",  50.5,  49.5,   0.5,  14.3,  12.5
Hampshire,06830000,     494,  13.9,        751,  51.3,  48.7,   1.2,  18.8,  13.3
Hancock,01210000,      39,   4.9,         43,  48.8,  51.2,   0.0,  18.6,  25.6
Hanover,01220000,"   1,273",  18.8,"      2,650",  47.8,  52.2,   1.3,  19.3,   5.5
Harvard,01250000,     465,  17.0,"      1,148",  47.7,  52.3,   1.0,  11.2,   3.5
Hatfield,01270000,     290,  13.9,        460,  47.0,  53.0,   0.0,  19.3,   9.3
Haverhill,01280000,"   3,522",  18.1,"      7,338",  46.7,  53.3,   7.5,  20.9,  40.0
Hawlemont,06850000,      36,  12.8,        108,  54.6,  45.4,   0.0,  18.5,  36.1
Helen Y. Davis Leadership Academy Charter Public (District),04190000,     108,  18.4,        221,  54.3,  45.7,   9.0,  15.4,  46.6
Hill View Montessori Charter Public,04550000,      64,  22.1,        305,  57.7,  42.3,   2.6,  13.8,  14.8
Hilltown Cooperative Charter  Public,04500000,      42,  25.8,        193,  48.2,  51.8,   0.0,  18.1,  10.4
Hingham,01310000,"   1,938",  18.6,"      4,318",  48.3,  51.7,   0.0,  12.6,   5.1
Holbrook,01330000,     326,  16.7,"      1,215",  49.6,  50.4,   5.2,  17.4,  29.0
Holland,01350000,      73,  15.9,        238,  48.7,  51.3,   0.0,  14.7,  26.5
Holliston,01360000,"   1,489",  17.1,"      2,853",  49.6,  50.4,   2.2,  16.1,   5.2
Holyoke,01370000,"   2,730",  17.5,"      5,517",  46.3,  53.7,  27.6,  23.9,  66.1
Holyoke Community Charter,04530000,     198,  25.5,        702,  55.1,  44.9,   9.8,  16.5,  61.8
Hopedale,01380000,     546,  18.4,"      1,225",  47.3,  52.7,   1.4,  17.1,   9.6
Hopkinton,01390000,"   1,906",  20.0,"      3,494",  50.9,  49.1,   1.6,  13.3,   3.3
Hudson,01410000,"   1,499",  17.9,"      2,912",  50.2,  49.8,   4.9,  15.8,  18.8
Hull,01420000,     564,  15.1,"      1,031",  45.1,  54.9,   0.4,  12.8,  26.5
Innovation Academy Charter,04350000,     441,  19.2,        765,  50.2,  49.8,   2.5,  20.1,   9.3
Ipswich,01440000,     791,  17.9,"      1,916",  50.7,  49.3,   1.5,  13.1,  11.7
KIPP Academy Boston Charter School (District),04630000,      53,  25.8,        288,  43.4,  56.6,  29.5,  19.4,  56.9
KIPP Academy Lynn Charter,04290000,     269,  22.2,        842,  53.0,  47.0,  17.2,  11.9,  41.9
King Philip,06900000,     867,  20.1,"      2,117",  48.0,  52.0,   0.2,  11.5,   7.5
Kingston,01450000,     398,  21.4,"      1,076",  49.3,  50.7,   0.9,  14.6,  16.4
Lanesborough,01480000,      96,  16.1,        217,  55.3,  44.7,   0.0,  22.1,  24.9
Lawrence,01490000,"   5,128",  18.7,"     14,083",  48.1,  51.9,  31.4,  15.3,  64.7
Lawrence Family Development Charter,04540000,     304,  18.2,        673,  54.7,  45.3,  20.8,   6.7,  55.6
Lee,01500000,     395,  12.4,        695,  50.6,  49.4,   3.9,  12.8,  27.9
Leicester,01510000,     706,  19.1,"      1,648",  48.4,  51.6,   1.4,  15.7,  18.5
Lenox,01520000,     508,  12.7,        740,  48.8,  51.2,   2.2,   8.4,  17.2
Leominster,01530000,"   2,643",  18.5,"      6,184",  47.1,  52.9,   6.2,  20.9,  33.1
Leverett,01540000,      48,  16.6,        134,  46.3,  53.7,   0.0,  17.9,  23.1
Lexington,01550000,"   2,694",  19.6,"      6,864",  49.1,  50.9,   6.5,  12.9,   5.0
Lincoln,01570000,     648,  15.3,"      1,198",  51.2,  48.8,   2.3,  17.9,   4.6
Lincoln-Sudbury,06950000,"   1,240",  19.5,"      1,623",  51.8,  48.2,   0.6,  15.7,   4.6
Littleton,01580000,     638,  19.2,"      1,602",  51.7,  48.3,   0.7,  19.9,   6.8
Longmeadow,01590000,"   1,212",  19.3,"      2,895",  48.2,  51.8,   1.1,  17.1,   6.2
Lowell,01600000,"   7,889",  19.1,"     14,477",  48.1,  51.9,  26.9,  15.4,  50.1
Lowell Collegiate Charter School (District),35030000,      93,  26.9,        335,  52.5,  47.5,  13.7,   7.8,  39.4
Lowell Community Charter Public,04560000,     213,  22.5,        760,  50.1,  49.9,  47.4,  18.4,  45.7
Lowell Middlesex Academy Charter,04580000,     148,  14.2,        140,  47.9,  52.1,   0.0,  23.6,  51.4
Ludlow,01610000,"   1,375",  16.0,"      2,699",  49.7,  50.3,   2.0,  15.9,  22.6
Lunenburg,01620000,     697,  19.4,"      1,564",  47.1,  52.9,   1.1,  18.1,  14.8
Lynn,01630000,"   4,946",  19.8,"     14,957",  47.1,  52.9,  19.9,  15.2,  46.4
Lynnfield,01640000,     795,  18.5,"      2,227",  48.5,  51.5,   0.5,  17.5,   6.6
MATCH Charter Public School (District),04690000,     218,  20.6,        881,  51.3,  48.7,  35.3,  17.4,  51.8
Ma Academy for Math and Science,04680000,      18,  16.3,         49,  46.9,  53.1,   0.0,   0.0,   4.1
Malden,01650000,"   2,733",  20.0,"      6,676",  48.8,  51.2,  19.8,  15.2,  39.6
Manchester Essex Regional,06980000,     623,  17.6,"      1,499",  50.9,  49.1,   1.1,  12.7,   7.7
Mansfield,01670000,"   1,613",  17.5,"      4,197",  48.5,  51.5,   1.0,  14.2,  10.4
Marblehead,01680000,"   1,171",  20.6,"      3,268",  49.6,  50.4,   3.4,  19.6,   9.0
Marblehead Community Charter Public,04640000,     104,  19.4,        230,  45.7,  54.3,   0.0,  17.0,   5.7
Marion,01690000,     159,  19.9,        446,  51.1,  48.9,   0.0,  19.7,  14.8
Marlborough,01700000,"   2,303",  17.5,"      4,636",  48.7,  51.3,  17.3,  18.2,  26.7
Marshfield,01710000,"   1,528",  18.5,"      4,301",  49.2,  50.8,   0.6,  15.9,  11.9
Martha's Vineyard,07000000,     492,  12.0,        673,  48.4,  51.6,   2.8,  19.2,  16.9
Martha's Vineyard Charter,04660000,      69,  17.5,        183,  53.6,  46.4,   6.6,  21.9,  22.4
Martin Luther King Jr. Charter School of Excellence,04920000,     144,  20.1,        362,  47.2,  52.8,   7.5,  14.6,  68.2
Masconomet,07050000,     933,  17.8,"      1,968",  49.0,  51.0,   0.3,  13.3,   5.1
Mashpee,01720000,     938,  16.2,"      1,696",  49.2,  50.8,   2.9,  18.5,  26.1
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,     112,  17.8,        587,  53.8,  46.2,   0.9,  14.5,  39.0
Mattapoisett,01730000,     220,  18.1,        502,  45.6,  54.4,   0.4,  10.2,  13.1
Maynard,01740000,     722,  17.7,"      1,456",  49.3,  50.7,   3.8,  17.7,  13.7
Medfield,01750000,"   1,433",  17.8,"      2,652",  49.4,  50.6,   0.7,  11.7,   3.6
Medford,01760000,"   2,099",  15.3,"      4,542",  48.9,  51.1,   8.0,  18.2,  26.5
Medway,01770000,     996,  18.9,"      2,399",  50.0,  50.0,   0.3,  12.8,   7.9
Melrose,01780000,"   1,528",  20.3,"      3,687",  49.8,  50.2,   3.0,  15.0,  10.3
Mendon-Upton,07100000,     909,  18.8,"      2,366",  49.9,  50.1,   1.0,  15.0,   9.5
Methuen,01810000,"   2,419",  20.2,"      7,115",  47.6,  52.4,   8.1,  15.0,  29.1
Middleborough,01820000,"   1,647",  19.8,"      3,118",  49.1,  50.9,   0.7,  17.2,  24.0
Middleton,01840000,     303,  15.3,        762,  49.6,  50.4,   1.6,  18.8,   9.2
Milford,01850000,"   1,903",  18.4,"      4,233",  47.7,  52.3,   9.9,  15.2,  26.7
Millbury,01860000,     730,  17.8,"      1,725",  49.2,  50.8,   2.1,  16.5,  23.0
Millis,01870000,     510,  17.0,"      1,382",  47.9,  52.1,   0.5,  10.8,   9.5
Milton,01890000,"   1,432",  18.7,"      4,028",  48.8,  51.2,   1.5,  13.9,   8.1
Minuteman Regional Vocational Technical,08300000,     445,  12.8,        673,  31.9,  68.1,   0.1,  49.3,  19.3
Mohawk Trail,07170000,     478,  13.1,        974,  49.7,  50.3,   0.3,  20.3,  29.6
Monomoy Regional School District,07120000,"   1,255",  15.7,"      1,969",  50.1,  49.9,   3.8,  16.5,  24.2
Monson,01910000,     586,  17.6,"      1,103",  51.6,  48.4,   0.4,  14.1,  20.2
Montachusett Regional Vocational Technical,08320000,     776,  18.8,"      1,423",  44.8,  55.2,   0.2,  16.0,  19.7
Mount Greylock,07150000,     397,  12.0,        550,  46.4,  53.6,   0.2,  12.7,  15.3
Mystic Valley Regional Charter,04700000,     782,  22.7,"      1,493",  51.7,  48.3,   0.0,  14.9,  16.9
Nahant,01960000,      17,  19.0,        178,  50.0,  50.0,   0.0,  10.7,  13.5
Nantucket,01970000,     873,  17.0,"      1,545",  48.7,  51.3,  15.5,  13.7,  17.2
Narragansett,07200000,     591,  17.8,"      1,351",  48.9,  51.1,   0.0,  17.1,  24.0
Nashoba,07250000,"   1,444",  18.4,"      3,494",  49.4,  50.6,   1.2,  13.1,   6.2
Nashoba Valley Regional Vocational Technical,08520000,     345,  15.7,        709,  40.6,  59.4,   0.0,  33.4,  20.0
Natick,01980000,"   2,380",  19.8,"      5,398",  49.1,  50.9,   1.8,  14.8,   9.4
Nauset,06600000,"   1,009",  15.1,"      1,541",  52.4,  47.6,   1.9,  13.2,  18.1
Needham,01990000,"   2,190",  19.1,"      5,546",  50.4,  49.6,   1.9,  15.7,   4.5
Neighborhood House Charter,04440000,     102,  26.1,        400,  49.3,  50.8,   7.5,  15.3,  30.5
New Bedford,02010000,"   4,050",  18.4,"     12,913",  47.0,  53.0,  20.7,  20.9,  54.2
New Liberty Charter School of Salem (District),04670000,      22,  31.3,         82,  51.2,  48.8,  13.4,  35.4,  41.5
New Salem-Wendell,07280000,      29,  19.2,        157,  49.7,  50.3,   0.0,  21.0,  39.5
Newburyport,02040000,"   1,161",  18.6,"      2,348",  50.6,  49.4,   1.0,  11.8,   7.2
Newton,02070000,"   5,762",  17.9,"     12,737",  49.4,  50.6,   5.8,  19.8,   8.2
Norfolk,02080000,     214,  21.2,        890,  46.0,  54.0,   0.0,  15.7,   5.2
Norfolk County Agricultural,09150000,     408,  16.5,        496,  68.8,  31.3,   0.0,  14.3,  11.1
North Adams,02090000,     624,  14.8,"      1,503",  50.0,  50.0,   0.9,  26.3,  49.6
North Andover,02110000,"   2,486",  21.7,"      4,806",  48.6,  51.4,   1.5,  15.1,  11.5
North Attleborough,02120000,"   1,545",  19.6,"      4,648",  49.8,  50.2,   2.7,  15.9,  13.1
North Brookfield,02150000,     209,  14.5,        578,  47.4,  52.6,   0.0,  16.8,  30.1
North Middlesex,07350000,"   1,661",  20.4,"      3,365",  49.4,  50.6,   0.6,  18.8,  16.9
North Reading,02170000,"   1,196",  19.7,"      2,568",  49.5,  50.5,   0.5,  17.4,   6.5
Northampton,02100000,"   1,265",  15.9,"      2,702",  50.1,  49.9,   3.4,  20.0,  23.2
Northampton-Smith Vocational Agricultural,04060000,     323,  12.0,        431,  37.6,  62.4,   3.9,  36.4,  26.0
Northboro-Southboro,07300000,     766,  16.1,"      1,453",  52.9,  47.1,   1.4,   8.9,   6.4
Northborough,02130000,     656,  18.1,"      1,812",  48.2,  51.8,   5.3,  16.6,   9.3
Northbridge,02140000,"   1,084",  18.8,"      2,502",  48.3,  51.7,   1.6,  17.3,  22.6
