2014-15 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     755,  19.1,"      1,445",  52.6,  47.4,   7.3,  10.6,  31.6
Abington,00010000,"   1,012",  21.6,"      1,985",  48.5,  51.5,   2.1,  12.4,  19.5
Academy Of the Pacific Rim Charter Public,04120000,     122,  23.2,        516,  55.0,  45.0,   0.2,  25.8,  27.1
Acton-Boxborough,06000000,"   2,151",  21.5,"      5,682",  48.0,  52.0,   3.5,  16.1,   5.1
Acushnet,00030000,     537,  18.1,        979,  48.5,  51.5,   0.6,  17.4,  19.2
Adams-Cheshire,06030000,     767,  15.4,"      1,386",  48.9,  51.1,   0.3,  23.2,  38.6
Advanced Math and Science Academy Charter (District),04300000,     468,  19.9,        996,  48.0,  52.0,   0.1,   3.9,   6.3
Agawam,00050000,"   2,565",  16.0,"      4,084",  48.8,  51.2,   4.1,  15.1,  25.1
Alma del Mar Charter School,04090000,      24,  39.4,        237,  54.4,  45.6,  15.2,  20.7,  53.6
Amesbury,00070000,"   1,190",  18.4,"      2,315",  47.0,  53.0,   1.3,  18.8,  18.6
Amesbury Academy Charter Public (District),04150000,      37,   9.9,         40,  45.0,  55.0,   0.0,  57.5,  55.0
Amherst,00080000,     317,  20.7,"      1,206",  48.8,  51.2,  15.5,  19.8,  29.2
Amherst-Pelham,06050000,"   1,319",  13.5,"      1,445",  47.3,  52.7,   5.0,  19.2,  18.3
Andover,00090000,"   2,801",  18.4,"      6,154",  49.7,  50.3,   2.6,  17.1,   6.0
Argosy Collegiate Charter School (District),35090000,      28,  25.5,        102,  44.1,  55.9,   9.8,  19.6,  41.2
Arlington,00100000,"   1,791",  18.0,"      5,197",  50.4,  49.6,   4.0,  13.5,   8.4
Ashburnham-Westminster,06100000,"   1,338",  18.7,"      2,351",  49.2,  50.8,   1.8,  17.3,  12.7
Ashland,00140000,"   1,061",  18.3,"      2,640",  50.5,  49.5,   3.7,  14.4,  11.5
Assabet Valley Regional Vocational Technical,08010000,     659,  15.0,"      1,054",  44.7,  55.3,   1.5,  33.3,  21.1
Athol-Royalston,06150000,     620,  17.4,"      1,430",  46.0,  54.0,   1.6,  28.0,  41.9
Atlantis Charter,04910000,     290,  21.7,        878,  54.9,  45.1,   3.8,  12.6,  35.1
Attleboro,00160000,"   2,755",  19.9,"      5,953",  47.0,  53.0,   6.8,  17.4,  26.3
Auburn,00170000,"   1,113",  18.3,"      2,387",  50.4,  49.6,   2.8,  10.3,  16.4
Avon,00180000,     298,  15.9,        752,  50.7,  49.3,   1.3,  16.1,  23.8
Ayer Shirley School District,06160000,     861,  17.8,"      1,672",  48.1,  51.9,   3.3,  23.3,  22.1
Barnstable,00200000,"   1,977",  17.8,"      4,936",  49.5,  50.5,   7.7,  15.9,  28.2
Barnstable Community Horace Mann Charter Public,04270000,      86,  20.9,        281,  50.9,  49.1,  21.7,  11.4,  43.4
Baystate Academy Charter Public School (District),35020000,     133,  16.4,        225,  53.3,  46.7,  10.7,  11.6,  62.2
Bedford,00230000,"   1,310",  13.6,"      2,541",  49.5,  50.5,   5.3,  15.1,   8.3
Belchertown,00240000,"   1,178",  17.7,"      2,374",  48.4,  51.6,   0.6,  16.5,  16.3
Bellingham,00250000,     922,  18.9,"      2,415",  48.5,  51.5,   1.3,  17.8,  16.7
Belmont,00260000,"   1,308",  21.8,"      4,291",  50.5,  49.5,   4.1,   8.2,   7.1
Benjamin Banneker Charter Public (District),04200000,      65,  22.5,        343,  53.9,  46.1,   4.7,  13.1,  49.9
Benjamin Franklin Classical Charter Public,04470000,     179,  23.5,        449,  52.1,  47.9,   0.0,   9.8,   2.9
Berkley,00270000,     333,  18.3,        853,  49.7,  50.3,   0.1,  16.1,  11.8
Berkshire Arts and Technology Charter Public,04140000,     164,  15.5,        339,  50.7,  49.3,   1.8,  23.9,  32.4
Berkshire Hills,06180000,     765,  15.4,"      1,340",  49.0,  51.0,   2.2,  15.6,  24.7
Berlin,00280000,     113,  16.0,        191,  38.7,  61.3,   3.1,  19.9,  14.7
Berlin-Boylston,06200000,     304,  16.2,        549,  52.6,  47.4,   1.3,  15.5,   7.8
Beverly,00300000,"   1,277",  19.3,"      4,500",  48.6,  51.4,   2.4,  18.8,  23.4
Billerica,00310000,"   2,010",  19.3,"      5,171",  48.8,  51.2,   0.9,  17.1,  14.0
Blackstone Valley Regional Vocational Technical,08050000,     640,  18.0,"      1,184",  52.4,  47.6,   0.2,  10.1,   9.5
Blackstone-Millville,06220000,     843,  18.1,"      1,778",  49.6,  50.4,   2.6,  16.2,  17.7
Blue Hills Regional Vocational Technical,08060000,     366,  16.0,        843,  45.1,  54.9,   0.4,  23.3,  21.1
Boston,00350000,"  22,858",  17.9,"     54,021",  48.0,  52.0,  27.6,  19.7,  49.3
Boston Collegiate Charter,04490000,     265,  21.5,        691,  53.8,  46.2,   4.9,  19.5,  23.2
Boston Day and Evening Academy Charter,04240000,     288,  15.7,        469,  53.3,  46.7,  13.0,  28.4,  44.8
Boston Green Academy Horace Mann Charter School,04110000,     162,  14.9,        396,  46.5,  53.5,  16.2,  27.5,  50.5
