2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     698,  19.3,"      1,420",  53.6,  46.4,   9.2,  12.2,  36.3
Abington,00010000,"   1,073",  21.0,"      2,087",  49.6,  50.4,   5.6,  13.6,  22.1
Academy Of the Pacific Rim Charter Public (District),04120000,     167,  20.9,        521,  51.4,  48.6,  12.7,  25.5,  34.7
Acton-Boxborough,06000000,"   2,179",  21.4,"      5,658",  48.2,  51.8,   5.0,  14.8,   6.0
Acushnet,00030000,     435,  19.1,        989,  47.7,  52.3,   0.9,  14.2,  23.3
Adams-Cheshire,06030000,     742,  16.6,"      1,205",  48.8,  51.2,   0.6,  26.0,  48.2
Advanced Math and Science Academy Charter (District),04300000,     489,  19.3,        983,  46.9,  53.1,   2.5,   5.4,   6.6
Agawam,00050000,"   2,618",  15.9,"      3,879",  48.2,  51.8,   5.4,  16.3,  28.5
Alma del Mar Charter School (District),04090000,     131,  19.0,        398,  54.8,  45.2,  22.9,  16.1,  55.5
Amesbury,00070000,"   1,136",  17.2,"      2,166",  46.7,  53.3,   1.3,  20.5,  22.3
Amherst,00080000,     312,  20.2,"      1,162",  48.4,  51.5,  17.1,  22.0,  34.0
Amherst-Pelham,06050000,     939,  14.0,"      1,345",  47.6,  52.3,   6.8,  19.6,  24.9
Andover,00090000,"   2,710",  18.2,"      6,004",  49.9,  50.1,   3.9,  18.5,   6.8
Argosy Collegiate Charter School (District),35090000,     135,  24.8,        410,  46.1,  53.9,  24.9,  23.2,  53.4
Arlington,00100000,"   2,562",  18.1,"      5,743",  49.5,  50.4,   4.8,  15.7,   8.2
Ashburnham-Westminster,06100000,"   1,428",  18.5,"      2,380",  49.8,  50.1,   1.8,  18.5,  15.3
Ashland,00140000,"   1,306",  18.4,"      2,803",  50.3,  49.6,   5.2,  16.1,  12.5
Assabet Valley Regional Vocational Technical,08010000,     648,  16.6,"      1,111",  40.7,  59.2,   3.2,  29.3,  22.4
Athol-Royalston,06150000,     649,  17.4,"      1,544",  47.0,  53.0,   2.6,  27.8,  47.7
Atlantis Charter (District),04910000,     502,  23.6,"      1,207",  53.3,  46.7,   9.9,  13.2,  39.9
Attleboro,00160000,"   2,631",  21.6,"      6,026",  47.5,  52.5,   5.9,  15.8,  29.7
Auburn,00170000,"   1,271",  19.0,"      2,630",  50.1,  49.9,   4.0,   9.8,  17.1
Avon,00180000,     322,  13.7,        733,  46.4,  53.3,   4.0,  16.5,  27.8
Ayer Shirley School District,06160000,     880,  19.2,"      1,712",  48.4,  51.6,   4.1,  17.2,  24.2
Barnstable,00200000,"   1,994",  17.3,"      4,885",  48.7,  51.3,  10.8,  15.5,  30.8
Barnstable Community Horace Mann Charter Public (District),04270000,      87,  20.4,        299,  48.5,  51.5,  20.7,   9.7,  38.5
Baystate Academy Charter Public School (District),35020000,     297,  15.8,        447,  49.7,  50.3,  13.2,  19.0,  67.8
Bedford,00230000,"   1,147",  16.5,"      2,664",  49.3,  50.6,   5.7,  15.8,   8.6
Belchertown,00240000,"   1,167",  17.7,"      2,328",  49.1,  50.9,   0.9,  18.4,  18.4
Bellingham,00250000,     863,  18.0,"      2,279",  48.9,  51.1,   1.8,  19.0,  18.4
Belmont,00260000,"   1,788",  22.3,"      4,624",  49.3,  50.7,   7.5,   9.2,   6.8
Benjamin Banneker Charter Public (District),04200000,      65,  23.0,        350,  50.9,  49.1,   5.1,  16.6,  50.3
Benjamin Franklin Classical Charter Public (District),04470000,     154,  24.7,        445,  51.0,  49.0,   5.6,  12.4,   7.0
Bentley Academy Charter School (District),35110000,     146,  16.2,        281,  50.2,  49.8,  21.4,  18.1,  64.4
Berkley,00270000,     252,  20.4,        918,  51.0,  49.0,   0.7,  15.0,  15.7
Berkshire Arts and Technology Charter Public (District),04140000,     138,  17.9,        358,  49.4,  50.6,   0.6,  22.3,  39.1
Berkshire Hills,06180000,     887,  15.1,"      1,258",  48.3,  51.7,   3.2,  17.6,  26.8
Berlin,00280000,     122,  14.6,        189,  44.4,  55.6,   3.2,  15.9,  15.3
Berlin-Boylston,06200000,     289,  17.0,        590,  45.9,  54.1,   1.9,  15.9,  10.7
Beverly,00300000,"   1,219",  19.8,"      4,546",  48.0,  52.0,   3.7,  20.0,  24.5
Billerica,00310000,"   2,303",  18.1,"      4,777",  48.7,  51.3,   1.7,  17.3,  15.7
Blackstone Valley Regional Vocational Technical,08050000,     679,  17.2,"      1,219",  49.6,  50.4,   0.2,   8.9,   9.4
Blackstone-Millville,06220000,     809,  18.8,"      1,695",  48.7,  51.3,   2.2,  16.4,  19.7
Blue Hills Regional Vocational Technical,08060000,     427,  14.8,        841,  44.6,  55.4,   0.5,  25.6,  22.2
Boston,00350000,"  23,675",  17.7,"     54,060",  48.2,  51.8,  30.0,  20.1,  55.9
Boston Collegiate Charter (District),04490000,     247,  21.0,        710,  51.4,  48.6,   3.8,  17.6,  28.5
Boston Day and Evening Academy Charter (District),04240000,     311,  15.7,        512,  53.7,  46.3,   6.3,  24.0,  56.4
Boston Green Academy Horace Mann Charter School (District),04110000,     258,  13.7,        457,  48.4,  51.6,  14.9,  30.0,  62.1
Boston Preparatory Charter Public (District),04160000,      97,  36.6,        489,  48.5,  51.5,  16.0,  22.7,  37.4
Boston Renaissance Charter Public (District),04810000,     236,  19.2,        934,  52.0,  48.0,  11.7,  13.7,  48.7
Bourne,00360000,"   1,064",  17.9,"      1,974",  50.4,  49.6,   0.8,  16.0,  25.6
Boxford,00380000,     312,  15.4,        733,  48.8,  51.2,   0.5,  19.0,   4.4
Boylston,00390000,     158,  18.9,        303,  52.1,  47.9,   1.7,  15.5,   8.3
Braintree,00400000,"   3,046",  17.7,"      5,886",  49.5,  50.5,   5.9,  20.4,  17.9
Brewster,00410000,     257,  19.3,        484,  49.8,  50.2,   3.7,  20.2,  23.6
Bridge Boston Charter School (District),04170000,      80,  17.6,        314,  51.3,  48.7,  23.2,  24.2,  58.6
Bridgewater-Raynham,06250000,"   1,929",  20.3,"      5,404",  48.5,  51.5,   1.6,  15.5,  15.8
Brimfield,00430000,      85,  17.8,        300,  50.0,  50.0,   0.0,  17.0,  18.0
Bristol County Agricultural,09100000,     322,  17.5,        455,  70.5,  29.0,   0.0,  11.6,  20.0
