2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Bristol-Plymouth Regional Vocational Technical,08100000,     992,  17.3,"      1,268",  43.0,  56.8,   0.2,  12.5,  23.5
Brockton,00440000,"   7,952",  20.1,"     17,096",  48.0,  52.0,  23.7,  15.9,  52.0
Brooke Charter School (District),04280000,     716,  19.9,"      1,738",  51.7,  48.3,   7.5,  10.8,  44.6
Brookfield,00450000,      77,  20.3,        317,  49.2,  50.8,   0.0,  15.1,  26.8
Brookline,00460000,"   4,311",  17.4,"      7,779",  49.1,  50.8,  10.7,  15.9,   9.6
Burlington,00480000,"   2,033",  16.9,"      3,567",  49.6,  50.4,   4.6,  11.8,  10.8
Cambridge,00490000,"   3,783",  15.2,"      7,014",  49.3,  50.7,   9.1,  20.7,  28.2
Canton,00500000,"   2,384",  18.5,"      3,335",  49.5,  50.4,   2.6,  11.5,  13.9
Cape Cod Lighthouse Charter (District),04320000,     174,  15.8,        243,  55.1,  44.9,   1.6,  15.6,  16.5
Cape Cod Regional Vocational Technical,08150000,     426,  13.3,        601,  35.8,  64.2,   1.5,  29.0,  32.9
Carlisle,00510000,     236,  17.6,        622,  45.7,  54.3,   3.2,  16.9,   4.0
Carver,00520000,     802,  17.5,"      1,570",  49.7,  50.3,   0.8,  21.4,  21.3
Central Berkshire,06350000,     778,  18.1,"      1,618",  48.5,  51.5,   0.6,  15.0,  29.5
Chelmsford,00560000,"   2,385",  17.8,"      5,042",  48.3,  51.7,   3.5,  16.1,  11.9
Chelsea,00570000,"   1,334",  22.2,"      6,479",  47.4,  52.6,  37.7,  14.7,  61.6
Chesterfield-Goshen,06320000,      64,  13.6,        138,  50.7,  49.3,   0.0,  28.3,  26.1
Chicopee,00610000,"   2,933",  17.3,"      7,741",  46.8,  53.1,   6.4,  18.6,  51.4
Christa McAuliffe Charter Public (District),04180000,     175,  19.9,        387,  48.1,  51.9,   3.9,  21.7,  18.1
City on a Hill Charter Public School Circuit Street (District),04370000,     120,  13.3,        264,  50.4,  49.2,  14.8,  23.1,  56.1
City on a Hill Charter Public School Dudley Square (District),35040000,     114,  14.5,        255,  54.5,  45.5,  19.6,  23.9,  54.1
City on a Hill Charter Public School New Bedford (District),35070000,      82,  15.7,        217,  54.4,  45.2,  18.0,  30.4,  65.0
Clarksburg,00630000,     108,  15.5,        191,  51.3,  48.7,   0.0,  24.6,  29.8
Clinton,00640000,     765,  17.8,"      1,899",  46.9,  53.1,   9.1,  22.4,  33.9
Codman Academy Charter Public (District),04380000,     137,  15.2,        335,  49.3,  50.7,   6.3,  18.8,  50.7
Cohasset,00650000,     876,  19.2,"      1,595",  48.3,  51.7,   0.2,  13.6,   4.3
Collegiate Charter School of Lowell (District),35030000,     212,  27.5,        739,  51.0,  49.0,  20.6,  13.7,  35.7
Community Charter School of Cambridge (District),04360000,     193,  13.2,        355,  51.8,  48.2,   2.5,  17.7,  29.9
Community Day Charter Public School - Gateway (District),04260000,     108,  20.0,        320,  47.8,  52.2,  28.8,  10.9,  45.9
Community Day Charter Public School - Prospect (District),04400000,     126,  21.3,        400,  50.5,  49.5,  40.5,  12.5,  47.5
Community Day Charter Public School - R. Kingman Webster (District),04310000,     108,  20.1,        320,  50.6,  49.4,  27.5,   9.7,  50.0
Concord,00670000,"   1,130",  15.6,"      2,108",  49.0,  50.9,   2.5,  17.2,   5.7
Concord-Carlisle,06400000,     886,  16.0,"      1,265",  52.0,  47.9,   0.4,  16.2,   5.5
Conservatory Lab Charter (District),04390000,      74,  18.0,        448,  54.5,  45.5,  17.0,  13.2,  43.3
Conway,00680000,     103,  16.4,        140,  44.3,  55.7,   0.0,  20.7,  27.1
Danvers,00710000,"   1,737",  18.5,"      3,505",  48.5,  51.5,   1.1,  16.4,  15.3
Dartmouth,00720000,"   1,869",  18.3,"      3,699",  47.1,  52.9,   2.8,  15.4,  21.2
Dedham,00730000,"   1,278",  16.8,"      2,723",  48.3,  51.7,   7.7,  23.2,  22.0
Deerfield,00740000,     287,  18.0,        409,  50.6,  49.4,   0.7,  22.5,  17.8
Dennis-Yarmouth,06450000,"   1,337",  16.4,"      3,098",  48.4,  51.6,   9.0,  19.1,  38.8
Dighton-Rehoboth,06500000,"   1,455",  19.4,"      2,942",  47.9,  52.1,   0.2,  15.3,  14.2
Douglas,00770000,     528,  18.6,"      1,331",  48.9,  51.1,   0.5,  19.2,  14.6
Dover,00780000,     205,  18.1,        498,  44.2,  55.8,   4.0,  14.7,   2.0
Dover-Sherborn,06550000,     707,  16.9,"      1,199",  49.3,  50.6,   0.6,  14.6,   3.9
Dracut,00790000,"   1,650",  20.3,"      3,600",  48.9,  51.1,   2.0,  16.6,  21.7
Dudley Street Neighborhood Charter School (District),04070000,      38,  20.9,        286,  53.8,  46.2,  22.4,  11.9,  56.6
Dudley-Charlton Reg,06580000,"   1,706",  18.9,"      3,950",  49.2,  50.8,   2.1,  13.9,  20.0
Duxbury,00820000,"   1,399",  20.6,"      3,133",  49.6,  50.3,   0.4,  13.5,   5.6
East Bridgewater,00830000,"   1,027",  21.2,"      2,311",  49.2,  50.8,   0.9,  19.0,  15.4
East Longmeadow,00870000,"   1,102",  18.8,"      2,658",  48.2,  51.8,   2.3,  16.9,  17.9
Eastham,00850000,     143,  13.2,        187,  48.7,  51.3,   2.7,  21.4,  17.6
Easthampton,00860000,     551,  18.0,"      1,568",  49.7,  50.2,   2.4,  18.6,  28.4
Easton,00880000,"   1,216",  19.8,"      3,771",  49.8,  50.2,   1.6,  17.6,  11.9
Edgartown,00890000,     255,  16.2,        359,  51.3,  48.7,  20.3,  23.7,  28.7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     156,  18.2,        360,  61.4,  38.6,  14.7,  14.7,  53.6
Erving,00910000,      56,  18.1,        144,  47.9,  52.1,   1.4,  18.8,  27.1
Essex North Shore Agricultural and Technical School District,08170000,     833,  17.4,"      1,369",  58.4,  41.6,   0.3,  16.4,  16.0
Everett,00930000,"   3,536",  19.7,"      7,121",  48.7,  51.3,  23.3,  17.3,  47.1
Excel Academy Charter (District),04100000,     405,  24.2,"      1,131",  50.7,  49.3,  15.3,  20.5,  40.1
Fairhaven,00940000,     996,  18.6,"      2,063",  49.4,  50.6,   2.0,  16.0,  27.0
Fall River,00950000,"   4,673",  18.6,"     10,474",  48.4,  51.6,  16.7,  20.4,  66.2
Falmouth,00960000,"   1,757",  17.0,"      3,388",  48.7,  51.3,   3.8,  17.2,  28.2
Farmington River Reg,06620000,      76,  13.5,        123,  38.2,  61.8,   0.0,  22.0,  38.2
Fitchburg,00970000,"   2,340",  19.2,"      5,585",  48.2,  51.8,  13.0,  22.2,  58.9
Florida,00980000,      85,   7.9,         82,  48.8,  51.2,   0.0,  31.7,  24.4
Four Rivers Charter Public (District),04130000,     363,  13.0,        223,  49.3,  50.7,   0.0,  13.0,  25.1
Foxborough,00990000,"   1,501",  16.8,"      2,624",  47.9,  52.1,   2.2,  19.3,  14.9
Foxborough Regional Charter (District),04460000,     768,  20.1,"      1,500",  52.8,  47.1,  13.5,   8.2,  18.3
Framingham,01000000,"   4,718",  17.0,"      8,906",  49.0,  51.0,  23.1,  22.3,  32.5
Francis W. Parker Charter Essential (District),04780000,     238,  17.2,        400,  53.3,  46.3,   0.0,  14.0,   4.3
Franklin,01010000,"   2,436",  18.9,"      5,355",  48.1,  51.8,   1.1,  17.4,   9.0
Franklin County Regional Vocational Technical,08180000,     289,  14.6,        491,  31.2,  68.8,   0.2,  31.8,  33.4
Freetown-Lakeville,06650000,     980,  19.3,"      2,813",  49.3,  50.7,   0.7,  14.7,  16.7
Frontier,06700000,     445,  13.1,        625,  46.1,  53.9,   1.4,  19.4,  18.6
Gardner,01030000,     835,  18.8,"      2,381",  48.0,  52.0,   3.8,  22.7,  50.4
Gateway,06720000,     564,  14.3,        838,  48.1,  51.9,   2.7,  20.2,  29.5
Georgetown,01050000,     685,  15.5,"      1,447",  49.0,  51.0,   0.2,  12.9,   8.8
Gill-Montague,06740000,     579,  14.2,        959,  49.2,  50.8,   5.0,  24.7,  44.7
Global Learning Charter Public (District),04960000,     412,  14.4,        505,  49.9,  50.1,   9.3,  14.9,  52.1
Gloucester,01070000,"   1,124",  17.1,"      2,936",  48.0,  52.0,   5.9,  26.0,  34.6
Gosnold,01090000,      11,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,580",  19.2,"      3,192",  48.1,  51.9,   1.1,  18.4,  10.8
Granby,01110000,     428,  15.9,        709,  47.0,  53.0,   3.8,  16.2,  24.8
Greater Fall River Regional Vocational Technical,08210000,     886,  13.7,"      1,386",  44.0,  56.0,   2.2,   9.7,  35.6
Greater Lawrence Regional Vocational Technical,08230000,"   1,363",  13.5,"      1,488",  50.1,  49.9,  12.4,  20.8,  50.6
Greater Lowell Regional Vocational Technical,08280000,"   1,362",  18.8,"      2,226",  44.4,  55.6,   6.1,  15.5,  41.1
Greater New Bedford Regional Vocational Technical,08250000,"   1,792",  15.7,"      2,153",  49.6,  50.4,   3.1,  10.6,  36.4
Greenfield,01140000,     959,  16.1,"      1,737",  48.0,  51.9,   6.4,  16.6,  48.3
Groton-Dunstable,06730000,     920,  18.7,"      2,463",  49.4,  50.6,   1.1,  17.2,   6.9
Hadley,01170000,     435,  14.6,        525,  46.9,  53.1,   2.9,  14.1,  17.1
Halifax,01180000,     240,  21.5,        604,  49.7,  50.3,   0.8,  15.7,  17.7
Hamilton-Wenham,06750000,     901,  17.8,"      1,786",  51.1,  48.9,   0.6,  15.7,   6.2
Hampden Charter School of Science East (District),04990000,     254,  17.5,        485,  52.0,  48.0,   3.3,  11.8,  37.5
Hampden-Wilbraham,06800000,"   1,101",  19.4,"      3,098",  50.3,  49.7,   0.8,  14.7,  14.5
Hampshire,06830000,     541,  12.9,        703,  54.5,  45.5,   1.0,  21.2,  15.8
Hancock,01210000,      82,   5.0,         44,  38.6,  61.4,   0.0,   9.1,  18.2
Hanover,01220000,"   1,559",  19.1,"      2,617",  47.2,  52.7,   0.8,  18.0,   7.8
Harvard,01250000,     552,  16.8,"      1,107",  49.4,  50.5,   1.6,  10.7,   3.8
Hatfield,01270000,     264,  14.3,        442,  47.5,  52.3,   0.0,  19.5,  13.1
Haverhill,01280000,"   4,250",  18.3,"      7,619",  48.1,  51.9,  10.5,  22.4,  45.1
Hawlemont,06850000,      39,  20.0,        160,  58.8,  41.3,   0.0,  23.8,  50.0
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      85,  19.2,        232,  46.6,  53.4,   8.2,  27.2,  56.5
Hill View Montessori Charter Public (District),04550000,     113,  20.3,        301,  57.8,  42.2,   7.0,  18.6,  16.9
Hilltown Cooperative Charter Public (District),04500000,      78,  25.8,        218,  46.3,  53.7,   0.0,  20.2,  15.1
Hingham,01310000,"   1,920",  18.6,"      4,319",  48.3,  51.7,   0.4,  12.2,   5.0
Holbrook,01330000,     449,  18.1,"      1,249",  48.3,  51.7,   7.5,  18.9,  31.6
Holland,01350000,      65,  17.9,        235,  48.5,  51.5,   0.0,  15.3,  26.0
Holliston,01360000,"   1,520",  16.7,"      2,927",  48.5,  51.5,   2.4,  16.7,   6.9
Holyoke,01370000,"   2,027",  18.7,"      5,398",  47.2,  52.8,  23.1,  25.1,  75.8
Holyoke Community Charter (District),04530000,     197,  24.6,        703,  55.9,  44.1,  15.5,  19.6,  65.9
Hopedale,01380000,     590,  16.5,"      1,139",  48.1,  51.9,   1.4,  19.9,  10.7
Hopkinton,01390000,"   1,896",  19.6,"      3,597",  49.5,  50.5,   4.3,  12.3,   4.5
Hudson,01410000,"   1,463",  17.2,"      2,650",  50.7,  49.3,   9.7,  15.2,  20.9
Hull,01420000,     546,  14.2,        921,  46.7,  53.3,   0.4,  20.6,  27.9
Innovation Academy Charter (District),04350000,     465,  18.1,        799,  51.7,  48.3,   1.9,  18.6,   8.6
Ipswich,01440000,     958,  16.9,"      1,747",  49.7,  50.2,   2.3,  16.8,  13.3
KIPP Academy Boston Charter School (District),04630000,      92,  38.5,        556,  46.8,  53.2,  30.8,  21.4,  62.8
KIPP Academy Lynn Charter (District),04290000,     426,  23.9,"      1,343",  50.2,  49.8,  28.1,  13.3,  46.5
King Philip,06900000,     822,  19.3,"      2,052",  47.7,  52.2,   0.5,  13.2,   8.1
Kingston,01450000,     381,  20.7,"      1,020",  48.7,  51.2,   1.3,  17.0,  16.1
Lanesborough,01480000,     125,  16.2,        214,  55.1,  44.9,   0.0,  22.0,  24.3
Lawrence,01490000,"   5,272",  19.6,"     14,192",  48.1,  51.9,  36.6,  19.5,  62.4
Lawrence Family Development Charter (District),04540000,     327,  18.2,        734,  54.2,  45.8,  28.9,   7.5,  53.7
Lee,01500000,     405,  13.3,        691,  49.3,  50.7,   4.1,  11.6,  35.5
Leicester,01510000,     703,  18.5,"      1,598",  45.9,  54.1,   2.7,  16.8,  24.8
Lenox,01520000,     526,  13.1,        748,  50.4,  49.6,   2.5,  10.2,  15.6
Leominster,01530000,"   2,859",  20.3,"      6,229",  47.8,  52.2,   9.8,  22.9,  37.7
Leverett,01540000,      45,  16.0,        127,  40.9,  59.1,   0.0,  14.2,  22.8
Lexington,01550000,"   2,874",  20.0,"      7,347",  48.8,  51.2,   6.8,  13.0,   5.3
Libertas Academy Charter School (District),35140000,      31,  28.3,         91,  44.0,  56.0,  45.1,  25.3,  79.1
Lincoln,01570000,     578,  15.9,"      1,133",  49.0,  51.0,   3.7,  21.8,   5.7
Lincoln-Sudbury,06950000,"   1,249",  18.2,"      1,532",  48.6,  51.4,   0.3,  16.5,   5.5
Littleton,01580000,     706,  18.1,"      1,672",  52.3,  47.7,   1.7,  16.1,   7.8
Longmeadow,01590000,"   1,330",  19.3,"      2,896",  48.6,  51.4,   0.7,  19.2,   6.9
Lowell,01600000,"   8,594",  19.5,"     14,904",  48.2,  51.8,  24.6,  16.6,  52.7
Lowell Community Charter Public (District),04560000,     254,  21.0,        797,  51.1,  48.9,  53.3,  17.2,  44.9
Lowell Middlesex Academy Charter (District),04580000,     129,  12.9,        109,  45.0,  55.0,   4.6,  29.4,  64.2
Ludlow,01610000,"   1,185",  17.5,"      2,669",  49.3,  50.7,   3.0,  15.4,  25.6
Lunenburg,01620000,     807,  20.2,"      1,643",  47.9,  52.1,   2.3,  15.8,  14.2
Lynn,01630000,"   4,830",  20.6,"     15,703",  47.4,  52.6,  23.3,  16.4,  56.7
Lynnfield,01640000,     967,  15.1,"      2,214",  49.4,  50.6,   1.6,  17.8,   6.9
MATCH Charter Public School (District),04690000,     407,  20.3,"      1,196",  52.5,  47.5,  31.2,  22.7,  57.3
Ma Academy for Math and Science,04680000,      24,  16.7,         50,  50.0,  50.0,   0.0,   0.0,   0.0
Malden,01650000,"   2,882",  20.2,"      6,805",  48.0,  52.0,  22.0,  15.8,  42.1
Manchester Essex Regional,06980000,     680,  15.9,"      1,387",  50.8,  49.2,   0.6,   9.4,   6.6
Mansfield,01670000,"   1,619",  18.4,"      3,908",  48.1,  51.9,   2.4,  14.3,  13.3
Marblehead,01680000,"   1,562",  17.8,"      3,151",  48.9,  51.1,   4.2,  18.7,   9.8
Marblehead Community Charter Public (District),04640000,      90,  20.7,        230,  39.6,  60.4,   0.4,  25.7,  10.4
Marion,01690000,     166,  19.2,        454,  46.7,  53.3,   0.7,  20.7,  20.5
Marlborough,01700000,"   2,098",  20.1,"      4,864",  48.2,  51.8,  25.0,  17.2,  34.7
Marshfield,01710000,"   1,463",  18.6,"      4,187",  48.6,  51.4,   1.1,  16.6,  11.0
Martha's Vineyard,07000000,     736,  11.8,        639,  48.8,  51.0,  10.2,  17.8,  20.7
Martha's Vineyard Charter (District),04660000,      66,  16.1,        188,  54.8,  45.2,   4.8,  26.1,  33.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,     142,  20.2,        358,  52.0,  48.0,  20.9,  21.2,  73.5
Masconomet,07050000,     900,  17.9,"      1,801",  51.3,  48.6,   0.4,  17.3,   5.4
Mashpee,01720000,"   1,016",  16.7,"      1,692",  48.8,  51.2,   2.6,  16.0,  29.3
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,     138,  28.3,        609,  53.5,  46.5,   0.2,  23.0,  51.2
Mattapoisett,01730000,     229,  16.9,        448,  47.8,  52.2,   0.7,  16.1,  15.2
Maynard,01740000,     645,  17.7,"      1,406",  49.6,  50.4,   5.0,  17.6,  17.0
Medfield,01750000,"   1,603",  18.7,"      2,649",  49.2,  50.8,   1.2,  11.5,   4.5
Medford,01760000,"   2,156",  15.2,"      4,408",  48.7,  51.3,  12.2,  19.3,  28.9
Medway,01770000,"   1,013",  18.5,"      2,281",  50.1,  49.9,   1.3,  16.4,   9.6
Melrose,01780000,"   1,623",  20.0,"      3,923",  50.7,  49.3,   4.4,  14.1,  10.8
Mendon-Upton,07100000,     953,  17.8,"      2,285",  50.2,  49.8,   1.1,  14.8,   8.8
Methuen,01810000,"   2,665",  19.6,"      7,075",  47.4,  52.6,   9.5,  16.3,  33.4
Middleborough,01820000,"   1,546",  19.8,"      2,999",  49.0,  51.0,   0.9,  18.1,  27.7
Middleton,01840000,     299,  14.5,        690,  49.6,  50.4,   0.6,  18.0,   8.1
Milford,01850000,"   1,860",  18.7,"      4,296",  48.6,  51.4,  17.0,  14.9,  32.3
Millbury,01860000,     812,  18.5,"      1,754",  50.2,  49.8,   3.5,  16.4,  24.7
Millis,01870000,     612,  17.2,"      1,307",  49.2,  50.8,   1.1,  12.9,  10.8
Milton,01890000,"   1,307",  18.8,"      4,224",  49.3,  50.7,   2.0,  13.8,   8.9
Minuteman Regional Vocational Technical,08300000,     557,  10.7,        534,  36.5,  63.3,   1.5,  50.2,  20.4
Mohawk Trail,07170000,     449,  12.4,        949,  49.6,  50.4,   0.2,  23.0,  33.5
Monomoy Regional School District,07120000,"   1,301",  15.2,"      1,894",  49.7,  50.3,   4.6,  15.7,  26.8
Monson,01910000,     537,  16.3,        950,  49.8,  50.2,   0.7,  18.7,  26.5
Montachusett Regional Vocational Technical,08320000,     799,  18.1,"      1,409",  46.8,  52.9,   0.6,  14.9,  22.1
Mount Greylock,07150000,     333,  13.1,        536,  51.7,  48.3,   0.2,  13.4,  13.4
Mystic Valley Regional Charter (District),04700000,     754,  23.8,"      1,555",  50.0,  50.0,   2.5,  13.2,  17.9
Nahant,01960000,      57,  17.6,        149,  51.7,  48.3,   0.0,   6.0,  18.8
Nantucket,01970000,     897,  18.2,"      1,677",  48.1,  51.9,  19.0,  14.4,  21.6
Narragansett,07200000,     607,  19.1,"      1,437",  46.7,  53.3,   0.3,  18.0,  27.8
Nashoba,07250000,"   1,459",  18.2,"      3,337",  49.7,  50.3,   1.7,  15.5,   7.2
Nashoba Valley Regional Vocational Technical,08520000,     380,  13.7,        674,  40.4,  59.3,   0.4,  36.2,  17.4
Natick,01980000,"   2,581",  19.0,"      5,547",  49.1,  50.9,   3.2,  14.1,   9.0
Nauset,06600000,     942,  16.3,"      1,506",  52.3,  47.6,   2.0,  13.9,  18.3
Needham,01990000,"   2,283",  18.5,"      5,674",  50.2,  49.8,   2.9,  17.0,   5.1
Neighborhood House Charter (District),04440000,     156,  28.7,        568,  49.5,  50.5,   6.9,  17.4,  38.2
New Bedford,02010000,"   6,021",  17.9,"     12,799",  47.4,  52.6,  30.4,  20.8,  65.1
New Heights Charter School of Brockton (District),35130000,     158,  22.1,        458,  50.0,  50.0,  10.3,  10.3,  41.3
New Salem-Wendell,07280000,      24,  18.7,        159,  50.3,  49.7,   0.0,  17.6,  35.2
Newburyport,02040000,"   1,247",  18.2,"      2,293",  50.2,  49.8,   1.5,  16.6,   9.2
Newton,02070000,"   5,722",  18.5,"     13,064",  48.9,  51.0,   6.7,  19.1,   8.6
Norfolk,02080000,     242,  20.9,        959,  45.7,  54.3,   2.4,  18.1,   5.2
Norfolk County Agricultural,09150000,     462,  16.1,        550,  69.3,  30.7,   0.2,  20.0,  14.2
North Adams,02090000,     635,  16.1,"      1,476",  50.9,  49.1,   1.1,  24.1,  58.5
North Andover,02110000,"   2,670",  21.0,"      4,864",  49.3,  50.7,   2.2,  14.0,  14.2
North Attleborough,02120000,"   1,856",  18.4,"      4,292",  49.0,  51.0,   2.9,  15.9,  15.3
North Brookfield,02150000,     172,  16.0,        564,  48.2,  51.8,   0.0,  23.4,  33.5
North Middlesex,07350000,"   1,682",  19.3,"      3,106",  49.3,  50.7,   1.0,  21.8,  18.4
North Reading,02170000,"   1,237",  18.7,"      2,493",  49.9,  50.1,   0.9,  17.7,   7.9
Northampton,02100000,"   1,285",  16.1,"      2,720",  49.5,  50.5,   4.0,  21.4,  25.6
Northampton-Smith Vocational Agricultural,04060000,     291,  13.7,        493,  41.8,  58.2,   1.2,  37.7,  32.5
Northboro-Southboro,07300000,     793,  15.6,"      1,474",  51.7,  48.3,   1.6,  13.4,   5.7
Northborough,02130000,     605,  18.4,"      1,640",  47.7,  52.3,   4.5,  20.2,  10.0
Northbridge,02140000,"   1,007",  18.7,"      2,213",  48.5,  51.5,   2.1,  14.9,  27.3
Northeast Metropolitan Regional Vocational Technical,08530000,     894,  19.2,"      1,252",  46.6,  53.4,   3.8,  21.5,  33.6
