2020-21 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     713,  18.9,"      1,425",  54.4,  45.6,  13.6,  13.0,  48.6
Abington,00010000,"   1,017",  19.8,"      2,178",  49.7,  50.3,   8.3,  16.5,  30.1
Academy Of the Pacific Rim Charter Public (District),04120000,     201,  19.7,        538,  48.5,  51.5,   8.2,  26.0,  48.7
Acton-Boxborough,06000000,"   2,368",  17.1,"      5,246",  47.8,  52.1,   5.3,  14.1,   8.8
Acushnet,00030000,     400,  15.2,        913,  47.5,  52.5,   0.2,  12.7,  27.7
Advanced Math and Science Academy Charter (District),04300000,     490,  18.6,        960,  47.6,  52.3,   2.0,   6.3,  10.7
Agawam,00050000,"   2,666",  13.7,"      3,476",  48.3,  51.6,   4.8,  16.8,  34.7
Alma del Mar Charter School (District),04090000,     236,  24.1,        791,  55.0,  45.0,  30.5,  19.7,  66.6
Amesbury,00070000,"   1,115",  15.1,"      1,869",  46.6,  53.3,   2.1,  23.5,  29.8
Amherst,00080000,     392,  15.2,"      1,014",  48.2,  51.5,  11.8,  23.3,  35.2
Amherst-Pelham,06050000,     995,  12.8,"      1,280",  48.8,  50.8,   7.7,  22.4,  29.1
Andover,00090000,"   3,729",  12.3,"      5,614",  49.8,  50.2,   3.0,  19.7,  10.2
Argosy Collegiate Charter School (District),35090000,     244,  21.8,        578,  45.7,  54.3,  20.9,  24.2,  67.7
Arlington,00100000,"   3,172",  15.7,"      5,765",  49.5,  50.2,   4.4,  16.2,   9.8
Ashburnham-Westminster,06100000,"   1,230",  17.4,"      2,247",  48.9,  51.1,   1.7,  20.4,  20.6
Ashland,00140000,"   1,741",  15.4,"      2,776",  48.5,  51.5,   6.4,  18.4,  19.2
Assabet Valley Regional Vocational Technical,08010000,     673,  12.3,"      1,138",  40.3,  58.5,   4.9,  25.8,  33.2
Athol-Royalston,06150000,     685,  18.6,"      1,485",  45.1,  55.0,   3.0,  23.6,  57.4
Atlantis Charter (District),04910000,     542,  13.1,"      1,290",  52.3,  47.7,  15.0,  13.3,  51.9
Attleboro,00160000,"   3,057",  17.1,"      5,768",  47.1,  52.8,   5.3,  18.1,  34.8
Auburn,00170000,"   1,520",  16.2,"      2,526",  49.9,  50.0,   2.4,  11.6,  23.4
Avon,00180000,     356,  13.4,        696,  47.4,  52.6,   7.3,  21.8,  37.4
Ayer Shirley School District,06160000,     950,  16.4,"      1,615",  47.5,  52.5,   3.4,  20.7,  27.9
Barnstable,00200000,"   3,180",  10.1,"      4,598",  48.4,  51.4,  13.4,  17.7,  43.7
Baystate Academy Charter Public School (District),35020000,     369,  13.3,        470,  45.3,  54.7,   8.7,  20.2,  76.8
Bedford,00230000,"   1,162",  14.9,"      2,621",  48.0,  51.9,   4.6,  17.2,  10.7
Belchertown,00240000,"   1,189",  15.8,"      2,172",  49.3,  50.5,   1.5,  20.8,  21.6
Bellingham,00250000,     787,  16.4,"      2,004",  50.1,  49.9,   2.5,  20.9,  25.1
Belmont,00260000,"   2,062",  18.9,"      4,439",  50.1,  49.9,   7.8,  11.9,   8.8
Benjamin Banneker Charter Public (District),04200000,     117,  12.6,        338,  50.3,  49.4,   4.4,  16.0,  55.9
Benjamin Franklin Classical Charter Public (District),04470000,     224,  26.0,        772,  50.4,  49.6,   7.5,  14.4,  15.0
Berkley,00270000,     468,  12.7,        879,  49.3,  50.7,   0.9,  16.4,  22.4
Berkshire Arts and Technology Charter Public (District),04140000,     141,  18.5,        366,  46.2,  53.0,   1.4,  21.6,  51.9
Berkshire Hills,06180000,     763,  10.9,"      1,169",  49.9,  50.1,   4.7,  16.8,  34.8
Berlin-Boylston,06200000,     686,  15.7,"      1,057",  49.5,  50.1,   2.4,  17.1,  14.7
Beverly,00300000,"   1,732",  16.4,"      4,655",  47.9,  52.1,   4.0,  19.3,  29.4
Billerica,00310000,"   3,002",  13.2,"      4,638",  49.6,  50.4,   1.9,  21.4,  22.0
Blackstone Valley Regional Vocational Technical,08050000,     796,  17.4,"      1,230",  50.2,  49.7,   0.5,  10.4,  10.5
Blackstone-Millville,06220000,     887,  14.6,"      1,590",  47.9,  52.0,   1.6,  17.1,  29.1
Blue Hills Regional Vocational Technical,08060000,     329,  19.1,        874,  45.8,  54.2,   1.4,  26.7,  31.4
Boston,00350000,"  27,831",  16.2,"     49,310",  48.0,  52.0,  29.3,  22.4,  64.3
Boston Collegiate Charter (District),04490000,     212,  24.7,        719,  51.3,  48.7,   4.5,  18.4,  38.7
Boston Day and Evening Academy Charter (District),04240000,     415,  14.7,        437,  52.9,  47.1,  16.0,  34.8,  71.2
Boston Green Academy Horace Mann Charter School (District),04110000,     270,  16.4,        501,  47.3,  52.7,  16.4,  33.5,  72.3
Boston Preparatory Charter Public (District),04160000,     207,  19.4,        663,  50.7,  49.3,  19.2,  20.2,  60.9
Boston Renaissance Charter Public (District),04810000,     500,  16.5,        951,  51.6,  48.4,  11.2,  11.9,  60.8
Bourne,00360000,     999,  15.2,"      1,656",  51.3,  48.6,   0.9,  18.8,  31.3
Boxford,00380000,     352,  13.9,        678,  47.6,  52.4,   1.2,  20.1,   7.8
Braintree,00400000,"   3,180",  14.8,"      5,517",  49.3,  50.7,   6.4,  19.5,  22.9
Brewster,00410000,     322,  13.9,        429,  49.9,  50.1,   4.7,  22.4,  32.6
Bridge Boston Charter School (District),04170000,     125,  15.3,        335,  53.1,  46.9,  27.8,  24.2,  66.6
Bridgewater-Raynham,06250000,"   1,866",  18.8,"      5,353",  48.2,  51.8,   2.5,  17.1,  21.8
Brimfield,00430000,      81,  18.5,        260,  48.5,  51.5,   1.2,  19.2,  26.2
Bristol County Agricultural,09100000,     228,  18.7,        448,  74.1,  25.7,   0.0,  15.4,  24.8
Bristol-Plymouth Regional Vocational Technical,08100000,"   1,036",  18.9,"      1,310",  42.4,  57.6,   0.3,  17.4,  30.2
Brockton,00440000,"   7,619",  18.3,"     15,418",  47.3,  52.7,  26.2,  17.2,  66.5
Brooke Charter School (District),04280000,     937,  17.3,"      2,060",  52.5,  47.5,   7.9,  11.7,  56.3
Brookfield,00450000,      85,  16.1,        259,  46.3,  53.7,   0.4,  14.7,  31.7
Brookline,00460000,"   4,507",  14.5,"      6,834",  49.2,  50.6,   8.4,  18.4,  11.9
Burlington,00480000,"   1,964",  14.1,"      3,474",  49.1,  50.8,   5.8,  13.1,  17.0
Cambridge,00490000,"   4,599",  11.9,"      6,649",  49.1,  50.7,   6.0,  22.8,  32.8
Canton,00500000,"   2,326",  16.2,"      3,193",  51.1,  48.8,   2.6,  13.2,  18.0
Cape Cod Lighthouse Charter (District),04320000,     191,  14.0,        250,  48.0,  52.0,   0.4,  17.6,  18.4
Cape Cod Regional Vocational Technical,08150000,     408,  13.3,        627,  36.0,  63.5,   2.2,  24.6,  45.1
Carlisle,00510000,     380,  13.7,        589,  47.9,  52.1,   2.0,  16.3,   4.9
Carver,00520000,"   1,169",  10.5,"      1,469",  48.5,  51.5,   1.4,  18.2,  26.9
Central Berkshire,06350000,     713,  15.3,"      1,498",  47.4,  52.6,   0.7,  16.0,  36.6
Chelmsford,00560000,"   2,237",  19.1,"      4,925",  47.9,  52.1,   4.4,  16.5,  15.5
Chelsea,00570000,"   2,758",  14.6,"      6,112",  48.2,  51.8,  37.4,  15.2,  72.4
Chesterfield-Goshen,06320000,      52,  15.1,        119,  42.9,  57.1,   0.0,  23.5,  31.1
Chicopee,00610000,"   3,270",  14.1,"      6,855",  46.3,  53.7,   6.1,  18.4,  60.0
Christa McAuliffe Charter Public (District),04180000,     173,  20.7,        400,  47.0,  52.8,   4.5,  19.5,  39.3
City on a Hill Charter Public School Circuit Street (District),04370000,      89,  18.3,        275,  48.4,  51.6,  23.6,  23.3,  70.6
Clarksburg,00630000,      98,  16.1,        192,  50.0,  50.0,   0.0,  18.8,  32.3
Clinton,00640000,     850,  15.8,"      1,848",  46.2,  53.8,  14.3,  21.6,  46.5
Codman Academy Charter Public (District),04380000,     127,  16.9,        343,  51.9,  48.1,  10.5,  27.1,  70.6
Cohasset,00650000,     901,  16.3,"      1,444",  49.8,  50.1,   0.1,  12.2,   6.4
Collegiate Charter School of Lowell (District),35030000,     335,  27.1,"      1,003",  50.8,  49.2,  25.8,   6.3,  54.6
Community Charter School of Cambridge (District),04360000,      84,  21.1,        306,  57.2,  42.8,   5.9,  16.3,  45.8
Community Day Charter Public School - Gateway (District),04260000,     120,  20.0,        399,  47.9,  52.1,  19.3,  12.5,  67.9
Community Day Charter Public School - Prospect (District),04400000,     114,  21.1,        400,  50.3,  49.8,  24.0,  12.0,  65.3
Community Day Charter Public School - R. Kingman Webster (District),04310000,     120,  20.4,        404,  52.5,  47.5,  20.8,  12.1,  60.2
Concord,00670000,"   1,358",  16.4,"      2,027",  48.6,  51.4,   2.3,  17.6,   8.2
Concord-Carlisle,06400000,     536,  19.5,"      1,316",  50.8,  48.7,   0.3,  15.9,   8.1
Conservatory Lab Charter (District),04390000,     174,  16.8,        447,  51.2,  48.8,  15.2,  13.4,  61.1
Conway,00680000,      93,  14.5,        130,  43.9,  56.2,   0.0,  16.9,  23.9
Danvers,00710000,"   2,116",  16.8,"      3,327",  48.7,  51.3,   1.4,  18.7,  21.0
Dartmouth,00720000,"   1,905",  16.4,"      3,431",  48.2,  51.8,   1.7,  18.2,  25.9
Dedham,00730000,"   1,236",  14.7,"      2,564",  47.8,  52.1,   5.6,  22.1,  25.7
Deerfield,00740000,     265,  13.4,        315,  50.8,  49.2,   1.9,  22.5,  22.9
Dennis-Yarmouth,06450000,"   1,454",  12.6,"      2,788",  47.4,  52.5,  11.4,  17.9,  49.0
Dighton-Rehoboth,06500000,"   1,406",  18.8,"      2,616",  48.0,  52.0,   0.5,  16.7,  18.7
Douglas,00770000,     564,  18.1,"      1,181",  48.1,  51.9,   0.6,  18.5,  19.1
Dover,00780000,     164,  17.4,        491,  44.4,  55.6,   1.8,  15.5,   2.4
Dover-Sherborn,06550000,     679,  16.9,"      1,181",  47.7,  52.2,   0.3,  14.3,   4.2
Dracut,00790000,"   2,220",  14.5,"      3,675",  48.1,  51.8,   2.0,  16.0,  29.0
Dudley Street Neighborhood Charter School (District),04070000,      15,  21.0,        277,  52.4,  47.7,  40.4,  14.8,  71.1
Dudley-Charlton Reg,06580000,"   1,629",  17.1,"      3,474",  48.9,  51.1,   3.3,  16.5,  26.6
Duxbury,00820000,"   1,444",  19.0,"      2,810",  48.3,  51.6,   0.5,  13.8,   7.1
East Bridgewater,00830000,"   1,107",  19.0,"      2,126",  47.4,  52.6,   1.4,  17.6,  23.4
East Longmeadow,00870000,"   1,288",  17.4,"      2,426",  48.0,  51.9,   1.6,  19.2,  22.5
Eastham,00850000,     190,  10.2,        194,  44.9,  55.2,   6.7,  18.0,  39.7
Easthampton,00860000,     521,  20.2,"      1,453",  48.3,  51.2,   3.1,  22.4,  36.1
Easton,00880000,"   1,257",  18.0,"      3,454",  49.1,  50.9,   1.8,  19.6,  17.0
Edgartown,00890000,     353,  13.4,        393,  50.1,  49.9,  22.1,  26.0,  38.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     212,  19.9,        401,  66.3,  33.7,  12.2,  20.2,  72.1
Erving,00910000,      36,  12.4,        113,  42.5,  57.5,   0.0,  19.5,  32.7
Essex North Shore Agricultural and Technical School District,08170000,"   1,150",  16.9,"      1,566",  58.0,  41.7,   0.3,  16.7,  19.2
Everett,00930000,"   3,499",  20.0,"      7,204",  49.1,  50.8,  28.5,  16.0,  63.4
Excel Academy Charter (District),04100000,     366,  24.3,"      1,398",  49.7,  50.3,   8.7,  19.8,  54.8
Fairhaven,00940000,"   1,085",   8.2,"      1,713",  49.4,  50.6,   1.2,  16.8,  31.2
Fall River,00950000,"   5,358",  14.3,"     10,333",  48.7,  51.3,  17.8,  22.7,  74.4
Falmouth,00960000,"   1,717",  14.8,"      3,019",  47.5,  52.3,   4.2,  19.7,  33.8
Farmington River Reg,06620000,      76,  13.8,        118,  50.0,  50.0,   0.0,  24.6,  40.7
Fitchburg,00970000,"   2,455",  18.6,"      5,193",  48.0,  52.0,  16.3,  22.4,  67.6
Florida,00980000,      89,   9.2,         86,  45.4,  54.7,   0.0,  22.1,  38.4
Four Rivers Charter Public (District),04130000,     187,  17.2,        215,  56.7,  42.3,   0.0,  14.0,  28.4
Foxborough,00990000,"   1,332",  16.7,"      2,426",  47.2,  52.8,   2.6,  20.1,  19.0
Foxborough Regional Charter (District),04460000,     687,  20.2,"      1,687",  51.7,  48.3,   7.4,   9.9,  30.8
Framingham,01000000,"   6,754",  12.4,"      8,862",  48.8,  51.1,  26.9,  21.8,  46.8
Francis W. Parker Charter Essential (District),04780000,     252,  16.6,        391,  55.0,  44.5,   0.0,  15.4,   9.0
Franklin,01010000,"   2,707",  15.4,"      4,847",  48.1,  51.8,   1.5,  16.9,  12.0
Franklin County Regional Vocational Technical,08180000,     250,  13.0,        543,  39.0,  60.8,   0.4,  29.1,  39.8
Freetown-Lakeville,06650000,"   1,005",  17.0,"      2,603",  49.7,  50.3,   0.9,  16.7,  18.9
Frontier,06700000,     529,  12.0,        649,  46.7,  53.3,   0.6,  15.9,  21.4
Gardner,01030000,     700,  16.7,"      2,148",  47.3,  52.7,   6.0,  23.4,  58.3
Gateway,06720000,     555,  12.6,        758,  47.9,  52.1,   2.2,  23.2,  38.5
Georgetown,01050000,     623,  14.9,"      1,223",  50.0,  50.0,   0.0,  17.0,  11.5
Gill-Montague,06740000,     519,  13.5,        845,  48.5,  51.1,   7.8,  27.5,  52.8
Global Learning Charter Public (District),04960000,     347,  16.9,        503,  51.3,  48.7,   9.7,  11.1,  59.4
Gloucester,01070000,"   1,446",  13.1,"      2,691",  47.8,  52.1,   7.9,  25.5,  41.5
Gosnold,01090000,      10,   2.8,          6,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,948",  16.0,"      3,152",  47.9,  52.0,   2.0,  18.5,  16.0
Granby,01110000,     390,  14.1,        715,  45.0,  54.7,   5.2,  19.6,  33.0
Greater Fall River Regional Vocational Technical,08210000,     860,  16.0,"      1,439",  44.7,  55.0,   1.7,  10.2,  41.1
Greater Lawrence Regional Vocational Technical,08230000,"   1,787",  13.7,"      1,629",  50.3,  49.7,   9.6,  14.9,  60.0
Greater Lowell Regional Vocational Technical,08280000,"   1,444",  17.9,"      2,286",  48.8,  50.7,   9.8,  16.9,  50.0
Greater New Bedford Regional Vocational Technical,08250000,"   1,986",  15.1,"      2,106",  47.7,  52.3,   4.2,  10.3,  42.2
Greenfield,01140000,     722,  16.3,"      1,556",  47.8,  52.3,   5.2,  19.2,  54.9
Greenfield Commonwealth Virtual District,39010000,     340,  18.6,"      1,002",  53.9,  45.2,   2.3,  22.1,  50.0
Groton-Dunstable,06730000,"   1,099",  16.8,"      2,274",  48.3,  51.5,   1.1,  16.2,   8.0
Hadley,01170000,     399,  16.2,        507,  45.8,  54.0,   4.1,  14.0,  23.5
Halifax,01180000,     274,  17.9,        568,  46.7,  53.4,   1.1,  18.1,  22.4
Hamilton-Wenham,06750000,"   1,221",  11.8,"      1,683",  51.6,  48.4,   0.8,  17.4,   7.7
Hampden Charter School of Science East (District),04990000,     252,  19.0,        536,  50.6,  49.3,   5.8,  14.0,  52.2
Hampden Charter School of Science West (District),35160000,     162,  17.4,        327,  46.8,  53.2,   7.7,  17.7,  52.0
Hampden-Wilbraham,06800000,"   1,154",  17.9,"      2,892",  49.5,  50.5,   1.2,  16.7,  20.5
Hampshire,06830000,     576,  11.2,        684,  56.3,  43.4,   1.9,  21.6,  17.8
Hancock,01210000,      76,   7.0,         56,  55.4,  44.6,   0.0,  30.4,  32.1
Hanover,01220000,"   1,468",  17.7,"      2,641",  48.4,  51.6,   1.0,  19.8,   9.6
Harvard,01250000,     600,  14.2,"      1,008",  50.2,  49.7,   0.9,  10.8,   6.5
Hatfield,01270000,     293,  12.1,        394,  47.2,  52.0,   0.3,  27.2,  16.0
Haverhill,01280000,"   3,998",  17.2,"      7,848",  47.8,  52.1,  10.1,  22.7,  55.3
Hawlemont,06850000,      39,  15.5,        124,  58.9,  41.1,   4.0,  30.7,  50.8
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      64,  14.7,        189,  50.3,  49.7,   4.8,  19.6,  66.1
Hill View Montessori Charter Public (District),04550000,     122,  20.7,        304,  51.6,  48.4,   5.9,  18.4,  31.6
Hilltown Cooperative Charter Public (District),04500000,      53,  25.7,        218,  48.6,  50.9,   0.0,  16.1,  14.7
Hingham,01310000,"   2,293",  13.4,"      3,941",  49.0,  50.9,   0.4,  14.7,   6.6
Holbrook,01330000,     695,  15.3,"      1,281",  47.5,  52.3,   5.9,  19.1,  36.9
Holland,01350000,      79,  15.3,        202,  43.6,  56.4,   0.0,  14.4,  32.2
Holliston,01360000,"   1,210",  21.7,"      2,776",  47.7,  52.2,   2.2,  16.8,   9.1
Holyoke,01370000,"   2,310",  17.1,"      5,095",  47.3,  52.7,  19.7,  28.3,  80.7
Holyoke Community Charter (District),04530000,     184,  22.8,        701,  52.2,  47.8,  12.6,  22.4,  77.2
Hoosac Valley Regional,06030000,     565,  14.6,        980,  49.7,  50.3,   1.2,  25.8,  54.1
Hopedale,01380000,     733,  12.8,"      1,094",  47.9,  52.0,   4.0,  18.8,  18.0
Hopkinton,01390000,"   2,249",  19.7,"      3,974",  49.3,  50.7,   7.2,  12.9,   6.7
Hudson,01410000,"   1,414",  15.4,"      2,432",  51.0,  48.9,  13.5,  18.0,  30.8
Hull,01420000,     525,  10.1,        812,  46.3,  53.6,   1.0,  19.2,  33.5
Innovation Academy Charter (District),04350000,     658,  12.4,        787,  52.2,  47.3,   2.4,  21.5,  18.7
Ipswich,01440000,"   1,017",  15.1,"      1,604",  51.0,  48.8,   2.1,  18.2,  15.4
KIPP Academy Boston Charter School (District),04630000,     127,  31.9,        620,  47.4,  52.6,  16.9,  15.7,  72.4
KIPP Academy Lynn Charter (District),04290000,     483,  24.3,"      1,611",  50.3,  49.7,  12.2,  11.4,  57.9
King Philip,06900000,     815,  18.0,"      1,943",  48.9,  51.1,   0.2,  15.4,  11.1
Kingston,01450000,     402,  19.9,"      1,028",  48.6,  51.4,   2.7,  18.4,  21.1
Lawrence,01490000,"   6,805",  17.9,"     13,204",  47.5,  52.3,  35.4,  19.0,  79.5
Lawrence Family Development Charter (District),04540000,     406,  19.1,        795,  55.9,  44.2,  23.5,   8.4,  67.7
Learning First Charter Public School (District),04860000,     234,  24.7,        666,  52.0,  48.1,  26.3,  14.0,  71.2
Lee,01500000,     686,   8.2,        673,  48.6,  51.3,   4.5,  16.1,  38.5
Leicester,01510000,     933,  13.7,"      1,387",  46.4,  53.4,   4.3,  18.7,  31.4
Lenox,01520000,     569,  12.1,        744,  50.8,  49.2,   2.7,   9.8,  20.0
Leominster,01530000,"   2,363",  19.6,"      5,969",  49.2,  50.7,  13.1,  22.9,  48.3
Leverett,01540000,      57,  16.9,        118,  45.8,  54.2,   0.0,  13.6,  18.6
Lexington,01550000,"   3,443",  17.4,"      6,945",  49.0,  50.9,   8.2,  13.9,   6.7
Libertas Academy Charter School (District),35140000,      80,  18.7,        262,  50.8,  49.2,  33.6,  24.4,  83.2
Lincoln,01570000,     275,  21.6,"      1,029",  50.2,  49.9,   3.9,  18.1,   9.6
Lincoln-Sudbury,06950000,"   1,138",  17.8,"      1,522",  50.3,  49.6,   0.8,  18.8,   7.3
Littleton,01580000,     807,  17.6,"      1,578",  50.3,  49.7,   1.8,  15.0,   8.9
Longmeadow,01590000,"   1,566",  15.5,"      2,765",  48.3,  51.7,   0.6,  18.9,  10.6
Lowell,01600000,"   8,901",  18.1,"     14,364",  48.0,  52.0,  25.0,  18.6,  64.9
Lowell Community Charter Public (District),04560000,     234,  20.6,        796,  50.6,  49.3,  54.4,  16.5,  58.2
Lowell Middlesex Academy Charter (District),04580000,     101,  11.3,         81,  66.7,  33.3,   3.7,  37.0,  74.1
