2018-19 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     707,  19.0,"      1,421",  52.6,  47.4,   9.9,  12.2,  36.2
Abington,00010000,"   1,060",  21.1,"      2,123",  49.2,  50.8,   5.8,  15.5,  22.9
Academy Of the Pacific Rim Charter Public (District),04120000,     188,  20.3,        535,  49.2,  50.8,  12.7,  24.9,  35.9
Acton-Boxborough,06000000,"   2,179",  20.7,"      5,594",  48.1,  51.9,   3.5,  14.6,   6.4
Acushnet,00030000,     563,  20.1,"      1,025",  48.8,  51.2,   1.0,  13.3,  23.1
Adams-Cheshire,06030000,     789,  14.7,"      1,163",  48.3,  51.7,   0.6,  25.4,  50.1
Advanced Math and Science Academy Charter (District),04300000,     499,  18.8,        970,  48.4,  51.7,   4.5,   6.5,   7.0
Agawam,00050000,"   2,728",  14.8,"      3,731",  48.6,  51.4,   5.0,  16.4,  28.7
Alma del Mar Charter School (District),04090000,     164,  24.7,        439,  55.8,  44.2,  24.2,  20.7,  58.8
Amesbury,00070000,"   1,134",  16.3,"      2,078",  46.9,  53.1,   1.4,  21.1,  22.6
Amherst,00080000,     358,  19.5,"      1,126",  47.6,  52.3,  15.7,  22.7,  31.2
Amherst-Pelham,06050000,"   1,047",  13.9,"      1,351",  49.0,  50.9,   6.9,  22.1,  23.2
Andover,00090000,"   2,808",  17.8,"      6,009",  50.1,  49.9,   3.8,  19.8,   7.8
Argosy Collegiate Charter School (District),35090000,     153,  30.1,        481,  47.2,  52.8,  30.6,  23.1,  58.2
Arlington,00100000,"   2,664",  18.2,"      5,993",  49.2,  50.8,   4.8,  15.5,   8.4
Ashburnham-Westminster,06100000,"   1,435",  18.2,"      2,371",  49.5,  50.5,   1.3,  18.9,  15.4
Ashland,00140000,"   1,275",  19.5,"      2,890",  50.5,  49.5,   6.3,  17.1,  14.6
Assabet Valley Regional Vocational Technical,08010000,     646,  16.4,"      1,133",  40.2,  59.8,   2.9,  28.1,  24.9
Athol-Royalston,06150000,     724,  18.6,"      1,509",  46.5,  53.6,   1.9,  25.7,  51.0
Atlantis Charter (District),04910000,     474,  24.5,"      1,282",  52.3,  47.7,  10.9,  14.6,  41.7
Attleboro,00160000,"   2,621",  21.2,"      6,017",  47.1,  52.9,   4.8,  17.0,  29.9
Auburn,00170000,"   1,397",  18.9,"      2,660",  49.4,  50.6,   3.6,  10.3,  17.5
Avon,00180000,     382,  13.0,        731,  47.5,  52.5,   3.2,  18.2,  28.9
Ayer Shirley School District,06160000,     886,  19.3,"      1,726",  48.0,  52.0,   3.9,  20.2,  24.8
Barnstable,00200000,"   2,294",  16.5,"      4,842",  48.8,  51.1,  11.5,  16.7,  34.4
Barnstable Community Horace Mann Charter Public (District),04270000,      85,  18.1,        286,  49.7,  50.4,  25.2,   9.1,  46.9
Baystate Academy Charter Public School (District),35020000,     391,  14.8,        493,  49.9,  50.1,  10.8,  20.3,  66.1
Bedford,00230000,"   1,155",  16.2,"      2,670",  48.7,  51.3,   6.2,  17.0,   8.7
Belchertown,00240000,"   1,214",  17.0,"      2,286",  49.2,  50.8,   0.9,  19.6,  18.1
