2012-13 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     779,  19.1,"      1,426",  51.1,  48.9,   3.2,  11.5,  63.2
Abington,00010000,     952,  23.1,"      2,042",  48.6,  51.4,   2.1,  13.3,  22.8
Academy Of the Pacific Rim Charter Public (District),04120000,     127,  22.8,        493,  52.5,  47.5,   0.0,  24.1,  55.2
Acton,00020000,     776,  22.9,"      2,555",  47.2,  52.8,   5.3,  17.5,   4.5
Acton-Boxborough,06000000,"   1,186",  21.0,"      2,919",  49.8,  50.2,   0.8,  14.6,   4.0
Acushnet,00030000,     339,  16.8,"      1,003",  47.9,  52.1,   0.6,  17.1,  25.1
Adams-Cheshire,06030000,     858,  16.1,"      1,480",  47.8,  52.2,   0.1,  21.0,  45.5
Advanced Math and Science Academy Charter (District),04300000,     477,  19.4,        969,  47.7,  52.3,   0.0,   3.3,   6.5
Agawam,00050000,"   2,382",  17.2,"      4,156",  49.2,  50.8,   3.1,  15.2,  29.6
Alma del Mar Charter School (District),04090000,      57,  19.9,        161,  55.3,  44.7,  11.2,  21.7,  78.9
Amesbury,00070000,"   1,136",  19.3,"      2,351",  46.9,  53.1,   0.9,  18.6,  24.5
Amesbury Academy Charter Public (District),04150000,      44,  14.3,         51,  49.0,  51.0,   0.0,  51.0,  62.7
Amherst,00080000,     354,  20.0,"      1,226",  49.2,  50.8,  12.1,  20.1,  40.0
Amherst-Pelham,06050000,"   1,399",  13.5,"      1,557",  47.5,  52.5,   3.9,  19.8,  27.7
Andover,00090000,"   2,668",  19.4,"      6,275",  49.5,  50.5,   1.7,  16.4,   6.3
Arlington,00100000,"   1,671",  18.6,"      4,907",  50.5,  49.5,   4.8,  13.1,  11.5
Ashburnham-Westminster,06100000,"   1,314",  18.9,"      2,284",  48.7,  51.3,   1.5,  17.1,  21.4
Ashland,00140000,"   1,055",  18.0,"      2,595",  50.0,  50.0,   2.7,  14.3,  11.1
Assabet Valley Regional Vocational Technical,08010000,     630,  15.1,"      1,010",  42.6,  57.4,   1.1,  30.3,  33.4
