2010-11 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Brookfield,00450000,      82,  19.7,        319,  50.2,  49.8,   0.0,  15.4,  25.4
Brookline,00460000,,,,,,,,
Burlington,00480000,"   1,208",  19.6,"      3,662",  48.0,  52.0,   2.0,  11.5,   9.9
Cambridge,00490000,"   1,864",  16.8,"      6,052",  49.2,  50.8,   5.8,  19.5,  43.5
Canton,00500000,,,,,,,,
Cape Cod Lighthouse Charter (District),04320000,      47,  43.8,        228,  52.2,  47.8,   0.0,  12.3,  10.5
Cape Cod Regional Vocational Technical,08150000,     347,  14.2,        689,  35.6,  64.4,   1.0,  27.0,  36.9
Carlisle,00510000,     220,  20.0,        672,  47.8,  52.2,   1.0,  13.5,   2.2
Carver,00520000,     493,  17.5,"      1,779",  49.9,  50.1,   0.4,  14.1,  19.3
Central Berkshire,06350000,     851,  17.3,"      1,932",  49.6,  50.4,   0.1,  14.1,  31.8
Chatham,00550000,     270,  14.2,        691,  45.9,  54.1,   2.0,  15.8,  16.2
Chelmsford,00560000,"   1,473",  22.1,"      5,322",  49.8,  50.2,   2.5,  14.4,   8.1
Chelsea,00570000,     987,  19.6,"      5,572",  49.5,  50.5,  17.8,  12.5,  81.9
Chesterfield-Goshen,06320000,      33,  19.2,        170,  44.7,  55.3,   0.0,  10.0,  17.1
Chicopee,00610000,"   2,240",  18.3,"      7,717",  48.1,  51.9,   4.7,  16.0,  57.9
Christa McAuliffe Regional Charter Public (District),04180000,     100,  15.4,        251,  38.2,  61.8,   2.8,  34.7,  17.5
City On A Hill Charter Public (District),04370000,      78,  18.6,        294,  57.1,  42.9,   4.8,  11.9,  72.8
Clarksburg,00630000,      62,  21.4,        187,  48.1,  51.9,   0.0,  12.8,  28.3
Clinton,00640000,     725,  17.9,"      1,979",  46.4,  53.6,   7.1,  18.7,  44.9
Codman Academy Charter Public (District),04380000,      28,  35.5,        136,  55.1,  44.9,   0.7,  23.5,  68.4
Cohasset,00650000,     740,  20.6,"      1,527",  49.4,  50.6,   0.0,  11.9,   1.7
Community Charter School of Cambridge (District),04360000,     288,  16.4,        329,  58.4,  41.6,   4.0,  16.1,  64.4
Community Day Charter Public (District),04400000,      85,  22.1,        331,  51.4,  48.6,  35.3,  16.3,  69.8
Concord,00670000,     776,  17.4,"      1,948",  51.6,  48.4,   1.3,  16.5,   6.1
