2013-14 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     779,  19.1,"      1,430",  52.2,  47.8,   6.3,  10.6,  62.9
Abington,00010000,"   1,019",  21.4,"      1,968",  48.7,  51.3,   2.3,  13.0,  22.5
Academy Of the Pacific Rim Charter Public (District),04120000,     136,  22.1,        505,  54.1,  45.9,   0.2,  24.4,  60.0
Acton,00020000,     753,  22.6,"      2,491",  47.5,  52.5,   6.2,  18.7,   7.1
Acton-Boxborough,06000000,"   1,280",  21.0,"      2,895",  49.7,  50.3,   0.8,  14.4,   5.9
Acushnet,00030000,     531,  18.5,        993,  47.5,  52.5,   0.8,  17.6,  27.5
Adams-Cheshire,06030000,     854,  15.4,"      1,407",  49.5,  50.5,   0.3,  22.2,  48.8
Advanced Math and Science Academy Charter (District),04300000,     462,  19.7,        990,  47.1,  52.9,   0.0,   3.5,   5.7
Agawam,00050000,"   2,541",  16.7,"      4,140",  49.2,  50.8,   3.0,  15.1,  32.6
Alma del Mar Charter School (District),04090000,      42,  20.0,        200,  53.5,  46.5,  12.5,  20.0,  78.0
Amesbury,00070000,"   1,191",  19.0,"      2,368",  47.6,  52.4,   1.5,  17.9,  27.2
Amesbury Academy Charter Public (District),04150000,      51,  11.2,         48,  45.8,  54.2,   0.0,  37.5,  72.9
Amherst,00080000,     324,  20.1,"      1,216",  49.3,  50.7,  14.1,  18.6,  43.6
Amherst-Pelham,06050000,"   1,346",  13.8,"      1,469",  46.6,  53.4,   3.7,  19.2,  31.7
Andover,00090000,"   2,749",  18.7,"      6,185",  49.4,  50.6,   2.1,  16.6,   6.9
Arlington,00100000,"   1,813",  17.6,"      5,021",  50.4,  49.6,   4.1,  13.2,  11.5
Ashburnham-Westminster,06100000,"   1,308",  18.8,"      2,314",  49.1,  50.9,   1.2,  18.3,  20.8
Ashland,00140000,"   1,113",  18.3,"      2,614",  50.0,  50.0,   2.9,  14.0,  12.6
Assabet Valley Regional Vocational Technical,08010000,     626,  15.5,"      1,031",  44.8,  55.2,   1.3,  30.6,  35.9
Athol-Royalston,06150000,     587,  18.5,"      1,453",  46.3,  53.7,   1.4,  27.7,  59.9
Atlantis Charter (District),04910000,     306,  23.2,        796,  53.6,  46.4,   2.3,  11.1,  56.9
Attleboro,00160000,"   2,820",  19.5,"      5,897",  47.1,  52.9,   7.4,  17.0,  38.8
