2013-14 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Auburn,00170000,"   1,085",  18.5,"      2,387",  49.7,  50.3,   2.8,  11.2,  26.6
Avon,00180000,     329,  16.4,        744,  49.7,  50.3,   0.7,  16.9,  30.0
Ayer Shirley School District,06160000,     867,  17.8,"      1,697",  48.4,  51.6,   3.0,  23.6,  36.5
Barnstable,00200000,"   1,914",  16.8,"      4,598",  49.5,  50.5,   6.8,  14.7,  44.0
Barnstable Community Horace Mann Charter Public (District),04270000,      80,  18.1,        289,  53.6,  46.4,  20.1,   8.3,  51.9
Baystate Academy Charter Public School (District),35020000,      54,   9.3,        156,  54.5,  45.5,   5.8,  11.5,  50.0
Bedford,00230000,"   1,212",  14.8,"      2,527",  48.9,  51.1,   5.2,  14.7,  12.3
Belchertown,00240000,"   1,273",  16.7,"      2,431",  49.0,  51.0,   0.5,  15.2,  23.6
Bellingham,00250000,     834,  18.0,"      2,418",  48.6,  51.4,   1.6,  16.7,  22.5
Belmont,00260000,"   1,284",  21.1,"      4,217",  50.5,  49.5,   4.0,   8.1,   7.8
Benjamin Banneker Charter Public (District),04200000,      65,  21.2,        341,  56.9,  43.1,   5.0,  11.1,  76.0
Benjamin Franklin Classical Charter Public (District),04470000,     203,  23.0,        448,  50.4,  49.6,   0.0,   8.0,   1.8
Berkley,00270000,     333,  18.7,        880,  49.8,  50.2,   0.1,  17.0,  14.3
Berkshire Arts and Technology Charter Public (District),04140000,     151,  16.6,        329,  50.8,  49.2,   0.9,  23.7,  61.4
Berkshire Hills,06180000,     804,  15.3,"      1,389",  47.8,  52.2,   2.1,  16.0,  27.3
Berlin,00280000,     126,  14.8,        209,  39.7,  60.3,   1.4,  26.8,  12.4
Berlin-Boylston,06200000,     282,  16.6,        547,  53.0,  47.0,   1.3,  16.8,   9.5
Beverly,00300000,"   1,724",  19.0,"      4,425",  48.9,  51.1,   2.3,  17.8,  26.5
Billerica,00310000,"   1,807",  19.1,"      5,372",  48.8,  51.2,   1.1,  17.1,  21.4
Blackstone Valley Regional Vocational Technical,08050000,     570,  19.7,"      1,172",  50.3,  49.7,   0.3,  10.8,  16.3
Blackstone-Millville,06220000,     901,  18.1,"      1,850",  49.9,  50.1,   1.8,  14.9,  25.7
Blue Hills Regional Vocational Technical,08060000,     355,  16.1,        826,  45.3,  54.7,   0.2,  21.8,  37.3
Boston,00350000,"  20,133",  17.3,"     51,393",  48.2,  51.8,  28.5,  18.6,  80.6
Boston Collegiate Charter (District),04490000,     267,  20.5,        654,  53.2,  46.8,   2.0,  19.6,  45.4
Boston Day and Evening Academy Charter (District),04240000,     351,  15.9,        452,  54.6,  45.4,   9.3,  21.5,  99.6
Boston Green Academy Horace Mann Charter School (District),04110000,     201,  13.9,        331,  42.9,  57.1,  10.3,  26.6,  85.5
Boston Preparatory Charter Public (District),04160000,     103,  20.5,        359,  54.3,  45.7,   6.4,  18.1,  72.1
Boston Renaissance Charter Public (District),04810000,     223,  20.0,        939,  52.9,  47.1,   6.9,  12.2,  78.7
Bourne,00360000,"   1,038",  17.3,"      2,094",  48.2,  51.8,   0.6,  16.1,  29.7
Boxborough,00370000,     178,  19.1,        432,  44.4,  55.6,   2.1,  18.3,   8.8
Boxford,00380000,     336,  17.6,        751,  49.3,  50.7,   0.8,  16.5,   2.1
Boylston,00390000,     162,  18.1,        326,  50.6,  49.4,   1.8,  14.1,  10.1
Braintree,00400000,"   2,952",  17.6,"      5,697",  49.2,  50.8,   3.2,  20.7,  20.2
Brewster,00410000,     300,  18.1,        471,  48.6,  51.4,   2.1,  18.7,  26.5
Bridge Boston Charter School (District),04170000,      13,  24.4,        146,  56.2,  43.8,  25.3,  18.5,  85.6
Bridgewater-Raynham,06250000,"   1,950",  20.3,"      5,418",  47.9,  52.1,   1.6,  13.5,  17.9
Brimfield,00430000,      99,  17.4,        305,  50.8,  49.2,   0.0,  11.8,  22.3
Bristol County Agricultural,09100000,     298,  17.6,        443,  71.3,  28.7,   0.0,   8.6,  25.3
Bristol-Plymouth Regional Vocational Technical,08100000,     939,  18.2,"      1,281",  41.9,  58.1,   0.5,  16.5,  35.2
Brockton,00440000,"   8,294",  18.9,"     17,259",  48.6,  51.4,  21.0,  13.9,  82.5
Brooke Charter School East Boston (District),04570000,     121,  16.7,        283,  53.0,  47.0,  13.8,   7.8,  76.0
Brooke Charter School Mattapan (District),04430000,     156,  17.6,        356,  47.2,  52.8,   5.9,  10.7,  75.8
Brooke Charter School Roslindale (District),04280000,     226,  18.1,        488,  52.5,  47.5,   0.8,   7.8,  77.7
Brookfield,00450000,      79,  20.0,        319,  52.0,  48.0,   0.3,  12.9,  34.8
Brookline,00460000,"   2,941",  17.1,"      7,333",  49.7,  50.3,   7.2,  16.9,  10.7
Burlington,00480000,"   1,973",  18.1,"      3,600",  48.5,  51.5,   2.6,  11.0,  12.7
Cambridge,00490000,"   3,533",  14.5,"      6,335",  49.6,  50.4,   8.0,  19.3,  44.7
Canton,00500000,"   1,513",  19.5,"      3,306",  50.3,  49.7,   1.6,  12.4,  15.5
Cape Cod Lighthouse Charter (District),04320000,      71,  31.3,        240,  48.8,  51.3,   0.0,  15.8,  17.5
Cape Cod Regional Vocational Technical,08150000,     477,  12.9,        664,  40.5,  59.5,   1.1,  24.4,  41.4
Carlisle,00510000,     225,  18.7,        645,  47.0,  53.0,   1.6,  16.0,   0.8
Carver,00520000,     859,  18.2,"      1,705",  48.2,  51.8,   0.1,  18.1,  21.5
Central Berkshire,06350000,"   1,046",  15.3,"      1,746",  48.7,  51.3,   0.3,  13.7,  30.7
Chelmsford,00560000,"   2,702",  19.1,"      5,184",  48.7,  51.3,   2.4,  15.6,   7.5
Chelsea,00570000,"   1,169",  21.4,"      6,277",  48.3,  51.7,  21.0,  11.3,  85.7
Chesterfield-Goshen,06320000,      43,  15.3,        165,  50.3,  49.7,   0.0,  14.5,  20.6
Chicopee,00610000,"   2,909",  17.3,"      7,880",  47.9,  52.1,   4.7,  18.4,  65.4
Christa McAuliffe Regional Charter Public (District),04180000,     154,  19.3,        338,  50.9,  49.1,   2.7,  22.2,  23.4
City On A Hill Charter Public (District),04370000,      80,  16.0,        266,  54.5,  45.5,   5.6,  22.6,  74.1
City on a Hill Charter Public School II (District),35040000,      31,  16.9,        105,  51.4,  48.6,   4.8,  22.9,  76.2
Clarksburg,00630000,      59,  19.2,        179,  46.4,  53.6,   0.0,  27.9,  34.6
Clinton,00640000,     733,  19.0,"      1,977",  46.7,  53.3,   7.5,  18.5,  51.8
Codman Academy Charter Public (District),04380000,      58,  14.7,        194,  52.6,  47.4,   5.2,  27.3,  86.1
Cohasset,00650000,     850,  19.9,"      1,633",  48.4,  51.6,   0.1,  10.6,   5.6
Community Charter School of Cambridge (District),04360000,     325,  15.5,        374,  51.1,  48.9,   2.1,  23.0,  58.6
Community Day Charter Public School - Gateway (District),04260000,      54,  20.0,        160,  44.4,  55.6,  79.4,  10.0,  85.0
Community Day Charter Public School - Prospect (District),04400000,     103,  20.7,        330,  50.9,  49.1,  28.8,  10.0,  80.6
Community Day Charter Public School - R. Kingman Webster (District),04310000,      54,  19.9,        159,  50.9,  49.1,  55.3,   5.7,  76.1
Concord,00670000,     874,  17.5,"      2,203",  50.7,  49.3,   2.7,  16.7,   5.3
Concord-Carlisle,06400000,     577,  18.2,"      1,228",  52.9,  47.1,   1.1,  16.4,   4.4
Conservatory Lab Charter (District),04390000,      27,  19.1,        303,  49.5,  50.5,  17.8,  11.2,  63.4
Conway,00680000,      43,  15.5,        174,  40.8,  59.2,   0.6,  19.0,  17.8
Danvers,00710000,"   1,715",  19.4,"      3,680",  48.4,  51.6,   1.1,  16.6,  23.8
Dartmouth,00720000,"   1,661",  19.7,"      3,775",  48.5,  51.5,   2.8,  11.7,  23.4
Dedham,00730000,"   1,176",  16.7,"      2,818",  47.9,  52.1,   4.2,  18.7,  29.3
Deerfield,00740000,     148,  16.0,        448,  48.2,  51.8,   1.6,  19.6,  15.0
Dennis-Yarmouth,06450000,"   1,413",  15.1,"      3,067",  49.0,  51.0,   7.8,  16.4,  50.0
Dighton-Rehoboth,06500000,"   1,445",  19.7,"      3,014",  46.3,  53.7,   0.1,  13.2,  16.6
Dorchester Collegiate Academy Charter (District),04750000,      60,  18.7,        187,  48.7,  51.3,  20.9,  20.3,  95.2
Douglas,00770000,     624,  21.0,"      1,618",  49.8,  50.2,   0.1,  16.6,  15.0
Dover,00780000,     192,  19.0,        512,  45.1,  54.9,   1.6,  17.0,   2.1
Dover-Sherborn,06550000,     786,  15.0,"      1,173",  49.6,  50.4,   0.6,  13.5,   3.0
Dracut,00790000,"   1,543",  23.8,"      3,856",  48.5,  51.5,   1.2,  13.8,  23.2
Dudley Street Neighborhood Charter School (District),04070000,      27,  19.7,        177,  58.2,  41.8,  15.3,  11.9,  82.5
Dudley-Charlton Reg,06580000,"   1,583",  20.6,"      4,109",  50.2,  49.8,   1.7,  12.2,  25.4
Duxbury,00820000,"   1,414",  21.2,"      3,276",  48.3,  51.7,   0.2,  12.6,   5.2
East Bridgewater,00830000,     799,  23.1,"      2,316",  50.4,  49.6,   0.5,  16.7,  18.5
East Longmeadow,00870000,     971,  19.0,"      2,735",  49.5,  50.5,   1.4,  16.7,  20.2
Eastham,00850000,     157,  15.2,        217,  55.3,  44.7,   1.4,  18.4,  33.6
Easthampton,00860000,     553,  19.3,"      1,597",  51.0,  49.0,   2.1,  18.8,  38.8
Easton,00880000,"   1,765",  19.9,"      3,865",  49.8,  50.2,   1.3,  16.6,  12.7
Edgartown,00890000,     241,  17.0,        370,  48.6,  51.4,   7.6,  27.3,  38.4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,     141,  17.0,        324,  68.2,  31.8,   8.6,  13.0,  80.6
Erving,00910000,      46,  21.2,        153,  54.2,  45.8,   0.0,  26.1,  39.9
Essex Agricultural Technical,09130000,     336,  16.0,        461,  66.6,  33.4,   0.0,  13.4,  19.5
Everett,00930000,"   3,209",  20.2,"      6,861",  47.8,  52.2,  12.0,  14.0,  79.5
Excel Academy Charter (District),04100000,      72,  25.6,        213,  37.6,  62.4,  11.7,  22.1,  77.0
Excel Academy Charter School - Boston II (District),04590000,      36,  26.1,        111,  48.6,  51.4,   6.3,  12.6,  84.7
Excel Academy Charter School - Chelsea (District),04610000,      54,  27.8,        167,  52.7,  47.3,   4.2,  13.2,  85.6
Fairhaven,00940000,"   1,067",  17.4,"      1,996",  47.9,  52.1,   1.5,  14.1,  33.5
Fall River,00950000,"   4,371",  19.4,"     10,393",  48.3,  51.7,   8.8,  19.6,  79.3
Falmouth,00960000,"   1,519",  17.9,"      3,544",  48.0,  52.0,   1.4,  19.2,  28.6
Farmington River Reg,06620000,      79,  15.3,        129,  48.8,  51.2,   0.0,  19.4,  38.0
Fitchburg,00970000,"   2,503",  17.5,"      5,198",  49.5,  50.5,  14.5,  20.6,  76.8
Florida,00980000,      56,  11.2,         96,  54.2,  45.8,   0.0,  29.2,  55.2
Four Rivers Charter Public (District),04130000,     319,  14.9,        218,  49.5,  50.5,   0.5,  17.0,  27.5
Foxborough,00990000,"   1,362",  16.5,"      2,750",  48.1,  51.9,   0.6,  16.0,  14.6
Foxborough Regional Charter (District),04460000,     465,  23.6,"      1,254",  54.5,  45.5,   3.7,  10.2,  13.7
Framingham,01000000,"   4,548",  16.8,"      8,371",  48.9,  51.1,  14.5,  22.7,  46.6
Francis W. Parker Charter Essential (District),04780000,     262,  17.7,        403,  46.7,  53.3,   0.0,  18.1,   4.0
Franklin,01010000,"   2,416",  20.1,"      5,780",  49.3,  50.7,   1.0,  14.7,   9.9
Franklin County Regional Vocational Technical,08180000,     384,  11.2,        513,  36.8,  63.2,   0.0,  29.4,  48.5
Freetown-Lakeville,06650000,"   1,017",  20.6,"      2,954",  49.4,  50.6,   0.1,  13.6,  15.7
Frontier,06700000,     465,  13.0,        618,  50.3,  49.7,   0.6,  17.6,  22.7
Gardner,01030000,     915,  18.1,"      2,497",  46.5,  53.5,   4.8,  21.3,  55.6
Gateway,06720000,     466,  15.6,        999,  49.7,  50.3,   0.4,  15.3,  38.3
Georgetown,01050000,     624,  18.6,"      1,530",  47.5,  52.5,   0.1,  13.8,   9.0
Gill-Montague,06740000,     599,  14.2,"      1,022",  49.2,  50.8,   6.1,  20.1,  55.2
Global Learning Charter Public  (District),04960000,     277,  16.3,        495,  53.7,  46.3,   5.5,  15.8,  68.9
Gloucester,01070000,"   1,083",  18.0,"      3,139",  48.9,  51.1,   2.9,  25.0,  41.5
Gosnold,01090000,       4,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,417",  21.0,"      3,065",  49.4,  50.6,   0.6,  14.5,  10.7
Granby,01110000,     540,  15.5,        936,  47.5,  52.5,   3.0,  15.3,  22.9
Greater Fall River Regional Vocational Technical,08210000,     960,  13.0,"      1,409",  43.4,  56.6,   0.0,  10.5,  50.0
Greater Lawrence Regional Vocational Technical,08230000,"   1,338",  12.9,"      1,329",  48.1,  51.9,   4.4,  22.4,  83.4
Greater Lowell Regional Vocational Technical,08280000,"   1,216",  14.1,"      1,634",  50.6,  49.4,   6.3,  22.9,  63.0
Greater New Bedford Regional Vocational Technical,08250000,"   1,305",  15.1,"      2,123",  52.5,  47.5,   1.8,   9.9,  54.6
Greenfield,01140000,     746,  16.2,"      1,728",  48.6,  51.4,   3.0,  17.8,  61.0
Groton-Dunstable,06730000,"   1,004",  18.7,"      2,673",  48.8,  51.2,   0.3,  14.3,   6.4
Hadley,01170000,     349,  15.7,        626,  50.0,  50.0,   3.2,  12.1,  17.1
Halifax,01180000,     246,  19.4,        573,  49.4,  50.6,   0.2,  12.6,  26.7
Hamilton-Wenham,06750000,     995,  18.2,"      1,906",  52.6,  47.4,   0.8,  13.2,   8.7
Hampden Charter School of Science (District),04990000,     300,  16.2,        361,  49.6,  50.4,   5.0,  10.8,  70.9
Hampden-Wilbraham,06800000,"   1,496",  18.9,"      3,374",  50.4,  49.6,   0.4,  14.0,  15.7
Hampshire,06830000,     481,  14.3,        754,  52.7,  47.3,   0.7,  17.4,  12.5
Hancock,01210000,      37,   5.9,         47,  53.2,  46.8,   0.0,  12.8,   0.0
Hanover,01220000,"   1,270",  19.3,"      2,679",  47.8,  52.2,   1.0,  17.7,   8.6
Harvard,01250000,     460,  17.1,"      1,177",  49.5,  50.5,   0.8,  11.9,   3.7
Hatfield,01270000,     282,  13.7,        459,  46.6,  53.4,   0.0,  17.2,  12.0
Haverhill,01280000,"   3,664",  17.9,"      7,252",  46.7,  53.3,   7.3,  20.5,  55.2
Hawlemont,06850000,      28,  15.4,        100,  57.0,  43.0,   0.0,  22.0,  54.0
Hill View Montessori Charter Public (District),04550000,      65,  22.1,        309,  59.5,  40.5,   1.3,  20.4,  23.0
Hilltown Cooperative Charter  Public (District),04500000,      38,  23.6,        174,  50.0,  50.0,   0.0,  14.9,  18.4
Hingham,01310000,"   1,758",  18.9,"      4,254",  48.3,  51.7,   0.0,  12.8,   5.8
Holbrook,01330000,     334,  16.6,"      1,236",  49.8,  50.2,   4.0,  16.4,  44.7
Holland,01350000,      73,  19.4,        238,  48.3,  51.7,   0.0,  16.0,  24.8
Holliston,01360000,"   1,442",  16.5,"      2,840",  49.8,  50.2,   1.9,  16.5,   5.9
Holyoke,01370000,"   2,956",  17.6,"      5,755",  47.2,  52.8,  29.7,  24.1,  87.4
Holyoke Community Charter (District),04530000,     205,  25.8,        702,  54.0,  46.0,   6.8,  15.7,  87.2
Hopedale,01380000,     511,  20.0,"      1,274",  48.0,  52.0,   1.1,  17.0,  11.5
Hopkinton,01390000,"   1,844",  20.1,"      3,506",  50.6,  49.4,   1.3,  13.5,   1.9
Hudson,01410000,"   1,544",  18.0,"      3,006",  50.2,  49.8,   4.4,  16.6,  30.0
Hull,01420000,     566,  15.3,"      1,060",  44.4,  55.6,   0.2,  14.7,  37.3
Innovation Academy Charter (District),04350000,     421,  19.7,        729,  47.9,  52.1,   1.5,  19.1,  13.3
Ipswich,01440000,     854,  17.3,"      1,984",  51.3,  48.7,   1.7,  12.6,  13.4
KIPP Academy Boston Charter School (District),04630000,      33,  23.7,        142,  41.5,  58.5,  17.6,  23.9,  85.9
KIPP Academy Lynn Charter (District),04290000,     213,  22.7,        718,  52.2,  47.8,  15.2,  12.0,  85.2
King Philip,06900000,     841,  20.7,"      2,132",  48.0,  52.0,   0.1,  11.2,   7.3
Kingston,01450000,     373,  23.8,"      1,129",  48.6,  51.4,   0.8,  13.3,  18.9
Lanesborough,01480000,      90,  16.9,        202,  53.5,  46.5,   0.0,  20.3,  27.2
Lawrence,01490000,"   5,430",  18.8,"     13,822",  48.2,  51.8,  30.7,  18.2,  90.4
Lawrence Family Development Charter (District),04540000,     368,  18.1,        657,  54.5,  45.5,  15.7,   6.7,  92.2
Lee,01500000,     382,  12.6,        733,  52.9,  47.1,   2.3,  11.2,  42.6
Leicester,01510000,     706,  18.6,"      1,656",  48.1,  51.9,   1.1,  14.7,  34.5
Lenox,01520000,     510,  12.7,        751,  49.3,  50.7,   2.1,   8.7,  21.7
Leominster,01530000,"   2,909",  17.0,"      6,256",  47.4,  52.6,   6.2,  20.7,  50.4
Leverett,01540000,      48,  15.2,        123,  43.9,  56.1,   0.0,  20.3,  29.3
Lexington,01550000,"   2,648",  19.6,"      6,674",  49.3,  50.7,   5.8,  12.4,   6.4
Lincoln,01570000,     733,  15.2,"      1,247",  50.4,  49.6,   3.0,  16.6,  13.1
Lincoln-Sudbury,06950000,"   1,247",  19.7,"      1,641",  51.9,  48.1,   0.5,  16.3,   4.5
Littleton,01580000,     559,  18.9,"      1,591",  51.4,  48.6,   0.6,  21.5,  10.9
Longmeadow,01590000,"   1,247",  19.0,"      2,873",  48.7,  51.3,   1.2,  17.1,   6.8
Lowell,01600000,"   7,613",  19.3,"     14,243",  47.9,  52.1,  28.0,  15.4,  74.3
Lowell Collegiate Charter School (District),35030000,      77,  24.4,        268,  50.0,  50.0,  19.8,  12.7,  59.7
Lowell Community Charter Public (District),04560000,     200,  23.7,        647,  50.1,  49.9,  53.9,  20.2,  83.3
Lowell Middlesex Academy Charter (District),04580000,     334,  13.9,        156,  49.4,  50.6,   1.9,  24.4,  82.1
Ludlow,01610000,"   1,310",  16.4,"      2,817",  49.8,  50.2,   1.9,  15.0,  31.8
Lunenburg,01620000,     709,  19.2,"      1,571",  47.5,  52.5,   1.3,  17.7,  17.9
Lynn,01630000,"   4,978",  19.6,"     14,524",  47.5,  52.5,  19.5,  15.3,  80.8
Lynnfield,01640000,     845,  19.3,"      2,240",  48.8,  51.3,   0.5,  16.1,   7.3
MATCH Charter Public School (District),04690000,     107,  22.6,        483,  49.9,  50.1,   6.4,  17.2,  75.6
MATCH Community Day Charter Public School (District),04650000,      76,  23.5,        298,  54.4,  45.6,  81.9,  13.8,  83.2
Ma Academy for Math and Science,04680000,      18,  16.0,         48,  35.4,  64.6,   0.0,   0.0,   0.0
Malden,01650000,"   2,785",  20.8,"      6,897",  48.2,  51.8,  19.7,  14.9,  63.7
Manchester Essex Regional,06980000,     620,  17.6,"      1,539",  51.2,  48.8,   0.7,  10.9,   5.9
Mansfield,01670000,"   1,580",  17.6,"      4,357",  48.6,  51.4,   1.2,  16.0,  14.0
Marblehead,01680000,"   1,357",  16.8,"      3,323",  49.9,  50.1,   2.8,  18.1,  11.2
Marblehead Community Charter Public (District),04640000,     109,  20.2,        230,  46.1,  53.9,   0.0,  17.4,   7.8
Marion,01690000,     153,  21.2,        460,  50.2,  49.8,   1.3,  17.4,  20.0
Marlborough,01700000,"   1,941",  17.5,"      4,640",  48.2,  51.8,  15.3,  18.3,  44.8
Marshfield,01710000,"   1,365",  22.3,"      4,460",  49.2,  50.8,   0.3,  15.3,  15.2
Martha's Vineyard Charter (District),04660000,      73,  16.9,        186,  54.8,  45.2,   4.8,  19.4,  26.3
Marthas Vineyard,07000000,     514,  11.9,        678,  47.8,  52.2,   2.4,  20.5,  18.9
Martin Luther King Jr. Charter School of Excellence (District),04920000,     144,  20.1,        362,  46.1,  53.9,  10.8,  14.9,  90.6
Masconomet,07050000,     996,  17.8,"      2,042",  48.9,  51.1,   0.3,  13.8,   2.8
Mashpee,01720000,     791,  15.5,"      1,682",  49.9,  50.1,   2.9,  19.1,  35.0
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010000,      80,  14.5,        481,  52.4,  47.6,   0.0,   8.5,  37.6
Mattapoisett,01730000,     212,  19.2,        518,  45.4,  54.6,   0.8,  11.4,  20.7
Maynard,01740000,     660,  17.3,"      1,436",  47.9,  52.1,   2.4,  17.8,  18.0
Medfield,01750000,"   1,388",  18.2,"      2,689",  50.1,  49.9,   0.6,  11.1,   2.5
Medford,01760000,"   2,155",  16.2,"      4,672",  49.0,  51.0,   7.7,  18.4,  39.0
Medway,01770000,"   1,009",  18.8,"      2,443",  49.6,  50.4,   0.3,  12.9,   7.4
Melrose,01780000,"   1,511",  20.6,"      3,686",  49.9,  50.1,   2.6,  15.4,  15.8
Mendon-Upton,07100000,     922,  18.6,"      2,436",  49.9,  50.1,   1.1,  14.4,  11.2
Methuen,01810000,"   2,241",  20.5,"      7,016",  48.0,  52.0,   7.8,  14.9,  45.4
Middleborough,01820000,"   1,593",  20.0,"      3,237",  48.0,  52.0,   0.5,  17.5,  35.2
Middleton,01840000,     307,  15.5,        789,  49.2,  50.8,   1.3,  17.2,   6.7
Milford,01850000,"   1,862",  18.7,"      4,215",  48.0,  52.0,   9.5,  16.1,  32.5
Millbury,01860000,     715,  17.6,"      1,702",  49.6,  50.4,   2.1,  17.0,  28.9
Millis,01870000,     499,  18.4,"      1,420",  48.0,  52.0,   0.4,  11.4,  17.9
Milton,01890000,"   1,332",  19.0,"      3,967",  48.3,  51.7,   1.3,  13.4,  14.5
Minuteman Regional Vocational Technical,08300000,     447,  13.0,        689,  31.8,  68.2,   0.4,  39.8,  30.8
Mohawk Trail,07170000,     495,  14.0,        985,  48.9,  51.1,   0.5,  20.9,  37.1
Monomoy Regional School District,07120000,"   1,389",  14.0,"      1,913",  49.5,  50.5,   4.0,  16.4,  26.1
Monson,01910000,     438,  19.2,"      1,169",  51.2,  48.8,   0.2,  14.1,  30.1
Montachusett Regional Vocational Technical,08320000,     754,  18.8,"      1,414",  46.9,  53.1,   0.2,  14.6,  33.5
Mount Greylock,07150000,     415,  12.3,        574,  47.0,  53.0,   0.0,  11.1,  17.9
Mystic Valley Regional Charter (District),04700000,     765,  22.2,"      1,483",  52.6,  47.4,   0.0,  15.2,  17.2
Nahant,01960000,      17,  17.1,        181,  49.2,  50.8,   0.0,   8.3,  10.5
Nantucket,01970000,     734,  16.0,"      1,507",  49.4,  50.6,  12.4,  14.6,  15.5
Narragansett,07200000,     488,  17.9,"      1,366",  49.0,  51.0,   0.0,  13.5,  36.0
Nashoba,07250000,"   1,448",  18.5,"      3,451",  49.5,  50.5,   0.6,  12.4,   6.8
Nashoba Valley Regional Vocational Technical,08520000,     792,  13.5,        694,  40.1,  59.9,   0.0,  32.0,  28.2
Natick,01980000,"   2,382",  19.6,"      5,337",  49.3,  50.7,   1.1,  14.4,  10.5
Nauset,06600000,"   1,021",  15.7,"      1,598",  50.9,  49.1,   1.7,  13.7,  23.4
Needham,01990000,"   1,977",  19.1,"      5,540",  50.1,  49.9,   1.4,  15.0,   7.2
Neighborhood House Charter (District),04440000,     102,  26.0,        398,  49.0,  51.0,   5.3,  13.3,  63.1
New Bedford,02010000,"   4,433",  17.8,"     12,997",  46.7,  53.3,   7.1,  22.8,  79.2
New Salem-Wendell,07280000,      29,  17.2,        142,  46.5,  53.5,   0.0,  20.4,  50.7
Newburyport,02040000,"   1,171",  17.7,"      2,336",  49.3,  50.7,   0.9,  12.9,   9.5
Newton,02070000,"   5,417",  18.6,"     12,648",  49.5,  50.5,   6.1,  20.0,  11.0
Norfolk,02080000,     213,  21.6,        932,  45.9,  54.1,   0.0,  17.5,   4.7
Norfolk County Agricultural,09150000,     358,  16.8,        471,  70.1,  29.9,   0.0,  11.7,  14.4
North Adams,02090000,     766,  13.3,"      1,548",  49.4,  50.6,   1.0,  26.4,  63.9
North Andover,02110000,"   2,466",  22.1,"      4,843",  48.3,  51.7,   1.5,  14.5,  13.6
North Attleborough,02120000,"   1,530",  18.5,"      4,674",  49.2,  50.8,   2.4,  16.1,  17.8
North Brookfield,02150000,     238,  13.8,        573,  48.2,  51.8,   0.0,  18.2,  35.1
North Central Charter Essential (District),04740000,     368,  11.6,        313,  52.1,  47.9,   1.0,  22.0,  48.2
North Middlesex,07350000,"   1,717",  20.2,"      3,480",  49.7,  50.3,   0.7,  18.8,  18.8
North Reading,02170000,"   1,176",  20.9,"      2,619",  50.0,  50.0,   0.3,  17.8,  10.5
North Shore Regional Vocational Technical,08540000,     633,   9.3,        462,  42.4,  57.6,   0.4,  29.0,  37.0
Northampton,02100000,"   1,337",  15.7,"      2,778",  49.7,  50.3,   3.0,  22.7,  31.6
