2011-12 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     676,  20.0,"      1,426",  51.3,  48.7,   2.3,  11.2,  60.6
Abington,00010000,     839,  24.3,"      2,026",  49.0,  51.0,   1.6,  13.8,  19.0
Academy Of the Pacific Rim Charter Public (District),04120000,     132,  23.9,        500,  50.4,  49.6,   0.6,  18.8,  50.2
Acton,00020000,     777,  22.5,"      2,514",  47.5,  52.5,   4.3,  14.8,   4.3
Acton-Boxborough,06000000,     950,  21.5,"      2,912",  49.6,  50.4,   0.7,  13.6,   3.7
Acushnet,00030000,     315,  23.2,"      1,005",  47.9,  52.1,   0.2,  16.5,  25.4
Adams-Cheshire,06030000,     697,  16.2,"      1,447",  48.3,  51.7,   0.2,  17.6,  45.1
Advanced Math and Science Academy Charter (District),04300000,     478,  20.3,        963,  46.2,  53.8,   2.0,   4.2,   5.7
Agawam,00050000,"   2,004",  19.2,"      4,201",  49.3,  50.7,   3.2,  13.3,  27.0
Alma del Mar Charter School (District),04090000,      42,  20.0,        120,  53.3,  46.7,   5.0,   5.0,  69.2
Amesbury,00070000,     799,  19.7,"      2,314",  47.1,  52.9,   0.6,  18.2,  24.0
Amesbury Academy Charter Public (District),04150000,      32,  10.3,         49,  38.8,  61.2,   0.0,  42.9,  59.2
Amherst,00080000,     359,  19.8,"      1,216",  47.9,  52.1,  14.1,  19.9,  38.7
Amherst-Pelham,06050000,     632,  14.4,"      1,544",  48.6,  51.4,   2.7,  19.7,  24.9
Andover,00090000,"   1,896",  20.9,"      6,191",  49.6,  50.4,   1.5,  15.2,   6.0
Arlington,00100000,"   1,457",  18.5,"      4,820",  50.4,  49.6,   5.3,  12.6,  11.5
Ashburnham-Westminster,06100000,     843,  19.3,"      2,274",  48.7,  51.3,   0.9,  16.2,  19.1
Ashland,00140000,     869,  19.6,"      2,582",  50.0,  50.0,   3.0,  12.9,  10.2
Assabet Valley Regional Vocational Technical,08010000,     461,  15.4,"      1,013",  39.8,  60.2,   1.0,  27.9,  37.3
Athol-Royalston,06150000,     543,  17.6,"      1,522",  48.2,  51.8,   1.6,  25.0,  53.0
Atlantis Charter (District),04910000,     341,  21.2,        731,  52.4,  47.6,   0.3,  12.2,  60.6
Attleboro,00160000,"   1,982",  20.4,"      5,919",  47.5,  52.5,   5.8,  17.0,  36.7
Auburn,00170000,     765,  19.3,"      2,357",  50.7,  49.3,   3.0,  12.1,  21.3
Avon,00180000,     309,  16.2,        756,  47.8,  52.2,   0.8,  18.9,  27.8
Ayer Shirley School District,06160000,     731,  18.3,"      1,649",  47.7,  52.3,   3.2,  17.6,  32.0
Barnstable,00200000,"   1,698",  17.2,"      4,134",  49.6,  50.4,   4.8,  13.3,  35.6
Barnstable Community Horace Mann Charter Public (District),04270000,      85,  19.7,        317,  50.8,  49.2,  12.9,   9.5,  41.0
Barnstable Horace Mann Charter (District),04230000,     385,  21.4,        806,  51.7,  48.3,   3.8,  14.1,  37.5
Bedford,00230000,"   1,183",  15.5,"      2,442",  49.0,  51.0,   3.4,  12.7,  10.8
Belchertown,00240000,     946,  18.4,"      2,515",  49.1,  50.9,   0.5,  13.0,  18.2
Bellingham,00250000,     723,  19.6,"      2,468",  47.5,  52.5,   0.9,  13.5,  20.3
Belmont,00260000,"   1,109",  21.3,"      3,961",  50.6,  49.4,   2.7,   8.4,   6.5
Benjamin Banneker Charter Public (District),04200000,      73,  19.5,        353,  54.7,  45.3,   5.4,  10.2,  84.1
Benjamin Franklin Classical Charter Public (District),04470000,     220,  25.0,        450,  52.2,  47.8,   0.0,   6.9,   3.1
Berkley,00270000,     375,  18.1,        876,  49.2,  50.8,   0.0,  16.4,  11.5
Berkshire Arts and Technology Charter Public (District),04140000,      89,  18.1,        276,  53.6,  46.4,   0.0,  19.9,  59.8
Berkshire Hills,06180000,     633,  17.0,"      1,332",  48.7,  51.3,   1.4,  12.7,  23.3
Berlin,00280000,      55,  14.0,        213,  39.9,  60.1,   0.0,  22.5,   5.6
Berlin-Boylston,06200000,     192,  16.3,        412,  54.1,  45.9,   0.5,  13.8,   9.5
Beverly,00300000,"   1,211",  21.0,"      4,293",  49.5,  50.5,   1.4,  17.5,  25.6
Billerica,00310000,"   1,540",  20.0,"      5,715",  48.7,  51.3,   0.7,  19.0,  14.2
Blackstone Valley Regional Vocational Technical,08050000,     760,  17.1,"      1,149",  47.6,  52.4,   0.6,  10.4,  15.7
Blackstone-Millville,06220000,     740,  19.8,"      1,945",  49.9,  50.1,   0.8,  15.6,  23.5
Blue Hills Regional Vocational Technical,08060000,     334,  18.0,        836,  44.0,  56.0,   0.8,  20.8,  29.4
Boston,00350000,"  14,374",  17.7,"     54,539",  48.3,  51.7,  30.6,  18.3,  69.5
Boston Collegiate Charter (District),04490000,     239,  19.8,        571,  53.9,  46.1,   0.7,  16.5,  42.7
Boston Day and Evening Academy Charter (District),04240000,      85,  13.2,        348,  57.2,  42.8,   4.0,  11.8,  99.1
Boston Green Academy Horace Mann Charter School (District),04110000,     115,  17.7,        335,  49.9,  50.1,  13.1,  24.5,  66.6
Boston Preparatory Charter Public (District),04160000,      87,  24.2,        359,  50.1,  49.9,   3.3,  14.8,  74.9
Boston Renaissance Charter Public (District),04810000,     236,  21.5,"      1,027",  52.2,  47.8,   7.0,  10.7,  80.8
Bourne,00360000,     914,  18.1,"      2,174",  48.9,  51.1,   0.1,  14.9,  26.7
Boxborough,00370000,     183,  19.7,        475,  45.5,  54.5,   2.3,  11.8,   3.8
Boxford,00380000,     320,  16.3,        823,  49.6,  50.4,   0.6,  17.0,   2.6
Boylston,00390000,      85,  17.4,        386,  50.8,  49.2,   2.3,  14.2,   0.5
Braintree,00400000,"   2,525",  18.5,"      5,478",  48.9,  51.1,   2.1,  18.3,  16.0
Brewster,00410000,     126,  18.9,        496,  47.4,  52.6,   2.4,  13.1,  21.8
Bridge Boston Charter School (District),04170000,       6,  25.0,         71,  56.3,  43.7,  11.3,   5.6,  81.7
Bridgewater-Raynham,06250000,"   1,524",  22.7,"      5,551",  48.0,  52.0,   1.1,  14.1,  17.1
Brimfield,00430000,     126,  15.1,        328,  52.7,  47.3,   0.0,  11.9,  17.4
Bristol County Agricultural,09100000,     202,  18.6,        445,  71.7,  28.3,   0.0,   9.9,  29.4
Bristol-Plymouth Regional Vocational Technical,08100000,     455,  17.8,"      1,231",  45.3,  54.7,   0.5,  14.2,  34.3
Brockton,00440000,"   6,190",  19.9,"     16,066",  48.8,  51.2,  20.2,  12.4,  70.9
Brookfield,00450000,      92,  18.2,        328,  48.5,  51.5,   0.0,  12.5,  26.8
Brookline,00460000,"   2,600",  17.7,"      6,866",  48.8,  51.2,   9.0,  16.1,  11.5
Burlington,00480000,"   1,447",  18.8,"      3,626",  47.8,  52.2,   1.8,  10.9,   9.6
Cambridge,00490000,"   2,060",  15.9,"      6,038",  49.1,  50.9,   4.9,  18.5,  48.4
Canton,00500000,"   1,139",  19.9,"      3,247",  49.2,  50.8,   1.2,  13.3,  13.1
Cape Cod Lighthouse Charter (District),04320000,      53,  37.5,        228,  48.7,  51.3,   0.0,  12.3,   9.6
Cape Cod Regional Vocational Technical,08150000,     366,  14.0,        661,  36.3,  63.7,   1.1,  28.0,  41.5
Carlisle,00510000,     218,  19.8,        653,  49.6,  50.4,   1.1,  13.9,   1.1
