2011-12 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Carver,00520000,     712,  19.7,"      1,760",  49.1,  50.9,   0.1,  14.1,  20.9
Central Berkshire,06350000,     864,  16.8,"      1,837",  49.3,  50.7,   0.1,  13.8,  29.8
Chatham,00550000,     309,  14.4,        634,  46.7,  53.3,   1.9,  18.0,  19.4
Chelmsford,00560000,"   2,286",  19.9,"      5,209",  49.2,  50.8,   2.3,  12.8,   9.0
Chelsea,00570000,"   1,016",  21.2,"      5,691",  49.3,  50.7,  18.1,  10.6,  78.1
Chesterfield-Goshen,06320000,      33,  19.4,        169,  48.5,  51.5,   0.0,  10.7,  16.6
Chicopee,00610000,"   2,308",  18.2,"      7,832",  47.8,  52.2,   4.1,  16.4,  59.5
Christa McAuliffe Regional Charter Public (District),04180000,     104,  17.0,        269,  42.0,  58.0,   1.9,  28.3,  15.6
City On A Hill Charter Public (District),04370000,      95,  15.0,        291,  56.0,  44.0,   5.5,  17.5,  84.2
Clarksburg,00630000,      59,  20.4,        180,  50.6,  49.4,   0.0,  15.6,  33.9
Clinton,00640000,     693,  18.2,"      1,920",  47.3,  52.7,   7.2,  18.6,  45.9
Codman Academy Charter Public (District),04380000,      53,  16.2,        149,  55.7,  43.6,   1.3,  22.8,  69.1
Cohasset,00650000,     701,  20.6,"      1,530",  48.9,  51.1,   0.1,  11.8,   2.5
Community Charter School of Cambridge (District),04360000,     289,  15.9,        330,  56.4,  43.6,   3.0,  17.3,  58.5
Community Day Charter Public (District),04400000,      90,  20.8,        331,  52.3,  47.7,  35.6,  13.9,  74.9
Concord,00670000,     795,  17.1,"      1,991",  52.3,  47.7,   1.5,  16.4,   5.8
Concord-Carlisle,06400000,     405,  19.5,"      1,209",  52.9,  47.1,   0.1,  14.7,   4.8
Conservatory Lab Charter (District),04390000,       9,  19.0,        171,  45.6,  54.4,  21.1,   9.4,  63.2
Conway,00680000,      40,  17.6,        181,  45.9,  54.1,   0.0,  18.2,  18.8
Danvers,00710000,"   1,111",  19.3,"      3,604",  50.4,  49.6,   0.9,  15.5,  19.2
Dartmouth,00720000,"   1,617",  20.5,"      3,859",  48.2,  51.8,   1.9,  11.3,  21.0
Dedham,00730000,"   1,042",  16.8,"      2,859",  48.4,  51.6,   5.3,  20.7,  23.6
Deerfield,00740000,     116,  19.4,        464,  45.3,  54.7,   2.2,  16.8,  19.6
Dennis-Yarmouth,06450000,"   1,230",  16.6,"      3,090",  48.4,  51.6,   5.8,  15.1,  42.2
Dighton-Rehoboth,06500000,"   1,232",  19.2,"      3,149",  46.7,  53.3,   0.3,  13.1,  14.4
Dorchester Collegiate Academy Charter (District),04750000,      30,  18.3,        110,  43.6,  56.4,   0.0,  10.0,  84.5
Douglas,00770000,     652,  20.9,"      1,708",  49.0,  51.0,   0.0,  14.8,  14.4
Dover,00780000,     183,  18.3,        512,  44.7,  55.3,   3.1,  10.4,   3.5
Dover-Sherborn,06550000,     618,  15.2,"      1,190",  50.7,  49.3,   0.3,  11.4,   2.7
Dracut,00790000,"   1,541",  21.8,"      3,951",  48.4,  51.6,   0.9,  10.9,  15.5
Dudley-Charlton Reg,06580000,"   1,523",  19.9,"      4,145",  49.8,  50.2,   2.2,  11.6,  16.6
Duxbury,00820000,"   1,286",  20.7,"      3,207",  48.8,  51.2,   0.0,  12.3,   3.7
East Bridgewater,00830000,     563,  28.2,"      2,284",  50.7,  49.3,   0.3,  14.1,  15.4
East Longmeadow,00870000,     677,  20.2,"      2,793",  49.9,  50.1,   0.1,  18.1,  13.2
Eastham,00850000,      61,  17.6,        207,  55.1,  44.9,   1.4,  17.4,  32.4
Easthampton,00860000,     376,  19.0,"      1,591",  50.3,  49.7,   2.1,  19.7,  33.0
Easton,00880000,"   1,469",  19.8,"      3,878",  49.7,  50.3,   1.3,  17.5,   9.3
Edgartown,00890000,     212,  17.2,        331,  48.0,  52.0,   6.6,  18.4,  28.1
Edward Brooke Charter (District),04280000,     154,  18.4,        470,  54.3,  45.7,   0.2,   7.4,  82.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      88,  17.5,        224,  67.0,  33.0,   5.4,   9.4,  66.1
Edward W. Brooke Charter School 2 (District),04430000,      40,  16.7,        167,  48.5,  51.5,   7.2,   9.6,  75.4
Erving,00910000,      45,  18.0,        155,  52.3,  47.7,   0.0,  21.3,  39.4
Essex Agricultural Technical,09130000,     304,  17.1,        481,  64.0,  36.0,   0.0,  13.9,  21.4
Everett,00930000,"   3,004",  19.8,"      6,370",  48.1,  51.9,  12.2,  13.9,  76.1
Excel Academy Charter (District),04100000,      48,  26.3,        210,  48.1,  51.9,   5.7,  14.3,  72.9
Excel Academy Charter School - Chelsea (District),04610000,      12,  28.0,         56,  48.2,  51.8,   3.6,   8.9,  87.5
Fairhaven,00940000,     586,  17.1,"      1,959",  48.4,  51.6,   0.7,  14.2,  28.3
Fall River,00950000,"   3,718",  20.2,"      9,822",  48.3,  51.7,   6.1,  19.8,  78.3
Falmouth,00960000,"   1,302",  16.4,"      3,511",  47.7,  52.3,   1.0,  16.5,  24.9
Farmington River Reg,06620000,      74,  17.1,        153,  54.9,  45.1,   0.0,  13.1,  41.2
Fitchburg,00970000,"   1,265",  20.8,"      4,964",  49.4,  50.6,  12.3,  20.7,  73.5
Florida,00980000,      58,  12.5,        104,  54.8,  45.2,   0.0,  18.3,  37.5
Four Rivers Charter Public (District),04130000,     155,  14.3,        208,  51.0,  49.0,   0.5,  15.9,  22.1
Foxborough,00990000,"   1,096",  17.2,"      2,777",  48.6,  51.4,   0.2,  15.7,  13.3
Foxborough Regional Charter (District),04460000,     388,  23.7,"      1,198",  54.3,  45.7,   3.3,  10.2,  15.2
Framingham,01000000,"   3,321",  18.6,"      8,179",  48.5,  51.5,  13.6,  20.7,  36.0
Francis W. Parker Charter Essential (District),04780000,     204,  11.3,        396,  44.7,  55.3,   0.0,  17.9,   3.0
Franklin,01010000,"   1,979",  21.3,"      5,952",  49.4,  50.6,   1.3,  14.5,   8.1
Franklin County Regional Vocational Technical,08180000,     321,  11.8,        511,  37.0,  63.0,   0.0,  25.0,  48.1
Freetown-Lakeville,06650000,     879,  22.0,"      3,106",  49.1,  50.9,   0.1,  15.5,  12.5
Frontier,06700000,     286,  12.8,        650,  50.3,  49.7,   0.9,  18.2,  18.0
Gardner,01030000,     673,  19.2,"      2,525",  46.1,  53.9,   3.8,  18.9,  51.3
Gateway,06720000,     335,  16.9,"      1,085",  49.8,  50.2,   0.7,  13.2,  31.4
Georgetown,01050000,     436,  22.8,"      1,608",  47.8,  52.2,   0.1,  12.9,   7.5
Gill-Montague,06740000,     496,  14.7,"      1,013",  47.9,  52.1,   5.3,  20.0,  51.8
Global Learning Charter Public (District),04960000,     196,  16.9,        467,  55.0,  45.0,   0.0,  12.8,  73.7
Gloucester,01070000,     834,  17.7,"      3,089",  48.4,  51.6,   2.4,  20.6,  39.8
Gloucester Community Arts Charter (District),04480000,      82,  13.8,        137,  54.7,  45.3,   0.0,  23.4,  32.1
Gosnold,01090000,       4,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,238",  19.4,"      2,902",  49.2,  50.8,   0.4,  15.2,  10.7
Granby,01110000,     431,  15.6,"      1,092",  49.3,  50.7,   1.1,  16.5,  16.9
Granville,01120000,      49,  17.4,        146,  48.6,  51.4,   0.0,  12.3,  19.2
Greater Fall River Regional Vocational Technical,08210000,     708,  14.6,"      1,350",  43.1,  56.9,   0.2,  10.6,  45.2
Greater Lawrence Regional Vocational Technical,08230000,     575,  16.0,"      1,278",  48.1,  51.9,   2.3,  22.5,  79.8
Greater Lowell Regional Vocational Technical,08280000,"   1,122",  15.1,"      2,116",  47.4,  52.5,   6.1,  23.1,  58.7
Greater New Bedford Regional Vocational Technical,08250000,"   1,267",  15.3,"      2,140",  51.3,  48.7,   1.3,   9.3,  52.8
Greenfield,01140000,     449,  20.4,"      2,103",  49.4,  50.6,   2.8,  13.5,  43.9
Groton-Dunstable,06730000,     701,  18.9,"      2,676",  48.1,  51.9,   0.4,  12.8,   3.5
Grove Hall Preparatory Charter School (District),04620000,      21,  24.0,         72,  52.8,  47.2,   4.2,  13.9,  70.8
Hadley,01170000,     341,  16.8,        700,  51.6,  48.4,   2.6,  10.7,  16.7
Halifax,01180000,     251,  19.2,        597,  47.9,  52.1,   0.0,  11.6,  10.4
Hamilton-Wenham,06750000,     724,  19.1,"      1,950",  52.4,  47.6,   1.1,  13.6,   5.8
Hampden Charter School of Science (District),04990000,     167,  15.5,        291,  50.5,  49.5,   3.4,  11.7,  60.5
Hampden-Wilbraham,06800000,     889,  20.9,"      3,465",  49.7,  50.3,   0.5,  15.9,  12.0
Hampshire,06830000,     332,  14.8,        784,  54.2,  45.8,   0.3,  15.4,   9.6
Hancock,01210000,      29,   5.6,         46,  58.7,  41.3,   0.0,   4.3,   0.0
Hanover,01220000,"   1,045",  21.3,"      2,725",  47.6,  52.4,   0.6,  15.4,   6.3
Harvard,01250000,     428,  19.0,"      1,259",  49.2,  50.8,   0.2,  13.1,   1.7
Harwich,01260000,     874,  15.0,"      1,313",  48.7,  51.3,   4.4,  14.2,  24.1
Hatfield,01270000,     246,  14.5,        482,  48.1,  51.9,   0.2,  13.3,  13.1
Haverhill,01280000,"   3,250",  18.5,"      6,976",  46.9,  53.1,   7.3,  21.5,  47.9
Hawlemont,06850000,      22,  13.5,         96,  53.1,  46.9,   0.0,  26.0,  49.0
Hill View Montessori Charter Public (District),04550000,      65,  21.3,        296,  55.1,  44.9,   1.0,  20.6,  21.6
Hilltown Cooperative Charter Public (District),04500000,      36,  22.0,        165,  49.7,  50.3,   0.6,  15.2,  19.4
Hingham,01310000,"   1,546",  19.9,"      4,134",  48.3,  51.7,   0.1,  12.5,   4.0
Holbrook,01330000,     248,  19.4,"      1,172",  48.2,  51.8,   3.8,  16.1,  39.3
Holland,01350000,      77,  17.6,        222,  47.7,  52.3,   0.5,  19.8,  31.5
Holliston,01360000,"   1,130",  16.6,"      2,842",  51.1,  48.9,   1.4,  15.1,   4.3
Holyoke,01370000,"   1,990",  17.1,"      5,858",  48.2,  51.7,  27.4,  25.1,  83.5
Holyoke Community Charter (District),04530000,     213,  25.9,        701,  54.4,  45.6,   6.1,   9.4,  82.0
Hopedale,01380000,     489,  18.0,"      1,257",  49.8,  50.2,   0.8,  16.2,   8.8
Hopkinton,01390000,"   1,235",  19.9,"      3,414",  50.4,  49.6,   1.2,  12.6,   2.9
Hudson,01410000,     900,  17.7,"      2,951",  49.5,  50.5,   4.7,  16.2,  20.8
Hull,01420000,     354,  19.3,"      1,094",  47.9,  52.1,   0.1,  14.4,  36.7
Innovation Academy Charter (District),04350000,     186,  20.0,        608,  46.9,  53.1,   0.3,  21.5,  12.8
Ipswich,01440000,     532,  19.8,"      2,114",  51.0,  49.0,   0.5,  13.1,   9.7
KIPP Academy Lynn Charter (District),04290000,     135,  23.9,        466,  52.4,  47.6,   7.7,  13.1,  83.5
King Philip,06900000,     723,  20.5,"      2,131",  48.8,  51.2,   0.2,  11.1,   6.6
Kingston,01450000,     372,  22.9,"      1,169",  50.5,  49.5,   0.6,  11.2,  12.7
Lanesborough,01480000,     100,  16.9,        245,  55.1,  44.9,   0.8,  20.4,  17.1
Lawrence,01490000,"   4,261",  20.6,"     12,900",  46.8,  53.2,  24.2,  19.5,  87.0
Lawrence Family Development Charter (District),04540000,     348,  17.9,        613,  57.1,  42.9,  25.8,   4.7,  92.0
Lee,01500000,     363,  14.5,        787,  51.5,  48.5,   2.4,  12.1,  33.3
Leicester,01510000,     589,  21.5,"      1,777",  49.6,  50.4,   1.7,  13.8,  27.8
Lenox,01520000,     375,  13.6,        800,  49.6,  50.4,   1.6,   9.8,  17.6
Leominster,01530000,"   2,185",  18.5,"      6,169",  47.6,  52.4,   5.9,  16.2,  44.3
Leverett,01540000,      61,  16.7,        148,  45.9,  54.1,   1.4,  23.0,  25.0
Lexington,01550000,"   2,076",  19.3,"      6,397",  49.3,  50.7,   5.7,  12.8,   6.6
Lincoln,01570000,     480,  16.2,"      1,149",  49.7,  50.3,   2.3,  11.4,  13.9
Lincoln-Sudbury,06950000,     531,  20.5,"      1,599",  49.1,  50.9,   0.2,  16.4,   5.4
Littleton,01580000,     484,  20.0,"      1,609",  52.5,  47.5,   0.6,  18.1,   6.4
Longmeadow,01590000,"   1,022",  19.9,"      2,947",  47.7,  52.3,   0.8,  18.3,   5.2
Lowell,01600000,"   6,363",  19.2,"     13,535",  47.7,  52.3,  31.8,  14.6,  75.1
Lowell Community Charter Public (District),04560000,      84,  54.8,        677,  52.7,  47.3,  49.6,  14.2,  83.8
Lowell Middlesex Academy Charter (District),04580000,      49,  13.4,        112,  57.1,  42.9,   1.8,  30.4,  63.4
Ludlow,01610000,"   1,155",  17.6,"      2,881",  50.0,  50.0,   1.7,  14.5,  27.8
Lunenburg,01620000,     768,  20.8,"      1,634",  48.5,  51.5,   0.6,  17.2,   8.9
Lynn,01630000,"   3,871",  19.5,"     13,714",  48.1,  51.9,  19.6,  15.6,  82.4
Lynnfield,01640000,     709,  21.0,"      2,275",  49.1,  50.9,   0.2,  13.1,   6.9
MATCH Charter Public School (District),04690000,     104,  22.0,        468,  51.5,  48.5,   0.9,  17.5,  78.0
MATCH Community Day Charter Public School (District),04650000,      23,  25.1,        100,  50.0,  50.0,  78.0,  10.0,  81.0
Ma Academy for Math and Science,04680000,      18,  15.3,         46,  32.6,  67.4,   0.0,   0.0,   0.0
Malden,01650000,"   2,528",  21.1,"      6,567",  47.5,  52.5,  16.3,  13.5,  62.6
Manchester Essex Regional,06980000,     495,  20.3,"      1,549",  50.5,  49.5,   0.3,  13.9,   9.7
Mansfield,01670000,"   1,017",  20.5,"      4,661",  49.0,  51.0,   1.1,  18.1,  10.8
Marblehead,01680000,"   1,007",  18.7,"      3,168",  49.6,  50.4,   1.0,  16.3,   8.0
Marblehead Community Charter Public (District),04640000,      94,  21.4,        230,  46.5,  53.5,   0.0,  16.1,   5.7
Marion,01690000,     114,  19.9,        473,  49.9,  50.1,   0.2,  15.0,  10.8
Marlborough,01700000,"   1,534",  18.0,"      4,597",  48.2,  51.8,  12.9,  18.8,  39.6
Marshfield,01710000,"   1,252",  23.4,"      4,585",  48.8,  51.2,   0.3,  16.3,  12.1
Martha's Vineyard Charter (District),04660000,      73,  16.5,        182,  52.7,  47.3,   3.3,  17.0,  25.3
Marthas Vineyard,07000000,     370,  12.8,        668,  44.9,  55.1,   2.1,  24.4,  16.9
Martin Luther King Jr. Charter School of Excellence (District),04920000,     153,  20.3,        388,  45.1,  54.9,   7.5,  10.1,  87.4
Masconomet,07050000,     804,  17.9,"      2,053",  50.9,  49.1,   0.2,  12.8,   3.2
Mashpee,01720000,     824,  15.4,"      1,735",  49.7,  50.3,   2.5,  17.1,  29.9
Mattapoisett,01730000,     161,  16.7,        513,  49.5,  50.5,   0.4,  10.7,  10.7
Maynard,01740000,     592,  16.8,"      1,323",  49.5,  50.5,   1.4,  15.5,  19.4
Medfield,01750000,"   1,127",  19.6,"      2,859",  49.9,  50.1,   0.3,  11.0,   2.9
Medford,01760000,"   2,000",  16.3,"      4,870",  49.2,  50.8,   7.2,  17.5,  35.4
Medway,01770000,"   1,059",  18.3,"      2,568",  50.0,  50.0,   0.2,  15.6,   6.1
Melrose,01780000,"   1,188",  22.7,"      3,654",  49.6,  50.4,   2.3,  13.6,  14.7
Mendon-Upton,07100000,     761,  20.6,"      2,568",  50.5,  49.5,   0.5,  12.5,   8.1
Methuen,01810000,"   1,763",  23.5,"      7,094",  48.6,  51.4,   7.8,  13.2,  25.1
Middleborough,01820000,     612,  27.2,"      3,374",  48.0,  52.0,   0.8,  16.2,  32.4
Middleton,01840000,     285,  16.3,        806,  47.5,  52.5,   1.9,  16.6,   5.7
Milford,01850000,"   1,386",  19.0,"      4,152",  48.9,  51.1,   6.6,  15.0,  30.6
Millbury,01860000,     723,  18.6,"      1,806",  50.9,  49.1,   1.7,  17.7,  24.8
Millis,01870000,     400,  19.2,"      1,452",  48.0,  52.0,   0.3,  12.3,  16.6
Milton,01890000,"   1,230",  18.6,"      3,882",  49.0,  51.0,   1.2,  15.1,  15.7
Minuteman Regional Vocational Technical,08300000,     314,  15.3,        648,  31.2,  68.8,   0.2,  46.9,  27.5
Mohawk Trail,07170000,     365,  13.5,"      1,044",  50.5,  49.5,   0.4,  19.5,  35.8
Monson,01910000,     338,  20.8,"      1,312",  51.3,  48.7,   0.7,  13.3,  27.4
Montachusett Regional Vocational Technical,08320000,     659,  19.7,"      1,435",  45.7,  54.3,   0.3,  15.6,  35.1
Mount Greylock,07150000,     277,  15.1,        584,  47.3,  52.7,   0.3,  12.5,  15.6
Mystic Valley Regional Charter (District),04700000,     598,  26.2,"      1,469",  53.1,  46.9,   0.0,  11.2,  22.0
Nahant,01960000,      14,  27.2,        204,  51.5,  48.5,   0.0,   4.4,   6.9
Nantucket,01970000,     518,  17.0,"      1,330",  48.8,  51.2,   8.4,  16.1,  10.3
Narragansett,07200000,     533,  18.2,"      1,461",  50.6,  49.4,   0.0,  15.1,  31.3
Nashoba,07250000,"   1,289",  19.5,"      3,500",  49.1,  50.9,   0.6,  10.7,   6.9
Nashoba Valley Regional Vocational Technical,08520000,     435,  14.7,        677,  40.3,  59.7,   0.0,  36.3,  24.4
Natick,01980000,"   1,512",  20.0,"      4,944",  48.4,  51.6,   1.1,  12.7,   8.4
Nauset,06600000,     717,  16.1,"      1,524",  49.9,  50.1,   0.7,  14.2,  16.5
Needham,01990000,"   1,392",  19.3,"      5,408",  49.6,  50.4,   1.1,  12.8,   6.2
Neighborhood House Charter (District),04440000,     137,  22.0,        400,  50.0,  50.0,   2.5,  14.0,  68.8
New Bedford,02010000,"   3,695",  18.3,"     12,531",  47.2,  52.8,   4.4,  20.5,  64.4
New Leadership Charter (District),04710000,     204,  14.7,        495,  54.7,  45.3,   2.2,   9.5,  79.8
New Salem-Wendell,07280000,      29,  17.0,        140,  47.9,  52.1,   0.0,  15.7,  42.9
Newburyport,02040000,     696,  20.2,"      2,334",  49.6,  50.4,   0.6,  14.1,   9.6
Newton,02070000,"   4,436",  19.3,"     12,077",  49.3,  50.7,   6.5,  19.2,  10.8
Norfolk,02080000,     258,  21.6,        968,  46.6,  53.4,   0.0,  15.8,   4.6
Norfolk County Agricultural,09150000,     230,  18.3,        489,  69.9,  30.1,   0.0,  12.5,  12.9
North Adams,02090000,     768,  14.7,"      1,546",  47.9,  52.1,   0.8,  24.3,  41.5
North Andover,02110000,"   1,394",  22.0,"      4,686",  48.9,  51.1,   1.6,  12.5,  13.0
North Attleborough,02120000,"   1,304",  19.3,"      4,687",  49.5,  50.5,   1.2,  15.0,  15.9
North Brookfield,02150000,     226,  16.4,        562,  50.7,  49.3,   0.0,  14.8,  36.5
North Central Charter Essential (District),04740000,     202,  13.0,        358,  49.4,  50.6,   2.8,  21.8,  49.2
North Middlesex,07350000,"   1,070",  21.8,"      3,760",  49.9,  50.1,   0.2,  16.4,  15.8
North Reading,02170000,"   1,055",  21.6,"      2,635",  50.1,  49.9,   0.3,  15.2,   7.9
North Shore Regional Vocational Technical,08540000,     290,  13.8,        467,  42.0,  58.0,   0.0,  30.0,  30.6
Northampton,02100000,     889,  17.3,"      2,701",  49.6,  50.4,   2.5,  19.0,  29.6
Northampton-Smith Vocational Agricultural,04060000,     275,  12.2,        434,  38.9,  61.1,   2.1,  40.1,  44.5
Northboro-Southboro,07300000,     526,  17.7,"      1,445",  51.1,  48.9,   0.4,   9.8,   5.7
Northborough,02130000,     672,  18.1,"      1,926",  49.8,  50.2,   4.4,  12.7,   8.8
Northbridge,02140000,     867,  19.5,"      2,615",  48.3,  51.7,   0.8,  15.9,  28.1
Northeast Metropolitan Regional Vocational Technical,08530000,     517,  19.9,"      1,252",  42.6,  57.4,   2.5,  26.1,  50.0
Northern Berkshire Regional Vocational Technical,08510000,     220,  14.4,        470,  41.1,  58.9,   0.0,  17.9,  39.6
Norton,02180000,     899,  20.6,"      2,670",  47.7,  52.3,   0.3,  17.1,  17.9
