2016-17 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     707,  18.9,"      1,425",  52.8,  47.2,   7.9,  12.4,  34.9
Abington,00010000,"   1,027",  21.1,"      1,981",  49.5,  50.5,   4.6,  14.0,  22.3
Academy Of the Pacific Rim Charter Public (District),04120000,     123,  22.8,        516,  52.9,  47.1,  13.0,  25.6,  31.8
Acton-Boxborough,06000000,"   2,160",  21.3,"      5,620",  48.3,  51.7,   4.6,  14.9,   5.3
Acushnet,00030000,     544,  18.5,        971,  47.8,  52.2,   0.5,  15.2,  22.9
Adams-Cheshire,06030000,     739,  16.3,"      1,303",  49.7,  50.3,   0.5,  24.3,  43.1
Advanced Math and Science Academy Charter (District),04300000,     475,  19.4,        973,  47.8,  52.2,   1.2,   5.0,   5.8
Agawam,00050000,"   2,555",  15.7,"      3,971",  48.1,  51.9,   5.6,  16.6,  27.5
Alma del Mar Charter School (District),04090000,      50,  46.4,        320,  54.1,  45.9,  11.9,  17.5,  53.8
Amesbury,00070000,"   1,146",  17.5,"      2,204",  47.2,  52.8,   1.5,  19.4,  21.8
Amherst,00080000,     319,  19.3,"      1,147",  49.0,  50.9,  16.4,  22.7,  32.6
Amherst-Pelham,06050000,     943,  14.3,"      1,366",  48.8,  51.1,   5.0,  18.9,  22.4
Andover,00090000,"   2,883",  17.6,"      6,076",  49.8,  50.1,   3.8,  17.7,   6.6
Argosy Collegiate Charter School (District),35090000,      84,  26.7,        310,  46.5,  53.5,  14.2,  22.9,  48.7
Arlington,00100000,"   2,326",  18.6,"      5,554",  49.5,  50.5,   4.4,  14.6,   8.0
Ashburnham-Westminster,06100000,"   1,328",  19.5,"      2,361",  49.1,  50.9,   2.3,  17.8,  14.5
Ashland,00140000,"   1,184",  18.1,"      2,736",  50.4,  49.6,   4.2,  15.8,  11.8
Assabet Valley Regional Vocational Technical,08010000,     611,  16.2,"      1,102",  42.4,  57.6,   2.0,  29.6,  20.5
Athol-Royalston,06150000,     656,  17.6,"      1,498",  47.7,  52.3,   2.5,  27.4,  48.1
Atlantis Charter (District),04910000,     515,  22.8,"      1,102",  53.1,  46.9,   6.2,  12.3,  38.8
Attleboro,00160000,"   2,507",  22.1,"      6,034",  46.5,  53.5,   5.9,  16.1,  28.7
Auburn,00170000,"   1,170",  18.9,"      2,552",  50.0,  50.0,   3.5,   8.8,  16.9
Avon,00180000,     345,  14.0,        722,  48.6,  51.1,   3.9,  16.5,  23.4
Ayer Shirley School District,06160000,     871,  19.3,"      1,717",  48.6,  51.4,   3.6,  17.5,  22.9
Barnstable,00200000,"   1,991",  17.6,"      4,944",  49.3,  50.7,   9.3,  14.8,  29.1
Barnstable Community Horace Mann Charter Public (District),04270000,      82,  21.0,        282,  49.3,  50.7,  15.6,  11.3,  36.9
Baystate Academy Charter Public School (District),35020000,     304,  14.8,        398,  48.2,  51.8,  14.1,  19.3,  67.3
Bedford,00230000,"   1,219",  15.3,"      2,641",  48.6,  51.3,   6.1,  15.3,   7.8
Belchertown,00240000,"   1,187",  17.6,"      2,364",  49.4,  50.6,   0.8,  18.5,  18.5
Bellingham,00250000,     908,  17.1,"      2,274",  48.7,  51.2,   1.5,  18.3,  17.1
Belmont,00260000,"   1,730",  22.1,"      4,504",  49.8,  50.2,   6.9,   8.6,   6.8
Benjamin Banneker Charter Public (District),04200000,      69,  21.4,        348,  48.6,  51.4,   5.2,  16.4,  46.8
Benjamin Franklin Classical Charter Public (District),04470000,     172,  23.2,        442,  48.4,  51.6,   2.9,  12.7,   5.4
Bentley Academy Charter School (District),35110000,     131,  14.5,        250,  50.0,  50.0,  16.0,  17.6,  62.8
Berkley,00270000,     342,  19.7,        930,  51.0,  49.0,   0.1,  15.6,  15.9
Berkshire Arts and Technology Charter Public (District),04140000,     186,  14.4,        351,  51.9,  47.9,   1.4,  24.2,  39.9
Berkshire Hills,06180000,     854,  14.7,"      1,266",  48.3,  51.7,   3.0,  17.4,  25.6
Berlin,00280000,     123,  14.9,        193,  43.0,  57.0,   5.2,  17.1,  17.1
Berlin-Boylston,06200000,     306,  16.2,        587,  47.7,  52.3,   2.4,  17.0,   8.5
Beverly,00300000,"   1,276",  19.3,"      4,515",  47.7,  52.3,   3.6,  19.9,  25.0
Billerica,00310000,"   2,379",  18.2,"      4,901",  48.8,  51.2,   1.5,  17.3,  15.8
Blackstone Valley Regional Vocational Technical,08050000,     787,  17.3,"      1,209",  51.9,  48.1,   0.2,   8.9,   9.6
Blackstone-Millville,06220000,     818,  19.3,"      1,774",  49.3,  50.7,   3.9,  15.6,  20.0
Blue Hills Regional Vocational Technical,08060000,     434,  14.7,        856,  44.6,  55.4,   0.2,  25.4,  21.7
Boston,00350000,"  24,973",  17.4,"     55,490",  48.1,  51.9,  30.4,  19.4,  54.3
Boston Collegiate Charter (District),04490000,     272,  20.7,        684,  52.0,  48.0,   3.2,  17.7,  26.9
Boston Day and Evening Academy Charter (District),04240000,     287,  18.8,        498,  56.0,  44.0,   9.6,  25.3,  51.2
Boston Green Academy Horace Mann Charter School (District),04110000,     332,  14.4,        462,  49.6,  50.4,   7.1,  29.4,  60.4
Boston Preparatory Charter Public (District),04160000,      87,  33.4,        418,  48.6,  51.4,  10.0,  23.9,  38.0
Boston Renaissance Charter Public (District),04810000,     242,  18.6,        941,  50.9,  49.1,   6.9,  14.3,  46.2
Bourne,00360000,"   1,096",  18.0,"      1,973",  49.6,  50.4,   0.6,  16.2,  24.2
Boxford,00380000,     320,  15.2,        750,  46.9,  53.1,   0.7,  21.3,   4.1
Boylston,00390000,     156,  19.5,        311,  50.2,  49.8,   2.3,  14.5,   9.0
Braintree,00400000,"   3,054",  17.7,"      5,859",  49.9,  50.1,   5.2,  19.4,  16.8
Brewster,00410000,     289,  18.1,        505,  50.7,  49.3,   2.8,  19.6,  24.2
Bridge Boston Charter School (District),04170000,      63,  18.2,        270,  53.0,  47.0,  25.6,  22.2,  56.3
Bridgewater-Raynham,06250000,"   1,783",  20.4,"      5,383",  48.3,  51.7,   1.2,  14.5,  14.9
Brimfield,00430000,      93,  15.6,        291,  50.9,  49.1,   0.0,  16.5,  16.5
Bristol County Agricultural,09100000,     321,  17.3,        452,  71.5,  28.3,   0.0,  11.7,  17.5
Bristol-Plymouth Regional Vocational Technical,08100000,     991,  17.7,"      1,303",  42.1,  57.7,   0.2,  18.9,  24.3
Brockton,00440000,"   7,924",  20.0,"     17,285",  48.3,  51.7,  21.6,  15.8,  50.6
Brooke Charter School (District),04280000,     778,  19.0,"      1,611",  51.2,  48.8,   7.0,   9.5,  43.4
Brookfield,00450000,      80,  20.8,        329,  51.1,  48.9,   0.3,  13.1,  27.1
Brookline,00460000,"   4,510",  18.0,"      7,944",  49.1,  50.9,  12.0,  15.5,   9.3
Burlington,00480000,"   2,007",  17.4,"      3,565",  48.8,  51.1,   4.7,  11.6,  10.0
Cambridge,00490000,"   3,713",  15.2,"      6,923",  49.1,  50.9,   8.7,  20.7,  28.1
Canton,00500000,"   2,183",  18.3,"      3,348",  50.0,  49.9,   2.3,  12.1,  13.1
Cape Cod Lighthouse Charter (District),04320000,      77,  30.8,        243,  57.6,  42.4,   0.8,  14.0,  12.3
Cape Cod Regional Vocational Technical,08150000,     415,  14.4,        640,  38.3,  61.7,   2.8,  24.1,  34.1
Carlisle,00510000,     218,  17.7,        590,  44.9,  55.1,   3.4,  15.4,   2.5
Carver,00520000,     851,  17.0,"      1,622",  49.3,  50.7,   0.6,  20.6,  20.8
Central Berkshire,06350000,     845,  16.7,"      1,625",  47.7,  52.3,   0.7,  14.4,  28.8
Chelmsford,00560000,"   2,428",  18.1,"      5,085",  48.3,  51.7,   3.7,  16.0,  11.6
Chelsea,00570000,"   1,432",  23.4,"      6,546",  47.4,  52.6,  33.7,  12.9,  54.6
Chesterfield-Goshen,06320000,      71,  12.7,        143,  52.4,  47.6,   0.0,  24.5,  26.6
