2016-17 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Chicopee,00610000,"   3,079",  16.6,"      7,750",  47.2,  52.8,   5.6,  19.2,  50.8
Christa McAuliffe Charter Public (District),04180000,     178,  19.9,        394,  47.5,  52.5,   3.6,  23.1,  15.2
City on a Hill Charter Public School Circuit Street (District),04370000,     115,  13.1,        269,  54.6,  45.4,  13.0,  21.6,  55.4
City on a Hill Charter Public School Dudley Square (District),35040000,     111,  13.7,        266,  59.0,  41.0,  12.0,  24.4,  54.5
City on a Hill Charter Public School New Bedford (District),35070000,      60,  14.4,        172,  51.2,  48.8,  19.2,  30.8,  71.5
Clarksburg,00630000,      64,  19.1,        178,  52.8,  47.2,   0.0,  20.2,  33.1
Clinton,00640000,     801,  17.3,"      1,922",  46.5,  53.5,   7.6,  21.4,  33.1
Codman Academy Charter Public (District),04380000,     117,  15.9,        353,  49.9,  50.1,   7.9,  23.5,  48.2
Cohasset,00650000,     899,  18.9,"      1,602",  48.2,  51.8,   0.1,  12.6,   4.8
Collegiate Charter School of Lowell (District),35030000,     199,  26.2,        625,  51.2,  48.8,  18.4,  13.8,  36.6
Community Charter School of Cambridge (District),04360000,     370,  14.0,        366,  52.7,  47.3,   2.5,  18.9,  32.0
Community Day Charter Public School - Gateway (District),04260000,      96,  20.1,        282,  48.6,  51.4,  59.2,   8.5,  46.8
Community Day Charter Public School - Prospect (District),04400000,     120,  22.3,        400,  49.5,  50.5,  42.5,  12.3,  43.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,      96,  20.1,        280,  51.1,  48.9,  44.3,  10.4,  51.8
Concord,00670000,"   1,029",  16.0,"      2,134",  49.3,  50.7,   2.1,  13.8,   5.7
Concord-Carlisle,06400000,     800,  14.6,"      1,274",  52.0,  47.9,   0.2,  15.2,   4.9
Conservatory Lab Charter (District),04390000,      35,  21.7,        435,  54.9,  45.1,  14.5,  11.0,  38.6
Conway,00680000,     100,  17.1,        143,  44.1,  55.9,   0.0,  20.3,  23.8
Danvers,00710000,"   1,736",  18.5,"      3,532",  49.1,  50.9,   0.8,  15.5,  15.8
Dartmouth,00720000,"   1,838",  18.6,"      3,670",  47.6,  52.4,   2.3,  14.2,  19.6
Dedham,00730000,"   1,146",  16.4,"      2,726",  48.7,  51.3,   6.6,  21.9,  19.8
Deerfield,00740000,     286,  18.2,        408,  50.0,  50.0,   1.5,  19.1,  16.4
Dennis-Yarmouth,06450000,"   1,390",  16.1,"      3,100",  47.8,  52.2,   8.7,  19.2,  37.4
Dighton-Rehoboth,06500000,"   1,515",  18.6,"      2,931",  47.7,  52.3,   0.2,  15.2,  14.1
Douglas,00770000,     493,  20.6,"      1,395",  49.1,  50.9,   0.1,  18.6,  14.2
Dover,00780000,     204,  18.5,        494,  44.7,  55.3,   2.6,  17.8,   2.6
Dover-Sherborn,06550000,     672,  17.4,"      1,181",  50.5,  49.5,   0.5,  13.3,   3.5
Dracut,00790000,"   1,595",  21.0,"      3,578",  49.4,  50.6,   1.7,  17.0,  20.5
Dudley Street Neighborhood Charter School (District),04070000,      52,  20.4,        286,  54.5,  45.5,  23.1,  11.5,  50.7
Dudley-Charlton Reg,06580000,"   1,869",  18.3,"      3,979",  49.1,  50.9,   1.8,  13.5,  19.7
Duxbury,00820000,"   1,443",  20.2,"      3,165",  48.7,  51.3,   0.2,  12.6,   5.4
East Bridgewater,00830000,"   1,083",  21.0,"      2,333",  48.7,  51.3,   0.5,  18.8,  14.3
East Longmeadow,00870000,"   1,088",  19.0,"      2,640",  48.9,  51.1,   2.2,  16.8,  16.0
Eastham,00850000,     143,  13.5,        190,  50.5,  49.5,   3.7,  20.0,  32.6
Easthampton,00860000,     548,  18.8,"      1,557",  49.1,  50.8,   2.1,  18.4,  29.9
Easton,00880000,"   1,696",  19.9,"      3,785",  49.9,  50.1,   1.1,  17.1,  11.1
Edgartown,00890000,     243,  16.5,        356,  54.5,  45.5,  17.7,  23.3,  26.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     142,  19.3,        361,  65.7,  34.3,  12.7,  15.5,  52.9
Erving,00910000,      49,  18.9,        142,  46.5,  53.5,   0.7,  19.7,  26.1
Essex North Shore Agricultural and Technical School District,08170000,     822,  16.3,"      1,288",  57.1,  42.9,   0.2,  19.5,  18.9
Everett,00930000,"   3,358",  20.6,"      7,192",  48.8,  51.2,  20.4,  16.7,  43.2
Excel Academy Charter (District),04100000,     349,  25.3,        959,  50.6,  49.4,  15.6,  20.2,  39.7
Fairhaven,00940000,"   1,033",  18.1,"      2,044",  49.7,  50.3,   1.8,  15.6,  27.8
Fall River,00950000,"   4,447",  19.0,"     10,243",  48.0,  52.0,  13.6,  20.2,  64.6
Falmouth,00960000,"   1,816",  17.1,"      3,484",  48.7,  51.3,   2.4,  17.0,  26.9
Farmington River Reg,06620000,      77,  13.4,        120,  47.5,  52.5,   0.0,  20.0,  30.0
Fitchburg,00970000,"   2,310",  19.0,"      5,451",  48.3,  51.7,  11.6,  22.0,  57.8
Florida,00980000,      60,   9.1,         85,  56.5,  43.5,   0.0,  30.6,  24.7
Four Rivers Charter Public (District),04130000,     347,  13.5,        221,  52.0,  48.0,   0.5,  15.4,  21.3
Foxborough,00990000,"   1,506",  16.7,"      2,640",  47.4,  52.6,   1.6,  18.9,  13.5
Foxborough Regional Charter (District),04460000,     540,  22.9,"      1,270",  52.7,  47.3,  14.5,   8.7,  16.0
Framingham,01000000,"   4,693",  16.9,"      8,848",  48.7,  51.3,  20.7,  22.0,  30.1
Francis W. Parker Charter Essential (District),04780000,     232,  17.6,        394,  53.8,  45.9,   0.0,  15.7,   5.6
Franklin,01010000,"   2,572",  18.6,"      5,434",  48.7,  51.3,   1.2,  15.0,   8.2
Franklin County Regional Vocational Technical,08180000,     280,  14.1,        484,  32.2,  67.8,   0.0,  28.1,  34.9
Freetown-Lakeville,06650000,     987,  18.7,"      2,751",  49.8,  50.2,   0.7,  14.2,  15.2
Frontier,06700000,     461,  12.5,        613,  46.3,  53.7,   1.6,  19.6,  17.8
Gardner,01030000,     881,  18.1,"      2,378",  47.7,  52.2,   3.4,  22.3,  47.7
Gateway,06720000,     566,  14.5,        851,  47.8,  52.2,   2.7,  20.3,  28.7
Georgetown,01050000,     717,  16.7,"      1,459",  49.2,  50.8,   0.3,  13.4,   8.8
Gill-Montague,06740000,     554,  14.5,        944,  49.3,  50.7,   7.3,  22.8,  40.5
Global Learning Charter Public (District),04960000,     375,  14.6,        497,  49.1,  50.9,  10.9,  12.9,  46.1
Gloucester,01070000,"   1,077",  17.5,"      2,961",  48.7,  51.3,   5.6,  24.6,  33.4
Gosnold,01090000,      11,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,571",  19.2,"      3,204",  49.0,  51.0,   0.8,  17.0,  10.9
Granby,01110000,     628,  15.2,        747,  45.9,  54.1,   3.2,  15.1,  20.6
Greater Fall River Regional Vocational Technical,08210000,     892,  13.6,"      1,372",  44.1,  55.9,   1.7,   9.5,  33.9
Greater Lawrence Regional Vocational Technical,08230000,"   1,298",  13.8,"      1,450",  50.8,  49.2,  10.3,  21.3,  48.8
Greater Lowell Regional Vocational Technical,08280000,"   1,334",  18.4,"      2,175",  44.9,  55.1,   5.4,  20.9,  41.1
Greater New Bedford Regional Vocational Technical,08250000,"   1,531",  14.1,"      2,145",  50.3,  49.7,   2.6,  11.2,  35.7
Greenfield,01140000,     956,  15.4,"      1,727",  48.5,  51.5,   4.8,  16.9,  47.9
Groton-Dunstable,06730000,     935,  18.4,"      2,452",  48.6,  51.4,   1.0,  16.5,   5.8
Hadley,01170000,     434,  15.8,        571,  48.5,  51.5,   1.8,  13.0,  15.9
Halifax,01180000,     240,  21.2,        592,  47.6,  52.4,   0.7,  14.4,  19.4
Hamilton-Wenham,06750000,     961,  17.2,"      1,813",  51.0,  49.0,   0.4,  14.1,   6.7
Hampden Charter School of Science (District),04990000,     308,  16.5,        439,  52.8,  47.2,   3.6,   9.6,  40.1
Hampden-Wilbraham,06800000,"   1,128",  20.1,"      3,135",  50.2,  49.8,   1.0,  14.3,  14.4
Hampshire,06830000,     535,  13.7,        738,  54.9,  45.1,   0.7,  20.1,  15.7
Hancock,01210000,      39,   5.4,         46,  43.5,  56.5,   0.0,   8.7,  17.4
Hanover,01220000,"   1,596",  19.0,"      2,640",  48.0,  51.9,   1.0,  19.4,   6.3
Harvard,01250000,     565,  16.7,"      1,129",  49.0,  51.0,   1.4,  11.5,   5.0
Hatfield,01270000,     297,  14.1,        451,  47.2,  52.8,   0.4,  19.5,  12.4
Haverhill,01280000,"   3,737",  18.3,"      7,473",  47.2,  52.8,   9.4,  22.7,  43.4
Hawlemont,06850000,      41,  15.9,        127,  56.7,  43.3,   0.0,  23.6,  50.4
Helen Y. Davis Leadership Academy Charter Public (District),04190000,     122,  17.2,        217,  41.9,  58.1,  12.0,  26.3,  49.8
Hill View Montessori Charter Public (District),04550000,     112,  20.4,        302,  57.6,  42.4,   3.0,  12.9,  15.9
Hilltown Cooperative Charter Public (District),04500000,      41,  31.7,        218,  46.8,  53.2,   0.0,  20.2,  10.6
Hingham,01310000,"   1,940",  18.6,"      4,367",  48.5,  51.5,   0.3,  11.9,   5.2
Holbrook,01330000,     411,  16.1,"      1,183",  49.4,  50.6,   7.0,  18.6,  29.5
Holland,01350000,      73,  16.3,        237,  47.7,  52.3,   0.0,  18.1,  22.4
Holliston,01360000,"   1,474",  17.6,"      2,916",  48.7,  51.3,   2.3,  15.8,   6.5
Holyoke,01370000,"   2,091",  18.5,"      5,345",  46.9,  53.1,  23.1,  23.9,  74.2
Holyoke Community Charter (District),04530000,     191,  25.2,        702,  57.0,  43.0,  13.4,  18.4,  66.1
Hopedale,01380000,     569,  17.4,"      1,159",  48.1,  51.9,   1.2,  20.0,  10.6
Hopkinton,01390000,"   1,825",  20.1,"      3,492",  50.3,  49.7,   2.7,  12.3,   3.8
Hudson,01410000,"   1,467",  17.4,"      2,688",  51.2,  48.8,   8.7,  15.8,  19.5
Hull,01420000,     551,  14.3,        939,  45.3,  54.7,   0.7,  16.9,  27.7
Innovation Academy Charter (District),04350000,     481,  18.1,        793,  52.0,  48.0,   2.8,  18.9,   9.0
Ipswich,01440000,     969,  17.1,"      1,798",  49.8,  50.1,   2.8,  15.4,  11.8
KIPP Academy Boston Charter School (District),04630000,      78,  37.9,        503,  45.1,  54.9,  32.6,  22.7,  60.6
KIPP Academy Lynn Charter (District),04290000,     363,  23.4,"      1,191",  51.0,  49.0,  28.0,  13.1,  46.8
King Philip,06900000,     869,  19.7,"      2,096",  47.1,  52.9,   0.3,  12.4,   7.1
Kingston,01450000,     391,  20.4,"      1,026",  47.9,  52.1,   1.8,  15.7,  15.8
Lanesborough,01480000,     117,  16.9,        204,  54.4,  45.6,   0.5,  22.5,  20.1
Lawrence,01490000,"   5,060",  19.8,"     14,066",  47.8,  52.2,  33.3,  17.6,  61.6
Lawrence Family Development Charter (District),04540000,     320,  18.1,        714,  53.2,  46.8,  26.5,   7.1,  53.2
Lee,01500000,     349,  13.6,        688,  50.6,  49.4,   3.2,  12.2,  33.0
Leicester,01510000,     654,  19.3,"      1,581",  46.6,  53.4,   2.6,  15.4,  22.9
Lenox,01520000,     505,  13.4,        771,  50.5,  49.5,   3.5,   8.3,  16.5
Leominster,01530000,"   3,157",  18.7,"      6,181",  47.9,  52.1,   9.4,  22.7,  35.5
Leverett,01540000,      45,  16.2,        129,  42.6,  57.4,   0.0,  13.2,  17.8
Lexington,01550000,"   2,779",  20.2,"      7,233",  49.1,  50.9,   7.5,  12.5,   5.1
Lincoln,01570000,     600,  16.9,"      1,196",  50.3,  49.7,   3.2,  20.3,   5.2
Lincoln-Sudbury,06950000,"   1,243",  18.7,"      1,578",  50.3,  49.6,   0.2,  15.4,   5.2
Littleton,01580000,     696,  18.5,"      1,654",  50.7,  49.3,   1.9,  18.3,   7.8
Longmeadow,01590000,"   1,218",  18.8,"      2,846",  48.7,  51.3,   1.1,  18.9,   6.6
Lowell,01600000,"   8,286",  19.2,"     14,668",  48.2,  51.8,  25.8,  16.0,  52.3
Lowell Community Charter Public (District),04560000,     238,  21.5,        808,  51.5,  48.5,  48.9,  17.2,  43.1
Lowell Middlesex Academy Charter (District),04580000,     150,  12.3,        105,  49.5,  50.5,   1.0,  28.6,  66.7
Ludlow,01610000,"   1,277",  16.6,"      2,680",  49.6,  50.4,   2.9,  15.2,  24.3
Lunenburg,01620000,     769,  19.8,"      1,635",  48.2,  51.8,   1.7,  16.6,  15.0
Lynn,01630000,"   4,956",  20.3,"     15,368",  47.3,  52.7,  21.4,  15.8,  51.7
Lynnfield,01640000,     785,  18.2,"      2,232",  48.9,  51.1,   0.8,  18.6,   6.9
MATCH Charter Public School (District),04690000,     335,  20.8,"      1,122",  52.4,  47.6,  34.9,  18.8,  55.8
Ma Academy for Math and Science,04680000,      24,  16.3,         49,  49.0,  51.0,   0.0,   0.0,   2.0
Malden,01650000,"   2,952",  19.4,"      6,764",  48.5,  51.5,  21.6,  16.0,  41.3
Manchester Essex Regional,06980000,     666,  16.6,"      1,417",  51.0,  49.0,   0.8,  10.3,   7.1
Mansfield,01670000,"   1,514",  17.9,"      3,979",  48.3,  51.7,   1.6,  13.7,  12.3
Marblehead,01680000,"   1,600",  18.0,"      3,206",  49.6,  50.4,   4.0,  19.3,   9.5
Marblehead Community Charter Public (District),04640000,      96,  20.3,        230,  43.0,  57.0,   4.3,  25.2,   4.8
Marion,01690000,     166,  19.5,        461,  48.4,  51.6,   0.7,  20.0,  20.0
Marlborough,01700000,"   1,968",  20.3,"      4,792",  48.2,  51.8,  23.1,  17.9,  31.7
Marshfield,01710000,"   1,481",  19.1,"      4,285",  48.4,  51.6,   1.1,  16.0,  11.6
Martha's Vineyard,07000000,     743,  12.2,        666,  47.4,  52.6,   8.3,  17.6,  18.5
Martha's Vineyard Charter (District),04660000,      76,  16.3,        183,  56.8,  43.2,   3.8,  27.9,  27.9
Martin Luther King Jr. Charter School of Excellence (District),04920000,     144,  19.8,        357,  49.0,  51.0,  16.2,  21.8,  69.7
Masconomet,07050000,     890,  18.0,"      1,833",  51.1,  48.9,   0.3,  14.8,   5.7
Mashpee,01720000,     968,  16.1,"      1,648",  48.2,  51.8,   3.0,  16.3,  28.5
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,   0.0
Mattapoisett,01730000,     212,  16.6,        450,  45.6,  54.4,   0.4,  15.6,  15.6
Maynard,01740000,     705,  18.8,"      1,459",  48.7,  51.3,   4.4,  18.2,  16.6
Medfield,01750000,"   1,600",  18.7,"      2,641",  48.8,  51.2,   1.3,  11.1,   4.8
Medford,01760000,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,   0.0
Medway,01770000,     984,  18.5,"      2,315",  50.4,  49.6,   1.0,  15.1,   8.6
Melrose,01780000,"   1,623",  19.7,"      3,817",  50.2,  49.8,   4.1,  14.5,  11.0
Mendon-Upton,07100000,     947,  17.4,"      2,247",  50.1,  49.9,   1.2,  14.6,   8.5
Methuen,01810000,"   2,598",  19.2,"      7,048",  47.6,  52.4,   8.9,  16.6,  31.7
Middleborough,01820000,"   1,623",  18.9,"      2,931",  49.0,  51.0,   0.9,  17.7,  26.7
Middleton,01840000,     313,  14.5,        706,  48.2,  51.8,   1.4,  19.0,   8.6
Milford,01850000,"   1,863",  18.7,"      4,275",  47.9,  52.1,  14.5,  15.5,  29.5
Millbury,01860000,     761,  19.2,"      1,756",  49.6,  50.4,   2.7,  17.4,  24.7
Millis,01870000,     629,  17.3,"      1,341",  48.5,  51.5,   0.6,  12.8,  11.7
Milton,01890000,"   1,428",  18.6,"      4,192",  48.6,  51.4,   2.3,  14.7,   9.3
Minuteman Regional Vocational Technical,08300000,     425,  11.8,        570,  32.8,  67.0,   1.1,  47.2,  24.2
Mohawk Trail,07170000,     475,  12.5,        975,  49.9,  50.1,   0.2,  21.0,  33.3
Monomoy Regional School District,07120000,"   1,220",  15.4,"      1,894",  50.2,  49.8,   4.2,  16.5,  23.5
Monson,01910000,     540,  16.9,        980,  49.2,  50.8,   0.7,  14.4,  22.6
Montachusett Regional Vocational Technical,08320000,     788,  18.4,"      1,410",  45.2,  54.6,   0.4,  13.8,  21.9
Mount Greylock,07150000,     330,  13.6,        554,  49.6,  50.4,   0.2,  14.1,  15.7
Mystic Valley Regional Charter (District),04700000,     755,  22.8,"      1,479",  51.7,  48.3,   1.8,  13.7,  16.0
Nahant,01960000,      17,  16.6,        150,  50.0,  50.0,   0.0,   8.0,  16.7
Nantucket,01970000,     923,  17.3,"      1,628",  48.3,  51.7,  18.1,  13.6,  18.0
Narragansett,07200000,     629,  18.0,"      1,404",  47.4,  52.6,   0.1,  17.1,  25.4
Nashoba,07250000,"   1,475",  17.9,"      3,417",  49.5,  50.5,   1.6,  15.5,   7.0
Nashoba Valley Regional Vocational Technical,08520000,     403,  13.7,        710,  40.8,  59.0,   0.0,  34.1,  18.6
Natick,01980000,"   2,468",  19.6,"      5,524",  49.1,  50.9,   2.3,  14.6,   9.3
Nauset,06600000,     955,  14.9,"      1,467",  51.4,  48.6,   1.1,  14.4,  19.4
Needham,01990000,"   2,241",  18.8,"      5,627",  50.3,  49.7,   2.6,  16.5,   5.2
Neighborhood House Charter (District),04440000,     115,  33.3,        465,  49.7,  50.3,   8.0,  18.3,  33.3
New Bedford,02010000,"   6,359",  18.1,"     12,949",  47.6,  52.4,  29.1,  20.4,  61.1
New Heights Charter School of Brockton (District),35130000,      72,  27.2,        302,  48.3,  51.7,  10.3,   7.9,  38.1
New Salem-Wendell,07280000,      28,  19.0,        169,  48.5,  51.5,   0.0,  19.5,  33.7
Newburyport,02040000,"   1,257",  18.2,"      2,317",  49.4,  50.5,   1.3,  15.3,   9.4
Newton,02070000,"   5,931",  18.5,"     13,169",  49.2,  50.8,   6.1,  19.8,   8.8
Norfolk,02080000,     232,  21.2,        947,  44.9,  55.1,   2.3,  16.5,   5.7
Norfolk County Agricultural,09150000,     454,  16.3,        534,  71.3,  28.7,   0.0,  17.0,  14.6
North Adams,02090000,     637,  15.2,"      1,478",  49.7,  50.3,   1.2,  25.7,  56.6
North Andover,02110000,"   2,553",  21.7,"      4,834",  49.4,  50.6,   2.0,  14.7,  13.2
North Attleborough,02120000,"   1,523",  18.7,"      4,458",  49.5,  50.5,   3.2,  16.0,  14.8
North Brookfield,02150000,     187,  15.9,        555,  48.1,  51.9,   0.0,  11.5,  31.5
North Middlesex,07350000,"   1,610",  19.9,"      3,120",  48.5,  51.5,   1.0,  21.5,  16.8
North Reading,02170000,"   1,252",  18.8,"      2,500",  49.7,  50.3,   0.6,  18.0,   7.7
Northampton,02100000,"   1,291",  16.0,"      2,727",  50.7,  49.3,   4.2,  22.6,  24.8
Northampton-Smith Vocational Agricultural,04060000,     341,  12.1,        485,  38.8,  61.2,   2.5,  34.4,  30.3
Northboro-Southboro,07300000,     766,  16.1,"      1,452",  52.5,  47.5,   1.3,  11.3,   6.1
Northborough,02130000,     656,  17.9,"      1,762",  47.6,  52.4,   5.4,  18.8,  10.5
Northbridge,02140000,"   1,057",  18.9,"      2,294",  48.2,  51.8,   2.7,  16.4,  26.4
Northeast Metropolitan Regional Vocational Technical,08530000,     894,  19.3,"      1,261",  45.4,  54.6,   1.8,  21.3,  30.8
Northern Berkshire Regional Vocational Technical,08510000,     417,  13.6,        483,  37.7,  62.3,   0.0,  15.5,  31.5
