2017-18 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Central Berkshire,06350000,     124.9, 100.0,  12.8 to 1,  98.2,  97.6
Chelmsford,00560000,     372.6, 100.0,  13.4 to 1,  87.8,  95.7
Chelsea,00570000,     413.7,  98.6,  15.3 to 1,  64.3,  83.8
Chesterfield-Goshen,06320000,      14.9, 100.0,   9.1 to 1,  93.3, 100.0
Chicopee,00610000,     608.2,  99.0,  12.4 to 1,  89.1,  92.4
Christa McAuliffe Charter Public (District),04180000,      41.0,  71.3,   9.6 to 1,  79.3,  88.4
City on a Hill Charter Public School Circuit Street (District),04370000,      26.7,  64.8,  10.6 to 1,  25.1,  77.5
City on a Hill Charter Public School Dudley Square (District),35040000,      24.7,  72.1,  11.0 to 1,  18.6,  70.0
City on a Hill Charter Public School New Bedford (District),35070000,      16.0,  80.0,  14.8 to 1,  16.3,  67.5
Clarksburg,00630000,      15.5,  97.4,  12.5 to 1,  98.4, 100.0
Clinton,00640000,     151.3,  99.3,  12.4 to 1,  77.5,  93.4
Codman Academy Charter Public (District),04380000,      37.0,  39.8,   9.3 to 1,  24.3,  85.9
Cohasset,00650000,     112.5, 100.0,  14.1 to 1,  83.4,  96.4
Collegiate Charter School of Lowell (District),35030000,      40.0,  87.5,  19.0 to 1,  32.5,  80.0
Community Charter School of Cambridge (District),04360000,      35.4,  80.3,  10.3 to 1,  48.6,  81.7
Community Day Charter Public School - Gateway (District),04260000,      33.0,  62.1,   9.7 to 1,  40.9,  97.0
Community Day Charter Public School - Prospect (District),04400000,      45.3,  77.9,   8.8 to 1,  38.2,  85.9
Community Day Charter Public School - R. Kingman Webster (District),04310000,      33.5,  89.6,   9.6 to 1,  29.9,  91.0
Concord,00670000,     169.4, 100.0,  12.5 to 1,  87.7,  96.5
Concord-Carlisle,06400000,     102.6, 100.0,  12.4 to 1,  92.6,  93.2
Conservatory Lab Charter (District),04390000,      25.3,  81.2,  17.8 to 1,  15.8,  84.2
Conway,00680000,      13.4, 100.0,  10.3 to 1,  91.7, 100.0
Danvers,00710000,     265.0,  99.2,  13.1 to 1,  87.4,  92.9
Dartmouth,00720000,     268.5,  99.1,  13.7 to 1,  90.4,  96.7
Dedham,00730000,     243.6,  98.8,  10.9 to 1,  87.3,  97.1
Deerfield,00740000,      37.4,  97.3,  10.7 to 1,  85.5,  92.5
Dennis-Yarmouth,06450000,     285.7,  99.6,  10.7 to 1,  90.0,  93.9
Dighton-Rehoboth,06500000,     226.6, 100.0,  12.8 to 1,  91.6,  96.5
Douglas,00770000,      92.3,  99.1,  14.4 to 1,  79.7,  91.7
Dover,00780000,      41.8, 100.0,  11.8 to 1,  85.6,  97.6
Dover-Sherborn,06550000,     106.5, 100.0,  11.2 to 1,  93.1,  97.3
Dracut,00790000,     209.6,  98.6,  16.9 to 1,  78.7,  88.8
Dudley Street Neighborhood Charter School (District),04070000,      19.0, 100.0,  14.9 to 1,  73.7,  89.5
Dudley-Charlton Reg,06580000,     270.1, 100.0,  14.5 to 1,  91.1,  95.6
Duxbury,00820000,     228.8,  98.7,  13.5 to 1,  90.0,  95.1
East Bridgewater,00830000,     153.6,  99.3,  14.9 to 1,  78.1,  91.5
East Longmeadow,00870000,     206.1, 100.0,  12.9 to 1,  95.6,  98.5
Eastham,00850000,      23.3, 100.0,   7.4 to 1,  90.6, 100.0
Easthampton,00860000,     115.6,  99.1,  13.3 to 1,  81.4,  93.5
Easton,00880000,     265.0, 100.0,  14.0 to 1,  90.7,  97.8
Edgartown,00890000,      38.5,  98.8,   8.9 to 1,  83.9,  91.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      35.3,  92.6,  10.8 to 1,  64.3,  83.0
Erving,00910000,      18.1,  97.2,   7.8 to 1,  89.5, 100.0
Essex North Shore Agricultural and Technical School District,08170000,     122.7,  95.6,  11.3 to 1,  77.7,  73.9
Everett,00930000,     528.5,  98.9,  13.4 to 1,  77.3,  86.0
Excel Academy Charter (District),04100000,      98.4,  60.0,  11.4 to 1,  27.3,  83.7
Fairhaven,00940000,     141.9,  99.0,  14.5 to 1,  86.6,  96.5
Fall River,00950000,     799.1,  92.2,  12.7 to 1,  65.9,  76.4
Falmouth,00960000,     291.7,  99.2,  11.6 to 1,  84.2,  92.7
Farmington River Reg,06620000,      13.5, 100.0,   8.9 to 1,  79.8,  95.6
Fitchburg,00970000,     366.5,  99.5,  14.6 to 1,  84.2,  92.9
Florida,00980000,      11.8,  91.5,   6.8 to 1, 100.0,  96.6
Four Rivers Charter Public (District),04130000,      20.7,  57.9,  10.7 to 1,  78.7,  92.2
Foxborough,00990000,     202.5, 100.0,  12.8 to 1,  89.9,  97.5
Foxborough Regional Charter (District),04460000,     111.7,  78.4,  13.2 to 1,  62.4,  89.3
Framingham,01000000,     661.9,  98.8,  13.2 to 1,  76.0,  92.5
Francis W. Parker Charter Essential (District),04780000,      46.3,  60.2,   8.6 to 1,  61.1,  95.7
Franklin,01010000,     401.4,  99.4,  13.2 to 1,  83.4,  94.2
Franklin County Regional Vocational Technical,08180000,      50.0,  95.1,   9.7 to 1,  88.6,  82.8
Freetown-Lakeville,06650000,     191.9, 100.0,  14.7 to 1,  86.9,  92.7
Frontier,06700000,      51.5,  99.6,  12.1 to 1,  86.0,  94.2
Gardner,01030000,     172.6, 100.0,  13.5 to 1,  81.9,  89.1
Gateway,06720000,      77.2,  97.4,  10.8 to 1,  87.1,  97.4
Georgetown,01050000,      95.6,  99.9,  15.1 to 1,  89.2,  95.6
Gill-Montague,06740000,      92.3,  97.8,  10.6 to 1,  87.0,  96.8
Global Learning Charter Public (District),04960000,      42.9,  93.0,  11.9 to 1,  49.7,  65.5
Gloucester,01070000,     256.8,  98.8,  11.3 to 1,  84.6,  92.8
Gosnold,01090000,       1.1, 100.0,   1.8 to 1,   0.0, 100.0
Grafton,01100000,     241.6, 100.0,  13.1 to 1,  82.7,  95.8
Granby,01110000,      57.0, 100.0,  12.3 to 1,  97.2,  98.2
Greater Fall River Regional Vocational Technical,08210000,     130.5,  98.5,  10.7 to 1,  85.4,  82.8
Greater Lawrence Regional Vocational Technical,08230000,     144.1,  96.7,  10.5 to 1,  81.3,  77.8
Greater Lowell Regional Vocational Technical,08280000,     182.0,  99.5,  12.5 to 1,  90.1,  84.1
Greater New Bedford Regional Vocational Technical,08250000,     198.5,  98.5,  10.8 to 1,  90.4,  87.9
Greenfield,01140000,     159.3,  97.6,  10.7 to 1,  79.9,  85.4
Groton-Dunstable,06730000,     176.9, 100.0,  13.7 to 1,  84.7,  94.1
Hadley,01170000,      48.3, 100.0,  11.0 to 1,  78.7,  89.6
Halifax,01180000,      39.0, 100.0,  15.3 to 1,  89.7, 100.0
Hamilton-Wenham,06750000,     145.9,  99.3,  12.2 to 1,  89.3,  95.0
Hampden Charter School of Science East (District),04990000,      45.2,  73.4,  10.9 to 1,  37.1,  72.6
Hampden-Wilbraham,06800000,     205.5, 100.0,  14.9 to 1,  93.5,  96.6
Hampshire,06830000,      73.1,  97.3,   9.6 to 1,  85.2,  94.3
Hancock,01210000,       6.8,  97.1,   6.2 to 1,  50.0,  91.2
Hanover,01220000,     204.3,  98.3,  12.8 to 1,  89.7,  96.6
Harvard,01250000,      88.8, 100.0,  12.3 to 1,  87.6,  94.4
Hatfield,01270000,      42.3,  99.1,  10.3 to 1,  86.1,  95.3
Haverhill,01280000,     545.8,  98.4,  13.7 to 1,  81.4,  92.2
Hawlemont,06850000,      11.6,  86.6,  14.1 to 1,  64.7,  91.4
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      13.9,  63.9,  15.4 to 1,  42.2,  78.3
Hill View Montessori Charter Public (District),04550000,      25.0,  80.0,  12.1 to 1,  56.0,  84.0
Hilltown Cooperative Charter Public (District),04500000,      19.9,  86.5,  10.9 to 1,  78.9, 100.0
Hingham,01310000,     286.9, 100.0,  15.0 to 1,  91.8,  95.3
Holbrook,01330000,      85.7, 100.0,  14.2 to 1,  85.6,  95.3
Holland,01350000,      18.3, 100.0,  12.7 to 1, 100.0, 100.0
Holliston,01360000,     214.4,  98.9,  13.5 to 1,  87.3,  92.1
Holyoke,01370000,     398.8,  90.5,  13.3 to 1,  65.6,  76.0
Holyoke Community Charter (District),04530000,      52.1,  69.4,  13.5 to 1,  54.1,  84.6
Hopedale,01380000,      88.2,  99.5,  12.9 to 1,  88.0,  93.6
Hopkinton,01390000,     256.2, 100.0,  13.7 to 1,  92.4,  97.7
Hudson,01410000,     234.0,  99.1,  11.3 to 1,  88.5,  92.0
Hull,01420000,      83.7, 100.0,  10.7 to 1,  82.5,  87.3
Innovation Academy Charter (District),04350000,      75.4,  88.4,  10.6 to 1,  66.1,  81.9
Ipswich,01440000,     155.8,  99.7,  11.1 to 1,  82.7,  94.6
KIPP Academy Boston Charter School (District),04630000,      55.0,  49.1,  10.1 to 1,  21.8,  78.2
KIPP Academy Lynn Charter (District),04290000,     109.6,  56.3,  12.2 to 1,  17.8,  84.4
King Philip,06900000,     127.1, 100.0,  16.0 to 1,  79.1,  87.1
Kingston,01450000,      66.2, 100.0,  15.5 to 1,  83.1, 100.0
Lanesborough,01480000,      19.7, 100.0,  10.7 to 1,  66.5,  86.8
Lawrence,01490000,"   1,060.7",  92.1,  13.1 to 1,  61.8,  77.7
Lawrence Family Development Charter (District),04540000,      60.9,  95.8,  12.1 to 1,  59.6,  91.7
Lee,01500000,      69.9,  98.6,   9.9 to 1,  87.1,  92.8
Leicester,01510000,     111.4,  99.1,  14.1 to 1,  84.2,  96.0
Lenox,01520000,      79.9, 100.0,   9.5 to 1,  92.8,  92.2
Leominster,01530000,     418.0,  97.8,  14.4 to 1,  88.7,  92.7
Leverett,01540000,      18.0, 100.0,   6.9 to 1,  77.8,  94.4
Lexington,01550000,     589.3,  99.9,  12.3 to 1,  81.3,  94.6
Libertas Academy Charter School (District),35140000,       7.2,  76.4,  12.5 to 1,  23.6,  44.4
Lincoln,01570000,     117.9, 100.0,  10.1 to 1,  88.4,  98.7
Lincoln-Sudbury,06950000,     127.2, 100.0,  12.0 to 1,  92.2,  96.7
Littleton,01580000,     119.5,  99.8,  13.9 to 1,  82.8,  93.4
Longmeadow,01590000,     235.2,  99.6,  12.2 to 1,  91.7,  96.7
Lowell,01600000,"   1,065.9",  98.0,  13.5 to 1,  84.5,  90.6
Lowell Community Charter Public (District),04560000,      63.5,  95.3,  12.8 to 1,  46.4,  89.0
Lowell Middlesex Academy Charter (District),04580000,      10.5,  52.4,   8.7 to 1,  66.7,  71.4
Ludlow,01610000,     223.4, 100.0,  11.9 to 1,  94.5,  95.1
Lunenburg,01620000,     115.1, 100.0,  14.3 to 1,  86.0,  94.4
Lynn,01630000,"   1,083.9",  97.4,  14.3 to 1,  78.9,  86.9
Lynnfield,01640000,     165.3, 100.0,  13.4 to 1,  87.9,  98.6
MATCH Charter Public School (District),04690000,     102.9,  61.5,  11.9 to 1,  32.4,  90.3
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.0 to 1,  83.3,  83.3
Malden,01650000,     457.7,  99.8,  14.3 to 1,  82.1,  94.5
Manchester Essex Regional,06980000,     114.8,  99.1,  12.1 to 1,  88.3,  94.5
Mansfield,01670000,     299.1, 100.0,  12.9 to 1,  94.2,  94.7
Marblehead,01680000,     261.0,  99.6,  11.9 to 1,  83.3,  94.9
Marblehead Community Charter Public (District),04640000,      20.5,  87.3,  11.2 to 1,  51.2,  65.9
Marion,01690000,      34.8, 100.0,  13.0 to 1,  80.5,  97.7
Marlborough,01700000,     387.0,  99.7,  11.8 to 1,  80.5,  94.7
Marshfield,01710000,     324.9,  99.7,  12.9 to 1,  88.3,  94.8
Martha's Vineyard,07000000,      71.2,  97.3,   8.9 to 1,  86.7,  85.3
Martha's Vineyard Charter (District),04660000,      16.6,  93.1,  11.1 to 1,  76.0,  57.4
Martin Luther King Jr. Charter School of Excellence (District),04920000,      34.9,  75.4,  10.4 to 1,  69.4,  88.5
Masconomet,07050000,     128.9,  99.7,  14.0 to 1,  92.4,  96.0
Mashpee,01720000,     140.2, 100.0,  11.6 to 1,  83.9,  94.3
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      32.6, 100.0,  18.0 to 1,  61.3,  87.7
Mattapoisett,01730000,      37.8, 100.0,  11.7 to 1,  90.0,  96.6
Maynard,01740000,      98.5,  98.8,  14.2 to 1,  89.5,  92.9
Medfield,01750000,     201.9,  99.5,  13.0 to 1,  87.1,  94.8
Medford,01760000,     404.3,  99.0,  10.7 to 1,  75.1,  92.5
Medway,01770000,     155.7,  99.4,  14.6 to 1,  85.9,  95.2
Melrose,01780000,     267.2,  99.3,  14.6 to 1,  78.3,  92.2
Mendon-Upton,07100000,     158.8,  99.0,  14.2 to 1,  89.2,  93.4
Methuen,01810000,     489.6,  98.8,  14.2 to 1,  86.9,  93.1
Middleborough,01820000,     223.0,  99.6,  13.2 to 1,  87.9,  96.4
Middleton,01840000,      56.6, 100.0,  12.1 to 1,  90.3,  98.2
Milford,01850000,     330.7, 100.0,  12.7 to 1,  88.5,  92.9
Millbury,01860000,     127.3, 100.0,  13.6 to 1,  79.6,  90.1
Millis,01870000,      92.4,  98.9,  14.1 to 1,  94.0,  98.5
Milton,01890000,     299.0,  98.6,  14.1 to 1,  79.8,  90.1
Minuteman Regional Vocational Technical,08300000,      73.7,  97.3,   7.3 to 1,  89.3,  86.4
Mohawk Trail,07170000,      77.4,  99.5,  11.9 to 1,  84.0,  92.3
Monomoy Regional School District,07120000,     176.7,  97.7,  10.6 to 1,  80.8,  91.9
Monson,01910000,      83.5,  98.8,  11.1 to 1,  82.0,  94.0
Montachusett Regional Vocational Technical,08320000,     113.5,  99.1,  12.5 to 1,  85.5,  82.4
Mount Greylock,07150000,      45.5, 100.0,  11.8 to 1,  93.4,  95.6
Mystic Valley Regional Charter (District),04700000,     100.5,  53.2,  15.6 to 1,  41.8,  76.6
Nahant,01960000,       9.5,  97.9,  15.5 to 1,  91.1,  97.9
Nantucket,01970000,     142.4,  96.1,  11.4 to 1,  73.5,  81.0
Narragansett,07200000,      97.5,  96.9,  14.7 to 1,  86.7,  86.7
Nashoba,07250000,     260.5,  99.6,  12.8 to 1,  83.5,  95.6
Nashoba Valley Regional Vocational Technical,08520000,      64.0,  98.4,  10.9 to 1,  73.4,  68.8
Natick,01980000,     403.9,  99.9,  13.6 to 1,  79.8,  91.0
Nauset,06600000,     136.7,  97.7,  10.7 to 1,  83.1,  91.9
Needham,01990000,     408.2,  99.4,  13.9 to 1,  85.6,  94.0
Neighborhood House Charter (District),04440000,      57.8,  60.7,   9.2 to 1,  27.6,  84.4
New Bedford,02010000,     922.1,  94.4,  13.7 to 1,  69.3,  87.2
New Heights Charter School of Brockton (District),35130000,      31.5,  68.3,  13.4 to 1,  19.0,  71.4
New Salem-Wendell,07280000,      14.3, 100.0,  10.6 to 1,  65.3,  86.0
Newburyport,02040000,     186.2, 100.0,  12.2 to 1,  89.8,  97.9
Newton,02070000,"   1,085.6",  98.5,  11.9 to 1,  84.3,  95.5
Norfolk,02080000,      75.8,  98.7,  12.5 to 1,  86.8,  98.0
Norfolk County Agricultural,09150000,      55.9,  98.2,   9.8 to 1,  76.7,  78.5
North Adams,02090000,     123.6,  96.0,  11.6 to 1,  83.6,  85.8
North Andover,02110000,     300.9,  98.7,  16.0 to 1,  86.5,  94.5
North Attleborough,02120000,     285.9, 100.0,  15.0 to 1,  86.4,  95.2
North Brookfield,02150000,      44.7,  95.5,  12.5 to 1,  69.8,  91.1
North Middlesex,07350000,     248.9,  99.2,  12.4 to 1,  83.6,  95.1
North Reading,02170000,     198.0,  99.5,  12.6 to 1,  91.7,  96.7
Northampton,02100000,     231.5,  99.8,  11.5 to 1,  85.6,  94.2
Northampton-Smith Vocational Agricultural,04060000,      56.0,  94.6,   8.9 to 1,  76.8,  73.2
Northboro-Southboro,07300000,     114.8,  99.3,  12.8 to 1,  88.6,  94.9
Northborough,02130000,     113.6, 100.0,  14.5 to 1,  89.7,  95.7
Northbridge,02140000,     164.1, 100.0,  13.3 to 1,  90.3,  95.7
Northeast Metropolitan Regional Vocational Technical,08530000,     115.3,  97.0,  10.8 to 1,  86.3,  85.9
Northern Berkshire Regional Vocational Technical,08510000,      46.4,  94.6,  10.5 to 1,  92.6,  93.5
Norton,02180000,     194.7,  99.0,  12.7 to 1,  83.1,  93.1
Norwell,02190000,     162.6, 100.0,  13.5 to 1,  90.9,  96.3
Norwood,02200000,     270.8, 100.0,  12.6 to 1,  90.7,  96.2
Oak Bluffs,02210000,      46.5,  98.8,   9.2 to 1,  80.7,  88.6
Old Colony Regional Vocational Technical,08550000,      57.0,  96.5,   9.4 to 1,  80.6,  80.2
