2017-18 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Sharon,02660000,     248.6,  98.8,  14.2 to 1,  85.8,  94.8
Shawsheen Valley Regional Vocational Technical,08710000,     126.1,  98.4,  10.5 to 1,  89.4,  86.5
Sherborn,02690000,      32.7, 100.0,  12.9 to 1,  89.3,  99.7
Shrewsbury,02710000,     398.5,  98.2,  15.6 to 1,  84.2,  94.9
Shutesbury,02720000,      13.7,  95.4,   8.9 to 1,  80.8,  97.1
Silver Hill Horace Mann Charter (District),04770000,      35.2, 100.0,  15.9 to 1,  90.9,  94.3
Silver Lake,07600000,     135.7,  99.3,  13.6 to 1,  92.6,  91.2
Sizer School: A North Central Charter Essential (District),04740000,      34.8,  88.4,  10.3 to 1,  74.6,  82.7
Somerset,02730000,     130.7, 100.0,  13.7 to 1,  85.9,  96.9
Somerset Berkley Regional School District,07630000,      80.9, 100.0,  12.4 to 1,  90.7,  95.1
Somerville,02740000,     427.6,  98.6,  11.4 to 1,  79.9,  90.9
South Hadley,02780000,     142.0, 100.0,  13.3 to 1,  82.6,  91.3
South Middlesex Regional Vocational Technical,08290000,      81.0, 100.0,   9.0 to 1,  86.4,  84.0
South Shore Charter Public (District),04880000,      76.2,  85.5,  12.2 to 1,  63.2,  83.0
South Shore Regional Vocational Technical,08730000,      63.7,  92.3,  10.2 to 1,  77.3,  76.6
Southampton,02750000,      37.5, 100.0,  13.7 to 1,  89.3,  97.3
Southborough,02760000,      93.0, 100.0,  14.2 to 1,  92.7,  97.8
Southbridge,02770000,     187.5,  91.0,  10.7 to 1,  58.6,  80.5
Southeastern Regional Vocational Technical,08720000,     117.0,  95.7,  12.2 to 1,  75.6,  82.9
Southern Berkshire,07650000,      73.4,  99.7,   9.3 to 1,  90.2,  96.2
Southern Worcester County Regional Vocational Technical,08760000,     112.0,  95.5,  10.0 to 1,  77.7,  80.4
Southwick-Tolland-Granville Regional School District,07660000,     133.3,  99.3,  11.4 to 1,  87.6,  95.5
Spencer-E Brookfield,07670000,     112.0, 100.0,  12.2 to 1,  86.3,  93.7
Springfield,02810000,"   1,882.7",  93.5,  13.6 to 1,  75.0,  84.0
Springfield Preparatory Charter School (District),35100000,      19.3,  59.6,  11.1 to 1,  10.4,  80.8
Stoneham,02840000,     189.7,  99.5,  12.4 to 1,  82.0,  92.9
Stoughton,02850000,     305.7,  99.7,  11.8 to 1,  77.5,  94.4
Sturbridge,02870000,      67.6, 100.0,  13.3 to 1,  94.1,  98.5
Sturgis Charter Public (District),04890000,      86.6,  46.8,   9.4 to 1,  62.9,  83.3
Sudbury,02880000,     208.0, 100.0,  13.0 to 1,  90.1,  96.2
Sunderland,02890000,      23.0, 100.0,  10.4 to 1,  77.3,  86.9
Sutton,02900000,      99.1,  99.8,  14.3 to 1,  92.4,  97.0
Swampscott,02910000,     189.6,  99.4,  11.6 to 1,  83.9,  91.6
Swansea,02920000,     160.0,  99.4,  13.0 to 1,  89.7,  94.4
TEC Connections Academy Commonwealth Virtual School District,39020000,      57.4,  98.3,  26.8 to 1,  59.3,  71.7
Tantasqua,07700000,     135.6,  99.3,  13.2 to 1,  90.6,  95.3
Taunton,02930000,     531.9,  99.6,  15.2 to 1,  83.0,  92.5
Tewksbury,02950000,     260.1,  99.6,  13.4 to 1,  80.9,  94.0
Tisbury,02960000,      36.7, 100.0,   8.3 to 1,  83.1,  81.7
Topsfield,02980000,      48.5, 100.0,  13.1 to 1,  87.6, 100.0
Tri-County Regional Vocational Technical,08780000,      90.7,  98.9,  10.9 to 1,  86.8,  86.0
Triton,07730000,     200.2,  99.5,  12.8 to 1,  87.8,  92.8
Truro,03000000,      16.2, 100.0,   6.4 to 1,  81.4, 100.0
Tyngsborough,03010000,     125.8, 100.0,  12.8 to 1,  89.0,  90.2
UP Academy Charter School of Boston (District),04800000,      42.5,  92.9,  11.8 to 1,  43.5,  60.0
UP Academy Charter School of Dorchester (District),35050000,      56.4,  84.2,  13.1 to 1,  36.3,  49.6
Up-Island Regional,07740000,      44.5,  99.0,   9.1 to 1,  81.6,  90.6
Upper Cape Cod Regional Vocational Technical,08790000,      72.1,  97.2,   9.9 to 1,  76.4,  82.0
Uxbridge,03040000,     108.1, 100.0,  16.3 to 1,  93.1,  92.5
Veritas Preparatory Charter School (District),04980000,      31.0,  51.6,  10.4 to 1,  16.1,  77.4
Wachusett,07750000,     462.3, 100.0,  15.5 to 1,  87.6,  93.8
Wakefield,03050000,     256.9, 100.0,  13.6 to 1,  91.2,  94.9
Wales,03060000,      10.4, 100.0,  15.4 to 1,  98.1, 100.0
Walpole,03070000,     284.7,  99.6,  13.4 to 1,  91.5,  98.0
Waltham,03080000,     502.4,  99.7,  11.1 to 1,  79.5,  93.3
Ware,03090000,      91.0,  99.8,  13.3 to 1,  86.6,  92.3
Wareham,03100000,     189.4,  99.1,  12.2 to 1,  80.1,  92.2
Watertown,03140000,     247.3,  99.8,  10.5 to 1,  79.7,  95.1
Wayland,03150000,     217.6,  99.9,  12.4 to 1,  90.3,  96.3
Webster,03160000,     137.9,  99.6,  13.5 to 1,  79.3,  86.2
Wellesley,03170000,     391.3,  99.9,  12.8 to 1,  89.3,  94.8
Wellfleet,03180000,      14.8, 100.0,   7.6 to 1,  91.9,  93.2
West Boylston,03220000,      83.4, 100.0,  10.9 to 1,  86.2,  96.6
West Bridgewater,03230000,      94.0, 100.0,  13.8 to 1,  88.3,  96.3
West Springfield,03320000,     328.9,  99.6,  12.5 to 1,  92.5,  97.3
Westborough,03210000,     321.1,  99.7,  12.2 to 1,  82.3,  93.8
Westfield,03250000,     423.3,  98.5,  12.9 to 1,  88.7,  93.8
Westford,03260000,     342.9,  99.9,  14.8 to 1,  90.6,  96.4
Westhampton,03270000,      14.4, 100.0,   8.5 to 1,  93.1, 100.0
Weston,03300000,     167.3,  99.6,  12.6 to 1,  85.4,  94.9
Westport,03310000,     117.7, 100.0,  12.1 to 1,  85.8,  93.6
Westwood,03350000,     234.5, 100.0,  13.3 to 1,  83.7,  95.1
Weymouth,03360000,     431.6,  99.4,  14.0 to 1,  83.5,  92.0
Whately,03370000,      12.7, 100.0,  11.1 to 1,  72.4, 100.0
Whitman-Hanson,07800000,     244.7, 100.0,  16.0 to 1,  87.0,  91.8
Whittier Regional Vocational Technical,08850000,     113.9,  97.4,  11.0 to 1,  88.1,  82.4
Williamsburg,03400000,      17.2, 100.0,   9.5 to 1,  94.2, 100.0
Williamstown,03410000,      38.8, 100.0,  11.8 to 1,  82.5, 100.0
Wilmington,03420000,     275.4, 100.0,  12.1 to 1,  88.8,  96.2
Winchendon,03430000,      87.2, 100.0,  14.8 to 1,  86.8,  93.5
Winchester,03440000,     360.3, 100.0,  12.9 to 1,  83.1,  95.5
Winthrop,03460000,     131.6,  99.2,  15.4 to 1,  73.2,  78.7
Woburn,03470000,     374.6,  99.7,  12.3 to 1,  90.8,  95.5
Worcester,03480000,"   1,785.2",  97.1,  14.2 to 1,  81.3,  91.5
Worthington,03490000,       6.6,  93.9,   9.4 to 1,  51.5,  97.0
Wrentham,03500000,      75.4, 100.0,  13.9 to 1,  91.3, 100.0
State Totals,00000000,"  73,419.7",  97.2,  13.0 to 1,  81.7,  91.4
