2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Cape Cod Lighthouse Charter (District),04320000,      22.6,  87.1,  10.6 to 1,  96.0,  74.8,  48.6
Cape Cod Regional Vocational Technical,08150000,      58.6,  98.3,  10.5 to 1,  81.2,  76.8,  88.7
Carlisle,00510000,      55.2, 100.0,  10.8 to 1,  94.6,  96.7,  93.3
Carver,00520000,     127.1,  99.2,  12.4 to 1,  86.6,  94.4,  94.6
Central Berkshire,06350000,     122.4, 100.0,  12.8 to 1,  91.7,  95.1,  96.8
Chelmsford,00560000,     369.5,  99.5,  13.6 to 1,  88.0,  96.3,  92.8
Chelsea,00570000,     421.0,  96.7,  14.9 to 1,  64.0,  87.6,  92.1
Chesterfield-Goshen,06320000,      14.0, 100.0,   9.1 to 1,  92.9, 100.0,  93.3
Chicopee,00610000,     581.7,  98.1,  12.5 to 1,  88.7,  92.8,  92.6
Christa McAuliffe Charter Public (District),04180000,      41.3,  85.5,   9.7 to 1,  62.4,  86.7,  60.9
City on a Hill Charter Public School Circuit Street (District),04370000,      12.0,  64.8,  19.0 to 1,   8.3,  79.9,  45.1
City on a Hill Charter Public School Dudley Square (District),35040000,       9.6,  70.1,  20.2 to 1,  12.7,  90.4,  52.4
City on a Hill Charter Public School New Bedford (District),35070000,      10.6,  77.0,  14.0 to 1,  45.7,  74.9,  22.7
Clarksburg,00630000,      14.3,  97.2,  13.8 to 1,  92.3, 100.0,  88.9
Clinton,00640000,     145.7,  98.3,  13.0 to 1,  86.2,  94.9,  93.4
Codman Academy Charter Public (District),04380000,      43.8,  62.3,   7.7 to 1,  35.3,  81.7,  38.2
Cohasset,00650000,     110.4,  99.1,  13.6 to 1,  90.4,  95.5,  94.1
Collegiate Charter School of Lowell (District),35030000,      48.6,  73.0,  19.2 to 1,  35.0,  87.7,  58.5
Community Charter School of Cambridge (District),04360000,      35.1,  80.1,   9.3 to 1,  51.6,  80.1,  45.2
Community Day Charter Public School - Gateway (District),04260000,      44.0,  70.5,   9.1 to 1,  31.8,  81.8,  54.5
Community Day Charter Public School - Prospect (District),04400000,      38.8,  79.4,  10.3 to 1,  43.3,  82.0,  65.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,      41.0,  73.2,   9.7 to 1,  31.7,  87.8,  52.4
Concord,00670000,     174.1, 100.0,  11.9 to 1,  87.3,  98.0,  98.4
Concord-Carlisle,06400000,     103.5, 100.0,  12.4 to 1,  98.5,  94.2,  92.4
Conservatory Lab Charter (District),04390000,      26.0,  75.0,  17.4 to 1,  38.5,  96.2,  50.0
Conway,00680000,      12.6, 100.0,  10.6 to 1,  97.6, 100.0, 100.0
Danvers,00710000,     265.4, 100.0,  12.9 to 1,  91.1,  95.7,  92.3
Dartmouth,00720000,     273.5,  99.3,  13.1 to 1,  92.8,  96.9,  92.6
Dedham,00730000,     235.9, 100.0,  11.6 to 1,  88.6,  95.8,  95.5
Deerfield,00740000,      37.2,  97.3,  10.4 to 1,  87.9,  92.4,  95.0
Dennis-Yarmouth,06450000,     271.0,  99.6,  10.7 to 1,  91.4,  96.0,  97.8
Dighton-Rehoboth,06500000,     219.7,  99.5,  13.0 to 1,  91.9,  96.8,  94.8
Douglas,00770000,      99.9, 100.0,  12.8 to 1,  79.6,  89.0,  97.1
Dover,00780000,      40.4,  97.5,  12.1 to 1,  90.6,  92.6, 100.0
Dover-Sherborn,06550000,     103.5,  99.5,  11.6 to 1,  91.5,  96.3,  94.7
Dracut,00790000,     224.1,  99.1,  16.4 to 1,  77.5,  90.9,  97.4
Dudley Street Neighborhood Charter School (District),04070000,      21.0,  95.2,  12.9 to 1,  71.4,  95.2,  95.2
Dudley-Charlton Reg,06580000,     282.0, 100.0,  13.1 to 1,  88.8,  94.5,  94.6
Duxbury,00820000,     221.3,  99.7,  13.4 to 1,  91.6,  97.3,  94.6
East Bridgewater,00830000,     153.5, 100.0,  14.4 to 1,  83.1,  94.8,  97.5
East Longmeadow,00870000,     209.0,  99.5,  12.4 to 1,  94.6,  98.1,  96.8
Eastham,00850000,      20.8, 100.0,   9.3 to 1,  95.2, 100.0, 100.0
Easthampton,00860000,     116.6, 100.0,  13.2 to 1,  84.9,  93.5,  96.6
Easton,00880000,     257.6, 100.0,  13.9 to 1,  93.6,  97.4,  97.0
Edgartown,00890000,      43.7,  98.9,   9.0 to 1,  79.8,  92.9,  96.3
