2009-10 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     101.6,  74.1,     428, 100.0,  14.0 to 1
Abington,00010000,     127.5,  98.7,     658,  98.9,  17.2 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      35.1,  40.7,      78,  97.4,  13.8 to 1
Acton,00020000,     137.8, 100.0,     808, 100.0,  19.0 to 1
Acton-Boxborough,06000000,     176.9, 100.0,     796, 100.0,  16.6 to 1
Acushnet,00030000,      72.7, 100.0,     370, 100.0,  13.7 to 1
Adams-Cheshire,06030000,     103.5,  95.0,     471,  93.6,  15.0 to 1
Advanced Math and Science Academy Charter (District),04300000,      61.2,  65.8,     305, 100.0,  13.1 to 1
Agawam,00050000,     311.1,  99.0,"   1,821",  99.7,  13.7 to 1
Amesbury,00070000,     168.1,  98.2,     555,  95.1,  14.4 to 1
Amesbury Academy Charter Public School,04150000,       5.4,  81.3,      16,  87.5,   9.3 to 1
Amherst,00080000,     126.5,  99.8,     412, 100.0,  10.4 to 1
Amherst-Pelham,06050000,     133.8,  97.8,     468,  90.0,  12.4 to 1
Andover,00090000,     434.8,  98.3,"   1,437",  99.3,  14.2 to 1
Arlington,00100000,     345.1,  99.1,"   1,498",  99.1,  13.7 to 1
Ashburnham-Westminster,06100000,     148.5,  99.2,     465,  96.6,  16.1 to 1
Ashland,00140000,     158.9, 100.0,     704, 100.0,  16.6 to 1
Assabet Valley Regional Vocational Technical,08010000,     102.5,  95.1,     291, 100.0,   9.4 to 1
Athol-Royalston,06150000,     129.6, 100.0,     536,  99.1,  13.0 to 1
Atlantis Charter (District),04910000,      56.2,  85.8,     319,  87.8,  13.0 to 1
Attleboro,00160000,     383.6,  99.0,"   1,427",  97.9,  15.5 to 1
Auburn,00170000,     165.2,  99.4,     686, 100.0,  14.5 to 1
Avon,00180000,      62.7,  98.4,     295,  97.3,  11.9 to 1
Ayer,00190000,      95.5,  95.5,     303,  97.4,  12.5 to 1
Barnstable,00200000,     308.5,  99.3,"   1,245",  99.2,  13.9 to 1
