2016-17 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     106.6,  95.3,     590,  99.2,  13.4 to 1
Abington,00010000,     130.8, 100.0,     732,  98.6,  14.7 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      44.3,  78.2,     115,  90.4,  11.9 to 1
Acton-Boxborough,06000000,     371.8, 100.0,"   1,602", 100.0,  15.0 to 1
Acushnet,00030000,      71.0, 100.0,     396,  98.7,  13.5 to 1
Adams-Cheshire,06030000,      84.9, 100.0,     581,  98.5,  15.5 to 1
Advanced Math and Science Academy Charter (District),04300000,      78.4,  88.9,     371, 100.0,  12.1 to 1
Agawam,00050000,     320.3, 100.0,"   1,813", 100.0,  12.2 to 1
Alma del Mar Charter School (District),04090000,      33.2,  60.7,      82,  51.2,   9.8 to 1
Amesbury,00070000,     169.2,  99.8,     851,  95.1,  12.7 to 1
Amherst,00080000,     123.4,  99.2,     451,  98.9,   9.3 to 1
Amherst-Pelham,06050000,     116.1,  98.1,     653,  95.1,  11.7 to 1
Andover,00090000,     457.0, 100.0,"   2,173", 100.0,  13.1 to 1
Argosy Collegiate Charter School (District),35090000,      26.0,  73.1,      72,  86.1,  11.8 to 1
Arlington,00100000,     398.2,  99.4,"   1,943",  99.1,  13.9 to 1
Ashburnham-Westminster,06100000,     149.9, 100.0,     939,  98.4,  15.6 to 1
Ashland,00140000,     187.5, 100.0,     939,  99.0,  14.4 to 1
Assabet Valley Regional Vocational Technical,08010000,     107.5,  99.1,     344, 100.0,  10.3 to 1
Athol-Royalston,06150000,     106.1, 100.0,     582,  99.8,  13.8 to 1
Atlantis Charter (District),04910000,      82.2,  83.9,     359,  98.9,  13.5 to 1
Attleboro,00160000,     359.2, 100.0,"   1,906",  99.3,  16.5 to 1
Auburn,00170000,     177.6, 100.0,"   1,080",  99.9,  14.2 to 1
Avon,00180000,      65.9, 100.0,     301,  99.7,  10.8 to 1
Ayer Shirley School District,06160000,     140.5,  98.6,     555,  99.3,  12.2 to 1
Barnstable,00200000,     373.6,  99.5,"   1,510",  99.7,  13.2 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      22.0, 100.0,     107, 100.0,  13.2 to 1
Baystate Academy Charter Public School (District),35020000,      36.2,  70.0,     211, 100.0,  10.8 to 1
Bedford,00230000,     222.1,  99.1,"   1,078",  99.4,  11.7 to 1
Belchertown,00240000,     169.3,  99.2,     956, 100.0,  13.9 to 1
Bellingham,00250000,     164.5, 100.0,     853,  99.5,  13.7 to 1
Belmont,00260000,     268.6,  99.6,"   1,310", 100.0,  16.6 to 1
Benjamin Banneker Charter Public (District),04200000,      20.0,  95.0,     109, 100.0,  17.3 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      28.2,  79.8,     159,  59.7,  15.8 to 1
Bentley Academy Charter School (District),35110000,      32.3, 100.0,     117, 100.0,   8.0 to 1
