2016-17 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Berkley,00270000,      64.0, 100.0,     295,  97.6,  14.5 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      32.9,  52.7,     155,  92.3,  10.8 to 1
Berkshire Hills,06180000,     114.0,  98.7,     576,  99.3,  11.3 to 1
Berlin,00280000,      16.3, 100.0,     104, 100.0,  11.7 to 1
Berlin-Boylston,06200000,      45.7,  98.7,     255,  99.2,  12.8 to 1
Beverly,00300000,     317.8,  98.5,"   1,204",  99.4,  14.2 to 1
Billerica,00310000,     372.4, 100.0,"   1,637",  98.5,  13.1 to 1
Blackstone Valley Regional Vocational Technical,08050000,      94.3,  96.8,     337, 100.0,  12.8 to 1
Blackstone-Millville,06220000,     137.1,  99.3,     577,  94.8,  12.7 to 1
Blue Hills Regional Vocational Technical,08060000,      80.5,  97.5,     213, 100.0,  10.8 to 1
Boston,00350000,"   3,881.1",  95.1,"  20,634",  81.6,  13.7 to 1
Boston Collegiate Charter (District),04490000,      65.7,  72.6,     213,  85.9,  10.3 to 1
Boston Day and Evening Academy Charter (District),04240000,      23.0,  96.7,     262,  98.5,  17.6 to 1
Boston Green Academy Horace Mann Charter School (District),04110000,      51.6,  80.5,     260, 100.0,   9.2 to 1
Boston Preparatory Charter Public (District),04160000,      37.2,  67.7,      53,  58.5,  11.2 to 1
Boston Renaissance Charter Public (District),04810000,      75.6,  76.8,     344,  75.0,  12.6 to 1
Bourne,00360000,     144.3,  99.4,     800,  99.5,  13.4 to 1
Boxford,00380000,      62.5, 100.0,     246, 100.0,  12.1 to 1
Boylston,00390000,      20.1,  97.0,     128, 100.0,  14.5 to 1
Braintree,00400000,     403.7,  98.8,"   2,350",  99.7,  14.4 to 1
Brewster,00410000,      45.2, 100.0,     162, 100.0,  10.9 to 1
Bridge Boston Charter School (District),04170000,      26.1,  73.9,     100,  73.0,  10.2 to 1
Bridgewater-Raynham,06250000,     334.0,  99.7,"   1,603",  99.7,  16.0 to 1
Brimfield,00430000,      26.4, 100.0,     106, 100.0,  10.8 to 1
Bristol County Agricultural,09100000,      32.8, 100.0,     102, 100.0,  14.3 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      94.1, 100.0,     626, 100.0,  13.9 to 1
Brockton,00440000,"   1,067.9",  99.5,"   5,421",  96.3,  15.9 to 1
Brooke Charter School (District),04280000,     110.3,  72.5,     692,  92.3,  14.6 to 1
Brookfield,00450000,      24.2, 100.0,      93, 100.0,  13.2 to 1
Brookline,00460000,     610.1,  99.7,"   3,656", 100.0,  12.6 to 1
Burlington,00480000,     308.7,  99.7,"   1,441",  98.9,  11.4 to 1
Cambridge,00490000,     641.4,  99.0,"   2,969",  95.6,  10.6 to 1
Canton,00500000,     243.8, 100.0,"   1,468",  98.6,  13.6 to 1
Cape Cod Lighthouse Charter (District),04320000,      21.5,  86.0,      48,  87.5,  11.3 to 1
Cape Cod Regional Vocational Technical,08150000,      67.2,  94.0,     191,  93.7,   9.3 to 1
Carlisle,00510000,      54.7, 100.0,     238, 100.0,  10.8 to 1
Carver,00520000,     131.1,  99.2,     700, 100.0,  12.4 to 1
Central Berkshire,06350000,     128.4,  99.2,     633, 100.0,  12.6 to 1
Chelmsford,00560000,     365.7, 100.0,"   1,756",  99.1,  13.6 to 1
Chelsea,00570000,     421.1,  99.9,"   1,700",  99.5,  15.1 to 1
Chesterfield-Goshen,06320000,      14.8, 100.0,      65, 100.0,   9.5 to 1
Chicopee,00610000,     552.9,  99.2,"   2,512",  97.3,  13.9 to 1
Christa McAuliffe Charter Public (District),04180000,      35.1,  68.4,     119,  84.9,  11.3 to 1
City on a Hill Charter Public School Circuit Street (District),04370000,      25.1,  80.9,      80,  91.3,  11.1 to 1
City on a Hill Charter Public School Dudley Square (District),35040000,      25.3,  71.1,      87,  87.4,  11.1 to 1
City on a Hill Charter Public School New Bedford (District),35070000,      13.3,  80.2,      51,  51.0,  13.3 to 1
Clarksburg,00630000,      15.4,  97.4,      74,  87.8,  11.3 to 1
Clinton,00640000,     144.3,  99.3,     707,  99.3,  13.0 to 1
Codman Academy Charter Public (District),04380000,      35.9,  60.5,      97,  67.0,  10.0 to 1
Cohasset,00650000,     120.9,  99.2,     627,  98.6,  13.1 to 1
Collegiate Charter School of Lowell (District),35030000,      33.0,  84.8,     162,  98.1,  19.6 to 1
Community Charter School of Cambridge (District),04360000,      32.4,  69.8,     261,  95.4,  11.6 to 1
Community Day Charter Public School - Gateway (District),04260000,      27.5,  73.6,      82, 100.0,  10.2 to 1
Community Day Charter Public School - Prospect (District),04400000,      45.0,  84.4,     102, 100.0,   8.9 to 1
Community Day Charter Public School - R. Kingman Webster (District),04310000,      30.5,  75.4,      82, 100.0,   9.2 to 1
Concord,00670000,     163.0, 100.0,     905,  99.9,  12.9 to 1
Concord-Carlisle,06400000,      98.0, 100.0,     436,  98.9,  13.0 to 1
Conservatory Lab Charter (District),04390000,      22.0,  68.2,      83,  81.9,  20.5 to 1
Conway,00680000,      12.6,  99.2,      78,  98.7,  11.2 to 1
Danvers,00710000,     269.7,  98.9,"   1,341",  98.9,  12.5 to 1
Dartmouth,00720000,     263.1,  99.7,"   1,159",  99.3,  13.9 to 1
Dedham,00730000,     232.6, 100.0,"   1,150", 100.0,  11.6 to 1
Deerfield,00740000,      37.5,  95.4,     218,  99.5,  10.7 to 1
Dennis-Yarmouth,06450000,     290.6,  99.7,"   1,270", 100.0,  10.4 to 1
Dighton-Rehoboth,06500000,     237.7, 100.0,"   1,105",  99.5,  12.1 to 1
Douglas,00770000,      88.6,  96.6,     393,  96.7,  15.7 to 1
Dover,00780000,      40.3,  98.3,     217,  97.2,  12.0 to 1
Dover-Sherborn,06550000,     108.6,  99.5,     557, 100.0,  10.8 to 1
Dracut,00790000,     216.6,  99.1,"   1,150",  99.1,  16.2 to 1
Dudley Street Neighborhood Charter School (District),04070000,      21.0,  95.3,      94,  85.1,  13.9 to 1
Dudley-Charlton Reg,06580000,     258.2, 100.0,"   1,346",  96.7,  15.3 to 1
Duxbury,00820000,     236.5,  98.6,"   1,097",  98.9,  13.2 to 1
East Bridgewater,00830000,     130.2,  98.6,     776,  95.6,  17.7 to 1
East Longmeadow,00870000,     197.5, 100.0,     819, 100.0,  13.3 to 1
Eastham,00850000,      22.9, 100.0,      84, 100.0,   7.9 to 1
Easthampton,00860000,     113.5,  98.2,     521,  99.2,  13.8 to 1
Easton,00880000,     257.3,  99.6,"   1,095",  99.8,  14.6 to 1
Edgartown,00890000,      39.9,  99.6,     139,  90.6,   8.7 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      28.7,  91.6,      85,  96.5,  12.5 to 1
Erving,00910000,      18.1,  97.2,      76, 100.0,   7.5 to 1
Essex North Shore Agricultural and Technical School District,08170000,     113.2,  95.5,     335,  97.3,  11.5 to 1
Everett,00930000,     500.7, 100.0,"   2,290",  99.9,  14.1 to 1
Excel Academy Charter (District),04100000,      86.0,  56.9,     231,  79.2,  11.1 to 1
Fairhaven,00940000,     144.3, 100.0,     791, 100.0,  14.0 to 1
Fall River,00950000,     739.5,  91.6,"   3,481",  88.0,  13.7 to 1
Falmouth,00960000,     297.1,  99.2,"   1,460",  99.0,  11.7 to 1
Farmington River Reg,06620000,      12.5,  92.2,      56, 100.0,   9.1 to 1
Fitchburg,00970000,     373.0, 100.0,"   1,777", 100.0,  14.1 to 1
Florida,00980000,      11.6,  95.7,      61,  80.3,   7.0 to 1
Four Rivers Charter Public (District),04130000,      22.0,  57.8,     131,  96.9,  10.0 to 1
Foxborough,00990000,     205.2, 100.0,"   1,079", 100.0,  12.7 to 1
Foxborough Regional Charter (District),04460000,      92.2,  81.8,     429,  96.0,  13.7 to 1
Framingham,01000000,     737.4,  98.9,"   3,235",  96.4,  11.7 to 1
Francis W. Parker Charter Essential (District),04780000,      45.7,  61.0,     200, 100.0,   8.6 to 1
Franklin,01010000,     410.7,  99.5,"   1,863",  99.8,  13.2 to 1
Franklin County Regional Vocational Technical,08180000,      51.8,  96.1,     136,  97.8,   9.4 to 1
Freetown-Lakeville,06650000,     195.7, 100.0,     938,  97.1,  14.1 to 1
Frontier,06700000,      51.9,  96.5,     315,  97.8,  11.8 to 1
Gardner,01030000,     170.3, 100.0,     736, 100.0,  14.0 to 1
Gateway,06720000,      77.9,  98.7,     356,  99.4,  10.8 to 1
Georgetown,01050000,     106.1,  98.1,     553,  92.6,  13.6 to 1
Gill-Montague,06740000,      91.1,  97.8,     409,  97.1,  10.4 to 1
Global Learning Charter Public (District),04960000,      40.8,  89.0,     233, 100.0,  12.4 to 1
Gloucester,01070000,     260.9,  98.8,"   1,115",  98.7,  11.2 to 1
Gosnold,01090000,       1.1, 100.0,       8, 100.0,   1.8 to 1
Grafton,01100000,     232.2,  99.6,"   1,208",  99.9,  13.7 to 1
Granby,01110000,      57.8,  98.3,     413,  95.4,  13.1 to 1
Greater Fall River Regional Vocational Technical,08210000,     133.2,  98.5,     500, 100.0,  10.5 to 1
Greater Lawrence Regional Vocational Technical,08230000,     135.2,  99.3,     313, 100.0,  10.9 to 1
Greater Lowell Regional Vocational Technical,08280000,     175.1,  99.4,     454, 100.0,  12.5 to 1
Greater New Bedford Regional Vocational Technical,08250000,     204.1,  98.5,     501,  98.6,  10.6 to 1
Greenfield,01140000,     156.1,  98.6,     779,  99.6,  10.6 to 1
Groton-Dunstable,06730000,     175.3, 100.0,     877,  99.8,  13.8 to 1
Hadley,01170000,      48.2, 100.0,     405, 100.0,  11.7 to 1
Halifax,01180000,      38.8, 100.0,     195, 100.0,  15.2 to 1
Hamilton-Wenham,06750000,     150.7,  99.3,     635, 100.0,  11.8 to 1
Hampden Charter School of Science (District),04990000,      37.7,  74.5,     245, 100.0,  12.7 to 1
Hampden-Wilbraham,06800000,     204.3, 100.0,     959,  99.1,  15.2 to 1
Hampshire,06830000,      71.7,  96.2,     371,  86.0,  10.3 to 1
Hancock,01210000,       5.8, 100.0,      25,  36.0,   6.2 to 1
Hanover,01220000,     194.6, 100.0,     982,  98.4,  13.5 to 1
Harvard,01250000,      92.3,  99.7,     407, 100.0,  12.1 to 1
Hatfield,01270000,      42.3, 100.0,     206, 100.0,  10.5 to 1
Haverhill,01280000,     515.5,  98.0,"   3,189",  98.0,  14.5 to 1
Hawlemont,06850000,      10.4,  83.6,      50,  90.0,  10.1 to 1
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      17.0,  64.7,      74,  81.1,  12.8 to 1
Hill View Montessori Charter Public (District),04550000,      20.1,  77.8,      97,  84.5,  15.3 to 1
Hilltown Cooperative Charter Public (District),04500000,      19.8,  91.6,      55, 100.0,  11.0 to 1
Hingham,01310000,     293.7, 100.0,"   1,480", 100.0,  14.7 to 1
Holbrook,01330000,      89.6,  98.9,     424,  98.1,  13.1 to 1
Holland,01350000,      19.6, 100.0,      82, 100.0,  12.1 to 1
Holliston,01360000,     208.8,  99.0,"   1,120",  98.8,  13.8 to 1
Holyoke,01370000,     407.6,  90.4,"   1,611",  78.5,  13.1 to 1
Holyoke Community Charter (District),04530000,      52.5,  72.2,     143,  92.3,  13.4 to 1
Hopedale,01380000,      89.5,  99.6,     395, 100.0,  12.7 to 1
Hopkinton,01390000,     259.2, 100.0,"   1,435",  98.3,  13.4 to 1
Hudson,01410000,     236.3,  99.2,"   1,047",  98.6,  11.2 to 1
Hull,01420000,      81.7, 100.0,     358, 100.0,  11.4 to 1
Innovation Academy Charter (District),04350000,      73.3,  85.0,     360,  96.1,  10.8 to 1
Ipswich,01440000,     163.2,  99.4,     845, 100.0,  10.9 to 1
KIPP Academy Boston Charter School (District),04630000,      47.0,  44.7,      73,  69.9,  10.7 to 1
KIPP Academy Lynn Charter (District),04290000,      99.7,  56.2,     305,  72.5,  12.0 to 1
King Philip,06900000,     130.5,  99.2,     643,  99.2,  16.1 to 1
Kingston,01450000,      69.9, 100.0,     316, 100.0,  14.5 to 1
Lanesborough,01480000,      19.0, 100.0,      86, 100.0,  10.8 to 1
Lawrence,01490000,"   1,019.5",  93.6,"   4,782",  81.3,  13.6 to 1
Lawrence Family Development Charter (District),04540000,      59.5,  88.2,     273,  71.4,  12.0 to 1
Lee,01500000,      62.5,  98.4,     299,  96.7,  11.0 to 1
Leicester,01510000,     109.4, 100.0,     534, 100.0,  14.4 to 1
Lenox,01520000,      80.6,  98.7,     468, 100.0,   9.5 to 1
Leominster,01530000,     445.0,  98.1,"   2,427",  99.8,  13.6 to 1
Leverett,01540000,      13.8, 100.0,      55,  87.3,   9.8 to 1
Lexington,01550000,     577.6,  99.9,"   1,890", 100.0,  12.2 to 1
Lincoln,01570000,     116.8, 100.0,     580,  99.1,  10.3 to 1
Lincoln-Sudbury,06950000,     127.8, 100.0,     828, 100.0,  12.3 to 1
Littleton,01580000,     110.1,  99.8,     576,  99.8,  14.9 to 1
Longmeadow,01590000,     235.4, 100.0,"   1,022",  97.9,  12.1 to 1
Lowell,01600000,"   1,047.9",  99.5,"   7,135",  99.7,  13.8 to 1
Lowell Community Charter Public (District),04560000,      61.0,  98.4,     238,  97.9,  13.4 to 1
Lowell Middlesex Academy Charter (District),04580000,      10.5,  57.1,      96,  97.9,   9.0 to 1
Ludlow,01610000,     228.3,  99.3,"   1,108",  98.2,  11.7 to 1
Lunenburg,01620000,     112.1,  99.1,     591,  99.8,  14.4 to 1
Lynn,01630000,"   1,080.6",  98.1,"   4,733",  96.0,  14.2 to 1
Lynnfield,01640000,     163.9, 100.0,     752, 100.0,  13.5 to 1
MATCH Charter Public School (District),04690000,      84.7,  66.4,     274,  77.0,  13.5 to 1
Ma Academy for Math and Science,04680000,       6.9, 100.0,      24, 100.0,  14.0 to 1
Malden,01650000,     456.4,  99.8,"   2,307",  99.6,  14.5 to 1
Manchester Essex Regional,06980000,     130.5,  98.5,     576,  97.9,  10.7 to 1
Mansfield,01670000,     301.4, 100.0,"   1,462", 100.0,  13.1 to 1
Marblehead,01680000,     263.9,  98.9,"   1,046",  99.3,  11.9 to 1
Marblehead Community Charter Public (District),04640000,      21.9,  79.0,      78,  89.7,  10.5 to 1
Marion,01690000,      33.6, 100.0,     139, 100.0,  13.6 to 1
Marlborough,01700000,     373.9, 100.0,"   1,498",  99.9,  12.1 to 1
Marshfield,01710000,     324.3,  99.4,"   1,410",  99.1,  13.1 to 1
Martha's Vineyard,07000000,      73.5,  99.3,     592,  94.9,   9.0 to 1
Martha's Vineyard Charter (District),04660000,      18.9,  81.7,      70,  95.7,   9.2 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      37.8,  81.4,     101,  63.4,   9.7 to 1
Masconomet,07050000,     131.6, 100.0,     648,  99.8,  14.0 to 1
Mashpee,01720000,     139.8, 100.0,     773, 100.0,  10.7 to 1
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,,,,,
Mattapoisett,01730000,      40.3, 100.0,     164, 100.0,  11.1 to 1
Maynard,01740000,     109.6,  99.1,     457, 100.0,  13.1 to 1
Medfield,01750000,     197.4,  99.7,"   1,151",  99.0,  13.2 to 1
Medford,01760000,,,,,
Medway,01770000,     157.0,  99.4,     775,  95.6,  14.8 to 1
Melrose,01780000,     262.3,  99.6,"   1,130", 100.0,  14.5 to 1
Mendon-Upton,07100000,     164.4,  98.4,     865, 100.0,  13.6 to 1
Methuen,01810000,     490.9,  99.3,"   2,251",  99.2,  14.0 to 1
Middleborough,01820000,     230.3, 100.0,"   1,189", 100.0,  12.0 to 1
Middleton,01840000,      62.1, 100.0,     243, 100.0,  11.3 to 1
Milford,01850000,     328.6,  99.7,"   1,401",  99.1,  12.7 to 1
Millbury,01860000,     126.7, 100.0,     567,  98.9,  13.6 to 1
Millis,01870000,      94.4,  98.6,     481,  97.9,  14.0 to 1
Milton,01890000,     247.2, 100.0,"   1,415",  99.3,  16.8 to 1
Minuteman Regional Vocational Technical,08300000,      72.5,  98.6,     231,  99.1,   8.0 to 1
Mohawk Trail,07170000,      71.7,  93.7,     489,  93.5,  13.5 to 1
Monomoy Regional School District,07120000,     171.3,  98.3,     873,  96.6,  10.9 to 1
Monson,01910000,      86.0,  96.5,     339,  93.2,  11.4 to 1
Montachusett Regional Vocational Technical,08320000,     112.0, 100.0,     322, 100.0,  12.8 to 1
Mount Greylock,07150000,      44.6, 100.0,     210,  98.6,  12.6 to 1
Mystic Valley Regional Charter (District),04700000,     103.1,  66.0,     612,  89.2,  14.4 to 1
Nahant,01960000,      11.0, 100.0,      50, 100.0,  12.9 to 1
Nantucket,01970000,     137.9,  92.5,     743,  85.5,  11.5 to 1
Narragansett,07200000,      91.2,  97.8,     425,  99.3,  15.2 to 1
Nashoba,07250000,     262.0,  99.4,"   1,251", 100.0,  13.0 to 1
Nashoba Valley Regional Vocational Technical,08520000,      63.1,  98.4,     207,  97.1,  11.6 to 1
Natick,01980000,     387.0,  99.2,"   2,277",  98.5,  14.1 to 1
Nauset,06600000,     137.3,  99.4,     617,  99.5,  10.7 to 1
Needham,01990000,     401.7,  99.2,"   1,867",  99.3,  13.9 to 1
Neighborhood House Charter (District),04440000,      50.1,  61.3,      93, 100.0,   9.1 to 1
New Bedford,02010000,     918.8,  92.6,"   4,412",  88.2,  13.8 to 1
New Heights Charter School of Brockton (District),35130000,      22.1,  69.2,      81,  18.5,  14.2 to 1
New Salem-Wendell,07280000,      11.9, 100.0,      23, 100.0,  14.2 to 1
Newburyport,02040000,     185.0, 100.0,"   1,122", 100.0,  12.4 to 1
Newton,02070000,"   1,076.5",  98.9,"   4,543",  98.9,  11.9 to 1
Norfolk,02080000,      68.9, 100.0,     300, 100.0,  13.6 to 1
Norfolk County Agricultural,09150000,      52.2,  98.5,     130, 100.0,  10.2 to 1
North Adams,02090000,     119.0,  99.5,     484,  98.8,  12.3 to 1
North Andover,02110000,     298.9,  99.7,"   1,995",  99.9,  15.9 to 1
North Attleborough,02120000,     286.3, 100.0,"   1,455",  99.5,  15.3 to 1
North Brookfield,02150000,      42.2, 100.0,     208, 100.0,  13.2 to 1
North Middlesex,07350000,     251.6,  99.8,"   1,109", 100.0,  12.3 to 1
North Reading,02170000,     196.5, 100.0,     975,  98.7,  12.7 to 1
Northampton,02100000,     223.7,  99.8,     923, 100.0,  12.0 to 1
Northampton-Smith Vocational Agricultural,04060000,      50.1,  92.0,     133, 100.0,   9.7 to 1
Northboro-Southboro,07300000,     107.4, 100.0,     521,  99.6,  13.4 to 1
Northborough,02130000,     141.5, 100.0,     662,  99.2,  12.1 to 1
Northbridge,02140000,     164.0, 100.0,     786,  99.9,  13.8 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     111.9,  97.9,     243,  99.6,  11.3 to 1
Northern Berkshire Regional Vocational Technical,08510000,      46.7,  93.6,     130, 100.0,  10.4 to 1
Norton,02180000,     177.9, 100.0,     897, 100.0,  14.1 to 1
Norwell,02190000,     163.4, 100.0,     851,  98.2,  13.4 to 1
Norwood,02200000,     274.9, 100.0,"   1,251", 100.0,  12.4 to 1
Oak Bluffs,02210000,      45.4,  99.6,     184,  99.5,   9.6 to 1
Old Colony Regional Vocational Technical,08550000,      54.1,  96.3,     104,  89.4,  10.1 to 1
Old Rochester,07400000,      91.6, 100.0,     427, 100.0,  13.5 to 1
Orange,02230000,      46.9,  97.9,     225,  92.9,  13.4 to 1
Orleans,02240000,      22.5, 100.0,      91,  87.9,   9.5 to 1
Oxford,02260000,     125.7,  99.9,     562,  99.1,  13.8 to 1
Palmer,02270000,     116.4,  99.8,     732, 100.0,  12.3 to 1
Pathfinder Regional Vocational Technical,08600000,      76.8,  97.4,     207,  99.0,   8.0 to 1
Paulo Freire Social Justice Charter School (District),35010000,      35.5,  52.6,     108,  91.7,   9.2 to 1
Peabody,02290000,     442.5,  99.1,"   2,190",  98.5,  13.5 to 1
Pelham,02300000,      11.7, 100.0,      57, 100.0,  11.3 to 1
Pembroke,02310000,     204.8,  99.0,     985,  99.7,  14.7 to 1
Pentucket,07450000,     203.4, 100.0,     929,  99.8,  12.3 to 1
Petersham,02340000,      11.5,  91.3,      47, 100.0,  10.8 to 1
Phoenix Academy Public Charter High School Springfield (District),35080000,      11.9,  50.4,      72,  33.3,  16.2 to 1
Phoenix Charter Academy (District),04930000,      14.2,  42.3,      59,  45.8,  12.0 to 1
Pioneer Charter School of Science (District),04940000,      50.6,  71.7,     166, 100.0,  10.7 to 1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      32.2,  59.9,     116, 100.0,  10.0 to 1
Pioneer Valley,07500000,      85.4, 100.0,     434,  99.5,  10.2 to 1
Pioneer Valley Chinese Immersion Charter (District),04970000,      60.7,  69.9,     188, 100.0,   7.8 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      40.6,  74.7,     311,  88.7,   9.8 to 1
Pittsfield,02360000,     466.7,  97.5,"   2,626",  93.2,  11.8 to 1
Plainville,02380000,      44.1,  98.9,     290,  87.9,  16.2 to 1
Plymouth,02390000,     642.2,  99.4,"   3,492",  93.3,  11.8 to 1
Plympton,02400000,      17.4, 100.0,      84, 100.0,  12.0 to 1
Prospect Hill Academy Charter (District),04870000,     109.3,  77.4,     367,  96.7,  10.4 to 1
Provincetown,02420000,      18.6, 100.0,      81,  88.9,   6.9 to 1
Quabbin,07530000,     139.4,  98.6,     937,  99.5,  16.1 to 1
Quaboag Regional,07780000,      99.3,  92.2,     468, 100.0,  14.1 to 1
Quincy,02430000,     697.7,  99.7,"   3,817", 100.0,  13.3 to 1
Ralph C Mahar,07550000,      58.5,  98.3,     456,  93.6,  12.9 to 1
Randolph,02440000,     245.5,  99.6,     959,  99.6,  11.5 to 1
Reading,02460000,     310.6, 100.0,"   1,364",  99.9,  13.9 to 1
Revere,02480000,     529.8,  99.4,"   3,558", 100.0,  14.1 to 1
Richmond,02490000,      18.8,  98.4,      93,  92.5,   9.2 to 1
Rising Tide Charter Public (District),04830000,      52.1,  65.5,     271,  99.6,  12.8 to 1
River Valley Charter (District),04820000,      18.4,  94.4,     112,  99.1,  15.6 to 1
Rochester,02500000,      34.8, 100.0,     150, 100.0,  13.4 to 1
Rockland,02510000,     153.2, 100.0,     782, 100.0,  15.0 to 1
Rockport,02520000,      85.2, 100.0,     393,  98.2,  10.9 to 1
Rowe,02530000,       7.0, 100.0,      31,  74.2,   8.4 to 1
Roxbury Preparatory Charter (District),04840000,     111.2,  46.0,     277,  87.0,  11.7 to 1
Sabis International Charter (District),04410000,      65.8,  90.7,     416,  99.3,  24.0 to 1
Salem,02580000,     373.7,  97.4,"   1,679",  96.3,  10.1 to 1
Salem Academy Charter (District),04850000,      43.1,  75.1,     147, 100.0,  10.3 to 1
Sandwich,02610000,     215.1,  98.9,"   1,042",  97.9,  12.7 to 1
Saugus,02620000,     207.0, 100.0,"   1,112",  99.9,  12.6 to 1
Savoy,02630000,       4.7, 100.0,      23, 100.0,  10.5 to 1
Scituate,02640000,     244.9,  99.8,"   1,058",  98.5,  12.3 to 1
Seekonk,02650000,     150.5,  99.9,     610, 100.0,  13.0 to 1
Seven Hills Charter Public (District),04860000,      49.6,  99.5,     173,  94.8,  13.4 to 1
Sharon,02660000,,,,,
Shawsheen Valley Regional Vocational Technical,08710000,     129.2, 100.0,     314,  99.4,  10.3 to 1
Sherborn,02690000,      31.8,  99.8,     174,  98.3,  13.5 to 1
Shrewsbury,02710000,     364.7,  98.9,"   2,043", 100.0,  17.0 to 1
Shutesbury,02720000,      15.7, 100.0,      45, 100.0,   7.7 to 1
Silver Hill Horace Mann Charter (District),04770000,      34.8, 100.0,     181, 100.0,  16.3 to 1
Silver Lake,07600000,     132.2,  99.2,     599,  99.0,  14.0 to 1
Sizer School: A North Central Charter Essential (District),04740000,      35.1,  93.8,     261,  91.6,  10.6 to 1
Somerset,02730000,     123.2, 100.0,     643, 100.0,  14.5 to 1
Somerset Berkley Regional School District,07630000,      83.5, 100.0,     419, 100.0,  12.0 to 1
Somerville,02740000,     430.5,  99.5,"   1,869",  99.6,  11.5 to 1
South Hadley,02780000,     134.5,  98.6,     646,  96.1,  13.9 to 1
South Middlesex Regional Vocational Technical,08290000,      75.0,  98.7,     208,  98.1,   9.6 to 1
South Shore Charter Public (District),04880000,      64.6,  90.5,     298,  95.6,  11.7 to 1
South Shore Regional Vocational Technical,08730000,      61.4,  96.7,     144,  99.3,  10.4 to 1
Southampton,02750000,      35.5, 100.0,     155, 100.0,  14.7 to 1
Southborough,02760000,     112.1, 100.0,     549,  99.6,  11.6 to 1
