2020-21 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Boston,00350000,"   4,595.5",  94.7,  10.5 to 1,  80.7,  93.1,  89.8
Boston Collegiate Charter (District),04490000,      69.3,  80.5,  10.4 to 1,  63.7,  82.4,  76.7
Boston Day and Evening Academy Charter (District),04240000,      26.0,  93.1,  13.7 to 1,  83.1, 100.0,  75.0
Boston Green Academy Horace Mann Charter School (District),04110000,      57.5,  83.8,   8.8 to 1,  59.5,  90.6,  67.2
Boston Preparatory Charter Public (District),04160000,      57.8,  81.8,  11.6 to 1,  36.4,  82.3,  65.6
Boston Renaissance Charter Public (District),04810000,      84.0,  98.8,  11.2 to 1,  61.9,  86.9,  91.8
Bourne,00360000,     139.8,  99.3,  11.8 to 1,  88.3,  95.0,  94.2
Boxford,00380000,      65.1, 100.0,  10.4 to 1,  74.8,  97.5, 100.0
Braintree,00400000,     434.2, 100.0,  12.6 to 1,  87.8,  96.2,  98.2
Brewster,00410000,      47.0, 100.0,   8.9 to 1,  83.0,  90.4, 100.0
Bridge Boston Charter School (District),04170000,      36.4,  78.3,   9.3 to 1,  39.1,  91.1,  61.4
Bridgewater-Raynham,06250000,     331.8, 100.0,  15.9 to 1,  90.8,  98.2,  98.8
Brimfield,00430000,      24.9, 100.0,  10.8 to 1,  92.0,  96.0,  96.3
Bristol County Agricultural,09100000,      35.2, 100.0,  12.7 to 1,  88.6,  88.6,  92.1
Bristol-Plymouth Regional Vocational Technical,08100000,      99.2,  97.0,  13.3 to 1,  89.4,  91.9,  95.1
Brockton,00440000,     986.2,  99.3,  15.6 to 1,  87.7,  95.2,  94.8
Brooke Charter School (District),04280000,     170.4,  58.7,  12.1 to 1,  51.1,  88.7,  36.5
Brookfield,00450000,      22.1, 100.0,  12.0 to 1,  95.5, 100.0,  95.8
Brookline,00460000,     674.6,  98.7,  10.2 to 1,  84.3,  94.8,  96.0
Burlington,00480000,     315.4,  99.5,  10.7 to 1,  90.9,  97.0,  95.3
Cambridge,00490000,     769.3,  97.7,   8.7 to 1,  81.5,  91.0,  93.5
Canton,00500000,     246.2,  99.6,  12.9 to 1,  86.8,  94.3,  98.1
Cape Cod Lighthouse Charter (District),04320000,      23.7,  91.1,  10.6 to 1,  94.5,  74.3,  51.5
Cape Cod Regional Vocational Technical,08150000,      58.6,  94.9,  10.7 to 1,  79.9,  76.6,  84.1
Carlisle,00510000,      57.4, 100.0,  10.1 to 1,  89.5,  96.9,  98.3
Carver,00520000,     128.8,  99.4,  11.5 to 1,  88.5,  94.6,  97.0
Central Berkshire,06350000,     115.0, 100.0,  13.2 to 1,  92.1,  95.6,  97.5
Chelmsford,00560000,     376.9,  99.2,  12.8 to 1,  86.5,  96.6,  95.4
Chelsea,00570000,     417.2,  98.4,  14.2 to 1,  65.2,  89.2,  93.0
Chesterfield-Goshen,06320000,      13.0, 100.0,   7.8 to 1,  92.3,  92.3,  94.4
Chicopee,00610000,     586.6,  99.8,  11.7 to 1,  88.4,  95.1,  98.7
Christa McAuliffe Charter Public (District),04180000,      38.3,  79.1,  10.4 to 1,  62.1,  90.8,  64.3
City on a Hill Charter Public School Circuit Street (District),04370000,      23.0,  61.3,  13.0 to 1,  28.7,  89.6,  56.7
Clarksburg,00630000,      14.4,  94.4,  13.2 to 1,  83.3, 100.0,  88.2
Clinton,00640000,     149.6, 100.0,  12.2 to 1,  83.1,  92.8,  96.8
Codman Academy Charter Public (District),04380000,      45.5,  61.6,   7.7 to 1,  50.6,  82.4,  44.4
Cohasset,00650000,     119.2,  99.2,  12.1 to 1,  88.1,  95.8,  93.0
Collegiate Charter School of Lowell (District),35030000,      47.1,  64.5,  21.6 to 1,  31.9,  83.4,  63.3
Community Charter School of Cambridge (District),04360000,      32.9,  82.2,   9.2 to 1,  45.3,  86.0,  50.0
Community Day Charter Public School - Gateway (District),04260000,      43.0,  76.8,   9.3 to 1,  32.6,  86.1,  51.2
Community Day Charter Public School - Prospect (District),04400000,      43.0,  79.1,   9.3 to 1,  58.1,  83.7,  55.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,      40.5,  83.9,   9.9 to 1,  39.5,  87.7,  63.6
Concord,00670000,     170.8, 100.0,  11.7 to 1,  89.7,  99.1,  98.9
Concord-Carlisle,06400000,     100.4,  99.9,  13.1 to 1,  91.4,  92.0,  93.3
Conservatory Lab Charter (District),04390000,      29.0,  81.0,  15.8 to 1,  55.2,  89.7,  60.0
Conway,00680000,      13.7, 100.0,   9.1 to 1,  92.7, 100.0, 100.0
Danvers,00710000,     252.4,  99.9,  13.1 to 1,  87.1,  96.6,  94.3
Dartmouth,00720000,     269.5,  99.8,  12.7 to 1,  91.1,  96.7,  96.6
Dedham,00730000,     229.6,  99.6,  11.1 to 1,  86.2,  96.1,  97.6
Deerfield,00740000,      37.0,  94.6,   8.4 to 1,  91.9,  94.6,  97.2
Dennis-Yarmouth,06450000,     271.1,  99.6,  10.1 to 1,  89.9,  95.8,  98.3
Dighton-Rehoboth,06500000,     212.8,  98.6,  12.3 to 1,  90.1,  96.7,  95.6
Douglas,00770000,      97.3, 100.0,  11.8 to 1,  82.0,  89.7,  97.2
Dover,00780000,      39.1, 100.0,  12.2 to 1,  89.7,  92.8,  97.9
Dover-Sherborn,06550000,     105.1, 100.0,  11.3 to 1,  89.6,  94.8,  98.2
Dracut,00790000,     232.7, 100.0,  15.7 to 1,  77.8,  93.6,  98.8
Dudley Street Neighborhood Charter School (District),04070000,      10.3,  80.5,  28.7 to 1,  61.0,  90.2,  85.7
Dudley-Charlton Reg,06580000,     270.8, 100.0,  12.7 to 1,  90.3,  95.2,  96.9
Duxbury,00820000,     220.3,  99.5,  12.7 to 1,  84.1,  95.9,  96.1
East Bridgewater,00830000,     152.7, 100.0,  13.6 to 1,  78.1,  95.4,  99.4
East Longmeadow,00870000,     206.0, 100.0,  11.7 to 1,  94.6,  99.0,  99.1
Eastham,00850000,      22.6,  91.2,   8.6 to 1,  78.7, 100.0,  93.1
Easthampton,00860000,     115.7, 100.0,  12.5 to 1,  91.4,  94.0,  99.2
Easton,00880000,     247.3, 100.0,  13.8 to 1,  93.7,  98.0,  98.8
Edgartown,00890000,      43.6,  97.7,   8.8 to 1,  78.1,  95.4,  96.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      36.3,  98.6,  10.6 to 1,  85.7,  91.7,  89.5
Erving,00910000,      17.2, 100.0,   6.6 to 1,  94.2, 100.0, 100.0
Essex North Shore Agricultural and Technical School District,08170000,     131.3,  95.3,  11.9 to 1,  78.0,  81.0,  92.3
Everett,00930000,     561.7,  99.8,  12.3 to 1,  82.9,  89.9,  97.9
Excel Academy Charter (District),04100000,     115.2,  73.0,  12.1 to 1,  42.9,  89.4,  44.3
Fairhaven,00940000,     129.9, 100.0,  14.8 to 1,  92.0,  98.9,  97.0
Fall River,00950000,     769.6,  99.0,  13.0 to 1,  74.4,  86.3,  92.5
Falmouth,00960000,     292.7,  99.3,  10.3 to 1,  85.7,  94.7,  98.7
Farmington River Reg,06620000,      12.8, 100.0,   8.4 to 1,  95.3, 100.0, 100.0
Fitchburg,00970000,     373.2, 100.0,  13.7 to 1,  83.9,  91.6,  96.7
Florida,00980000,      10.8,  90.7,   7.4 to 1,  90.7,  96.3,  91.7
Four Rivers Charter Public (District),04130000,      21.3,  76.3,  10.1 to 1,  75.6,  93.1,  56.3
Foxborough,00990000,     200.2,  99.5,  12.2 to 1,  89.7,  97.9,  95.7
Foxborough Regional Charter (District),04460000,     132.9,  90.0,  12.9 to 1,  64.2,  79.3,  87.1
Framingham,01000000,     733.2,  96.6,  11.9 to 1,  78.4,  94.2,  90.3
Francis W. Parker Charter Essential (District),04780000,      46.0,  62.3,   8.7 to 1,  60.8, 100.0,  64.7
Franklin,01010000,     388.7, 100.0,  12.4 to 1,  87.9,  96.9,  97.9
Franklin County Regional Vocational Technical,08180000,      53.6,  90.7,  10.4 to 1,  82.1,  87.7,  83.3
Freetown-Lakeville,06650000,     198.8, 100.0,  13.6 to 1,  85.8,  94.5,  99.0
Frontier,06700000,      52.6,  99.2,  12.3 to 1,  91.1,  96.2,  89.8
Gardner,01030000,     177.6,  99.7,  12.4 to 1,  82.6,  89.3,  96.2
Gateway,06720000,      75.2,  97.2,  10.0 to 1,  93.2,  97.3,  86.9
Georgetown,01050000,     102.4, 100.0,  11.9 to 1,  89.0,  95.2,  98.1
Gill-Montague,06740000,      80.1, 100.0,  10.6 to 1,  89.7,  94.0,  95.7
Global Learning Charter Public (District),04960000,      44.4,  97.7,  11.3 to 1,  79.6,  86.5,  95.8
Gloucester,01070000,     267.4,  98.1,  10.3 to 1,  80.9,  93.3,  96.7
Gosnold,01090000,       0.7, 100.0,   5.9 to 1, 100.0, 100.0,   0.0
Grafton,01100000,     251.9,  99.6,  12.4 to 1,  84.4,  94.6,  97.2
Granby,01110000,      62.7,  98.4,  11.4 to 1,  91.2,  98.4,  91.0
Greater Fall River Regional Vocational Technical,08210000,     125.2,  98.4,  11.6 to 1,  90.0,  88.0,  92.5
Greater Lawrence Regional Vocational Technical,08230000,     117.5,  96.0,  13.9 to 1,  84.5,  82.3,  88.8
Greater Lowell Regional Vocational Technical,08280000,     193.1,  99.2,  11.9 to 1,  88.3,  86.8,  97.4
Greater New Bedford Regional Vocational Technical,08250000,     170.7,  99.4,  12.4 to 1,  94.7,  94.9,  94.3
Greenfield,01140000,     140.6,  97.2,  11.0 to 1,  77.6,  93.3,  91.5
Greenfield Commonwealth Virtual District,39010000,      58.8, 100.0,  16.0 to 1,  79.5,  89.8,  92.4
Groton-Dunstable,06730000,     191.1, 100.0,  11.8 to 1,  86.0,  96.2,  96.5
Hadley,01170000,      44.0, 100.0,  11.5 to 1,  84.0,  93.2,  95.7
Halifax,01180000,      36.0, 100.0,  15.8 to 1,  91.7, 100.0,  97.4
Hamilton-Wenham,06750000,     135.8, 100.0,  12.4 to 1,  93.4,  98.1,  97.4
Hampden Charter School of Science East (District),04990000,      45.5,  73.6,  11.9 to 1,  69.2,  70.3,  71.4
Hampden Charter School of Science West (District),35160000,      32.0,  78.1,  10.0 to 1,  40.6,  56.2,  73.0
Hampden-Wilbraham,06800000,     221.7,  99.7,  12.9 to 1,  86.7,  97.8,  98.7
Hampshire,06830000,      72.6, 100.0,   9.4 to 1,  89.3,  97.2,  98.6
Hancock,01210000,       7.4,  94.6,   7.7 to 1,  83.8,  86.5,  66.7
Hanover,01220000,     198.7,  99.5,  13.2 to 1,  88.4,  96.5,  96.3
Harvard,01250000,      92.0,  98.9,  10.9 to 1,  91.3,  96.7,  95.7
Hatfield,01270000,      40.3, 100.0,   9.9 to 1,  94.8,  92.6,  97.7
Haverhill,01280000,     594.2,  99.5,  13.1 to 1,  81.4,  93.2,  97.4
Hawlemont,06850000,      10.3, 100.0,  11.5 to 1,  80.6,  81.6,  81.8
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      19.0,  31.6,  10.2 to 1,  15.8,  89.5,  55.6
Hill View Montessori Charter Public (District),04550000,      24.0,  79.2,  12.6 to 1,  66.7,  87.5,  66.7
Hilltown Cooperative Charter Public (District),04500000,      20.0,  90.5,  10.9 to 1,  77.4, 100.0,  68.2
Hingham,01310000,     299.3,  99.0,  13.0 to 1,  91.3,  98.3,  96.5
Holbrook,01330000,      96.7, 100.0,  13.1 to 1,  81.9,  93.4,  98.1
Holland,01350000,      17.9,  97.8,  10.8 to 1,  86.6,  94.4,  94.7
Holliston,01360000,     208.6,  99.2,  13.2 to 1,  88.8,  95.4,  96.8
Holyoke,01370000,     407.3,  93.9,  12.7 to 1,  57.6,  88.6,  87.9
Holyoke Community Charter (District),04530000,      42.5,  81.2,  16.5 to 1,  67.1,  90.6,  67.4
Hoosac Valley Regional,06030000,      91.4,  96.7,  11.3 to 1,  85.8,  93.4,  89.4
Hopedale,01380000,      92.6,  98.9,  11.9 to 1,  78.8,  94.2,  96.9
Hopkinton,01390000,     278.6,  99.6,  14.1 to 1,  87.7,  95.7,  95.8
Hudson,01410000,     233.0,  97.9,  10.4 to 1,  87.6,  96.7,  96.7
Hull,01420000,      79.5, 100.0,  10.1 to 1,  88.4,  93.7,  96.3
Innovation Academy Charter (District),04350000,      65.3,  90.8,  12.1 to 1,  74.7,  83.4,  82.7
Ipswich,01440000,     154.1,  99.5,  10.3 to 1,  89.8,  96.2,  95.1
KIPP Academy Boston Charter School (District),04630000,      44.7,  69.6,  13.7 to 1,  37.0,  79.9,  33.3
KIPP Academy Lynn Charter (District),04290000,     107.0,  64.8,  15.1 to 1,  40.4,  85.1,  40.3
King Philip,06900000,     132.9, 100.0,  14.6 to 1,  82.7,  95.3,  97.1
Kingston,01450000,      64.0, 100.0,  16.2 to 1,  92.2, 100.0, 100.0
Lawrence,01490000,"   1,123.3",  96.3,  11.4 to 1,  70.4,  86.2,  92.1
Lawrence Family Development Charter (District),04540000,      62.0,  96.8,  12.7 to 1,  59.7,  93.5,  90.9
Learning First Charter Public School (District),04860000,      39.0,  92.3,  17.1 to 1,  56.4,  76.9,  86.8
Lee,01500000,      73.5, 100.0,   9.3 to 1,  91.6,  93.2,  92.1
Leicester,01510000,     100.9, 100.0,  13.6 to 1,  94.3,  98.0,  95.6
Lenox,01520000,      78.4, 100.0,   9.6 to 1,  96.0,  98.5,  90.7
Leominster,01530000,     378.3,  99.7,  15.5 to 1,  93.1,  96.1,  93.6
Leverett,01540000,      14.9, 100.0,   7.8 to 1,  86.9,  93.3, 100.0
Lexington,01550000,     621.4,  99.7,  11.1 to 1,  85.3,  96.6,  96.0
Libertas Academy Charter School (District),35140000,      28.0,  71.4,   9.3 to 1,  10.7, 100.0,  73.3
Lincoln,01570000,     126.2,  98.8,   8.3 to 1,  86.6,  98.1,  94.0
Lincoln-Sudbury,06950000,     125.8,  99.4,  12.1 to 1,  93.3,  94.0,  97.2
Littleton,01580000,     117.3,  99.1,  13.2 to 1,  79.5,  93.2,  96.1
Longmeadow,01590000,     246.9,  99.2,  11.1 to 1,  87.0,  98.6,  94.9
Lowell,01600000,"   1,092.0",  98.1,  12.8 to 1,  87.4,  91.5,  92.4
Lowell Community Charter Public (District),04560000,      64.7, 100.0,  12.4 to 1,  68.7,  87.6,  98.5
Lowell Middlesex Academy Charter (District),04580000,       7.0, 100.0,  12.6 to 1,  85.7,  57.1,  42.9
Ludlow,01610000,     219.9,  99.1,  10.8 to 1,  92.2,  97.3,  95.7
Lunenburg,01620000,     108.7, 100.0,  14.7 to 1,  91.0,  99.1,  92.6
Lynn,01630000,"   1,152.1",  99.0,  13.5 to 1,  81.2,  90.5,  97.1
Lynnfield,01640000,     158.6, 100.0,  13.7 to 1,  87.1,  98.1,  98.3
MATCH Charter Public School (District),04690000,     113.5,  78.1,  10.7 to 1,  38.4,  88.8,  54.6
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.3 to 1,  83.3,  83.3, 100.0
Malden,01650000,     473.5,  99.8,  12.9 to 1,  83.3,  93.2,  98.0
Manchester Essex Regional,06980000,     129.6,  98.5,   9.8 to 1,  86.4,  94.7,  99.2
Mansfield,01670000,     296.0, 100.0,  11.8 to 1,  89.8,  98.1,  99.7
Map Academy Charter School (District),35170000,      19.0,  97.4,  10.9 to 1,  31.5,  65.8,  83.3
Marblehead,01680000,     256.7,  99.6,  10.5 to 1,  89.9,  95.7,  97.4
Marblehead Community Charter Public (District),04640000,      21.3,  85.9,   9.8 to 1,  72.9,  82.4,  77.3
Marion,01690000,      32.7, 100.0,  12.1 to 1,  90.8, 100.0, 100.0
Marlborough,01700000,     396.1, 100.0,  11.8 to 1,  86.4,  97.2,  97.5
Marshfield,01710000,     333.4, 100.0,  11.3 to 1,  86.2,  95.1,  97.5
Martha's Vineyard,07000000,      74.6, 100.0,   9.2 to 1,  88.5,  86.2,  94.9
Martha's Vineyard Charter (District),04660000,      18.5,  78.4,   9.5 to 1,  78.4,  82.9,  80.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,      40.5,  88.9,   9.0 to 1,  49.4,  82.7,  73.8
Masconomet,07050000,     128.6, 100.0,  13.1 to 1,  95.6,  95.0,  97.8
Mashpee,01720000,     143.3, 100.0,  10.2 to 1,  87.4,  93.0,  94.0
Mattapoisett,01730000,      37.8, 100.0,  10.7 to 1,  92.1,  96.6, 100.0
Maynard,01740000,     106.9,  95.3,  11.0 to 1,  90.7,  96.3,  86.5
Medfield,01750000,     200.6,  98.5,  12.5 to 1,  89.1,  95.8,  94.1
Medford,01760000,     383.8,  99.1,  10.3 to 1,  86.3,  94.7,  94.9
Medway,01770000,     169.3, 100.0,  12.3 to 1,  83.0,  94.7,  96.7
Melrose,01780000,     279.1, 100.0,  13.3 to 1,  82.5,  95.0,  97.6
Mendon-Upton,07100000,     156.5,  98.1,  13.8 to 1,  88.1,  98.2,  91.0
Methuen,01810000,     490.0,  98.8,  13.2 to 1,  83.6,  93.4,  95.9
Middleborough,01820000,     227.4, 100.0,  12.8 to 1,  88.6,  97.4,  97.8
Middleton,01840000,      67.8,  99.9,  10.0 to 1,  80.7,  98.5,  97.2
Milford,01850000,     338.1,  99.4,  12.5 to 1,  87.3,  96.5,  98.0
Millbury,01860000,     134.4, 100.0,  11.8 to 1,  87.4,  93.3,  97.8
Millis,01870000,      97.9,  99.2,  11.8 to 1,  92.8,  98.2,  93.3
Milton,01890000,     317.5,  99.4,  13.7 to 1,  86.5,  93.5,  95.8
Minuteman Regional Vocational Technical,08300000,      76.5,  96.1,   8.3 to 1,  90.2,  90.8,  93.8
Mohawk Trail,07170000,      69.4,  98.6,  10.7 to 1,  83.1,  98.0,  88.5
Monomoy Regional School District,07120000,     167.5,  98.7,  10.5 to 1,  86.0,  92.2,  95.1
Monson,01910000,      79.7,  98.7,  10.8 to 1,  81.7,  90.0,  94.4
Montachusett Regional Vocational Technical,08320000,     105.0, 100.0,  13.5 to 1,  91.4,  89.5,  92.8
Mount Greylock,07150000,     111.6, 100.0,   9.8 to 1,  82.1,  90.3,  96.6
Mystic Valley Regional Charter (District),04700000,     103.7,  52.8,  15.7 to 1,  30.8,  84.6,  33.3
Nahant,01960000,      11.4,  98.3,  12.9 to 1,  52.8,  87.8,  80.0
Nantucket,01970000,     154.3,  98.6,  10.8 to 1,  76.3,  90.7,  96.3
Narragansett,07200000,      98.9,  99.0,  13.4 to 1,  84.8,  89.9,  94.2
Nashoba,07250000,     265.4,  99.2,  11.6 to 1,  86.7,  96.4,  96.0
Nashoba Valley Regional Vocational Technical,08520000,      64.2,  98.4,  11.3 to 1,  85.6,  76.7,  94.0
Natick,01980000,     436.8,  98.8,  12.0 to 1,  85.6,  95.1,  94.2
Nauset,06600000,     132.8,  99.6,  10.7 to 1,  91.7,  96.8,  95.7
Needham,01990000,     421.4, 100.0,  13.0 to 1,  88.3,  97.3,  97.9
Neighborhood House Charter (District),04440000,      74.4,  56.5,  10.9 to 1,  27.4,  87.9,  49.4
New Bedford,02010000,     991.2,  97.8,  12.7 to 1,  74.8,  90.1,  95.9
New Heights Charter School of Brockton (District),35130000,      51.2,  91.2,  14.5 to 1,  36.0,  72.7,  92.6
New Salem-Wendell,07280000,      12.5, 100.0,  10.3 to 1,  80.8,  92.0, 100.0
Newburyport,02040000,     190.7,  99.3,  11.1 to 1,  87.9,  96.0,  95.6
Newton,02070000,"   1,091.0",  98.5,  11.0 to 1,  87.0,  96.7,  97.2
Norfolk,02080000,      80.2, 100.0,  12.3 to 1,  88.9,  98.8,  98.8
Norfolk County Agricultural,09150000,      56.1,  96.4,  10.5 to 1,  87.3,  93.4,  94.8
North Adams,02090000,     121.5, 100.0,  10.1 to 1,  78.7,  92.6,  92.2
North Andover,02110000,     322.6,  98.9,  14.0 to 1,  85.9,  96.5,  93.9
North Attleborough,02120000,     291.7, 100.0,  13.5 to 1,  82.6,  93.5,  97.0
North Brookfield,02150000,      41.2, 100.0,  12.2 to 1,  79.4,  97.6,  97.9
North Middlesex,07350000,     242.6,  99.8,  11.9 to 1,  88.2,  98.8,  99.2
North Reading,02170000,     211.1, 100.0,  10.9 to 1,  89.2,  96.8,  98.6
Northampton,02100000,     234.3,  99.4,  11.0 to 1,  88.7,  94.9,  98.0
Northampton-Smith Vocational Agricultural,04060000,      57.0,  94.7,   9.3 to 1,  77.2,  78.9,  98.3
Northboro-Southboro,07300000,     113.3, 100.0,  12.0 to 1,  91.3,  98.1,  96.6
Northborough,02130000,     138.0,  99.3,  11.1 to 1,  89.5,  98.3,  94.8
Northbridge,02140000,     163.4, 100.0,  11.8 to 1,  89.0,  93.9,  99.4
Northeast Metropolitan Regional Vocational Technical,08530000,     116.3,  88.0,  11.0 to 1,  81.2,  87.8,  91.0
Northern Berkshire Regional Vocational Technical,08510000,      42.5,  92.9,  11.9 to 1,  92.9,  90.6,  93.0
Norton,02180000,     184.8, 100.0,  12.8 to 1,  85.7,  96.2,  98.0
Norwell,02190000,     160.8, 100.0,  13.6 to 1,  92.5,  96.3, 100.0
Norwood,02200000,     299.6,  99.3,  11.3 to 1,  87.0,  95.8,  98.4
Oak Bluffs,02210000,      46.9, 100.0,   8.8 to 1,  88.3,  94.5,  96.6
Old Colony Regional Vocational Technical,08550000,      60.0,  98.3,   9.4 to 1,  83.3,  76.7,  96.7
Old Rochester,07400000,      90.6, 100.0,  12.5 to 1,  91.2,  98.9,  93.9
Old Sturbridge Academy Charter Public School (District),35150000,      20.0,  90.0,  14.0 to 1,  60.0,  90.0,  85.0
Orange,02230000,      39.8,  97.5,  11.7 to 1,  77.8,  90.0,  97.7
Orleans,02240000,      20.0, 100.0,   8.7 to 1,  85.0,  95.0,  92.9
Oxford,02260000,     116.3,  98.4,  12.5 to 1,  88.0,  94.8,  95.2
Palmer,02270000,     111.0,  99.1,  10.7 to 1,  89.9,  94.0,  95.9
Pathfinder Regional Vocational Technical,08600000,      68.5,  98.5,   8.9 to 1,  82.5,  81.0,  98.6
Paulo Freire Social Justice Charter School (District),35010000,      21.2,  84.9,  12.4 to 1,  71.7,  62.3,  73.9
Peabody,02290000,     428.2,  99.1,  13.5 to 1,  88.6,  95.6,  94.6
Pelham,02300000,      12.2, 100.0,   8.8 to 1,  78.7,  90.2, 100.0
Pembroke,02310000,     186.0,  98.9,  14.0 to 1,  91.1,  96.2,  96.0
Pentucket,07450000,     181.2,  99.4,  12.3 to 1,  88.6,  98.3,  98.4
Petersham,02340000,      13.0,  84.6,   9.5 to 1,  76.9, 100.0,  75.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,      10.0, 100.0,  15.9 to 1,  50.0,  70.0,  50.0
Phoenix Academy Public Charter High School Springfield (District),35080000,       7.6,  86.8,  27.4 to 1,  23.7,  88.2,  44.4
Phoenix Charter Academy (District),04930000,      13.7,  96.3,  16.1 to 1,  43.8,  92.7,  56.3
Pioneer Charter School of Science (District),04940000,      72.4,  77.9,  11.0 to 1,  33.3,  76.1,  69.2
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      35.9,  77.4,  10.3 to 1,  58.5,  69.1,  64.1
Pioneer Valley,07500000,      60.6, 100.0,  10.4 to 1,  85.0,  95.0,  95.4
Pioneer Valley Chinese Immersion Charter (District),04970000,      70.6,  79.7,   7.9 to 1,  55.8,  88.4,  72.0
Pioneer Valley Performing Arts Charter Public (District),04790000,      41.3,  68.5,   9.5 to 1,  57.9,  80.6,  62.0
Pittsfield,02360000,     486.1,  96.5,  10.3 to 1,  72.4,  89.7,  92.5
Plainville,02380000,      44.2, 100.0,  14.1 to 1,  91.0, 100.0,  98.0
