2020-21 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),04450000,     115.1,  94.8,  12.4 to 1,  72.4,  87.8,  87.4
Abington,00010000,     132.4,  99.7,  16.0 to 1,  84.7,  96.2,  94.2
Academy Of the Pacific Rim Charter Public (District),04120000,      55.0,  57.3,   9.8 to 1,  40.9,  89.1,  58.9
Acton-Boxborough,06000000,     405.3, 100.0,  12.8 to 1,  84.2,  95.4,  98.3
Acushnet,00030000,      68.2, 100.0,  13.3 to 1,  90.1,  95.2,  95.8
Advanced Math and Science Academy Charter (District),04300000,      79.4,  92.2,  12.2 to 1,  84.8,  77.1,  78.8
Agawam,00050000,     305.9, 100.0,  11.5 to 1,  93.3,  97.0,  96.3
Alma del Mar Charter School (District),04090000,      63.0,  77.8,  12.7 to 1,  30.2,  87.3,  41.3
Amesbury,00070000,     159.3,  99.4,  11.6 to 1,  87.4,  95.0,  98.8
Amherst,00080000,     115.8, 100.0,   8.9 to 1,  90.5,  96.5,  99.2
Amherst-Pelham,06050000,     115.5,  99.3,  11.1 to 1,  90.8,  96.5,  93.1
Andover,00090000,     483.5,  99.8,  11.5 to 1,  91.9,  98.3,  97.3
Argosy Collegiate Charter School (District),35090000,      40.2,  58.8,  14.2 to 1,  26.2,  86.1,  56.9
Arlington,00100000,     465.8,  99.4,  12.4 to 1,  78.9,  94.1,  97.2
Ashburnham-Westminster,06100000,     161.1, 100.0,  13.6 to 1,  85.7,  94.6,  97.0
Ashland,00140000,     207.2, 100.0,  13.2 to 1,  85.2,  98.2,  96.7
Assabet Valley Regional Vocational Technical,08010000,     103.0,  97.1,  11.2 to 1,  93.2,  95.1,  93.2
Athol-Royalston,06150000,     115.5, 100.0,  12.3 to 1,  71.4,  90.5,  96.6
Atlantis Charter (District),04910000,      98.8,  79.3,  13.1 to 1,  62.2,  86.0,  74.5
Attleboro,00160000,     388.6,  99.7,  14.8 to 1,  84.0,  95.1,  97.3
Auburn,00170000,     179.0, 100.0,  14.1 to 1,  92.2,  96.8,  93.9
Avon,00180000,      64.2, 100.0,  10.6 to 1,  87.5,  95.3,  98.5
Ayer Shirley School District,06160000,     139.2,  99.2,  11.5 to 1,  81.7,  96.0,  97.2
Barnstable,00200000,     408.5,  98.8,  11.5 to 1,  83.1,  93.9,  95.4
Baystate Academy Charter Public School (District),35020000,      54.6,  61.3,   8.6 to 1,  40.8,  79.9,  38.3
Bedford,00230000,     236.6,  98.7,  11.1 to 1,  88.2,  96.9,  98.1
Belchertown,00240000,     167.4,  99.4,  12.8 to 1,  94.9,  99.3,  94.4
Bellingham,00250000,     164.2, 100.0,  12.1 to 1,  85.6,  97.3,  98.2
Belmont,00260000,     279.4, 100.0,  15.8 to 1,  90.6,  97.9,  99.3
Benjamin Banneker Charter Public (District),04200000,      21.5,  88.4,  16.0 to 1,  60.5,  86.0,  85.7
Benjamin Franklin Classical Charter Public (District),04470000,      59.0,  84.7,  13.2 to 1,  56.8,  92.4,  81.0
Berkley,00270000,      64.7, 100.0,  13.3 to 1,  83.0,  92.3,  97.0
Berkshire Arts and Technology Charter Public (District),04140000,      37.6,  56.6,   9.9 to 1,  75.7,  83.0,  36.4
Berkshire Hills,06180000,     111.0, 100.0,  10.5 to 1,  86.5,  92.0,  96.5
Berlin-Boylston,06200000,      90.7,  98.9,  11.5 to 1,  85.9,  93.9,  96.0
Beverly,00300000,     338.7,  99.8,  13.7 to 1,  86.7,  95.3,  95.8
Billerica,00310000,     366.4, 100.0,  12.5 to 1,  88.7,  93.2,  94.9
Blackstone Valley Regional Vocational Technical,08050000,     102.3,  99.0,  12.0 to 1,  86.3,  84.4,  95.2
Blackstone-Millville,06220000,     108.3,  99.1,  14.5 to 1,  77.6,  92.8,  95.8
Blue Hills Regional Vocational Technical,08060000,      78.6,  98.7,  11.3 to 1,  93.6,  89.8, 100.0
