2011-12 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     111.9,  87.9,     582,  98.5,  12.7 to 1
Abington,00010000,     123.7, 100.0,     726, 100.0,  16.4 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      36.8,  68.8,     124,  92.7,  13.6 to 1
Acton,00020000,     139.0, 100.0,     674, 100.0,  18.1 to 1
Acton-Boxborough,06000000,     181.7, 100.0,     813, 100.0,  16.0 to 1
Acushnet,00030000,      72.5, 100.0,     377, 100.0,  13.9 to 1
Adams-Cheshire,06030000,     101.7,  99.0,     677,  99.4,  14.3 to 1
Advanced Math and Science Academy Charter (District),04300000,      80.4,  77.6,     400, 100.0,  12.0 to 1
Agawam,00050000,     306.5, 100.0,"   1,672", 100.0,  13.7 to 1
Alma del Mar Charter School (District),04090000,      13.9,  49.9,      36, 100.0,   8.6 to 1
Amesbury,00070000,     152.5,  99.3,     742,  99.2,  15.2 to 1
Amesbury Academy Charter Public (District),04150000,       5.5,  77.5,      15,  93.3,   9.0 to 1
Amherst,00080000,     113.4, 100.0,     522,  98.3,  10.7 to 1
Amherst-Pelham,06050000,     125.9,  98.4,     997,  95.2,  12.3 to 1
Andover,00090000,     439.2,  99.5,"   1,944",  98.6,  14.1 to 1
Arlington,00100000,     329.0,  99.0,"   1,570",  99.0,  14.8 to 1
Ashburnham-Westminster,06100000,     141.6,  98.6,     845,  97.2,  16.1 to 1
Ashland,00140000,     169.4,  99.1,     801,  99.4,  15.2 to 1
Assabet Valley Regional Vocational Technical,08010000,      98.5,  98.0,     354, 100.0,  10.3 to 1
Athol-Royalston,06150000,     118.6, 100.0,     617, 100.0,  12.9 to 1
Atlantis Charter (District),04910000,      54.1,  87.1,     289, 100.0,  13.5 to 1
Attleboro,00160000,     371.2,  99.7,"   1,752",  96.1,  16.0 to 1
Auburn,00170000,     165.7, 100.0,"   1,093", 100.0,  14.2 to 1
Avon,00180000,      61.5, 100.0,     314, 100.0,  12.3 to 1
Ayer Shirley School District,06160000,     136.6,  97.9,     599,  99.5,  12.1 to 1
Barnstable,00200000,     313.5,  98.9,"   1,374",  99.3,  13.2 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      23.0, 100.0,     111, 100.0,  13.8 to 1
Barnstable Horace Mann Charter (District),04230000,      57.2,  98.3,     295, 100.0,  14.1 to 1
Bedford,00230000,     200.1,  99.0,     978,  99.7,  12.2 to 1
Belchertown,00240000,     177.0, 100.0,     923, 100.0,  14.2 to 1
Bellingham,00250000,     168.6, 100.0,     865,  99.8,  14.7 to 1
Belmont,00260000,     232.0, 100.0,"   1,240",  99.9,  17.1 to 1
Benjamin Banneker Charter Public (District),04200000,      23.5,  95.7,     127,  92.1,  15.0 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      36.8,  77.8,     208, 100.0,  12.2 to 1
Berkley,00270000,      63.2, 100.0,     305, 100.0,  13.9 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      24.9,  65.6,      95,  91.6,  11.1 to 1
Berkshire Hills,06180000,     115.7,  98.3,     546,  98.9,  11.6 to 1
Berlin,00280000,      20.5, 100.0,      98, 100.0,  10.4 to 1
Berlin-Boylston,06200000,      35.0,  97.1,     173,  89.0,  11.9 to 1
Beverly,00300000,     280.6,  98.4,"   1,367",  99.6,  15.3 to 1
