2011-12 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Billerica,00310000,     379.6,  98.4,"   1,735",  94.9,  15.1 to 1
Blackstone Valley Regional Vocational Technical,08050000,      89.6,  98.3,     311,  91.3,  12.8 to 1
Blackstone-Millville,06220000,     136.3,  97.8,     578,  95.2,  14.3 to 1
Blue Hills Regional Vocational Technical,08060000,      78.0,  96.2,     197, 100.0,  10.7 to 1
Boston,00350000,"   4,261.4",  95.9,"  18,421",  92.0,  12.9 to 1
Boston Collegiate Charter (District),04490000,      52.6,  49.5,     211, 100.0,  10.9 to 1
Boston Day and Evening Academy Charter (District),04240000,      25.6,  98.0,     226, 100.0,  13.6 to 1
Boston Green Academy Horace Mann Charter School (District),04110000,      25.3,  92.9,     100,  98.0,  13.2 to 1
Boston Preparatory Charter Public (District),04160000,      35.0,  60.0,      86,  80.2,  10.3 to 1
Boston Renaissance Charter Public (District),04810000,      76.9,  81.8,     349,  90.8,  13.4 to 1
Bourne,00360000,     150.9,  99.3,     769,  97.7,  14.4 to 1
Boxborough,00370000,      36.0, 100.0,     140, 100.0,  13.2 to 1
Boxford,00380000,      63.4, 100.0,     316,  96.8,  13.0 to 1
Boylston,00390000,      27.3, 100.0,     144, 100.0,  14.1 to 1
Braintree,00400000,     381.8,  99.6,"   2,034",  99.8,  14.3 to 1
Brewster,00410000,      40.1, 100.0,     129, 100.0,  12.4 to 1
Bridge Boston Charter School (District),04170000,       5.2,  51.5,      23,  56.5,  13.8 to 1
Bridgewater-Raynham,06250000,     311.2,  99.8,"   1,464",  99.0,  17.9 to 1
Brimfield,00430000,      32.2, 100.0,     143, 100.0,  10.2 to 1
Bristol County Agricultural,09100000,      34.0,  91.2,      93, 100.0,  13.1 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      89.3, 100.0,     594, 100.0,  13.8 to 1
Brockton,00440000,"   1,088.5",  97.8,"   4,962",  93.9,  14.8 to 1
Brookfield,00450000,      25.0, 100.0,     109, 100.0,  13.1 to 1
Brookline,00460000,     499.9,  99.7,"   2,787", 100.0,  13.8 to 1
Burlington,00480000,     282.5,  99.6,"   1,241",  98.7,  12.8 to 1
Cambridge,00490000,     580.7,  96.7,"   2,611",  97.0,  10.4 to 1
Canton,00500000,     229.5,  98.3,"   1,169",  98.3,  14.2 to 1
Cape Cod Lighthouse Charter (District),04320000,      18.1,  79.8,      41,  85.4,  12.6 to 1
Cape Cod Regional Vocational Technical,08150000,      66.2,  95.2,     186,  95.2,  10.1 to 1
Carlisle,00510000,      55.4, 100.0,     232, 100.0,  11.8 to 1
Carver,00520000,     123.7,  99.2,     672,  99.7,  14.2 to 1
Central Berkshire,06350000,     143.3,  99.3,     724,  99.2,  12.9 to 1
Chatham,00550000,      65.3,  95.4,     306,  96.7,   9.7 to 1
Chelmsford,00560000,     344.5,  99.7,"   1,990",  99.8,  15.1 to 1
Chelsea,00570000,     404.3,  99.8,"   1,607",  99.7,  14.1 to 1
Chesterfield-Goshen,06320000,      15.3, 100.0,      74,  93.2,  11.0 to 1
Chicopee,00610000,     613.0,  97.8,"   2,544",  95.7,  12.8 to 1
Christa McAuliffe Regional Charter Public (District),04180000,      26.5,  75.2,      90,  90.0,  10.2 to 1
City On A Hill Charter Public (District),04370000,      21.9,  72.6,     114,  90.4,  13.3 to 1
Clarksburg,00630000,      14.2, 100.0,      68,  86.8,  12.7 to 1
Clinton,00640000,     124.1, 100.0,     599,  99.3,  15.5 to 1
Codman Academy Charter Public (District),04380000,      15.3,  77.7,      33,  81.8,   9.8 to 1
Cohasset,00650000,     112.2, 100.0,     566,  98.6,  13.6 to 1
Community Charter School of Cambridge (District),04360000,      31.2,  73.8,     242, 100.0,  10.6 to 1
Community Day Charter Public (District),04400000,      38.1,  67.5,      90, 100.0,   8.7 to 1
Concord,00670000,     155.3, 100.0,     790, 100.0,  12.8 to 1
Concord-Carlisle,06400000,      86.4, 100.0,     392,  99.7,  14.0 to 1
Conservatory Lab Charter (District),04390000,       9.0,  77.8,      45,  88.9,  19.0 to 1
Conway,00680000,      11.5, 100.0,      63, 100.0,  15.7 to 1
Danvers,00710000,     258.6,  97.9,"   1,315",  98.7,  14.0 to 1
Dartmouth,00720000,     278.7,  99.6,"   1,346",  99.0,  13.9 to 1
Dedham,00730000,     232.2,  99.7,"   1,144", 100.0,  12.3 to 1
Deerfield,00740000,      37.0, 100.0,     191,  97.4,  12.6 to 1
Dennis-Yarmouth,06450000,     279.7,  99.6,"   1,377",  99.8,  11.1 to 1
Dighton-Rehoboth,06500000,     225.0,  99.6,"   1,063",  99.8,  14.0 to 1
Dorchester Collegiate Academy Charter (District),04750000,       9.8,  69.2,      24, 100.0,  11.3 to 1
Douglas,00770000,     108.0,  99.1,     498,  97.0,  15.8 to 1
Dover,00780000,      41.7, 100.0,     199, 100.0,  12.3 to 1
Dover-Sherborn,06550000,      97.7,  99.8,     523,  98.3,  12.2 to 1
Dracut,00790000,     232.2,  99.6,"   1,346",  98.7,  17.0 to 1
Dudley-Charlton Reg,06580000,     279.3,  99.6,"   1,374",  99.6,  14.8 to 1
Duxbury,00820000,     228.8,  98.7,"   1,103",  98.5,  14.0 to 1
East Bridgewater,00830000,     125.7,  99.2,     648, 100.0,  18.2 to 1
East Longmeadow,00870000,     191.8,  99.5,     859, 100.0,  14.6 to 1
Eastham,00850000,      19.2, 100.0,      81, 100.0,  10.8 to 1
Easthampton,00860000,     124.1,  98.8,     571,  97.7,  12.8 to 1
Easton,00880000,     253.4,  99.2,"   1,236",  99.1,  15.3 to 1
Edgartown,00890000,      38.0,  96.1,     149,  71.8,   8.8 to 1
Edward Brooke Charter (District),04280000,      36.0,  47.2,     212,  76.9,  13.1 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      19.7,  93.4,      65, 100.0,  11.4 to 1
Edward W. Brooke Charter School 2 (District),04430000,      16.0,  56.3,      70,  78.6,  10.4 to 1
Erving,00910000,      15.5, 100.0,      76, 100.0,  10.1 to 1
Essex Agricultural Technical,09130000,      47.6, 100.0,     134,  97.8,  10.1 to 1
Everett,00930000,     464.1,  98.4,"   1,905",  97.4,  13.7 to 1
Excel Academy Charter (District),04100000,      19.0,  39.0,      40, 100.0,  11.1 to 1
Excel Academy Charter School - Chelsea (District),04610000,       5.8,  34.5,      10,  80.0,   9.7 to 1
Fairhaven,00940000,     149.1,  98.0,     734,  99.3,  13.2 to 1
Fall River,00950000,     720.3,  95.3,"   3,346",  94.1,  13.7 to 1
Falmouth,00960000,     286.5,  99.3,"   1,468", 100.0,  12.3 to 1
Farmington River Reg,06620000,      12.5, 100.0,      55,  87.3,  12.4 to 1
Fitchburg,00970000,     338.8,  98.8,"   1,701",  99.6,  14.7 to 1
Florida,00980000,      11.4, 100.0,      62,  87.1,   9.1 to 1
Four Rivers Charter Public (District),04130000,      21.7,  70.4,     165,  95.2,   9.6 to 1
Foxborough,00990000,     207.2, 100.0,"   1,121", 100.0,  13.4 to 1
Foxborough Regional Charter (District),04460000,      84.8,  78.5,     337,  95.5,  14.2 to 1
Framingham,01000000,     633.7, 100.0,"   3,446", 100.0,  12.9 to 1
Francis W. Parker Charter Essential (District),04780000,      45.5,  75.0,     348, 100.0,   8.7 to 1
Franklin,01010000,     388.0,  99.5,"   1,671",  99.1,  15.4 to 1
Franklin County Regional Vocational Technical,08180000,      56.6,  98.2,     191, 100.0,   9.0 to 1
Freetown-Lakeville,06650000,     190.5, 100.0,     903,  99.1,  16.3 to 1
Frontier,06700000,      64.1, 100.0,     358,  99.2,  10.2 to 1
Gardner,01030000,     175.0, 100.0,     872, 100.0,  14.4 to 1
Gateway,06720000,      86.3, 100.0,     382, 100.0,  12.6 to 1
Georgetown,01050000,     111.3,  98.2,     525,  99.8,  14.5 to 1
Gill-Montague,06740000,      93.7,  98.9,     425,  98.1,  10.9 to 1
Global Learning Charter Public (District),04960000,      38.6,  88.6,     154,  97.4,  12.1 to 1
Gloucester,01070000,     249.1,  98.7,     985,  99.4,  12.4 to 1
Gloucester Community Arts Charter (District),04480000,      14.2,  71.2,      73, 100.0,   9.6 to 1
Gosnold,01090000,       1.0, 100.0,       3, 100.0,   2.0 to 1
Grafton,01100000,     204.3,  99.2,"   1,074",  98.6,  14.2 to 1
Granby,01110000,      82.1,  94.0,     413,  97.8,  13.3 to 1
Granville,01120000,      12.9, 100.0,      61, 100.0,  11.3 to 1
Greater Fall River Regional Vocational Technical,08210000,     126.5, 100.0,     409,  98.8,  10.7 to 1
Greater Lawrence Regional Vocational Technical,08230000,     124.3,  96.2,     351, 100.0,  10.3 to 1
Greater Lowell Regional Vocational Technical,08280000,     178.0,  98.9,     517,  99.6,  11.9 to 1
Greater New Bedford Regional Vocational Technical,08250000,     197.4,  95.9,     501,  99.0,  10.8 to 1
Greenfield,01140000,     141.5, 100.0,     687,  99.9,  14.9 to 1
Groton-Dunstable,06730000,     171.4, 100.0,     940, 100.0,  15.6 to 1
Grove Hall Preparatory Charter School (District),04620000,       8.0,  49.9,      18, 100.0,   9.0 to 1
Hadley,01170000,      46.7,  99.5,     332,  99.7,  15.0 to 1
Halifax,01180000,      37.7, 100.0,     210, 100.0,  15.8 to 1
Hamilton-Wenham,06750000,     160.4,  99.6,     771,  98.8,  12.2 to 1
Hampden Charter School of Science (District),04990000,      28.0,  56.7,     153,  85.0,  10.4 to 1
Hampden-Wilbraham,06800000,     234.8,  99.6,"   1,140",  99.5,  14.8 to 1
Hampshire,06830000,      62.0,  98.4,     290,  99.7,  12.7 to 1
Hancock,01210000,       5.9, 100.0,      26, 100.0,   7.8 to 1
Hanover,01220000,     174.6,  99.7,     795,  99.6,  15.7 to 1
Harvard,01250000,      79.7,  98.3,     411, 100.0,  15.8 to 1
Harwich,01260000,     118.6,  98.3,     666,  95.5,  11.1 to 1
Hatfield,01270000,      40.4, 100.0,     211, 100.0,  11.9 to 1
Haverhill,01280000,     474.6,  95.9,"   3,072",  96.8,  14.7 to 1
Hawlemont,06850000,       9.4, 100.0,      45, 100.0,  10.2 to 1
Hill View Montessori Charter Public (District),04550000,      27.8,  78.4,      92,  84.8,  10.6 to 1
Hilltown Cooperative Charter Public (District),04500000,      14.4,  74.6,      56, 100.0,  11.5 to 1
Hingham,01310000,     269.6, 100.0,"   1,338", 100.0,  15.3 to 1
Holbrook,01330000,      80.2,  98.8,     317,  98.7,  14.7 to 1
Holland,01350000,      18.9, 100.0,      84, 100.0,  11.8 to 1
Holliston,01360000,     213.7,  99.0,"   1,098",  98.5,  13.3 to 1
Holyoke,01370000,     509.7,  96.2,"   2,001",  95.5,  11.5 to 1
Holyoke Community Charter (District),04530000,      48.9,  85.7,     170,  97.1,  14.3 to 1
Hopedale,01380000,      86.8,  97.7,     404, 100.0,  14.5 to 1
Hopkinton,01390000,     241.4,  99.2,"   1,443",  98.5,  14.1 to 1
Hudson,01410000,     234.1,  99.1,"   1,120",  98.8,  12.6 to 1
Hull,01420000,      87.4, 100.0,     397,  99.5,  12.5 to 1
Innovation Academy Charter (District),04350000,      56.9,  68.6,     222, 100.0,  10.7 to 1
Ipswich,01440000,     143.7,  97.9,     852,  97.9,  14.7 to 1
KIPP Academy Lynn Charter (District),04290000,      32.9,  42.8,     124, 100.0,  14.1 to 1
King Philip,06900000,     124.7, 100.0,     668, 100.0,  17.1 to 1
Kingston,01450000,      63.9, 100.0,     306, 100.0,  18.3 to 1
Lanesborough,01480000,      21.2,  97.2,      87, 100.0,  11.6 to 1
Lawrence,01490000,     945.6,  99.0,"   4,062",  95.2,  13.6 to 1
Lawrence Family Development Charter (District),04540000,      52.0,  98.1,     306, 100.0,  11.8 to 1
Lee,01500000,      70.9,  97.0,     334,  92.2,  11.2 to 1
Leicester,01510000,     111.5,  98.2,     619,  97.6,  15.9 to 1
Lenox,01520000,      73.6,  99.1,     399,  98.5,  10.9 to 1
Leominster,01530000,     453.2,  99.9,"   2,127",  99.0,  13.6 to 1
Leverett,01540000,      15.9,  99.4,      74, 100.0,   9.3 to 1
Lexington,01550000,     528.9, 100.0,"   2,191",  99.8,  12.1 to 1
Lincoln,01570000,     116.8,  99.1,     655, 100.0,   9.8 to 1
Lincoln-Sudbury,06950000,     116.9, 100.0,     777, 100.0,  13.7 to 1
Littleton,01580000,     113.7, 100.0,     531, 100.0,  14.2 to 1
Longmeadow,01590000,     229.9,  99.6,"   1,026",  98.2,  12.8 to 1
Lowell,01600000,     971.8,  98.8,"   7,077",  98.5,  13.9 to 1
Lowell Community Charter Public (District),04560000,      45.9,  84.8,     158,  90.5,  14.7 to 1
Lowell Middlesex Academy Charter (District),04580000,      11.4,  36.8,      88, 100.0,   9.8 to 1
Ludlow,01610000,     224.2,  99.2,     973,  94.8,  12.9 to 1
Lunenburg,01620000,     114.4,  99.1,     671,  97.8,  14.3 to 1
Lynn,01630000,     933.2,  98.1,"   4,454",  94.7,  14.7 to 1
Lynnfield,01640000,     155.5, 100.0,     736,  99.7,  14.6 to 1
MATCH Charter Public School (District),04690000,      27.0,  59.3,      92,  94.6,  17.5 to 1
MATCH Community Day Charter Public School (District),04650000,       8.0,  12.5,      28, 100.0,  12.5 to 1
Ma Academy for Math and Science,04680000,       6.9, 100.0,      18, 100.0,  13.1 to 1
Malden,01650000,     437.2,  99.5,"   2,145",  99.4,  15.0 to 1
Manchester Essex Regional,06980000,     113.3,  99.1,     510, 100.0,  13.7 to 1
Mansfield,01670000,     246.5,  97.8,"   1,569",  98.9,  18.9 to 1
Marblehead,01680000,     232.4,  97.3,"   1,090",  96.4,  13.6 to 1
Marblehead Community Charter Public (District),04640000,      20.6,  75.8,      76,  90.8,  11.1 to 1
Marion,01690000,      34.6, 100.0,     164,  97.0,  13.7 to 1
Marlborough,01700000,     342.2,  99.7,"   1,732",  98.8,  13.4 to 1
Marshfield,01710000,     329.8, 100.0,"   1,383",  99.6,  13.9 to 1
Martha's Vineyard Charter (District),04660000,      19.5,  71.0,      60, 100.0,   9.4 to 1
Marthas Vineyard,07000000,      72.2,  91.7,     386,  85.0,   9.3 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      36.8,  64.6,     120,  73.3,  10.5 to 1
Masconomet,07050000,     123.3,  99.8,     721,  99.7,  16.7 to 1
Mashpee,01720000,     140.7, 100.0,     836,  99.9,  12.3 to 1
Mattapoisett,01730000,      40.7, 100.0,     214, 100.0,  12.6 to 1
Maynard,01740000,      99.4,  98.8,     549, 100.0,  13.3 to 1
Medfield,01750000,     194.7,  98.5,"   1,044",  98.9,  14.7 to 1
Medford,01760000,     390.9,  98.5,"   1,839",  99.9,  12.5 to 1
Medway,01770000,     169.6,  99.4,     903,  99.0,  15.1 to 1
Melrose,01780000,     252.9,  98.0,"   1,110",  97.3,  14.9 to 1
Mendon-Upton,07100000,     151.7,  98.7,     821,  99.8,  16.9 to 1
Methuen,01810000,     465.4,  99.7,"   1,989",  99.5,  15.2 to 1
Middleborough,01820000,     215.1,  98.8,     994,  97.9,  15.7 to 1
Middleton,01840000,      64.0, 100.0,     293, 100.0,  12.6 to 1
Milford,01850000,     313.6,  99.2,"   1,624",  99.1,  13.2 to 1
Millbury,01860000,     128.9,  99.2,     613,  99.0,  14.0 to 1
Millis,01870000,      88.9,  98.3,     429,  99.1,  16.3 to 1
Milton,01890000,     271.9,  99.2,"   1,414",  99.3,  14.3 to 1
Minuteman Regional Vocational Technical,08300000,      70.4,  97.2,     247, 100.0,   9.2 to 1
Mohawk Trail,07170000,      90.7, 100.0,     461, 100.0,  11.6 to 1
Monson,01910000,      92.2, 100.0,     367, 100.0,  14.3 to 1
Montachusett Regional Vocational Technical,08320000,     104.0,  99.0,     307,  96.4,  13.8 to 1
Mount Greylock,07150000,      49.7, 100.0,     255,  98.0,  11.8 to 1
Mystic Valley Regional Charter (District),04700000,      93.3,  71.4,     499,  80.2,  15.7 to 1
Nahant,01960000,      12.2, 100.0,      68, 100.0,  16.8 to 1
Nantucket,01970000,     114.4,  99.1,     653,  96.2,  11.6 to 1
Narragansett,07200000,     103.3, 100.0,     546,  99.6,  14.2 to 1
Nashoba,07250000,     244.2, 100.0,"   1,135", 100.0,  14.3 to 1
Nashoba Valley Regional Vocational Technical,08520000,      50.3, 100.0,     212,  97.2,  13.6 to 1
Natick,01980000,     337.4,  98.9,"   1,996",  99.1,  14.7 to 1
Nauset,06600000,     130.4, 100.0,     710,  94.2,  11.7 to 1
Needham,01990000,     351.9, 100.0,"   1,455",  99.3,  15.4 to 1
Neighborhood House Charter (District),04440000,      36.7,  54.0,     177, 100.0,  10.9 to 1
New Bedford,02010000,     860.5,  98.0,"   4,686",  87.7,  14.6 to 1
New Leadership Charter (District),04710000,      30.7,  89.6,     202,  90.1,  16.1 to 1
New Salem-Wendell,07280000,      12.2, 100.0,      26, 100.0,  11.5 to 1
Newburyport,02040000,     172.9,  99.8,"   1,049",  99.8,  13.5 to 1
Newton,02070000,     785.0,  99.5,"   3,793",  98.6,  15.4 to 1
Norfolk,02080000,      67.7, 100.0,     305, 100.0,  14.3 to 1
Norfolk County Agricultural,09150000,      42.4, 100.0,      91, 100.0,  11.5 to 1
North Adams,02090000,     140.7,  96.6,     562,  98.8,  11.0 to 1
North Andover,02110000,     287.4,  99.5,"   1,867",  99.6,  16.3 to 1
North Attleborough,02120000,     287.5,  98.7,"   1,475",  98.6,  16.3 to 1
North Brookfield,02150000,      43.8, 100.0,     242, 100.0,  12.9 to 1
North Central Charter Essential (District),04740000,      34.6,  95.8,     243,  97.5,  10.4 to 1
North Middlesex,07350000,     244.5,  98.9,"   1,074",  99.7,  15.5 to 1
North Reading,02170000,     204.0,  99.8,"   1,022",  97.8,  12.9 to 1
North Shore Regional Vocational Technical,08540000,      51.5,  99.0,     260, 100.0,   9.1 to 1
Northampton,02100000,     202.9,  97.7,"   1,005",  99.5,  13.3 to 1
Northampton-Smith Vocational Agricultural,04060000,      46.6,  90.6,     128, 100.0,   9.3 to 1
Northboro-Southboro,07300000,     102.3, 100.0,     532, 100.0,  14.1 to 1
Northborough,02130000,     139.2, 100.0,     691, 100.0,  13.8 to 1
Northbridge,02140000,     175.2, 100.0,     895,  95.9,  14.9 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     108.3,  96.3,     217,  97.7,  11.5 to 1
Northern Berkshire Regional Vocational Technical,08510000,      39.8,  95.0,     119,  95.0,  11.8 to 1
Norton,02180000,     183.6, 100.0,     914,  98.6,  14.5 to 1
Norwell,02190000,     141.9, 100.0,     686,  98.1,  16.5 to 1
Norwood,02200000,     264.5, 100.0,"   1,173",  99.8,  13.1 to 1
Oak Bluffs,02210000,      45.0,  98.9,     173,  93.6,   8.6 to 1
Old Colony Regional Vocational Technical,08550000,      50.9,  95.8,     128,  85.2,  11.2 to 1
Old Rochester,07400000,      84.9, 100.0,     433, 100.0,  13.5 to 1
Orange,02230000,      35.4, 100.0,     440,  94.5,  20.8 to 1
Orleans,02240000,      25.5, 100.0,     101, 100.0,   8.2 to 1
Oxford,02260000,     132.3,  97.0,     656,  98.3,  15.2 to 1
Palmer,02270000,     119.8,  99.2,     698,  97.3,  13.2 to 1
Pathfinder Regional Vocational Technical,08600000,      77.8,  94.9,     196,  93.4,   8.5 to 1
Peabody,02290000,     436.2,  99.5,"   2,075",  97.3,  13.9 to 1
Pelham,02300000,      10.2, 100.0,      63, 100.0,  12.1 to 1
Pembroke,02310000,     203.8, 100.0,"   1,070",  99.5,  16.3 to 1
Pentucket,07450000,     216.1, 100.0,     997, 100.0,  14.0 to 1
Petersham,02340000,      10.6,  90.6,      45, 100.0,  10.8 to 1
Phoenix Charter Academy (District),04930000,      17.2,  72.7,     279,  71.0,  10.5 to 1
Pioneer Charter School of Science (District),04940000,      26.8,  68.3,     125,  99.2,  12.0 to 1
Pioneer Valley,07500000,      91.6,  97.8,     495, 100.0,  12.3 to 1
Pioneer Valley Chinese Immersion Charter(District),04970000,      24.6,  83.7,      70, 100.0,   9.8 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      39.8,  60.8,     339,  94.1,  10.0 to 1
Pittsfield,02360000,     477.1,  97.3,"   2,471",  97.5,  12.5 to 1
Plainville,02380000,      52.0, 100.0,     265, 100.0,  16.0 to 1
Plymouth,02390000,     599.3,  99.4,"   2,700",  99.3,  13.3 to 1
Plympton,02400000,      17.2, 100.0,      93, 100.0,  13.4 to 1
Prospect Hill Academy Charter (District),04870000,      97.7,  80.0,     407,  87.0,  11.7 to 1
Provincetown,02420000,      21.6, 100.0,      86, 100.0,   4.5 to 1
Quabbin,07530000,     182.1,  98.9,     919, 100.0,  14.9 to 1
Quaboag Regional,07780000,      98.6,  96.1,     483, 100.0,  14.0 to 1
Quincy,02430000,     636.9,  99.6,"   3,329", 100.0,  14.5 to 1
Ralph C Mahar,07550000,      65.3,  99.0,     544, 100.0,  12.8 to 1
Randolph,02440000,     239.8, 100.0,"   1,003",  98.2,  12.3 to 1
Reading,02460000,     306.7,  99.9,"   1,304",  99.6,  14.6 to 1
Revere,02480000,     458.2,  99.3,"   3,337",  99.9,  14.2 to 1
Richmond,02490000,      19.8, 100.0,      88, 100.0,   9.1 to 1
Rising Tide Charter Public (District),04830000,      32.4,  79.9,     138,  87.0,  11.9 to 1
River Valley Charter (District),04820000,      16.5,  69.7,      98, 100.0,  17.5 to 1
Rochester,02500000,      38.5, 100.0,     193, 100.0,  13.9 to 1
Rockland,02510000,     149.3,  98.0,     828, 100.0,  14.8 to 1
Rockport,02520000,      81.8,  98.8,     392,  96.7,  11.3 to 1
Rowe,02530000,       7.5, 100.0,      38, 100.0,   9.2 to 1
Roxbury Preparatory Charter (District),04840000,      23.1,  45.4,      60,  76.7,  10.6 to 1
Sabis International Charter (District),04410000,      65.3,  85.4,     425, 100.0,  24.1 to 1
Salem,02580000,     421.0,  99.3,"   1,981", 100.0,  10.8 to 1
Salem Academy Charter (District),04850000,      30.4,  68.1,     135, 100.0,  10.1 to 1
Salem Community Charter School (District),04670000,       5.6,  59.7,      42,  61.9,   8.3 to 1
Sandwich,02610000,     232.4,  99.7,"   1,076",  98.9,  14.2 to 1
Saugus,02620000,     209.1, 100.0,"   1,129",  99.7,  13.5 to 1
Savoy,02630000,       4.0, 100.0,      21, 100.0,  10.0 to 1
Scituate,02640000,     222.9,  99.7,"   1,121",  99.7,  14.7 to 1
Seekonk,02650000,     137.8,  99.9,     579,  99.7,  15.5 to 1
Seven Hills Charter Public (District),04860000,      50.2,  94.4,     211, 100.0,  13.2 to 1
Sharon,02660000,     256.2,  99.9,"   1,141",  98.2,  13.1 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     124.0,  99.2,     289, 100.0,  10.9 to 1
Sherborn,02690000,      33.8, 100.0,     155, 100.0,  11.7 to 1
Shrewsbury,02710000,     347.2,  99.0,"   1,700",  99.2,  17.1 to 1
Shutesbury,02720000,      14.7, 100.0,      54, 100.0,  10.2 to 1
Silver Hill Horace Mann Charter (District),04770000,      36.0, 100.0,     270, 100.0,  16.2 to 1
Silver Lake,07600000,     125.5, 100.0,     506, 100.0,  15.1 to 1
Smith Leadership Academy Charter Public (District),04190000,      18.1,  40.0,      77,  89.6,  11.2 to 1
Somerset,02730000,     134.0,  98.5,     668,  99.6,  13.8 to 1
Somerset Berkley Regional School District,07630000,      82.5,  97.6,     419,  97.6,  11.7 to 1
Somerville,02740000,     394.1,  97.7,"   1,631",  98.0,  12.4 to 1
South Hadley,02780000,     159.4,  99.4,     711,  98.7,  12.5 to 1
South Middlesex Regional Vocational Technical,08290000,      73.5,  98.6,     187, 100.0,   9.1 to 1
South Shore Charter Public (District),04880000,      45.5,  76.5,     215, 100.0,  11.8 to 1
South Shore Regional Vocational Technical,08730000,      58.3,  91.4,     144,  91.0,  10.4 to 1
Southampton,02750000,      39.9, 100.0,     195, 100.0,  13.6 to 1
Southborough,02760000,     108.4, 100.0,     538, 100.0,  13.3 to 1
Southbridge,02770000,     159.1, 100.0,     826,  99.9,  13.9 to 1
Southeastern Regional Vocational Technical,08720000,     116.1,  95.7,     306,  95.8,  10.7 to 1
