2018-19 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),04450000,     116.4,  94.5,  12.3 to 1,  76.4,  87.1,  85.1
Abington,00010000,     122.2, 100.0,  16.8 to 1,  88.8,  93.4,  91.5
Academy Of the Pacific Rim Charter Public (District),04120000,      49.2,  76.8,  10.7 to 1,  32.9,  77.6,  48.1
Acton-Boxborough,06000000,     380.1,  99.7,  14.7 to 1,  87.7,  95.3,  97.5
Acushnet,00030000,      75.5, 100.0,  13.3 to 1,  89.4,  94.7,  97.4
Adams-Cheshire,06030000,      79.5,  98.7,  14.6 to 1,  88.4,  90.2,  84.6
Advanced Math and Science Academy Charter (District),04300000,      81.5,  90.7,  11.9 to 1,  71.5,  71.2,  80.2
Agawam,00050000,     318.5, 100.0,  11.8 to 1,  92.0,  95.9,  95.3
Alma del Mar Charter School (District),04090000,      36.5,  52.1,  12.1 to 1,  32.9,  89.0,  27.0
Amesbury,00070000,     170.8, 100.0,  12.0 to 1,  89.5,  93.6,  93.8
Amherst,00080000,     120.6, 100.0,   9.4 to 1,  90.3,  96.9,  97.6
Amherst-Pelham,06050000,     113.8,  99.1,  11.8 to 1,  92.4,  95.6,  89.5
Andover,00090000,     470.9, 100.0,  12.7 to 1,  89.1,  96.4,  96.2
Argosy Collegiate Charter School (District),35090000,      39.0,  83.4,  12.0 to 1,  26.2,  69.2,  53.5
Arlington,00100000,     421.0,  99.8,  14.1 to 1,  79.1,  92.7,  95.7
Ashburnham-Westminster,06100000,     159.7, 100.0,  14.7 to 1,  82.9,  95.0,  94.3
Ashland,00140000,     203.3,  99.5,  14.0 to 1,  82.4,  95.8,  95.6
Assabet Valley Regional Vocational Technical,08010000,     109.2,  99.1,  10.4 to 1,  88.6,  85.3,  92.8
