2018-19 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Athol-Royalston,06150000,     106.4,  99.1,  13.7 to 1,  78.4,  87.8,  87.5
Atlantis Charter (District),04910000,      90.8,  81.8,  14.3 to 1,  59.9,  82.4,  72.9
Attleboro,00160000,     379.9,  99.4,  15.7 to 1,  87.8,  94.9,  93.5
Auburn,00170000,     184.9, 100.0,  14.2 to 1,  91.9,  96.8,  91.5
Avon,00180000,      67.4, 100.0,  10.8 to 1,  85.2,  95.5,  95.6
Ayer Shirley School District,06160000,     138.3,  99.3,  12.4 to 1,  77.4,  89.3,  93.5
Barnstable,00200000,     353.7,  99.7,  13.5 to 1,  86.0,  91.6,  94.6
Barnstable Community Horace Mann Charter Public (District),04270000,      24.0, 100.0,  12.1 to 1,  87.5, 100.0, 100.0
Baystate Academy Charter Public School (District),35020000,      58.3,  66.0,   8.6 to 1,  27.5,  70.3,  44.1
Bedford,00230000,     233.4,  99.1,  11.4 to 1,  87.9,  93.8,  96.4
Belchertown,00240000,     163.1,  99.8,  13.9 to 1,  92.3,  97.4,  95.4
Bellingham,00250000,     167.0, 100.0,  13.3 to 1,  84.3,  95.1,  88.8
Belmont,00260000,     279.6, 100.0,  16.6 to 1,  84.1,  95.4,  96.8
Benjamin Banneker Charter Public (District),04200000,      17.8, 100.0,  19.9 to 1,  66.3,  95.5,  94.7
Benjamin Franklin Classical Charter Public (District),04470000,      30.0,  90.0,  15.3 to 1,  83.3,  83.3,  76.7
Bentley Academy Charter School (District),35110000,      29.4, 100.0,  11.5 to 1,  58.8,  79.2,  97.2
Berkley,00270000,      60.8, 100.0,  14.6 to 1,  88.5,  95.1,  98.3
Berkshire Arts and Technology Charter Public (District),04140000,      36.1,  61.6,  10.5 to 1,  56.4,  82.7,  25.0
Berkshire Hills,06180000,     110.9,  99.1,  10.8 to 1,  83.3,  92.1,  92.2
Berlin,00280000,      19.0, 100.0,   9.6 to 1,  73.7,  92.6, 100.0
Berlin-Boylston,06200000,      47.8, 100.0,  12.2 to 1,  91.6,  91.6,  92.0
Beverly,00300000,     336.7,  99.2,  13.6 to 1,  83.3,  92.8,  91.1
Billerica,00310000,     362.3,  99.4,  13.2 to 1,  90.7,  93.2,  96.6
Blackstone Valley Regional Vocational Technical,08050000,     100.7,  98.0,  12.2 to 1,  78.8,  75.9,  93.2
Blackstone-Millville,06220000,     120.2, 100.0,  14.1 to 1,  87.8,  93.0,  93.0
Blue Hills Regional Vocational Technical,08060000,      82.0,  98.8,  10.4 to 1,  80.5,  81.7,  92.7
Boston,00350000,"   4,232.8",  95.0,  12.2 to 1,  78.9,  90.4,  77.7
Boston Collegiate Charter (District),04490000,      61.4,  77.5,  11.3 to 1,  53.2,  78.9,  64.8
Boston Day and Evening Academy Charter (District),04240000,      26.0,  88.5,  16.2 to 1,  73.1,  96.2,  57.1
Boston Green Academy Horace Mann Charter School (District),04110000,      41.5,  86.7,  11.5 to 1,  68.2,  85.5,  70.7
Boston Preparatory Charter Public (District),04160000,      52.2,  85.6,  10.1 to 1,  38.7,  79.9,  49.2
Boston Renaissance Charter Public (District),04810000,      82.0,  92.7,  11.6 to 1,  52.4,  87.8,  81.6
Bourne,00360000,     145.4,  97.9,  13.3 to 1,  89.5,  93.1,  92.8
Boxford,00380000,      60.7, 100.0,  11.8 to 1,  87.5,  95.7, 100.0
Boylston,00390000,      22.8, 100.0,  13.1 to 1,  79.8,  93.4,  96.3
Braintree,00400000,     419.7, 100.0,  13.9 to 1,  87.6,  94.2,  97.9
Brewster,00410000,      43.0, 100.0,  11.1 to 1,  85.7,  86.9,  95.9
Bridge Boston Charter School (District),04170000,      34.6,  72.5,   9.8 to 1,  29.2,  88.4,  65.8
Bridgewater-Raynham,06250000,     329.2, 100.0,  16.3 to 1,  90.4,  97.0,  95.6
Brimfield,00430000,      25.4,  99.7,  11.5 to 1,  85.9, 100.0,  96.3
Bristol County Agricultural,09100000,      34.6,  97.1,  13.1 to 1,  92.2,  80.9,  86.1
Bristol-Plymouth Regional Vocational Technical,08100000,      97.3, 100.0,  13.2 to 1,  93.8,  91.8,  94.9
Brockton,00440000,     967.9,  99.2,  16.9 to 1,  92.7,  95.1,  92.1
Brooke Charter School (District),04280000,     158.0,  68.4,  11.7 to 1,  44.3,  84.8,  32.1
Brookfield,00450000,      22.9,  99.7,  13.8 to 1,  90.9,  95.6,  96.2
Brookline,00460000,     645.8,  99.3,  12.2 to 1,  83.8,  94.1,  94.8
Burlington,00480000,     314.9,  99.8,  11.2 to 1,  91.0,  95.7,  94.2
Cambridge,00490000,     676.6,  98.2,  10.4 to 1,  83.4,  89.6,  91.4
Canton,00500000,     241.4, 100.0,  13.6 to 1,  87.6,  95.7,  94.7
Cape Cod Lighthouse Charter (District),04320000,      21.5,  86.9,  11.3 to 1,  99.1,  80.0,  54.5
Cape Cod Regional Vocational Technical,08150000,      63.8,  90.6,   8.9 to 1,  72.4,  76.0,  79.7
Carlisle,00510000,      56.6, 100.0,  10.6 to 1,  96.1, 100.0,  96.6
Carver,00520000,     125.1, 100.0,  12.4 to 1,  85.1,  93.5,  96.2
Central Berkshire,06350000,     121.7, 100.0,  13.0 to 1,  98.4,  97.5,  97.6
Chelmsford,00560000,     373.2,  99.5,  13.3 to 1,  89.1,  95.2,  92.4
Chelsea,00570000,     427.9,  97.5,  14.2 to 1,  63.1,  83.4,  90.7
Chesterfield-Goshen,06320000,      12.9, 100.0,  10.0 to 1, 100.0, 100.0,  93.3
Chicopee,00610000,     575.9,  97.9,  12.8 to 1,  89.7,  92.1,  92.1
Christa McAuliffe Charter Public (District),04180000,      39.7,  82.4,  10.0 to 1,  69.8,  77.4,  62.8
City on a Hill Charter Public School Circuit Street (District),04370000,      23.7,  64.1,  11.4 to 1,  24.5,  91.6,  50.0
City on a Hill Charter Public School Dudley Square (District),35040000,      24.4,  72.9,  10.0 to 1,  23.3,  79.5,  61.1
City on a Hill Charter Public School New Bedford (District),35070000,      20.0,  70.0,  10.9 to 1,  42.0,  80.0,  33.3
Clarksburg,00630000,      16.2,  97.5,  11.4 to 1,  81.5,  93.8,  94.1
Clinton,00640000,     149.0, 100.0,  12.5 to 1,  85.3,  94.6,  94.2
Codman Academy Charter Public (District),04380000,      39.6,  63.4,   8.6 to 1,  28.2,  82.4,  44.2
Cohasset,00650000,     121.4,  99.2,  12.8 to 1,  85.5,  94.6,  74.8
Collegiate Charter School of Lowell (District),35030000,      43.6,  83.0,  19.4 to 1,  31.7,  88.0,  67.5
Community Charter School of Cambridge (District),04360000,      36.7,  78.2,   9.0 to 1,  41.0,  87.7,  34.1
Community Day Charter Public School - Gateway (District),04260000,      40.0,  75.0,   9.0 to 1,  42.5,  75.0,  55.0
Community Day Charter Public School - Prospect (District),04400000,      43.4,  74.7,   9.2 to 1,  28.6,  83.9,  46.7
Community Day Charter Public School - R. Kingman Webster (District),04310000,      39.0,  71.8,   9.2 to 1,  35.9,  82.1,  64.1
Concord,00670000,     166.6, 100.0,  12.6 to 1,  85.5,  96.1,  98.4
Concord-Carlisle,06400000,     101.8, 100.0,  12.5 to 1,  95.3,  92.9,  85.0
Conservatory Lab Charter (District),04390000,      25.0,  74.0,  17.6 to 1,  36.0,  96.0,  61.5
Conway,00680000,      12.4, 100.0,  10.9 to 1,  91.1, 100.0, 100.0
Danvers,00710000,     267.7,  99.3,  13.0 to 1,  91.6,  95.1,  95.3
Dartmouth,00720000,     267.0,  99.4,  13.5 to 1,  93.3,  96.9,  92.3
Dedham,00730000,     230.3, 100.0,  11.7 to 1,  89.1,  95.7,  96.7
Deerfield,00740000,      37.0, 100.0,  10.6 to 1,  81.0,  90.8,  97.6
Dennis-Yarmouth,06450000,     269.5,  99.6,  11.2 to 1,  90.0,  95.2,  97.2
Dighton-Rehoboth,06500000,     229.3,  99.6,  12.7 to 1,  89.8,  95.6,  93.2
Douglas,00770000,      93.3,  99.1,  13.9 to 1,  79.7,  91.1,  92.2
Dover,00780000,      40.8, 100.0,  12.2 to 1,  85.8,  97.5,  97.7
Dover-Sherborn,06550000,     106.8, 100.0,  11.2 to 1,  91.5,  97.1,  93.2
Dracut,00790000,     224.4,  99.1,  16.0 to 1,  80.3,  88.0,  98.2
Dudley Street Neighborhood Charter School (District),04070000,      22.0,  90.9,  11.6 to 1,  81.8, 100.0,  90.9
Dudley-Charlton Reg,06580000,     264.1, 100.0,  14.4 to 1,  89.6,  93.2,  94.7
Duxbury,00820000,     219.7,  99.7,  13.7 to 1,  91.3,  94.4,  91.7
East Bridgewater,00830000,     154.7, 100.0,  14.6 to 1,  78.5,  90.0,  89.9
East Longmeadow,00870000,     187.5, 100.0,  14.0 to 1,  95.7,  98.5,  97.7
Eastham,00850000,      20.7, 100.0,   8.2 to 1,  95.2, 100.0, 100.0
Easthampton,00860000,     115.6, 100.0,  13.4 to 1,  83.9,  93.4,  94.9
Easton,00880000,     270.1, 100.0,  13.4 to 1,  91.4,  97.5,  96.5
Edgartown,00890000,      38.4,  99.4,   9.6 to 1,  85.7,  92.9,  96.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      39.7,  89.9,   9.6 to 1,  69.8,  87.4,  72.9
Erving,00910000,      16.2,  96.9,   7.9 to 1,  87.7, 100.0,  90.5
Essex North Shore Agricultural and Technical School District,08170000,     121.2,  94.6,  11.7 to 1,  76.4,  73.3,  90.2
Everett,00930000,     478.9,  99.4,  14.8 to 1,  86.1,  90.9,  96.3
Excel Academy Charter (District),04100000,     101.3,  77.1,  12.8 to 1,  37.7,  86.6,  43.7
Fairhaven,00940000,     148.7, 100.0,  13.6 to 1,  89.0,  96.4,  96.7
Fall River,00950000,     735.5,  93.9,  13.8 to 1,  69.3,  78.7,  87.9
Falmouth,00960000,     288.7,  99.2,  11.6 to 1,  87.7,  95.0,  95.7
Farmington River Reg,06620000,      12.8, 100.0,   9.0 to 1,  76.6,  95.3, 100.0
Fitchburg,00970000,     371.3,  98.4,  14.4 to 1,  83.1,  91.7,  92.9
Florida,00980000,       9.8,  89.8,   8.9 to 1, 100.0,  95.9,  90.9
Four Rivers Charter Public (District),04130000,      21.8,  65.2,  10.0 to 1,  82.3,  95.4,  36.8
Foxborough,00990000,     205.1,  99.8,  12.4 to 1,  90.6,  97.1,  93.4
Foxborough Regional Charter (District),04460000,     129.8,  79.0,  12.6 to 1,  58.8,  85.4,  65.5
Framingham,01000000,     696.5,  97.6,  12.7 to 1,  76.3,  93.2,  89.8
Francis W. Parker Charter Essential (District),04780000,      46.4,  58.8,   8.6 to 1,  54.8,  93.5,  52.9
Franklin,01010000,     390.5,  99.9,  13.3 to 1,  87.4,  95.1,  94.5
Franklin County Regional Vocational Technical,08180000,      48.6,  96.9,  10.2 to 1,  88.7,  83.5,  85.7
Freetown-Lakeville,06650000,     197.2,  99.5,  14.2 to 1,  86.6,  93.0,  97.0
Frontier,06700000,      52.4,  98.1,  12.3 to 1,  86.4,  92.2,  79.3
Gardner,01030000,     178.1,  99.0,  12.9 to 1,  81.3,  85.0,  91.8
Gateway,06720000,      81.2,  97.5,  10.2 to 1,  87.1,  97.5,  94.1
Georgetown,01050000,      97.0,  99.8,  14.5 to 1,  88.6,  94.4,  92.7
Gill-Montague,06740000,      88.4,  98.9,  10.6 to 1,  91.0,  93.3,  91.3
Global Learning Charter Public (District),04960000,      44.6,  97.8,  11.3 to 1,  52.9,  71.1,  82.0
Gloucester,01070000,     252.0,  99.2,  11.5 to 1,  84.9,  93.0,  95.7
Gosnold,01090000,       0.9, 100.0,   2.4 to 1, 100.0, 100.0,   0.0
Grafton,01100000,     233.8, 100.0,  13.6 to 1,  84.0,  94.4,  96.1
Granby,01110000,      58.0, 100.0,  12.5 to 1,  91.5,  98.3,  93.8
Greater Fall River Regional Vocational Technical,08210000,     127.3,  98.0,  11.1 to 1,  89.4,  83.5,  89.3
Greater Lawrence Regional Vocational Technical,08230000,     140.8,  94.6,  11.2 to 1,  79.0,  83.7,  82.5
Greater Lowell Regional Vocational Technical,08280000,     187.0, 100.0,  12.1 to 1,  88.8,  83.4,  95.2
Greater New Bedford Regional Vocational Technical,08250000,     194.7,  99.0,  11.0 to 1,  92.8,  88.7,  88.4
Greenfield,01140000,     157.2,  96.2,  11.0 to 1,  84.7,  89.8,  92.6
Greenfield Commonwealth Virtual District,39010000,      37.5, 100.0,  15.7 to 1,  59.9,  89.3,  81.4
Groton-Dunstable,06730000,     181.8, 100.0,  13.2 to 1,  86.2,  94.4,  96.2
Hadley,01170000,      50.0, 100.0,  10.7 to 1,  78.0,  86.0,  89.6
Halifax,01180000,      39.0, 100.0,  15.6 to 1,  94.9, 100.0,  97.4
Hamilton-Wenham,06750000,     149.7, 100.0,  11.8 to 1,  87.7,  96.5,  95.5
Hampden Charter School of Science East (District),04990000,      41.8,  79.2,  12.2 to 1,  51.9,  71.0,  58.0
Hampden Charter School of Science West (District),35160000,      20.0,  80.0,  10.5 to 1,  27.0,  80.4,  73.9
Hampden-Wilbraham,06800000,     215.6, 100.0,  14.2 to 1,  91.2,  96.9,  96.0
Hampshire,06830000,      73.0,  98.6,   9.8 to 1,  86.6,  91.5,  89.5
Hancock,01210000,       6.5,  96.9,   5.2 to 1,  69.2,  89.2,  66.7
Hanover,01220000,     202.3,  99.0,  13.1 to 1,  87.1,  97.5,  94.6
Harvard,01250000,      86.0, 100.0,  12.4 to 1,  94.2,  95.3,  93.6
Hatfield,01270000,      41.0,  99.0,  10.6 to 1,  83.6,  95.1,  84.8
Haverhill,01280000,     569.0,  98.9,  14.1 to 1,  81.3,  94.3,  92.2
Hawlemont,06850000,      10.0, 100.0,  15.1 to 1,  80.0,  80.0,  83.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      16.0,  50.0,  11.9 to 1,  25.0,  87.5,  35.3
Hill View Montessori Charter Public (District),04550000,      22.0,  77.3,  13.8 to 1,  63.6,  86.4,  72.7
Hilltown Cooperative Charter Public (District),04500000,      19.6,  88.6,  11.1 to 1,  79.2, 100.0,  60.0
Hingham,01310000,     293.6, 100.0,  14.4 to 1,  93.1,  96.6,  96.9
Holbrook,01330000,      91.8, 100.0,  13.7 to 1,  85.8,  94.1,  94.7
Holland,01350000,      18.5,  99.6,  12.2 to 1,  99.6, 100.0, 100.0
Holliston,01360000,     213.0,  99.4,  13.6 to 1,  88.0,  94.3,  92.2
Holyoke,01370000,     386.9,  88.4,  13.5 to 1,  64.0,  73.5,  78.7
Holyoke Community Charter (District),04530000,      52.1,  59.5,  13.5 to 1,  48.1,  88.5,  50.0
Hopedale,01380000,      89.6, 100.0,  12.1 to 1,  82.8,  91.5,  94.9
Hopkinton,01390000,     262.9, 100.0,  14.0 to 1,  92.6,  97.3,  95.7
Hudson,01410000,     228.0,  98.7,  11.2 to 1,  91.0,  93.2,  95.6
Hull,01420000,      82.8, 100.0,  10.7 to 1,  82.8,  89.1,  96.5
Innovation Academy Charter (District),04350000,      70.2,  90.7,  11.3 to 1,  76.5,  81.3,  79.2
Ipswich,01440000,     153.9, 100.0,  11.1 to 1,  90.1,  94.3,  89.9
KIPP Academy Boston Charter School (District),04630000,      37.3,  68.5,  15.9 to 1,  36.7,  70.5,  26.1
KIPP Academy Lynn Charter (District),04290000,     100.5,  60.9,  14.5 to 1,  26.2,  77.9,  35.0
King Philip,06900000,     130.3,  99.2,  15.5 to 1,  82.9,  88.5,  93.5
Kingston,01450000,      71.2, 100.0,  14.6 to 1,  87.4, 100.0, 100.0
Lawrence,01490000,"   1,033.3",  92.9,  13.2 to 1,  63.3,  81.0,  80.9
Lawrence Family Development Charter (District),04540000,      61.5,  93.5,  12.4 to 1,  59.3,  91.9,  84.6
Lee,01500000,      70.1,  97.1,  10.0 to 1,  84.3,  92.9,  83.8
Leicester,01510000,     112.7,  98.7,  13.6 to 1,  89.2,  97.8,  93.4
Lenox,01520000,      76.5,  98.9,   9.9 to 1,  90.8,  94.1,  80.5
Leominster,01530000,     439.2,  98.4,  13.7 to 1,  86.2,  92.4,  84.2
Leverett,01540000,      16.5, 100.0,   8.2 to 1,  87.9,  93.9, 100.0
Lexington,01550000,     615.4, 100.0,  11.8 to 1,  84.4,  93.5,  95.7
Libertas Academy Charter School (District),35140000,      14.4,  75.0,  12.4 to 1,   5.6,  50.7,  55.6
Lincoln,01570000,     118.6, 100.0,  10.1 to 1,  88.5,  98.7,  90.8
Lincoln-Sudbury,06950000,     126.6,  99.8,  12.1 to 1,  95.7,  97.2,  90.8
Littleton,01580000,     125.0, 100.0,  13.2 to 1,  79.6,  92.5,  94.6
Longmeadow,01590000,     247.3,  99.6,  11.6 to 1,  89.6,  97.2,  97.3
Lowell,01600000,"   1,052.9",  98.3,  13.8 to 1,  85.7,  90.6,  89.1
Lowell Community Charter Public (District),04560000,      64.3,  96.9,  12.7 to 1,  56.7,  89.1,  94.0
Lowell Middlesex Academy Charter (District),04580000,       9.0,  72.2,   9.1 to 1,  72.2,  66.7,  41.7
Ludlow,01610000,     222.8, 100.0,  11.6 to 1,  95.8,  97.3,  96.2
Lunenburg,01620000,     110.5,  99.1,  14.9 to 1,  87.6,  95.9,  87.5
Lynn,01630000,"   1,124.8",  97.4,  14.0 to 1,  80.0,  87.2,  94.7
Lynnfield,01640000,     157.4, 100.0,  14.0 to 1,  90.2,  99.0,  97.7
MATCH Charter Public School (District),04690000,     103.4,  70.3,  11.8 to 1,  33.6,  86.7,  49.2
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.3 to 1,  83.3,  83.3,  83.3
Malden,01650000,     468.6, 100.0,  14.0 to 1,  82.6,  93.4,  96.0
Manchester Essex Regional,06980000,     127.3,  98.4,  10.9 to 1,  89.9,  95.8,  90.8
Mansfield,01670000,     302.4, 100.0,  12.5 to 1,  91.8,  97.2,  98.0
Map Academy Charter School (District),35170000,       9.2,  56.5,  14.1 to 1,  51.1,  94.6,  61.5
Marblehead,01680000,     257.6,  99.2,  11.8 to 1,  83.1,  94.4,  91.4
Marblehead Community Charter Public (District),04640000,      23.5,  91.5,   9.6 to 1,  57.4,  71.9,  76.0
Marion,01690000,      35.8, 100.0,  12.5 to 1,  91.6,  97.8, 100.0
Marlborough,01700000,     386.2,  99.6,  12.1 to 1,  84.9,  96.2,  96.9
Marshfield,01710000,     323.7, 100.0,  12.5 to 1,  89.8,  95.7,  97.0
Martha's Vineyard,07000000,      72.3,  98.6,   8.9 to 1,  87.7,  86.9,  89.0
Martha's Vineyard Charter (District),04660000,      16.7,  95.5,  10.9 to 1,  74.6,  53.5,  66.7
Martin Luther King Jr. Charter School of Excellence (District),04920000,      35.8,  77.6,  10.4 to 1,  69.2,  80.4,  55.8
Masconomet,07050000,     131.3, 100.0,  13.6 to 1,  93.1,  95.9,  93.1
Mashpee,01720000,     140.3, 100.0,  11.5 to 1,  89.8,  92.8,  92.6
Mattapoisett,01730000,      38.6, 100.0,  11.4 to 1,  93.2,  99.2, 100.0
Maynard,01740000,     101.4,  96.6,  13.3 to 1,  86.7,  96.4,  85.0
Medfield,01750000,     203.4,  99.3,  12.8 to 1,  86.9,  94.4,  93.6
Medford,01760000,     395.5,  98.9,  10.7 to 1,  79.5,  93.6,  91.4
Medway,01770000,     158.1,  99.5,  14.1 to 1,  84.9,  94.4,  95.3
Melrose,01780000,     268.3, 100.0,  14.7 to 1,  81.5,  94.3,  95.6
Mendon-Upton,07100000,     160.1,  98.8,  14.4 to 1,  90.3,  95.7,  94.6
Methuen,01810000,     482.3,  97.9,  14.4 to 1,  86.7,  92.3,  89.3
Middleborough,01820000,     216.5, 100.0,  13.7 to 1,  86.6,  98.2,  93.3
Middleton,01840000,      66.8,  99.4,  10.5 to 1,  86.5,  98.5,  95.7
Milford,01850000,     335.1,  99.7,  12.8 to 1,  84.5,  94.0,  96.8
Millbury,01860000,     130.7,  99.2,  12.9 to 1,  84.3,  92.0,  92.1
Millis,01870000,      95.6,  99.0,  12.8 to 1,  94.5,  99.0,  93.3
Milton,01890000,     307.0,  99.9,  13.9 to 1,  81.3,  89.8,  89.5
Minuteman Regional Vocational Technical,08300000,      70.8,  97.2,   7.3 to 1,  91.2,  91.1,  89.7
Mohawk Trail,07170000,      86.9,  98.8,  10.4 to 1,  77.7,  88.9,  90.6
Monomoy Regional School District,07120000,     177.3,  99.4,  10.7 to 1,  85.0,  91.8,  94.0
Monson,01910000,      80.9,  98.8,  11.3 to 1,  86.6,  91.3,  88.5
Montachusett Regional Vocational Technical,08320000,     114.0,  98.2,  12.5 to 1,  88.6,  86.8,  92.0
Mount Greylock,07150000,     103.9, 100.0,  11.5 to 1,  81.9,  94.6,  94.9
Mystic Valley Regional Charter (District),04700000,     100.9,  53.3,  15.6 to 1,  37.0,  81.2,  43.9
Nahant,01960000,      10.0,  94.3,  15.0 to 1,  80.0, 100.0,  85.7
Nantucket,01970000,     147.2,  93.3,  11.3 to 1,  74.3,  82.2,  90.5
Narragansett,07200000,     100.2,  99.0,  14.2 to 1,  87.4,  90.0,  92.5
Nashoba,07250000,     265.2,  99.6,  12.2 to 1,  86.6,  96.5,  96.4
Nashoba Valley Regional Vocational Technical,08520000,      66.5,  95.5,  10.3 to 1,  82.0,  71.4,  97.0
Natick,01980000,     415.9, 100.0,  13.3 to 1,  80.7,  90.7,  94.8
Nauset,06600000,     137.9,  99.4,  10.9 to 1,  83.8,  92.1,  87.5
Needham,01990000,     407.4,  99.8,  14.0 to 1,  87.7,  95.0,  94.0
Neighborhood House Charter (District),04440000,      66.2,  58.8,   9.8 to 1,  20.7,  86.5,  39.5
New Bedford,02010000,     931.6,  96.2,  13.8 to 1,  72.1,  86.2,  89.8
New Heights Charter School of Brockton (District),35130000,      33.7,  67.4,  15.8 to 1,  27.3,  79.2,  45.5
New Salem-Wendell,07280000,      13.2, 100.0,  11.3 to 1,  72.7,  84.8,  93.8
Newburyport,02040000,     189.5, 100.0,  11.8 to 1,  91.0,  97.4,  97.0
Newton,02070000,"   1,073.1",  98.7,  12.0 to 1,  84.9,  96.0,  95.4
Norfolk,02080000,      75.8, 100.0,  12.7 to 1,  86.8,  97.4,  98.7
Norfolk County Agricultural,09150000,      55.8,  94.6,  10.0 to 1,  83.9,  78.5,  84.5
North Adams,02090000,     124.8,  96.0,  10.9 to 1,  83.6,  88.8,  86.5
North Andover,02110000,     303.3,  97.7,  15.7 to 1,  87.7,  96.8,  91.1
North Attleborough,02120000,     282.8,  99.6,  14.7 to 1,  86.4,  93.7,  93.7
North Brookfield,02150000,      45.7,  98.9,  12.5 to 1,  77.9,  89.0,  89.6
North Middlesex,07350000,     244.5,  99.8,  12.6 to 1,  86.4,  95.5,  92.5
North Reading,02170000,     200.1, 100.0,  12.0 to 1,  91.9,  96.2,  97.2
Northampton,02100000,     231.5,  99.3,  11.3 to 1,  82.9,  93.3,  96.3
Northampton-Smith Vocational Agricultural,04060000,      57.0,  98.2,   8.7 to 1,  78.9,  68.4,  94.7
Northboro-Southboro,07300000,     115.9, 100.0,  12.5 to 1,  87.0,  97.4,  90.9
Northborough,02130000,     118.7, 100.0,  13.4 to 1,  92.2,  95.1,  97.8
Northbridge,02140000,     164.8, 100.0,  12.6 to 1,  86.4,  95.6,  97.6
Northeast Metropolitan Regional Vocational Technical,08530000,     117.5,  98.3,  10.6 to 1,  85.5,  83.8,  91.6
Northern Berkshire Regional Vocational Technical,08510000,      40.1,  95.0,  12.4 to 1,  92.5,  91.3,  87.8
Norton,02180000,     179.8,  99.4,  13.6 to 1,  87.9,  96.4,  97.4
Norwell,02190000,     163.8, 100.0,  13.4 to 1,  91.5,  96.3,  95.9
Norwood,02200000,     271.3, 100.0,  12.6 to 1,  90.9,  97.0,  97.9
Oak Bluffs,02210000,      47.4, 100.0,   9.2 to 1,  85.9,  87.6,  91.5
Old Colony Regional Vocational Technical,08550000,      56.3,  96.4,   9.8 to 1,  83.5,  78.2,  93.1
Old Rochester,07400000,      90.0, 100.0,  13.5 to 1,  89.3,  93.3,  94.7
Old Sturbridge Academy Charter Public School (District),35150000,      13.6, 100.0,  14.7 to 1,  39.2,  85.3,  76.5
Orange,02230000,      41.9, 100.0,  14.0 to 1,  90.5,  90.7,  97.7
Orleans,02240000,      24.6, 100.0,   8.9 to 1,  85.8,  98.0,  89.3
Oxford,02260000,     123.0,  98.4,  13.3 to 1,  97.2,  92.4,  90.7
Palmer,02270000,     114.7, 100.0,  11.6 to 1,  85.2,  95.5,  96.9
Pathfinder Regional Vocational Technical,08600000,      74.2,  90.6,   8.7 to 1,  77.1,  82.5,  91.1
Paulo Freire Social Justice Charter School (District),35010000,      24.4,  78.7,  11.3 to 1,  62.3,  67.2,  65.4
Peabody,02290000,     447.9,  98.7,  13.3 to 1,  88.3,  94.5,  92.5
Pelham,02300000,      12.2,  98.3,  11.1 to 1,  72.1, 100.0,  94.1
Pembroke,02310000,     199.6,  99.5,  14.0 to 1,  92.0,  93.8,  94.2
Pentucket,07450000,     199.9,  99.2,  12.2 to 1,  85.4,  93.2,  90.5
Petersham,02340000,      10.8,  81.4,  10.7 to 1,  80.2,  98.8,  66.7
Phoenix Academy Public Charter High School Lawrence (District),35180000,      13.3,  83.5,   8.9 to 1,   7.5,  32.3,  37.5
Phoenix Academy Public Charter High School Springfield (District),35080000,      12.3,  90.2,  16.1 to 1,   8.1,  67.5,  35.3
Phoenix Charter Academy (District),04930000,      14.1,  63.8,  14.3 to 1,  28.4,  50.4,  50.0
Pioneer Charter School of Science (District),04940000,      76.8,  70.8,  10.3 to 1,  18.2,  80.2,  54.2
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      35.4,  66.4,  10.2 to 1,  45.4,  70.4,  51.3
