2010-11 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Boylston,00390000,      26.3, 100.0,     145, 100.0,  13.6 to 1
Braintree,00400000,     384.8,  99.0,"   1,955",  99.8,  14.2 to 1
Brewster,00410000,      39.1, 100.0,     183, 100.0,  12.6 to 1
Bridgewater-Raynham,06250000,     295.6,  99.7,"   1,423",  99.9,  19.3 to 1
Brimfield,00430000,      28.4, 100.0,     168, 100.0,  12.3 to 1
Bristol County Agricultural,09100000,      33.2,  94.0,      93, 100.0,  13.8 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      91.3, 100.0,     570, 100.0,  13.5 to 1
Brockton,00440000,"   1,066.7",  96.7,"   8,637",  91.8,  14.8 to 1
Brookfield,00450000,      20.7, 100.0,     114, 100.0,  15.4 to 1
Brookline,00460000,     523.9,  98.8,"   2,736",  99.7,  12.7 to 1
Burlington,00480000,     288.1,  99.7,"   1,412",  99.8,  12.7 to 1
Cambridge,00490000,     569.1,  97.1,"   2,487",  96.7,  10.6 to 1
Canton,00500000,     225.9,  98.1,"   1,082", 100.0,  14.2 to 1
Cape Cod Lighthouse Charter (District),04320000,      19.0,  69.8,      34,  97.1,  12.0 to 1
Cape Cod Regional Vocational Technical,08150000,      66.7,  97.8,     183, 100.0,  10.4 to 1
Carlisle,00510000,      57.4, 100.0,     238, 100.0,  11.7 to 1
Carver,00520000,     133.8,  98.5,     587,  99.1,  13.3 to 1
Central Berkshire,06350000,     145.2,  98.7,     725,  98.9,  13.3 to 1
Chatham,00550000,      64.6,  96.9,     359, 100.0,  10.7 to 1
Chelmsford,00560000,     340.3,  99.4,"   1,511",  99.5,  15.6 to 1
Chelsea,00570000,     411.5,  99.2,"   1,679",  99.0,  13.5 to 1
Chesterfield-Goshen,06320000,      15.0, 100.0,      74,  93.2,  11.3 to 1
Chicopee,00610000,     607.2,  96.3,"   2,564",  95.4,  13.0 to 1
Christa McAuliffe Regional Charter Public (District),04180000,      23.0,  63.0,      96,  88.5,  11.0 to 1
City On A Hill Charter Public (District),04370000,      19.0,  75.8,      82, 100.0,  15.5 to 1
Clarksburg,00630000,      14.2,  94.4,      66,  86.4,  13.2 to 1
Clinton,00640000,     135.7,  98.7,     618,  98.1,  14.4 to 1
Codman Academy Charter Public (District),04380000,      14.2,  69.7,      23, 100.0,   9.6 to 1
Cohasset,00650000,     107.8, 100.0,     711, 100.0,  14.2 to 1
Community Charter School of Cambridge (District),04360000,      28.1,  85.1,     204, 100.0,  11.7 to 1
Community Day Charter Public (District),04400000,      34.5,  61.8,      85, 100.0,   9.6 to 1
Concord,00670000,     152.4, 100.0,     777, 100.0,  12.8 to 1
Concord-Carlisle,06400000,      88.9, 100.0,     494,  97.2,  13.6 to 1
Conservatory Lab Charter (District),04390000,      10.0,  70.0,      50,  80.0,  15.4 to 1
Conway,00680000,      14.2, 100.0,      63, 100.0,  12.5 to 1
Danvers,00710000,     271.0,  98.1,"   1,322",  98.0,  13.4 to 1
Dartmouth,00720000,     282.0,  98.0,"   1,472",  99.8,  14.1 to 1
Dedham,00730000,     226.3,  99.6,"   1,051", 100.0,  12.7 to 1
Deerfield,00740000,      39.1,  95.3,     186,  97.3,  12.2 to 1
Dennis-Yarmouth,06450000,     278.9, 100.0,"   1,373", 100.0,  11.5 to 1
Dighton-Rehoboth,06500000,     223.8,  98.7,"   1,040",  99.8,  14.2 to 1
Dorchester Collegiate Academy Charter (District),04750000,       5.4,  72.2,      12,  83.3,  13.0 to 1
Douglas,00770000,     114.8,  99.1,     544,  98.9,  15.1 to 1
Dover,00780000,      41.3, 100.0,     201, 100.0,  13.3 to 1
Dover-Sherborn,06550000,     110.5,  98.5,     538,  99.6,  10.5 to 1
Dracut,00790000,     232.9,  99.1,"   1,361", 100.0,  17.3 to 1
Dudley-Charlton Reg,06580000,     283.7,  98.9,"   1,398",  99.9,  15.1 to 1
Duxbury,00820000,     230.6,  97.8,"   1,096",  99.8,  14.1 to 1
East Bridgewater,00830000,     135.8,  99.6,     728,  99.6,  17.0 to 1
East Longmeadow,00870000,     199.5,  99.5,     856, 100.0,  14.3 to 1
Eastham,00850000,      21.1, 100.0,      92, 100.0,   9.9 to 1
Easthampton,00860000,     131.3,  99.2,     584, 100.0,  11.9 to 1
Easton,00880000,     258.7,  99.2,"   1,278",  98.4,  15.0 to 1
Edgartown,00890000,      37.8,  97.4,     149,  87.9,   8.6 to 1
Edward Brooke Charter (District),04280000,      35.0,  42.9,     156,  73.7,  12.9 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      20.0,  97.0,      61,  98.4,  10.9 to 1
Erving,00910000,      15.5,  93.6,      64,  96.9,  10.6 to 1
Essex Agricultural Technical,09130000,      47.8,  97.9,     116,  95.7,  10.1 to 1
Everett,00930000,     434.2,  98.4,"   1,826",  99.1,  14.1 to 1
Excel Academy Charter (District),04100000,      16.0,  28.8,      28, 100.0,  13.3 to 1
Fairhaven,00940000,     146.7,  97.3,     817,  98.7,  13.5 to 1
Fall River,00950000,     700.7,  96.6,"   3,299",  95.1,  14.1 to 1
Falmouth,00960000,     290.1,  99.7,"   1,556", 100.0,  12.8 to 1
Farmington River Reg,06620000,      14.0,  90.0,      51,  86.3,  10.3 to 1
Fitchburg,00970000,     333.8,  99.4,"   1,613",  99.1,  14.6 to 1
Florida,00980000,      12.0,  93.4,      64,  85.9,   9.2 to 1
Four Rivers Charter Public (District),04130000,      21.2,  62.2,     134,  94.0,   9.7 to 1
Foxborough,00990000,     202.1,  99.9,"   1,062", 100.0,  14.0 to 1
Foxborough Regional Charter (District),04460000,      83.0,  80.3,     368,  94.6,  14.2 to 1
Framingham,01000000,     642.3, 100.0,"   3,165",  94.8,  12.7 to 1
Francis W. Parker Charter Essential (District),04780000,      44.8,  70.6,     332, 100.0,   8.8 to 1
Franklin,01010000,     402.7,  99.5,"   1,753",  99.4,  15.0 to 1
Franklin County Regional Vocational Technical,08180000,      56.5, 100.0,     194, 100.0,   8.9 to 1
Freetown,01020000,      28.4, 100.0,     112,  95.5,  19.5 to 1
Freetown-Lakeville,06650000,     127.9,  98.9,     626,  98.7,  15.0 to 1
Frontier,06700000,      65.1, 100.0,     379, 100.0,  10.6 to 1
Gardner,01030000,     172.2,  99.4,     852, 100.0,  14.9 to 1
Gateway,06720000,      85.0, 100.0,     387,  99.0,  13.0 to 1
Georgetown,01050000,     109.8,  95.9,     502,  97.0,  15.0 to 1
Gill-Montague,06740000,      93.5, 100.0,     474,  97.0,  11.6 to 1
Global Learning Charter Public  (District),04960000,      34.3,  88.9,     169,  89.9,  14.1 to 1
Gloucester,01070000,     252.1,  99.2,"   1,018",  99.4,  12.7 to 1
Gloucester Community Arts Charter (District),04480000,       8.8,  65.9,      37, 100.0,   7.6 to 1
Gosnold,01090000,       1.0, 100.0,       3, 100.0,   4.0 to 1
Grafton,01100000,     199.7,  97.6,"   1,240",  97.0,  14.4 to 1
Granby,01110000,      81.5,  96.3,     386,  99.5,  13.9 to 1
Granville,01120000,      13.5, 100.0,      61, 100.0,  11.0 to 1
Greater Fall River Regional Vocational Technical,08210000,     122.6,  94.3,     404,  97.0,  11.1 to 1
Greater Lawrence Regional Vocational Technical,08230000,     134.5,  94.8,     412, 100.0,   9.1 to 1
Greater Lowell Regional Vocational Technical,08280000,     178.6,  98.9,     529,  97.7,  11.5 to 1
Greater New Bedford Regional Vocational Technical,08250000,     194.3,  94.5,     580, 100.0,  11.0 to 1
Greenfield,01140000,     101.4,  97.5,     655,  99.8,  17.6 to 1
Groton-Dunstable,06730000,     163.9,  98.8,     832,  99.3,  16.9 to 1
Hadley,01170000,      47.6,  99.5,     306,  98.7,  14.9 to 1
Halifax,01180000,      41.0, 100.0,     194, 100.0,  15.3 to 1
Hamilton-Wenham,06750000,     159.8, 100.0,     714, 100.0,  12.4 to 1
Hampden Charter School of Science (District),04990000,      18.7,  36.0,      96,  77.1,  12.5 to 1
Hampden-Wilbraham,06800000,     238.2,  99.7,"   1,151",  98.6,  15.1 to 1
Hampshire,06830000,      63.4, 100.0,     274, 100.0,  12.8 to 1
Hancock,01210000,       6.0,  83.3,      26,  92.3,   8.0 to 1
Hanover,01220000,     198.9,  99.5,     830, 100.0,  13.5 to 1
Harvard,01250000,      84.7,  98.0,     443,  98.6,  15.0 to 1
Harwich,01260000,     110.1,  98.2,     614,  99.2,  12.1 to 1
Hatfield,01270000,      39.1, 100.0,     242, 100.0,  12.0 to 1
Haverhill,01280000,     461.5,  94.9,"   2,601",  92.8,  14.7 to 1
Hawlemont,06850000,      10.4, 100.0,      50, 100.0,   9.5 to 1
Hill View Montessori Charter Public (District),04550000,      26.6,  66.2,      74,  94.6,  11.1 to 1
Hilltown Cooperative Charter  Public (District),04500000,      13.7,  83.6,      45, 100.0,  12.1 to 1
Hingham,01310000,     264.5,  99.6,"   1,309", 100.0,  15.5 to 1
Holbrook,01330000,      80.6,  96.3,     331,  90.9,  14.7 to 1
Holland,01350000,      18.3, 100.0,      98, 100.0,  13.4 to 1
Holliston,01360000,     212.8,  99.3,"   1,098",  99.4,  13.5 to 1
Holyoke,01370000,     495.7,  95.2,"   2,141",  96.0,  11.9 to 1
Holyoke Community Charter (District),04530000,      46.1,  74.0,     169,  98.2,  15.4 to 1
Hopedale,01380000,      79.5,  97.5,     392, 100.0,  16.1 to 1
Hopkinton,01390000,     236.5,  99.6,"   1,378",  98.7,  14.6 to 1
Hudson,01410000,     225.4,  99.6,"   1,135",  99.6,  13.3 to 1
Hull,01420000,      88.1,  99.5,     411,  99.5,  13.2 to 1
Innovation Academy Charter (District),04350000,      56.2,  45.8,     225, 100.0,  10.5 to 1
Ipswich,01440000,     150.8,  98.7,     855, 100.0,  14.0 to 1
KIPP Academy Lynn Charter (District),04290000,      25.9,  50.0,      71, 100.0,  14.3 to 1
King Philip,06900000,     123.4, 100.0,     606, 100.0,  17.4 to 1
Kingston,01450000,      66.4, 100.0,     324, 100.0,  17.9 to 1
Lakeville,01460000,      36.1, 100.0,     181, 100.0,  18.6 to 1
Lanesborough,01480000,      18.6, 100.0,      83, 100.0,  13.7 to 1
Lawrence,01490000,     920.6,  99.2,"   4,321",  97.4,  13.9 to 1
Lawrence Family Development Charter (District),04540000,      50.0,  90.0,     226, 100.0,  11.8 to 1
Lee,01500000,      76.0,  96.6,     333,  88.6,  10.8 to 1
Leicester,01510000,      95.9,  97.9,     474,  99.4,  19.4 to 1
Lenox,01520000,      72.8,  98.6,     419,  99.5,  11.0 to 1
Leominster,01530000,     435.9,  98.4,"   2,010",  98.6,  14.3 to 1
Leverett,01540000,      15.6,  99.4,      70, 100.0,  10.2 to 1
Lexington,01550000,     523.8, 100.0,"   2,167",  99.7,  12.2 to 1
Lincoln,01570000,     110.3,  99.1,     503,  99.2,   9.8 to 1
Lincoln-Sudbury,06950000,     122.2, 100.0,     752, 100.0,  13.2 to 1
Littleton,01580000,      97.7,  99.4,     493, 100.0,  16.2 to 1
Longmeadow,01590000,     230.4,  99.6,"   1,081",  98.5,  13.1 to 1
Lowell,01600000,     939.2,  98.5,"   6,880",  98.3,  14.5 to 1
Lowell Community Charter Public (District),04560000,      57.9,  81.9,     259,  79.2,  13.7 to 1
Lowell Middlesex Academy Charter (District),04580000,      12.0,  35.0,      89, 100.0,   9.0 to 1
Ludlow,01610000,     224.2,  95.8,"   1,013",  96.3,  13.3 to 1
Lunenburg,01620000,     102.3,  99.8,     437,  99.8,  16.1 to 1
Lynn,01630000,     889.1,  98.2,"   4,307",  94.3,  15.2 to 1
Lynnfield,01640000,     154.5, 100.0,     741,  99.9,  14.9 to 1
MATCH Charter Public School (District),04690000,      24.5,  40.8,      81,  95.1,  18.2 to 1
Ma Academy for Math and Science,04680000,       7.9, 100.0,      18, 100.0,  12.1 to 1
Malden,01650000,     433.6,  99.1,"   1,868",  99.6,  15.1 to 1
Manchester Essex Regional,06980000,     115.6,  97.4,     519,  93.8,  13.1 to 1
Mansfield,01670000,     259.6,  98.3,"   1,590",  97.5,  18.6 to 1
Marblehead,01680000,     235.1,  98.7,"   1,026",  95.3,  13.6 to 1
Marblehead Community Charter Public (District),04640000,      21.7,  89.6,      85,  97.6,  10.6 to 1
Marion,01690000,      30.6, 100.0,     128,  96.1,  15.1 to 1
Marlborough,01700000,     348.7,  97.5,"   1,634",  96.7,  13.1 to 1
Marshfield,01710000,     323.5, 100.0,"   1,362",  98.8,  14.4 to 1
Martha's Vineyard Charter (District),04660000,      19.7,  70.1,      88,  97.7,   9.2 to 1
Marthas Vineyard,07000000,      74.4,  94.6,     368,  91.6,   9.1 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      39.7,  60.0,     133,  81.2,  10.2 to 1
Masconomet,07050000,     124.1, 100.0,     707, 100.0,  16.8 to 1
Mashpee,01720000,     109.9, 100.0,     528, 100.0,  16.1 to 1
Mattapoisett,01730000,      37.5, 100.0,     198, 100.0,  13.8 to 1
Maynard,01740000,     106.4,  97.2,     533, 100.0,  12.3 to 1
Medfield,01750000,     200.3,  98.9,"   1,051",  99.3,  14.7 to 1
Medford,01760000,     382.9,  96.9,"   1,815",  99.2,  12.7 to 1
Medway,01770000,     176.1,  99.5,     923,  99.8,  15.0 to 1
Melrose,01780000,     248.2,  99.2,"   1,050",  97.2,  15.2 to 1
Mendon-Upton,07100000,     163.4,  95.3,     881,  98.8,  16.6 to 1
Methuen,01810000,     449.1,  99.3,"   1,922",  99.3,  15.8 to 1
Middleborough,01820000,     208.7,  99.5,"   1,027",  98.7,  16.6 to 1
Middleton,01840000,      64.2, 100.0,     301, 100.0,  12.7 to 1
Milford,01850000,     312.0,  98.2,"   1,685",  99.0,  13.4 to 1
Millbury,01860000,     128.5,  99.2,     623,  99.2,  14.4 to 1
Millis,01870000,      89.7,  98.3,     453,  98.9,  16.3 to 1
Milton,01890000,     270.7,  99.5,"   1,393",  99.3,  14.5 to 1
Minuteman Regional Vocational Technical,08300000,      71.2,  89.7,     241, 100.0,   8.7 to 1
Mohawk Trail,07170000,      99.2,  98.0,     471,  99.8,  10.8 to 1
Monson,01910000,      90.3,  98.9,     371,  98.7,  15.3 to 1
Montachusett Regional Vocational Technical,08320000,     104.0, 100.0,     310,  99.4,  13.5 to 1
Mount Greylock,07150000,      48.0, 100.0,     213,  99.5,  12.5 to 1
Mystic Valley Regional Charter (District),04700000,      88.4,  64.2,     528,  76.1,  15.7 to 1
Nahant,01960000,      14.3, 100.0,      64, 100.0,  16.8 to 1
Nantucket,01970000,     117.5,  96.6,     668,  93.6,  11.0 to 1
Narragansett,07200000,     108.9,  99.1,     555, 100.0,  13.7 to 1
Nashoba,07250000,     243.1,  99.1,"   1,108", 100.0,  14.4 to 1
Nashoba Valley Regional Vocational Technical,08520000,      49.9,  98.5,     190, 100.0,  13.3 to 1
Natick,01980000,     333.1,  98.9,"   1,939",  96.5,  14.5 to 1
Nauset,06600000,     124.4,  97.6,     653,  96.5,  12.3 to 1
Needham,01990000,     344.7,  99.1,"   1,510",  99.9,  15.5 to 1
Neighborhood House Charter (District),04440000,      41.8,  52.2,     212,  98.1,   9.5 to 1
New Bedford,02010000,     886.9,  97.5,"   4,801",  92.1,  14.1 to 1
New Leadership Charter (District),04710000,      21.9,  75.8,     283, 100.0,  22.4 to 1
New Salem-Wendell,07280000,      12.8,  95.4,      53,  86.8,  11.3 to 1
Newburyport,02040000,     170.1,  98.5,"   1,131",  99.3,  13.3 to 1
Newton,02070000,     808.5,  98.8,"   3,845",  98.7,  14.8 to 1
Norfolk,02080000,      74.4,  98.7,     285,  98.2,  13.6 to 1
Norfolk County Agricultural,09150000,      42.2, 100.0,      90, 100.0,  11.5 to 1
North Adams,02090000,     140.0,  95.6,     650,  98.6,  11.1 to 1
North Andover,02110000,     296.6,  98.6,"   1,792",  98.8,  15.6 to 1
North Attleborough,02120000,     293.3,  99.3,"   1,559",  99.4,  16.0 to 1
North Brookfield,02150000,      45.2, 100.0,     248, 100.0,  13.2 to 1
North Central Charter Essential (District),04740000,      33.9,  86.5,     259,  88.4,  10.9 to 1
North Middlesex,07350000,     267.7,  97.6,"   1,304",  97.2,  14.6 to 1
North Reading,02170000,     195.0,  99.5,     993,  99.1,  13.7 to 1
North Shore Regional Vocational Technical,08540000,      53.5,  98.8,      90,  97.8,   8.7 to 1
Northampton,02100000,     208.4,  99.0,"   1,020",  99.9,  12.9 to 1
Northampton-Smith Vocational Agricultural,04060000,      46.6,  88.2,     135,  94.1,   9.5 to 1
Northboro-Southboro,07300000,     101.0, 100.0,     521, 100.0,  14.2 to 1
Northborough,02130000,     136.3, 100.0,     720, 100.0,  13.9 to 1
Northbridge,02140000,     172.9,  98.3,     858,  93.6,  15.1 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     109.3,  99.1,     208,  99.0,  11.6 to 1
Northern Berkshire Regional Vocational Technical,08510000,      47.0,  90.7,     128,  98.4,  10.1 to 1
Norton,02180000,     169.3,  99.1,     944,  99.5,  16.4 to 1
Norwell,02190000,     139.9, 100.0,     668,  98.5,  16.8 to 1
Norwood,02200000,     267.1, 100.0,"   1,213", 100.0,  12.9 to 1
Oak Bluffs,02210000,      43.6,  97.7,     133,  96.2,   9.4 to 1
Old Colony Regional Vocational Technical,08550000,      48.8,  89.8,     119,  88.2,  11.5 to 1
Old Rochester,07400000,      85.2,  97.2,     454, 100.0,  14.0 to 1
Orange,02230000,      51.0,  98.0,     590,  98.3,  15.4 to 1
Orleans,02240000,      25.1, 100.0,     106, 100.0,   7.8 to 1
Oxford,02260000,     141.7,  97.9,     682,  96.6,  14.3 to 1
Palmer,02270000,     127.1, 100.0,     769, 100.0,  12.7 to 1
Pathfinder Regional Vocational Technical,08600000,      83.9,  95.2,     215,  94.9,   7.6 to 1
Peabody,02290000,     419.3,  98.6,"   1,972",  98.5,  14.5 to 1
Pelham,02300000,      11.0, 100.0,      64,  93.8,  10.9 to 1
Pembroke,02310000,     210.4,  97.6,     940,  96.1,  16.1 to 1
Pentucket,07450000,     210.6,  98.6,     987,  97.6,  14.9 to 1
Petersham,02340000,      11.0,  90.9,      45, 100.0,  10.3 to 1
Phoenix Charter Academy (District),04930000,      14.6,  79.0,     244,  81.1,  13.2 to 1
Pioneer Charter School of Science (District),04940000,      27.7,  56.7,     111, 100.0,  10.6 to 1
Pioneer Valley,07500000,      89.8, 100.0,     532, 100.0,  12.6 to 1
Pioneer Valley Chinese Immersion Charter(District),04970000,      20.8,  71.1,      50, 100.0,   9.6 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      39.0,  66.3,     337,  96.4,  10.4 to 1
Pittsfield,02360000,     475.2,  97.5,"   2,588",  96.8,  12.6 to 1
Plainville,02380000,      51.3, 100.0,     272, 100.0,  15.6 to 1
Plymouth,02390000,     597.8,  99.2,"   2,579",  99.6,  13.6 to 1
Plympton,02400000,      16.2, 100.0,      93, 100.0,  14.2 to 1
Prospect Hill Academy Charter (District),04870000,      84.6,  75.1,     471,  95.1,  13.2 to 1
Provincetown,02420000,      22.5,  99.6,      92,  97.8,   5.6 to 1
Quabbin,07530000,     198.7,  99.0,     993,  99.0,  14.4 to 1
Quaboag Regional,07780000,      98.7,  92.3,     502,  98.4,  14.6 to 1
Quincy,02430000,     630.2,  99.1,"   3,251",  99.6,  14.5 to 1
Ralph C Mahar,07550000,      64.8,  95.2,     542,  94.6,  12.7 to 1
Randolph,02440000,     230.0,  99.1,"   1,026",  99.7,  12.5 to 1
Reading,02460000,     301.5,  99.7,"   1,266", 100.0,  14.8 to 1
Revere,02480000,     444.7,  99.8,"   2,952",  99.6,  14.0 to 1
Richmond,02490000,      19.9, 100.0,      93, 100.0,   8.3 to 1
Rising Tide Charter Public (District),04830000,      24.8,  71.7,     104, 100.0,  12.8 to 1
River Valley Charter (District),04820000,      17.1,  73.0,      98, 100.0,  16.8 to 1
Rochester,02500000,      39.9, 100.0,     206, 100.0,  13.6 to 1
Rockland,02510000,     131.2,  98.1,     708,  99.4,  17.2 to 1
Rockport,02520000,      79.1,  99.2,     452,  98.7,  12.0 to 1
Rowe,02530000,       8.1, 100.0,      43, 100.0,   8.2 to 1
Roxbury Preparatory Charter (District),04840000,      27.8,  37.3,      66, 100.0,   9.2 to 1
Sabis International Charter (District),04410000,      63.9,  77.6,     434,  96.3,  24.6 to 1
Salem,02580000,     415.4,  98.1,"   2,224",  99.7,  11.0 to 1
Salem Academy Charter (District),04850000,      35.6,  77.4,     164, 100.0,   8.7 to 1
Sandwich,02610000,     238.1,  97.5,"   1,062",  97.4,  14.4 to 1
Saugus,02620000,     208.3,  99.5,"   1,070",  99.9,  13.7 to 1
Savoy,02630000,       4.7,  95.7,      28, 100.0,   8.3 to 1
Scituate,02640000,     215.4, 100.0,"   1,157", 100.0,  15.2 to 1
Seekonk,02650000,     137.8,  99.9,     604,  99.0,  15.5 to 1
Seven Hills Charter Public (District),04860000,      48.7,  90.5,     266, 100.0,  13.6 to 1
Sharon,02660000,     246.0, 100.0,"   1,132",  98.6,  14.0 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     121.0,  97.5,     277,  98.6,  10.9 to 1
Sherborn,02690000,      34.8, 100.0,     166, 100.0,  12.4 to 1
Shirley,02700000,      62.2,  95.2,     266,  97.7,  12.5 to 1
Shrewsbury,02710000,     351.9,  99.6,"   1,620", 100.0,  16.9 to 1
Shutesbury,02720000,      14.6, 100.0,      87, 100.0,  10.0 to 1
Silver Hill Horace Mann Charter (District),04770000,      35.0, 100.0,     284, 100.0,  16.5 to 1
Silver Lake,07600000,     129.5, 100.0,     528, 100.0,  14.9 to 1
Smith Leadership Academy Charter Public (District),04190000,      17.9,  35.2,     169,  95.3,  11.6 to 1
Somerset,02730000,     174.4,  99.0,"   1,051",  96.6,  15.8 to 1
Somerville,02740000,     338.0,  98.7,"   1,648",  98.4,  14.4 to 1
South Hadley,02780000,     164.8,  99.8,     722,  98.1,  12.6 to 1
South Middlesex Regional Vocational Technical,08290000,      72.2,  98.6,     192, 100.0,   9.3 to 1
South Shore Charter Public (District),04880000,      46.0,  75.0,     208, 100.0,  11.6 to 1
South Shore Regional Vocational Technical,08730000,      60.0,  84.5,     150,  96.0,  10.0 to 1
Southampton,02750000,      40.0, 100.0,     191, 100.0,  13.9 to 1
Southborough,02760000,     108.7, 100.0,     604, 100.0,  13.8 to 1
Southbridge,02770000,     183.7,  95.6,     907,  94.7,  12.0 to 1
Southeastern Regional Vocational Technical,08720000,     110.4,  97.6,     343, 100.0,  11.4 to 1
Southern Berkshire,07650000,      77.0,  96.2,     543,  96.3,  11.3 to 1
Southern Worcester County Regional Vocational Technical,08760000,     110.4,  98.2,     322, 100.0,   9.8 to 1
Southwick-Tolland,07660000,     139.8, 100.0,     566, 100.0,  12.4 to 1
Spencer-E Brookfield,07670000,     134.8,  97.8,     627, 100.0,  14.6 to 1
Spirit of Knowledge Charter School (District),04760000,       9.3,  51.2,      50,  58.0,  14.5 to 1
Springfield,02810000,"   2,076.8",  95.0,"   6,391",  95.8,  12.1 to 1
Stoneham,02840000,     190.9, 100.0,"   1,009",  99.6,  13.4 to 1
