2010-11 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     111.7,  88.2,     609,  99.2,  12.8 to 1
Abington,00010000,     109.5,  99.8,     683,  98.5,  18.4 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      34.8,  66.1,     123, 100.0,  13.9 to 1
Acton,00020000,     139.5, 100.0,     711, 100.0,  18.4 to 1
Acton-Boxborough,06000000,     181.6, 100.0,     826, 100.0,  16.2 to 1
Acushnet,00030000,      72.9, 100.0,     320, 100.0,  13.8 to 1
Adams-Cheshire,06030000,     102.7,  99.0,     618,  99.0,  14.6 to 1
Advanced Math and Science Academy Charter (District),04300000,      70.4,  65.8,     386, 100.0,  13.7 to 1
Agawam,00050000,     311.9,  99.7,"   1,899", 100.0,  13.6 to 1
Amesbury,00070000,     163.4,  98.8,     817,  95.7,  14.6 to 1
Amesbury Academy Charter Public (District),04150000,       5.9,  83.1,      12, 100.0,   8.3 to 1
Amherst,00080000,     124.2,  99.2,     537,  98.5,  10.0 to 1
Amherst-Pelham,06050000,     132.1,  99.2,"   1,106",  87.9,  11.9 to 1
Andover,00090000,     438.5,  98.9,"   1,906",  99.6,  14.1 to 1
Arlington,00100000,     316.7,  98.1,"   1,537",  98.2,  15.2 to 1
Ashburnham-Westminster,06100000,     148.1,  98.6,     862,  94.7,  15.8 to 1
Ashland,00140000,     169.8,  99.4,     805,  99.9,  15.4 to 1
Assabet Valley Regional Vocational Technical,08010000,      98.5,  93.4,     333,  97.6,  10.1 to 1
Athol-Royalston,06150000,     127.6, 100.0,     654, 100.0,  12.6 to 1
Atlantis Charter (District),04910000,      56.0,  94.6,     316,  98.4,  13.2 to 1
Attleboro,00160000,     365.8,  99.2,"   1,854",  97.2,  16.0 to 1
Auburn,00170000,     167.0,  98.8,"   1,092", 100.0,  14.2 to 1
Avon,00180000,      63.4, 100.0,     311,  99.4,  12.2 to 1
Ayer,00190000,      45.6,  97.4,     340, 100.0,  20.0 to 1
Barnstable,00200000,     320.8,  99.7,"   1,503",  99.2,  12.9 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      22.3, 100.0,     112, 100.0,  15.0 to 1
Barnstable Horace Mann Charter (District),04230000,      48.0, 100.0,     291, 100.0,  17.0 to 1
Bedford,00230000,     198.3,  98.0,     961,  99.2,  12.0 to 1
Belchertown,00240000,     163.5, 100.0,     858,  99.8,  15.9 to 1
Bellingham,00250000,     163.9, 100.0,     933,  95.7,  15.7 to 1
Belmont,00260000,     230.5, 100.0,"   1,274", 100.0,  17.0 to 1
Benjamin Banneker Charter Public (District),04200000,      23.0, 100.0,      88,  94.3,  14.8 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      30.8,  88.3,     178,  89.9,  14.2 to 1
Berkley,00270000,      61.1,  98.4,     318,  98.4,  14.7 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      23.4,  40.6,      91,  87.9,  11.2 to 1
Berkshire Hills,06180000,     118.8, 100.0,     587,  95.1,  11.4 to 1
Berlin,00280000,      19.1, 100.0,      89, 100.0,  10.5 to 1
Berlin-Boylston,06200000,      36.3, 100.0,     176,  98.9,  11.4 to 1
Beverly,00300000,     284.5,  99.2,"   1,222",  99.3,  14.9 to 1
Billerica,00310000,     397.0,  97.7,"   1,761",  97.7,  14.6 to 1
Blackstone Valley Regional Vocational Technical,08050000,      89.7,  95.5,     300,  96.7,  12.8 to 1
Blackstone-Millville,06220000,     140.2, 100.0,     697,  98.7,  14.4 to 1
Blue Hills Regional Vocational Technical,08060000,      80.0,  98.8,     194, 100.0,  10.6 to 1
Boston,00350000,"   4,260.3",  97.5,"  17,981",  93.9,  13.2 to 1
Boston Collegiate Charter (District),04490000,      44.4,  52.7,     170,  97.6,  12.5 to 1
Boston Day and Evening Academy Charter (District),04240000,      24.6,  96.7,     227,  95.2,  13.1 to 1
Boston Preparatory Charter Public (District),04160000,      33.7,  41.5,      87,  89.7,  10.3 to 1
Boston Renaissance Charter Public (District),04810000,      93.8,  80.7,     386,  87.0,  11.7 to 1
Bourne,00360000,     157.4,  98.2,     845, 100.0,  14.6 to 1
Boxborough,00370000,      38.0, 100.0,     140, 100.0,  12.8 to 1
Boxford,00380000,      64.8, 100.0,     321, 100.0,  13.4 to 1
