2013-14 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     111.8,  94.6,     620, 100.0,  12.8 to 1
Abington,00010000,     127.4,  99.1,     758,  98.3,  15.3 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      38.7,  55.9,     124, 100.0,  12.9 to 1
Acton,00020000,     141.4,  99.7,     656, 100.0,  17.5 to 1
Acton-Boxborough,06000000,     183.3,  99.5,     819, 100.0,  15.8 to 1
Acushnet,00030000,      68.0, 100.0,     334,  98.5,  14.6 to 1
Adams-Cheshire,06030000,      94.7,  98.0,     690,  95.2,  14.7 to 1
Advanced Math and Science Academy Charter (District),04300000,      87.0,  83.2,     365, 100.0,  11.5 to 1
Agawam,00050000,     320.0, 100.0,"   1,768", 100.0,  12.8 to 1
Alma del Mar Charter School (District),04090000,      19.0,  36.9,      72,  44.4,  10.5 to 1
Amesbury,00070000,     156.7,  99.4,     876,  96.7,  15.0 to 1
Amesbury Academy Charter Public (District),04150000,       6.1,  80.2,      16,  75.0,   7.7 to 1
Amherst,00080000,     113.9,  99.3,     449, 100.0,  10.6 to 1
Amherst-Pelham,06050000,     126.7,  99.2,     951,  95.8,  11.7 to 1
Andover,00090000,     461.9,  99.3,"   2,150", 100.0,  13.2 to 1
Arlington,00100000,     317.8,  98.4,"   1,725",  99.6,  15.8 to 1
Ashburnham-Westminster,06100000,     150.9,  99.3,     897,  99.4,  15.2 to 1
Ashland,00140000,     175.4, 100.0,     838,  99.5,  14.7 to 1
Assabet Valley Regional Vocational Technical,08010000,      96.6,  95.9,     361,  98.1,  10.6 to 1
Athol-Royalston,06150000,     108.7,  99.1,     473,  99.2,  13.2 to 1
Atlantis Charter (District),04910000,      54.6,  85.3,     240, 100.0,  14.5 to 1
Attleboro,00160000,     390.9,  99.7,"   2,112",  98.4,  15.0 to 1
Auburn,00170000,     171.9, 100.0,"   1,015",  98.7,  13.7 to 1
Avon,00180000,      62.6, 100.0,     303, 100.0,  11.8 to 1
Ayer Shirley School District,06160000,     128.6,  95.1,     610,  94.3,  13.0 to 1
