2013-14 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Barnstable,00200000,     370.3,  99.9,"   1,707",  99.0,  13.2 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      23.7, 100.0,     112, 100.0,  12.4 to 1
Baystate Academy Charter Public School (District),35020000,       9.2,  61.6,      33,  97.0,  17.5 to 1
Bedford,00230000,     209.0,  98.8,"   1,048",  99.4,  12.2 to 1
Belchertown,00240000,     170.1, 100.0,     957, 100.0,  14.2 to 1
Bellingham,00250000,     170.5,  98.8,     930,  99.5,  14.1 to 1
Belmont,00260000,     246.0, 100.0,"   1,202", 100.0,  17.1 to 1
Benjamin Banneker Charter Public (District),04200000,      20.0,  95.0,     113,  94.7,  17.3 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      33.0,  75.8,     147, 100.0,  13.6 to 1
Berkley,00270000,      59.9, 100.0,     287,  96.9,  14.6 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      30.3,  49.8,     116,  82.8,  10.7 to 1
Berkshire Hills,06180000,     115.8, 100.0,     578,  99.1,  12.0 to 1
Berlin,00280000,      17.9, 100.0,     112, 100.0,  11.4 to 1
Berlin-Boylston,06200000,      42.7, 100.0,     208, 100.0,  12.7 to 1
Beverly,00300000,     300.7,  98.5,"   1,391",  99.8,  14.6 to 1
Billerica,00310000,     377.0, 100.0,"   1,704",  96.6,  14.2 to 1
Blackstone Valley Regional Vocational Technical,08050000,      88.1,  97.7,     317, 100.0,  13.2 to 1
Blackstone-Millville,06220000,     138.5,  97.8,     597,  98.2,  13.3 to 1
Blue Hills Regional Vocational Technical,08060000,      74.1,  98.6,     193, 100.0,  11.4 to 1
Boston,00350000,"   4,001.1",  95.7,"  19,451",  76.1,  13.6 to 1
Boston Collegiate Charter (District),04490000,      62.1,  59.7,     219, 100.0,  10.2 to 1
Boston Day and Evening Academy Charter (District),04240000,      26.4,  88.6,     277,  96.4,  13.9 to 1
Boston Green Academy Horace Mann Charter School (District),04110000,      33.1,  81.9,      89, 100.0,   9.8 to 1
Boston Preparatory Charter Public (District),04160000,      34.5,  75.4,      81,  67.9,  10.8 to 1
Boston Renaissance Charter Public (District),04810000,      72.7,  77.8,     333,  89.2,  12.9 to 1
Bourne,00360000,     157.0,  97.5,     861,  96.3,  13.0 to 1
Boxborough,00370000,      35.9, 100.0,     140, 100.0,  11.9 to 1
Boxford,00380000,      57.8, 100.0,     307,  93.2,  12.9 to 1
Boylston,00390000,      20.5, 100.0,     144, 100.0,  15.4 to 1
Braintree,00400000,     402.0,  99.8,"   2,254",  99.8,  14.0 to 1
Brewster,00410000,      43.5, 100.0,     179, 100.0,  11.0 to 1
Bridge Boston Charter School (District),04170000,      11.6,  65.6,      45,  77.8,  12.6 to 1
Bridgewater-Raynham,06250000,     317.0, 100.0,"   1,638",  99.8,  17.0 to 1
Brimfield,00430000,      30.8, 100.0,     111, 100.0,  10.0 to 1
Bristol County Agricultural,09100000,      34.4,  97.1,      93, 100.0,  13.1 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      94.8, 100.0,     616, 100.0,  13.6 to 1
Brockton,00440000,"   1,112.8",  99.2,"   5,295",  96.4,  15.3 to 1
Brooke Charter School East Boston (District),04570000,      24.5,  67.3,     125,  81.6,  11.8 to 1
Brooke Charter School Mattapan (District),04430000,      33.0,  48.5,     151,  54.3,  10.9 to 1
Brooke Charter School Roslindale (District),04280000,      41.0,  52.4,     199,  84.4,  12.0 to 1
Brookfield,00450000,      23.8, 100.0,      91, 100.0,  13.3 to 1
Brookline,00460000,     538.9,  99.7,"   2,813",  99.4,  13.5 to 1
Burlington,00480000,     294.9,  99.8,"   1,367",  97.1,  12.1 to 1
Cambridge,00490000,     607.7,  96.9,"   3,029",  97.3,  10.5 to 1
Canton,00500000,     237.0,  99.5,"   1,131", 100.0,  13.7 to 1
Cape Cod Lighthouse Charter (District),04320000,      18.0,  81.3,      42,  90.5,  13.3 to 1
Cape Cod Regional Vocational Technical,08150000,      70.2,  89.7,     192,  93.8,   9.3 to 1
Carlisle,00510000,      57.0, 100.0,     237, 100.0,  11.2 to 1
Carver,00520000,     132.5,  99.2,     686,  99.9,  12.9 to 1
Central Berkshire,06350000,     144.5,  99.3,     734,  98.8,  12.0 to 1
Chelmsford,00560000,     346.1,  99.7,"   2,043",  99.2,  14.8 to 1
Chelsea,00570000,     413.1,  99.0,"   1,512",  99.7,  14.8 to 1
Chesterfield-Goshen,06320000,      14.2, 100.0,      77,  80.5,  11.0 to 1
Chicopee,00610000,     618.2,  99.2,"   2,641",  98.4,  12.6 to 1
Christa McAuliffe Regional Charter Public (District),04180000,      30.3,  70.3,     111,  87.4,  11.5 to 1
City On A Hill Charter Public (District),04370000,      23.8,  79.0,      87,  95.4,  12.0 to 1
City on a Hill Charter Public School II (District),35040000,       8.2,  75.6,      31,  90.3,  12.9 to 1
Clarksburg,00630000,      14.1,  97.2,      74,  87.8,  12.6 to 1
Clinton,00640000,     129.8,  98.6,     597,  99.0,  14.7 to 1
Codman Academy Charter Public (District),04380000,      18.7,  48.9,      50, 100.0,  10.4 to 1
Cohasset,00650000,      99.8, 100.0,     562, 100.0,  16.4 to 1
Community Charter School of Cambridge (District),04360000,      38.2,  70.8,     215, 100.0,   9.9 to 1
Community Day Charter Public School - Gateway (District),04260000,      18.1,  68.3,      48, 100.0,   8.8 to 1
Community Day Charter Public School - Prospect (District),04400000,      33.8,  74.8,      88, 100.0,   9.8 to 1
Community Day Charter Public School - R. Kingman Webster (District),04310000,      18.1,  73.7,      48, 100.0,   8.8 to 1
Concord,00670000,     159.2, 100.0,     789, 100.0,  13.7 to 1
Concord-Carlisle,06400000,      90.7, 100.0,     412, 100.0,  13.5 to 1
Conservatory Lab Charter (District),04390000,      14.0,  85.7,      67, 100.0,  22.3 to 1
Conway,00680000,      11.7,  98.3,      36,  61.1,  14.7 to 1
Danvers,00710000,     266.5,  99.3,"   1,332", 100.0,  13.7 to 1
Dartmouth,00720000,     277.8, 100.0,"   1,128",  99.7,  13.3 to 1
Dedham,00730000,     227.7, 100.0,"   1,160", 100.0,  12.4 to 1
Deerfield,00740000,      43.1, 100.0,     187,  89.3,  10.3 to 1
Dennis-Yarmouth,06450000,     303.4,  99.7,"   1,356",  99.2,  10.0 to 1
Dighton-Rehoboth,06500000,     210.8,  99.5,"   1,033", 100.0,  14.3 to 1
Dorchester Collegiate Academy Charter (District),04750000,       6.9,  50.9,      50,   0.0,  28.3 to 1
Douglas,00770000,      99.7,  99.0,     479,  99.4,  16.0 to 1
Dover,00780000,      41.1,  95.9,     209,  98.1,  12.3 to 1
Dover-Sherborn,06550000,     103.5, 100.0,     563, 100.0,  11.3 to 1
Dracut,00790000,     212.4,  99.5,"   1,302",  98.4,  18.0 to 1
Dudley Street Neighborhood Charter School (District),04070000,      13.0,  84.6,      54,  74.1,  13.7 to 1
Dudley-Charlton Reg,06580000,     273.5,  99.6,"   1,343",  99.6,  14.8 to 1
Duxbury,00820000,     234.0,  98.7,"   1,067",  99.6,  13.9 to 1
East Bridgewater,00830000,     128.8,  98.9,     685,  97.4,  17.8 to 1
East Longmeadow,00870000,     197.7,  99.5,     916, 100.0,  13.7 to 1
Eastham,00850000,      22.9, 100.0,      92, 100.0,   9.3 to 1
Easthampton,00860000,     117.1,  99.1,     507, 100.0,  13.3 to 1
Easton,00880000,     266.8,  98.8,"   1,148",  98.7,  14.5 to 1
Edgartown,00890000,      38.5,  99.3,     150,  90.0,   9.2 to 1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,      25.3,  86.7,      95,  91.6,  13.1 to 1
Erving,00910000,      16.6,  93.4,      74, 100.0,   9.1 to 1
Essex Agricultural Technical,09130000,      49.3,  95.9,     125, 100.0,   9.6 to 1
Everett,00930000,     484.9,  99.4,"   2,082",  98.7,  14.2 to 1
Excel Academy Charter (District),04100000,      22.4,  25.9,      47,  91.5,   9.5 to 1
Excel Academy Charter School - Boston II (District),04590000,      11.1,  18.9,      25,  84.0,  10.1 to 1
Excel Academy Charter School - Chelsea (District),04610000,      14.9,  55.0,      32,  81.3,  11.3 to 1
Fairhaven,00940000,     142.6,  97.1,     749, 100.0,  13.8 to 1
Fall River,00950000,     717.1,  95.4,"   3,272",  93.6,  14.4 to 1
Falmouth,00960000,     282.3, 100.0,"   1,318", 100.0,  12.5 to 1
Farmington River Reg,06620000,      14.8, 100.0,      56, 100.0,   8.8 to 1
Fitchburg,00970000,     357.3,  99.2,"   2,012",  99.6,  14.0 to 1
Florida,00980000,      12.0,  88.3,      59,  79.7,   7.9 to 1
Four Rivers Charter Public (District),04130000,      22.4,  66.4,     139,  93.5,   9.7 to 1
Foxborough,00990000,     209.1, 100.0,"   1,083",  99.9,  13.1 to 1
Foxborough Regional Charter (District),04460000,      82.1,  79.0,     358,  92.5,  15.4 to 1
Framingham,01000000,     647.6,  98.9,"   3,950",  16.3,  12.8 to 1
Francis W. Parker Charter Essential (District),04780000,      47.2,  74.3,     220, 100.0,   8.4 to 1
Franklin,01010000,     405.2,  99.8,"   1,767",  99.7,  14.2 to 1
Franklin County Regional Vocational Technical,08180000,      54.4,  96.3,     220, 100.0,   9.6 to 1
Freetown-Lakeville,06650000,     187.1,  99.6,     882,  99.5,  15.9 to 1
Frontier,06700000,      57.0,  99.3,     372,  98.7,  10.9 to 1
Gardner,01030000,     178.3, 100.0,     910, 100.0,  13.9 to 1
Gateway,06720000,      84.2,  97.6,     361, 100.0,  11.7 to 1
Georgetown,01050000,     108.6,  95.9,     506,  98.2,  13.9 to 1
Gill-Montague,06740000,      91.7, 100.0,     402, 100.0,  11.0 to 1
Global Learning Charter Public  (District),04960000,      40.5,  86.8,     194,  96.9,  12.4 to 1
Gloucester,01070000,     252.6,  98.8,"   1,081",  98.9,  12.2 to 1
Gosnold,01090000,       1.0, 100.0,       3, 100.0,   2.0 to 1
Grafton,01100000,     208.3, 100.0,"   1,038",  99.8,  14.7 to 1
Granby,01110000,      69.5, 100.0,     427, 100.0,  13.5 to 1
Greater Fall River Regional Vocational Technical,08210000,     133.3, 100.0,     501, 100.0,  10.6 to 1
Greater Lawrence Regional Vocational Technical,08230000,     132.7,  95.1,     363, 100.0,  10.1 to 1
Greater Lowell Regional Vocational Technical,08280000,     180.0,  96.1,     510,  99.0,  11.7 to 1
Greater New Bedford Regional Vocational Technical,08250000,     196.8,  97.0,     501,  99.2,  10.9 to 1
Greenfield,01140000,     136.1,  99.3,     680,  96.6,  12.7 to 1
Groton-Dunstable,06730000,     175.0, 100.0,     932, 100.0,  15.0 to 1
Hadley,01170000,      48.4, 100.0,     295, 100.0,  12.9 to 1
Halifax,01180000,      35.7, 100.0,     179, 100.0,  15.9 to 1
Hamilton-Wenham,06750000,     152.1, 100.0,     632, 100.0,  12.4 to 1
Hampden Charter School of Science (District),04990000,      29.5,  76.8,     231, 100.0,  12.0 to 1
Hampden-Wilbraham,06800000,     223.9,  99.6,"   1,166", 100.0,  14.9 to 1
Hampshire,06830000,      61.6,  99.2,     304,  99.0,  12.3 to 1
Hancock,01210000,       5.9,  93.3,      23,  69.6,   7.6 to 1
Hanover,01220000,     188.6, 100.0,     808,  99.9,  14.0 to 1
Harvard,01250000,      86.5, 100.0,     428, 100.0,  13.5 to 1
Hatfield,01270000,      44.0, 100.0,     206,  93.2,  10.2 to 1
Haverhill,01280000,     502.1,  95.7,"   3,083",  96.5,  14.2 to 1
Hawlemont,06850000,       7.9,  93.7,      44, 100.0,  12.4 to 1
Hill View Montessori Charter Public (District),04550000,      20.2,  80.1,      92, 100.0,  15.1 to 1
Hilltown Cooperative Charter  Public (District),04500000,      14.7,  89.8,      56, 100.0,  11.9 to 1
Hingham,01310000,     276.2, 100.0,"   1,348", 100.0,  15.3 to 1
Holbrook,01330000,      91.0, 100.0,     378, 100.0,  13.5 to 1
Holland,01350000,      18.4, 100.0,      65, 100.0,  12.9 to 1
Holliston,01360000,     212.8,  99.6,"   1,108",  98.6,  13.2 to 1
Holyoke,01370000,     499.7,  96.2,"   2,102",  94.1,  11.2 to 1
Holyoke Community Charter (District),04530000,      53.6,  83.5,     160,  94.4,  13.1 to 1
Hopedale,01380000,      87.4,  99.4,     360, 100.0,  14.4 to 1
Hopkinton,01390000,     243.7, 100.0,"   1,428",  99.2,  14.2 to 1
Hudson,01410000,     238.0,  98.7,"   1,134",  98.9,  12.4 to 1
Hull,01420000,      90.0, 100.0,     415, 100.0,  11.8 to 1
Innovation Academy Charter (District),04350000,      62.3,  79.2,     347,  72.6,  11.7 to 1
Ipswich,01440000,     148.7, 100.0,     826,  96.9,  13.4 to 1
KIPP Academy Boston Charter School (District),04630000,      15.0,  40.0,      27,  88.9,   9.4 to 1
KIPP Academy Lynn Charter (District),04290000,      65.6,  50.7,     161,  89.4,  11.0 to 1
King Philip,06900000,     123.9, 100.0,     626, 100.0,  17.1 to 1
Kingston,01450000,      62.1, 100.0,     285, 100.0,  18.2 to 1
Lanesborough,01480000,      20.7,  97.6,      78,  84.6,   9.9 to 1
Lawrence,01490000,"   1,052.3",  92.3,"   4,844",  94.1,  12.8 to 1
Lawrence Family Development Charter (District),04540000,      54.0,  96.3,     324, 100.0,  12.1 to 1
Lee,01500000,      71.0, 100.0,     335,  97.0,  10.1 to 1
Leicester,01510000,     111.8, 100.0,     570, 100.0,  14.5 to 1
Lenox,01520000,      77.2, 100.0,     438, 100.0,   9.8 to 1
Leominster,01530000,     452.6,  98.7,"   2,556",  98.5,  13.6 to 1
Leverett,01540000,      14.7,  99.5,      55,  90.9,   8.2 to 1
Lexington,01550000,     545.6,  99.8,"   2,236",  99.9,  12.1 to 1
Lincoln,01570000,     123.4,  98.2,     682, 100.0,  10.2 to 1
Lincoln-Sudbury,06950000,     121.2,  99.6,     807, 100.0,  13.5 to 1
Littleton,01580000,      92.7,  99.4,     494, 100.0,  17.1 to 1
Longmeadow,01590000,     230.2,  99.7,"   1,013",  98.2,  12.4 to 1
Lowell,01600000,     983.7,  99.6,"   6,645",  99.6,  14.3 to 1
Lowell Collegiate Charter School (District),35030000,      15.2,  85.5,      66, 100.0,  17.9 to 1
Lowell Community Charter Public (District),04560000,      48.1, 100.0,     209, 100.0,  13.7 to 1
Lowell Middlesex Academy Charter (District),04580000,      12.5,  48.0,     160, 100.0,   7.9 to 1
Ludlow,01610000,     224.3,  99.0,"   1,086",  97.4,  12.5 to 1
Lunenburg,01620000,     100.6, 100.0,     545, 100.0,  15.6 to 1
Lynn,01630000,     984.5,  96.8,"   4,669",  94.4,  14.6 to 1
Lynnfield,01640000,     164.2, 100.0,     750, 100.0,  13.5 to 1
MATCH Charter Public School (District),04690000,      33.0,  50.4,      97,  94.8,  15.0 to 1
MATCH Community Day Charter Public School (District),04650000,      18.4,  46.2,      64,  59.4,  16.3 to 1
Ma Academy for Math and Science,04680000,       8.0,  74.8,      18, 100.0,  12.1 to 1
Malden,01650000,     453.4,  99.5,"   2,221",  99.8,  14.4 to 1
Manchester Essex Regional,06980000,     123.6,  99.7,     569,  98.2,  12.4 to 1
Mansfield,01670000,     311.9,  99.7,"   1,642",  99.5,  13.9 to 1
Marblehead,01680000,     245.0,  99.3,     985,  98.0,  13.4 to 1
Marblehead Community Charter Public (District),04640000,      22.2,  84.7,      78,  97.4,  10.4 to 1
Marion,01690000,      34.7, 100.0,     136, 100.0,  13.0 to 1
Marlborough,01700000,     351.8, 100.0,"   1,559",  99.6,  12.9 to 1
Marshfield,01710000,     322.8, 100.0,"   1,322", 100.0,  13.7 to 1
Martha's Vineyard Charter (District),04660000,      19.2,  82.8,      60, 100.0,   9.2 to 1
Marthas Vineyard,07000000,      76.1,  96.8,     353,  94.9,   9.0 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      38.2,  57.8,     108,  72.2,   9.8 to 1
Masconomet,07050000,     128.0, 100.0,     715,  99.3,  16.0 to 1
Mashpee,01720000,     133.5,  99.2,     678, 100.0,  12.5 to 1
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010000,       7.0, 100.0,     111,  93.7,  65.3 to 1
Mattapoisett,01730000,      39.5, 100.0,     164, 100.0,  13.0 to 1
Maynard,01740000,     104.3,  99.0,     564, 100.0,  13.6 to 1
Medfield,01750000,     195.0, 100.0,"   1,093",  99.3,  13.7 to 1
Medford,01760000,     389.2, 100.0,"   1,832", 100.0,  11.8 to 1
Medway,01770000,     146.3, 100.0,     805,  99.9,  16.6 to 1
Melrose,01780000,     256.8,  99.2,"   1,073",  99.5,  14.4 to 1
Mendon-Upton,07100000,     163.2,  98.2,     925,  98.7,  14.8 to 1
Methuen,01810000,     461.9,  99.8,"   2,109",  99.8,  15.0 to 1
Middleborough,01820000,     225.7,  98.7,"   1,249",  99.0,  14.3 to 1
Middleton,01840000,      61.9, 100.0,     239, 100.0,  12.5 to 1
Milford,01850000,     313.1,  99.0,"   1,361",  98.9,  13.4 to 1
Millbury,01860000,     126.9, 100.0,     561,  98.9,  14.0 to 1
Millis,01870000,      98.0,  99.0,     448, 100.0,  14.5 to 1
Milton,01890000,     272.4,  98.9,"   1,385",  98.9,  14.5 to 1
Minuteman Regional Vocational Technical,08300000,      79.2,  95.0,     264,  99.2,   9.0 to 1
Mohawk Trail,07170000,      74.5,  99.5,     403, 100.0,  12.9 to 1
Monomoy Regional School District,07120000,     181.6,  98.3,"   1,009", 100.0,  10.3 to 1
Monson,01910000,      80.3,  96.3,     301,  96.3,  14.4 to 1
Montachusett Regional Vocational Technical,08320000,     103.0,  98.1,     308,  98.1,  13.9 to 1
Mount Greylock,07150000,      52.5,  97.7,     286, 100.0,  11.1 to 1
Mystic Valley Regional Charter (District),04700000,     104.8,  67.9,     641,  80.2,  14.3 to 1
Nahant,01960000,      12.1, 100.0,      59, 100.0,  14.9 to 1
Nantucket,01970000,     122.6,  96.9,     767,  90.0,  12.1 to 1
Narragansett,07200000,      98.2,  99.0,     446,  97.3,  13.7 to 1
Nashoba,07250000,     245.7,  99.1,"   1,216", 100.0,  14.0 to 1
Nashoba Valley Regional Vocational Technical,08520000,      54.5,  92.7,     195, 100.0,  13.1 to 1
Natick,01980000,     360.0,  99.6,"   2,130",  98.5,  14.7 to 1
Nauset,06600000,     129.9, 100.0,     719,  96.0,  12.2 to 1
Needham,01990000,     357.5,  99.4,"   1,577", 100.0,  15.5 to 1
Neighborhood House Charter (District),04440000,      32.4,  69.1,     118, 100.0,  12.3 to 1
New Bedford,02010000,     816.3,  98.7,"   4,538",  91.0,  15.6 to 1
New Salem-Wendell,07280000,      12.6, 100.0,      22, 100.0,  11.0 to 1
Newburyport,02040000,     181.2, 100.0,"   1,191", 100.0,  12.9 to 1
Newton,02070000,"   1,012.8",  99.7,"   3,961",  98.7,  12.4 to 1
Norfolk,02080000,      68.0, 100.0,     303, 100.0,  13.6 to 1
Norfolk County Agricultural,09150000,      44.0,  95.5,     110, 100.0,  10.8 to 1
North Adams,02090000,     144.9,  95.7,     691,  82.2,  10.5 to 1
North Andover,02110000,     275.1,  99.4,"   1,918",  99.3,  17.4 to 1
North Attleborough,02120000,     276.9, 100.0,"   1,469",  99.7,  16.8 to 1
North Brookfield,02150000,      43.7,  98.5,     210, 100.0,  13.0 to 1
North Central Charter Essential (District),04740000,      35.4,  87.2,     253,  99.2,   9.4 to 1
North Middlesex,07350000,     265.6,  99.4,"   1,154",  99.5,  13.0 to 1
North Reading,02170000,     193.1, 100.0,"   1,006",  98.6,  13.5 to 1
North Shore Regional Vocational Technical,08540000,      50.7, 100.0,      96, 100.0,   9.1 to 1
Northampton,02100000,     205.5,  99.4,"   1,034",  99.4,  13.4 to 1
Northampton-Smith Vocational Agricultural,04060000,      47.9,  89.6,     131,  84.7,   8.6 to 1
Northboro-Southboro,07300000,     102.8, 100.0,     542, 100.0,  14.3 to 1
Northborough,02130000,     139.4,  99.3,     712,  99.9,  13.0 to 1
Northbridge,02140000,     172.5,  99.4,     870,  99.8,  15.1 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     113.0,  96.5,     220, 100.0,  11.2 to 1
Northern Berkshire Regional Vocational Technical,08510000,      46.2,  93.5,     121,  97.5,  10.9 to 1
Norton,02180000,     188.7, 100.0,     935, 100.0,  13.6 to 1
Norwell,02190000,     161.5, 100.0,     877,  99.3,  14.0 to 1
Norwood,02200000,     274.3,  99.7,"   1,299", 100.0,  12.7 to 1
Oak Bluffs,02210000,      44.6,  99.4,     193,  94.3,   8.7 to 1
Old Colony Regional Vocational Technical,08550000,      55.2,  96.6,     118,  91.5,  10.5 to 1
Old Rochester,07400000,      85.2,  98.8,     413, 100.0,  14.4 to 1
Orange,02230000,      39.6, 100.0,     298, 100.0,  16.7 to 1
Orleans,02240000,      25.5, 100.0,     102, 100.0,   8.2 to 1
Oxford,02260000,     136.9,  97.1,     685,  99.3,  14.0 to 1
Palmer,02270000,     118.4, 100.0,     770,  99.2,  12.4 to 1
Pathfinder Regional Vocational Technical,08600000,      80.1,  98.8,     211,  96.2,   7.6 to 1
Paulo Freire Social Justice Charter School (District),35010000,      19.9,  63.2,      64,  96.9,   7.7 to 1
Peabody,02290000,     445.6,  99.3,"   2,119",  98.3,  13.8 to 1
Pelham,02300000,      11.3, 100.0,      53, 100.0,  11.3 to 1
Pembroke,02310000,     202.0,  99.5,     997,  99.6,  16.2 to 1
Pentucket,07450000,     212.6,  98.4,     961,  95.5,  13.4 to 1
Petersham,02340000,      11.8,  91.6,      45, 100.0,   9.4 to 1
Phoenix Charter Academy (District),04930000,      17.2,  62.3,     273,  48.4,  11.2 to 1
Pioneer Charter School of Science (District),04940000,      32.2,  66.5,     150, 100.0,  11.2 to 1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      16.9,  69.5,      78, 100.0,   9.7 to 1
Pioneer Valley,07500000,      88.7,  95.5,     455,  96.7,  11.2 to 1
Pioneer Valley Chinese Immersion Charter(District),04970000,      33.1,  58.3,      68, 100.0,   9.7 to 1
Pioneer Valley Performing Arts Charter Public (District),04790000,      40.8,  60.3,     374,  92.8,   9.9 to 1
Pittsfield,02360000,     482.0,  97.7,"   2,628",  92.8,  12.2 to 1
Plainville,02380000,      51.6, 100.0,     275,  94.2,  14.9 to 1
Plymouth,02390000,     612.2,  99.5,"   2,909",  97.5,  12.7 to 1
Plympton,02400000,      16.2, 100.0,      84, 100.0,  14.6 to 1
Prospect Hill Academy Charter (District),04870000,      93.3,  70.5,     444,  81.8,  12.3 to 1
Provincetown,02420000,      18.6, 100.0,      72, 100.0,   5.8 to 1
Quabbin,07530000,     172.5,  98.6,"   1,061", 100.0,  14.4 to 1
Quaboag Regional,07780000,      93.7,  98.0,     498, 100.0,  14.7 to 1
Quincy,02430000,     679.2,  99.3,"   3,964", 100.0,  13.7 to 1
Ralph C Mahar,07550000,      66.4, 100.0,     527, 100.0,  12.3 to 1
Randolph,02440000,     242.5,  99.6,"   1,072",  97.1,  12.2 to 1
Reading,02460000,     316.7,  99.5,"   1,378",  98.3,  14.0 to 1
Revere,02480000,     507.3,  99.6,"   3,526", 100.0,  13.5 to 1
Richmond,02490000,      16.3,  84.9,      92,  78.3,   9.2 to 1
Rising Tide Charter Public (District),04830000,      43.5,  71.6,     219, 100.0,  12.0 to 1
River Valley Charter (District),04820000,      18.5,  70.3,      98,  94.9,  15.6 to 1
Rochester,02500000,      34.7, 100.0,     150, 100.0,  14.0 to 1
Rockland,02510000,     145.2, 100.0,     811, 100.0,  15.6 to 1
Rockport,02520000,      78.0, 100.0,     412, 100.0,  12.4 to 1
Rowe,02530000,       6.9,  97.5,      42, 100.0,   8.1 to 1
Roxbury Preparatory Charter (District),04840000,      65.1,  38.5,     190,  91.1,  11.0 to 1
Sabis International Charter (District),04410000,      63.2,  86.2,     419, 100.0,  24.9 to 1
Salem,02580000,     426.0,  99.0,"   1,837",  98.9,  10.2 to 1
Salem Academy Charter (District),04850000,      39.0,  76.4,     134, 100.0,   9.5 to 1
Salem Community Charter School (District),04670000,       4.6,  74.1,      13, 100.0,   9.3 to 1
Sandwich,02610000,     157.3,  98.9,     972,  98.9,  19.2 to 1
Saugus,02620000,     213.3, 100.0,"   1,217",  99.6,  13.1 to 1
Savoy,02630000,       4.1, 100.0,      45, 100.0,   8.8 to 1
Scituate,02640000,     230.2, 100.0,"   1,035",  99.5,  13.6 to 1
Seekonk,02650000,     144.0,  99.9,     618,  99.5,  14.2 to 1
Seven Hills Charter Public (District),04860000,      53.2,  98.1,     189, 100.0,  12.6 to 1
Sharon,02660000,     255.5,  99.9,"   1,155",  99.5,  13.4 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     128.2,  98.4,     306, 100.0,  10.7 to 1
Sherborn,02690000,      33.6,  97.0,     154,  98.1,  11.5 to 1
Shrewsbury,02710000,     341.9,  99.3,"   1,673",  99.6,  17.6 to 1
Shutesbury,02720000,      15.7, 100.0,      61, 100.0,   9.9 to 1
Silver Hill Horace Mann Charter (District),04770000,      38.1, 100.0,     258, 100.0,  15.7 to 1
Silver Lake,07600000,     132.2,  99.2,     557, 100.0,  14.3 to 1
Smith Leadership Academy Charter Public (District),04190000,      19.0,  57.9,      74,  89.2,  12.8 to 1
Somerset,02730000,     128.1, 100.0,     662,  99.5,  14.4 to 1
Somerset Berkley Regional School District,07630000,      83.5,  99.1,     415, 100.0,  11.4 to 1
