2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Chicopee,00610000,     615.2,  97.7,"   2,621",  97.3,  12.6 to 1
Christa McAuliffe Regional Charter Public (District),04180000,      27.2,  79.4,      99,  96.0,  11.4 to 1
City On A Hill Charter Public (District),04370000,      24.9,  77.5,     106,  94.3,  11.7 to 1
Clarksburg,00630000,      14.1, 100.0,      69, 100.0,  12.1 to 1
Clinton,00640000,     124.8,  99.8,     604,  99.0,  15.2 to 1
Codman Academy Charter Public (District),04380000,      15.0,  46.5,      32, 100.0,   9.8 to 1
Cohasset,00650000,     110.5, 100.0,     550, 100.0,  14.3 to 1
Community Charter School of Cambridge (District),04360000,      34.4,  64.9,     179, 100.0,  11.0 to 1
Community Day Charter Public School - Gateway (District),04260000,      12.8,  49.4,      36, 100.0,   9.3 to 1
Community Day Charter Public School - Prospect (District),04400000,      35.8,  63.6,      89, 100.0,   9.3 to 1
Community Day Charter Public School - R. Kingman Webster (District),04310000,      13.8,  53.0,      36, 100.0,   8.7 to 1
Concord,00670000,     156.5, 100.0,     791,  99.9,  13.7 to 1
Concord-Carlisle,06400000,      90.6, 100.0,     402, 100.0,  13.4 to 1
Conservatory Lab Charter (District),04390000,       8.0,  62.5,      40,  87.5,  22.5 to 1
Conway,00680000,      11.5,  98.3,      68,  91.2,  15.4 to 1
Danvers,00710000,     265.3,  99.0,"   1,333",  99.9,  13.5 to 1
Dartmouth,00720000,     281.6, 100.0,"   1,183",  99.8,  13.4 to 1
Dedham,00730000,     224.9, 100.0,"   1,132", 100.0,  12.6 to 1
Deerfield,00740000,      38.4,  98.9,     192,  88.5,  11.6 to 1
Dennis-Yarmouth,06450000,     294.0,  99.3,"   1,316",  99.9,  10.5 to 1
Dighton-Rehoboth,06500000,     222.1, 100.0,"   1,029",  99.5,  13.7 to 1
Dorchester Collegiate Academy Charter (District),04750000,      13.0,  53.8,      34, 100.0,  10.8 to 1
Douglas,00770000,     105.0,  99.0,     519,  96.9,  15.8 to 1
Dover,00780000,      42.9, 100.0,     204, 100.0,  12.2 to 1
Dover-Sherborn,06550000,      97.1, 100.0,     538, 100.0,  12.1 to 1
Dracut,00790000,     216.0,  98.7,"   1,376",  98.6,  17.9 to 1
Dudley Street Neighborhood Charter School (District),04070000,       8.0,  87.5,      36, 100.0,  16.4 to 1
Dudley-Charlton Reg,06580000,     269.4, 100.0,"   1,288",  99.8,  15.0 to 1
Duxbury,00820000,     235.3,  99.2,"   1,108",  99.0,  13.8 to 1
East Bridgewater,00830000,     123.0, 100.0,     644, 100.0,  18.3 to 1
