2014-15 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     117.0,  95.3,     604,  99.2,  12.2 to 1
Abington,00010000,     127.1,  99.0,     734, 100.0,  15.4 to 1
Academy Of the Pacific Rim Charter Public,04120000,      42.5,  66.8,     108,  98.1,  12.2 to 1
Acton-Boxborough,06000000,     362.0, 100.0,"   1,595", 100.0,  15.6 to 1
Acushnet,00030000,      70.0, 100.0,     336,  98.5,  13.9 to 1
Adams-Cheshire,06030000,     100.6,  96.7,     645,  93.6,  13.4 to 1
Advanced Math and Science Academy Charter (District),04300000,      81.4,  91.8,     365, 100.0,  12.3 to 1
Agawam,00050000,     310.9, 100.0,"   1,773", 100.0,  13.2 to 1
Alma del Mar Charter School,04090000,      22.4,  35.7,      42,  11.9,  10.7 to 1
Amesbury,00070000,     155.6, 100.0,     870,  90.3,  14.7 to 1
Amesbury Academy Charter Public (District),04150000,       5.3,  90.6,      22,   0.0,   8.7 to 1
Amherst,00080000,     112.2,  99.1,     448, 100.0,  10.7 to 1
Amherst-Pelham,06050000,     121.7,  99.2,     966,  90.8,  11.8 to 1
Andover,00090000,     456.9, 100.0,"   2,089", 100.0,  13.3 to 1
Argosy Collegiate Charter School (District),35090000,       7.6,  84.2,      24,  91.7,  13.6 to 1
Arlington,00100000,     359.7,  98.7,"   1,810",  99.0,  14.5 to 1
Ashburnham-Westminster,06100000,     155.9,  98.1,     927,  98.2,  15.1 to 1
Ashland,00140000,     183.0, 100.0,     864, 100.0,  14.2 to 1
Assabet Valley Regional Vocational Technical,08010000,     101.5,  98.0,     377, 100.0,  10.4 to 1
Athol-Royalston,06150000,     102.6,  99.0,     500,  99.2,  13.8 to 1
Atlantis Charter,04910000,      60.3,  85.1,     252, 100.0,  14.7 to 1
Attleboro,00160000,     390.1,  99.4,"   2,083",  98.8,  15.2 to 1
Auburn,00170000,     172.3, 100.0,"   1,041",  99.8,  13.7 to 1
Avon,00180000,      62.7, 100.0,     290, 100.0,  11.8 to 1
Ayer Shirley School District,06160000,     136.6, 100.0,     620,  95.6,  12.1 to 1
Barnstable,00200000,     370.1,  99.5,"   1,618",  99.4,  13.3 to 1
Barnstable Community Horace Mann Charter Public,04270000,      23.6, 100.0,     114, 100.0,  12.3 to 1
Baystate Academy Charter Public School (District),35020000,      22.1,  72.7,     119,  80.7,   9.9 to 1
Bedford,00230000,     219.5,  98.7,"   1,087",  99.2,  11.5 to 1
Belchertown,00240000,     167.7,  99.4,     919, 100.0,  14.1 to 1
Bellingham,00250000,     162.8, 100.0,     909, 100.0,  14.6 to 1
Belmont,00260000,     248.6,  99.6,"   1,177",  99.6,  17.2 to 1
Benjamin Banneker Charter Public (District),04200000,      20.0,  95.0,     102,  94.1,  17.4 to 1
Benjamin Franklin Classical Charter Public,04470000,      25.1,  68.3,     129, 100.0,  17.9 to 1
Berkley,00270000,      60.8, 100.0,     303,  98.3,  14.1 to 1
Berkshire Arts and Technology Charter Public,04140000,      29.6,  51.0,     127,  96.9,  11.3 to 1
Berkshire Hills,06180000,     113.1,  99.1,     549,  98.2,  11.8 to 1
Berlin,00280000,      17.0, 100.0,      96, 100.0,  11.0 to 1
Berlin-Boylston,06200000,      45.8, 100.0,     262, 100.0,  12.0 to 1
Beverly,00300000,     303.5,  98.8,"   1,188",  99.4,  14.8 to 1
Billerica,00310000,     379.0, 100.0,"   1,682",  98.5,  13.6 to 1
Blackstone Valley Regional Vocational Technical,08050000,      93.3,  97.2,     316, 100.0,  12.7 to 1
Blackstone-Millville,06220000,     136.1,  97.8,     592,  96.5,  13.0 to 1
Blue Hills Regional Vocational Technical,08060000,      75.0, 100.0,     200,  97.5,  11.4 to 1
Boston,00350000,"   4,228.9",  94.9,"  19,191",  66.1,  12.8 to 1
Boston Collegiate Charter,04490000,      58.7,  62.5,     221,  99.1,  11.7 to 1
Boston Day and Evening Academy Charter,04240000,      22.6, 100.0,     266,  99.6,  16.8 to 1
Boston Green Academy Horace Mann Charter School,04110000,      35.0,  85.0,     116, 100.0,  11.2 to 1
Boston Preparatory Charter Public,04160000,      33.1,  71.6,      81,  75.3,  11.8 to 1
Boston Renaissance Charter Public,04810000,      76.0,  75.0,     308,  74.4,  12.4 to 1
Bourne,00360000,     148.5,  98.0,     831,  98.9,  13.6 to 1
Boxford,00380000,      62.5, 100.0,     267,  93.6,  11.9 to 1
Boylston,00390000,      21.2, 100.0,     144, 100.0,  14.0 to 1
Braintree,00400000,     409.4,  99.4,"   2,248",  99.4,  13.9 to 1
Brewster,00410000,      41.4, 100.0,     177, 100.0,  11.6 to 1
Bridge Boston Charter School,04170000,      14.0,  71.4,      56,  91.1,  13.5 to 1
Bridgewater-Raynham,06250000,     327.7, 100.0,"   1,677", 100.0,  16.2 to 1
Brimfield,00430000,      26.9, 100.0,     103, 100.0,  10.8 to 1
Bristol County Agricultural,09100000,      32.2, 100.0,      96, 100.0,  13.9 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      97.9, 100.0,     636, 100.0,  13.5 to 1
Brockton,00440000,"   1,144.8",  99.4,"   5,388",  96.9,  15.0 to 1
Brooke Charter School East Boston,04570000,      33.0,  63.6,     183,  66.1,  11.9 to 1
Brooke Charter School Mattapan,04430000,      41.9,  47.5,     222,  51.8,  11.0 to 1
Brooke Charter School Roslindale,04280000,      41.0,  58.5,     202,  84.7,  12.3 to 1
Brookfield,00450000,      25.1, 100.0,      92, 100.0,  13.3 to 1
Brookline,00460000,     579.1,  99.5,"   2,872",  99.3,  13.0 to 1
Burlington,00480000,     299.0, 100.0,"   1,394",  95.7,  11.7 to 1
Cambridge,00490000,     636.7,  97.6,"   3,105",  96.3,  10.3 to 1
Canton,00500000,     235.7, 100.0,"   1,155",  99.7,  14.1 to 1
Cape Cod Lighthouse Charter,04320000,      21.8,  83.5,      47,  89.4,  11.0 to 1
Cape Cod Regional Vocational Technical,08150000,      72.2,  92.5,     206, 100.0,   9.0 to 1
Carlisle,00510000,      58.1, 100.0,     242, 100.0,  11.0 to 1
Carver,00520000,     122.1,  98.4,     649,  98.0,  13.4 to 1
Central Berkshire,06350000,     140.6,  99.3,     718,  99.3,  12.3 to 1
Chelmsford,00560000,     359.5,  99.7,"   2,108",  99.2,  14.1 to 1
Chelsea,00570000,     417.4,  98.8,"   1,483",  99.0,  15.2 to 1
Chesterfield-Goshen,06320000,      15.6, 100.0,      78,  93.6,   9.8 to 1
Chicopee,00610000,     609.9,  99.5,"   2,625",  98.2,  12.9 to 1
Christa McAuliffe Charter Public (District),04180000,      38.1,  73.8,     119,  78.2,  10.6 to 1
City on a Hill Charter Public School Circuit Street (District),04370000,      26.0,  76.9,      82,  93.9,  11.0 to 1
City on a Hill Charter Public School Dudley Square (District),35040000,      13.8,  81.2,      56,  94.6,  13.9 to 1
City on a Hill Charter Public School New Bedford (District),35070000,       8.1,  80.2,      30,  70.0,  10.9 to 1
Clarksburg,00630000,      15.1,  97.4,      74,  87.8,  11.1 to 1
Clinton,00640000,     137.6, 100.0,     639, 100.0,  13.6 to 1
Codman Academy Charter Public (District),04380000,      25.9,  53.5,      60, 100.0,  10.4 to 1
Cohasset,00650000,     115.9, 100.0,     574,  99.0,  13.9 to 1
Community Charter School of Cambridge,04360000,      30.9,  74.7,     219,  99.1,  12.9 to 1
Community Day Charter Public School - Gateway,04260000,      22.6,  66.9,      60, 100.0,   8.8 to 1
Community Day Charter Public School - Prospect,04400000,      43.8,  75.4,     107, 100.0,   9.1 to 1
Community Day Charter Public School - R. Kingman Webster,04310000,      22.6,  75.8,      60, 100.0,   8.8 to 1
Concord,00670000,     161.5, 100.0,     797, 100.0,  13.1 to 1
