2014-15 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Concord-Carlisle,06400000,      94.0, 100.0,     372,  98.9,  13.4 to 1
Conservatory Lab Charter (District),04390000,      18.0,  66.7,      88, 100.0,  21.8 to 1
Conway,00680000,       8.1, 100.0,      35, 100.0,  20.7 to 1
Danvers,00710000,     268.9,  98.9,"   1,341", 100.0,  13.3 to 1
Dartmouth,00720000,     270.9, 100.0,"   1,111",  99.8,  13.7 to 1
Dedham,00730000,     232.1, 100.0,"   1,137",  99.6,  12.0 to 1
Deerfield,00740000,      34.6, 100.0,     174, 100.0,  12.6 to 1
Dennis-Yarmouth,06450000,     296.8,  99.0,"   1,353",  99.4,  10.2 to 1
Dighton-Rehoboth,06500000,     221.0, 100.0,"   1,080",  99.9,  13.1 to 1
Dorchester Collegiate Academy Charter,04750000,      16.0,  56.3,      55,  10.9,  11.6 to 1
Douglas,00770000,     100.5, 100.0,     496, 100.0,  15.4 to 1
Dover,00780000,      38.8,  97.4,     196, 100.0,  12.1 to 1
Dover-Sherborn,06550000,     102.1, 100.0,     558, 100.0,  11.5 to 1
Dracut,00790000,     214.7,  99.0,"   1,346",  99.5,  17.2 to 1
Dudley Street Neighborhood Charter School,04070000,      15.0,  80.1,      66,  83.3,  14.7 to 1
Dudley-Charlton Reg,06580000,     273.2, 100.0,"   1,299",  99.8,  14.6 to 1
Duxbury,00820000,     233.9,  98.2,"   1,063",  98.7,  13.9 to 1
East Bridgewater,00830000,     135.3, 100.0,     644,  96.0,  16.9 to 1
East Longmeadow,00870000,     198.0,  99.5,     904,  99.7,  13.5 to 1
Eastham,00850000,      22.9, 100.0,      98, 100.0,   7.9 to 1
Easthampton,00860000,     110.4,  99.5,     493,  97.8,  13.9 to 1
Easton,00880000,     265.4, 100.0,"   1,117",  99.5,  14.3 to 1
Edgartown,00890000,      39.0,  99.3,     165,  90.9,   9.2 to 1
Edward M. Kennedy Academy for Health Careers,04520000,      28.3,  93.5,      88,  98.9,  12.7 to 1
Erving,00910000,      17.1,  97.1,      69, 100.0,   8.2 to 1
Essex North Shore Agricultural and Technical School District,08170000,     108.3,  97.2,     293, 100.0,  10.4 to 1
Everett,00930000,     512.0,  99.8,"   2,289",  98.7,  13.8 to 1
Excel Academy Charter,04100000,      56.6,  37.2,     138,  87.0,  10.7 to 1
Fairhaven,00940000,     144.3,  99.3,     773, 100.0,  13.9 to 1
Fall River,00950000,     711.0,  93.8,"   3,427",  92.3,  14.4 to 1
Falmouth,00960000,     288.0,  99.1,"   1,399", 100.0,  12.3 to 1
Farmington River Reg,06620000,      14.9, 100.0,      55, 100.0,   8.7 to 1
Fitchburg,00970000,     354.2,  99.7,"   1,941", 100.0,  14.2 to 1
Florida,00980000,      12.5,  88.8,      70,  82.9,   7.1 to 1
Four Rivers Charter Public,04130000,      21.1,  60.1,     133,  93.2,  10.3 to 1
Foxborough,00990000,     208.3, 100.0,"   1,090", 100.0,  13.0 to 1
Foxborough Regional Charter,04460000,      86.0,  79.5,     388,  89.4,  14.7 to 1
Framingham,01000000,     695.3,  99.0,"   3,158",  38.3,  11.7 to 1
Francis W. Parker Charter Essential,04780000,      45.8,  66.7,     212, 100.0,   8.6 to 1
Franklin,01010000,     406.5,  99.3,"   1,775",  99.0,  13.9 to 1
Franklin County Regional Vocational Technical,08180000,      57.3,  89.5,     171,  97.7,   9.1 to 1
Freetown-Lakeville,06650000,     188.4,  99.9,     893,  99.4,  15.1 to 1
Frontier,06700000,      53.1, 100.0,     344,  93.6,  11.3 to 1
Gardner,01030000,     178.2, 100.0,     793, 100.0,  13.9 to 1
Gateway,06720000,      85.8,  98.8,     379,  99.5,  11.1 to 1
Georgetown,01050000,     109.5,  99.1,     514,  94.9,  13.4 to 1
Gill-Montague,06740000,      92.5,  99.5,     440,  94.3,  10.8 to 1
Global Learning Charter Public,04960000,      42.8,  89.5,     200,  97.0,  11.9 to 1
Gloucester,01070000,     264.1,  98.9,"   1,099",  98.3,  11.2 to 1
Gosnold,01090000,       1.6,  77.1,       3, 100.0,   1.3 to 1
Grafton,01100000,     224.0, 100.0,"   1,092", 100.0,  14.1 to 1
Granby,01110000,      67.7, 100.0,     502,  99.6,  13.0 to 1
Greater Fall River Regional Vocational Technical,08210000,     129.5, 100.0,     491, 100.0,  10.9 to 1
Greater Lawrence Regional Vocational Technical,08230000,     133.3,  97.0,     372,  99.5,  10.1 to 1
Greater Lowell Regional Vocational Technical,08280000,     176.1,  98.9,     448,  96.0,  12.1 to 1
Greater New Bedford Regional Vocational Technical,08250000,     195.8,  97.3,     523,  99.6,  10.9 to 1
Greenfield,01140000,     146.0,  97.3,     743,  98.1,  12.0 to 1
Groton-Dunstable,06730000,     164.1,  99.8,     872,  99.9,  15.7 to 1
Hadley,01170000,      48.5, 100.0,     310, 100.0,  12.8 to 1
Halifax,01180000,      38.7, 100.0,     217, 100.0,  14.6 to 1
Hamilton-Wenham,06750000,     146.9, 100.0,     666,  97.4,  12.7 to 1
Hampden Charter School of Science,04990000,      31.5,  79.9,     230,  99.6,  11.5 to 1
Hampden-Wilbraham,06800000,     222.7,  99.6,"   1,078", 100.0,  14.5 to 1
Hampshire,06830000,      65.5,  96.9,     343,  96.8,  11.4 to 1
Hancock,01210000,       6.7, 100.0,      25,  48.0,   6.5 to 1
Hanover,01220000,     200.6,  99.5,     818, 100.0,  13.2 to 1
Harvard,01250000,      88.4, 100.0,     424, 100.0,  12.9 to 1
Hatfield,01270000,      41.6, 100.0,     207,  93.7,  11.1 to 1
Haverhill,01280000,     490.6,  95.8,"   3,174",  95.0,  14.8 to 1
Hawlemont,06850000,      10.4, 100.0,      51, 100.0,  10.5 to 1
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      18.0,  61.1,      68,  94.1,  12.4 to 1
Hill View Montessori Charter Public,04550000,      22.7,  71.8,      91,  85.7,  13.5 to 1
Hilltown Cooperative Charter  Public,04500000,      17.0,  91.5,      56, 100.0,  11.4 to 1
Hingham,01310000,     285.1,  99.6,"   1,464", 100.0,  15.1 to 1
Holbrook,01330000,      85.1,  98.8,     373, 100.0,  14.1 to 1
Holland,01350000,      19.3, 100.0,      78, 100.0,  12.3 to 1
Holliston,01360000,     207.2,  99.2,"   1,102",  98.3,  13.6 to 1
Holyoke,01370000,     439.2,  95.6,"   2,036",  87.8,  12.7 to 1
Holyoke Community Charter,04530000,      50.9,  84.5,     152,  96.1,  13.8 to 1
Hopedale,01380000,      86.0,  99.5,     375, 100.0,  14.2 to 1
Hopkinton,01390000,     252.2, 100.0,"   1,458",  99.9,  13.7 to 1
Hudson,01410000,     240.2,  97.9,"   1,080",  97.7,  12.0 to 1
Hull,01420000,      86.8,  98.8,     375,  99.7,  11.9 to 1
Innovation Academy Charter,04350000,      67.1,  85.5,     355,  90.4,  11.4 to 1
Ipswich,01440000,     140.8, 100.0,     759,  99.3,  13.6 to 1
KIPP Academy Boston Charter School (District),04630000,      29.0,  44.8,      49,  91.8,   9.9 to 1
KIPP Academy Lynn Charter,04290000,      76.7,  57.5,     194,  93.3,  11.1 to 1
King Philip,06900000,     127.1, 100.0,     631,  99.8,  16.5 to 1
Kingston,01450000,      67.3,  98.5,     324, 100.0,  15.7 to 1
Lanesborough,01480000,      21.7, 100.0,      84,  82.1,  10.0 to 1
Lawrence,01490000,"   1,020.2",  92.0,"   4,942",  87.0,  13.6 to 1
Lawrence Family Development Charter,04540000,      56.0,  91.1,     259, 100.0,  12.1 to 1
Lee,01500000,      69.8,  97.1,     345,  94.8,   9.8 to 1
Leicester,01510000,     105.6, 100.0,     584, 100.0,  15.2 to 1
Lenox,01520000,      78.3,  99.3,     444, 100.0,   9.3 to 1
Leominster,01530000,     441.1,  98.6,"   2,196",  96.8,  13.8 to 1
Leverett,01540000,      14.7,  99.5,      55,  90.9,   9.0 to 1
Lexington,01550000,     548.7,  99.8,"   2,332",  99.9,  12.4 to 1
Lincoln,01570000,     121.4,  99.2,     627, 100.0,  10.2 to 1
Lincoln-Sudbury,06950000,     123.6,  99.3,     809, 100.0,  13.1 to 1
Littleton,01580000,     106.6,  98.9,     542, 100.0,  15.0 to 1
Longmeadow,01590000,     238.5, 100.0,"   1,026",  99.9,  12.2 to 1
Lowell,01600000,"   1,005.4",  99.1,"   6,798",  99.0,  14.0 to 1
Lowell Collegiate Charter School (District),35030000,      21.5,  81.4,      84,  25.0,  15.8 to 1
Lowell Community Charter Public,04560000,      55.9,  98.2,     210,  97.6,  13.7 to 1
Lowell Middlesex Academy Charter,04580000,      11.9,  58.8,      84,  97.6,   9.2 to 1
Ludlow,01610000,     231.6,  98.9,"   1,120",  96.3,  11.7 to 1
Lunenburg,01620000,     101.6, 100.0,     535, 100.0,  15.3 to 1
Lynn,01630000,"   1,046.7",  97.1,"   4,634",  94.2,  14.2 to 1
Lynnfield,01640000,     166.7, 100.0,     754, 100.0,  13.2 to 1
MATCH Charter Public School (District),04690000,      57.3,  53.1,     180,  79.4,  15.6 to 1
Ma Academy for Math and Science,04680000,       7.4, 100.0,      18, 100.0,  13.1 to 1
Malden,01650000,     451.5,  99.8,"   2,136",  99.5,  14.5 to 1
Manchester Essex Regional,06980000,     125.7,  98.9,     566,  99.1,  12.0 to 1
Mansfield,01670000,     305.0,  99.7,"   1,613",  99.5,  13.6 to 1
Marblehead,01680000,     256.8,  99.2,"   1,082",  96.0,  12.6 to 1
Marblehead Community Charter Public,04640000,      20.4,  91.2,      84,  97.6,  11.3 to 1
Marion,01690000,      32.1, 100.0,     137, 100.0,  13.8 to 1
Marlborough,01700000,     368.5, 100.0,"   1,801",  99.8,  12.3 to 1
Marshfield,01710000,     329.9, 100.0,"   1,454", 100.0,  12.9 to 1
Martha's Vineyard,07000000,      75.9,  95.4,     353,  94.6,   9.1 to 1
Martha's Vineyard Charter,04660000,      18.0,  92.5,      56, 100.0,   9.8 to 1
Martin Luther King Jr. Charter School of Excellence,04920000,      37.7,  53.2,     126,  51.6,   9.7 to 1
Masconomet,07050000,     126.8, 100.0,     685,  99.7,  15.5 to 1
Mashpee,01720000,     135.9,  99.3,     664,  98.9,  12.3 to 1
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      14.7, 100.0,     145, 100.0,  47.2 to 1
Mattapoisett,01730000,      40.0, 100.0,     170, 100.0,  12.5 to 1
Maynard,01740000,     105.9,  99.1,     513, 100.0,  13.4 to 1
Medfield,01750000,     198.3,  98.7,"   1,081",  98.2,  13.3 to 1
Medford,01760000,     393.9,  99.7,"   1,830",  99.6,  11.5 to 1
Medway,01770000,     147.0,  99.3,     811,  97.7,  16.3 to 1
Melrose,01780000,     256.6, 100.0,"   1,127", 100.0,  14.5 to 1
Mendon-Upton,07100000,     161.5,  97.5,     833,  99.8,  14.5 to 1
Methuen,01810000,     471.7,  99.4,"   2,147",  98.9,  14.7 to 1
Middleborough,01820000,     227.3,  99.6,"   1,278",  99.2,  13.7 to 1
Middleton,01840000,      63.3, 100.0,     272, 100.0,  12.0 to 1
Milford,01850000,     319.4,  98.7,"   1,386",  97.8,  13.1 to 1
Millbury,01860000,     129.0, 100.0,     552,  98.7,  13.5 to 1
Millis,01870000,      95.7,  99.3,     469,  97.4,  14.7 to 1
Milton,01890000,     285.8, 100.0,"   1,414",  99.3,  14.0 to 1
Minuteman Regional Vocational Technical,08300000,      79.6,  98.7,     269,  99.3,   8.5 to 1
Mohawk Trail,07170000,      70.9,  98.2,     414,  98.8,  13.6 to 1
Monomoy Regional School District,07120000,     177.0,  99.5,     943,  98.7,  10.9 to 1
Monson,01910000,      84.1, 100.0,     355, 100.0,  13.0 to 1
Montachusett Regional Vocational Technical,08320000,     107.0,  99.1,     304, 100.0,  13.4 to 1
Mount Greylock,07150000,      48.5,  99.6,     248, 100.0,  11.3 to 1
Mystic Valley Regional Charter,04700000,     106.9,  68.1,     619,  85.3,  14.1 to 1
Nahant,01960000,      10.5, 100.0,      56, 100.0,  16.4 to 1
Nantucket,01970000,     131.3,  93.8,     719,  91.1,  11.8 to 1
Narragansett,07200000,     105.1,  99.0,     422,  96.4,  12.8 to 1
Nashoba,07250000,     248.0,  99.2,"   1,192", 100.0,  14.0 to 1
Nashoba Valley Regional Vocational Technical,08520000,      58.5,  96.6,     163, 100.0,  12.6 to 1
Natick,01980000,     368.7,  99.8,"   2,194",  97.1,  14.6 to 1
Nauset,06600000,     135.7,  98.6,     669,  97.8,  11.2 to 1
Needham,01990000,     381.1,  99.3,"   1,848",  99.4,  14.5 to 1
Neighborhood House Charter,04440000,      34.3,  59.1,     118,  94.9,  11.6 to 1
New Bedford,02010000,     848.9,  96.4,"   4,302",  94.7,  14.8 to 1
New Liberty Charter School of Salem (District),04670000,       5.4,  92.1,      12,  66.7,   8.5 to 1
New Salem-Wendell,07280000,      12.6, 100.0,      22, 100.0,  12.0 to 1
Newburyport,02040000,     181.0, 100.0,"   1,185",  99.0,  13.0 to 1
Newton,02070000,"   1,060.5",  99.7,"   4,273",  99.4,  12.0 to 1
Norfolk,02080000,      67.3, 100.0,     300, 100.0,  13.2 to 1
Norfolk County Agricultural,09150000,      43.7, 100.0,     120, 100.0,  11.4 to 1
North Adams,02090000,     126.6,  99.1,     532,  98.3,  11.8 to 1
North Andover,02110000,     293.0,  99.5,"   2,027",  99.6,  16.4 to 1
North Attleborough,02120000,     288.3, 100.0,"   1,503",  99.7,  16.0 to 1
North Brookfield,02150000,      43.4, 100.0,     222,  99.1,  13.2 to 1
North Middlesex,07350000,     255.3,  99.5,"   1,165",  99.8,  13.0 to 1
North Reading,02170000,     193.8,  99.6,"   1,003",  98.7,  13.2 to 1
Northampton,02100000,     221.4,  99.3,     953, 100.0,  12.2 to 1
Northampton-Smith Vocational Agricultural,04060000,      47.2,  87.3,     122,  85.2,   9.1 to 1
Northboro-Southboro,07300000,     106.1, 100.0,     546, 100.0,  13.7 to 1
Northborough,02130000,     138.8, 100.0,     688, 100.0,  13.1 to 1
Northbridge,02140000,     163.8, 100.0,     807, 100.0,  15.2 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     113.5,  99.1,     232, 100.0,  11.2 to 1
Northern Berkshire Regional Vocational Technical,08510000,      43.0,  92.8,     135, 100.0,  11.6 to 1
Norton,02180000,     187.7, 100.0,     943,  99.2,  13.5 to 1
Norwell,02190000,     161.3, 100.0,     905,  98.6,  14.0 to 1
Norwood,02200000,     271.1, 100.0,"   1,276", 100.0,  12.8 to 1
Oak Bluffs,02210000,      43.8,  99.4,     178,  94.4,   9.4 to 1
Old Colony Regional Vocational Technical,08550000,      54.9,  98.2,     110,  90.0,  10.4 to 1
Old Rochester,07400000,      86.5, 100.0,     409,  99.5,  14.5 to 1
Orange,02230000,      45.5, 100.0,     281, 100.0,  14.0 to 1
Orleans,02240000,      24.9, 100.0,     104, 100.0,   8.7 to 1
Oxford,02260000,     135.0,  99.3,     609, 100.0,  14.0 to 1
Palmer,02270000,     113.5, 100.0,     750, 100.0,  12.6 to 1
Pathfinder Regional Vocational Technical,08600000,      77.0, 100.0,     205,  91.2,   8.1 to 1
Paulo Freire Social Justice Charter School (District),35010000,      29.5,  53.5,      97,  95.9,   8.2 to 1
Peabody,02290000,     436.1,  99.3,"   2,167",  98.5,  13.7 to 1
Pelham,02300000,      11.3, 100.0,      53, 100.0,  10.6 to 1
Pembroke,02310000,     194.8,  99.5,     988,  98.5,  16.6 to 1
Pentucket,07450000,     217.4, 100.0,     945,  98.8,  12.5 to 1
Petersham,02340000,       9.8,  95.9,      40, 100.0,  11.5 to 1
Phoenix Academy Public Charter High School Springfield (District),35080000,       8.5,  49.4,     164,  36.6,  14.4 to 1
Phoenix Charter Academy,04930000,      17.9,  42.1,     253,  53.0,  10.9 to 1
Pioneer Charter School of Science,04940000,      32.1,  67.6,     153, 100.0,  11.2 to 1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      21.4,  76.0,      89, 100.0,  10.7 to 1
Pioneer Valley,07500000,      87.7,  96.5,     485,  97.9,  10.6 to 1
Pioneer Valley Chinese Immersion Charte,04970000,      44.9,  54.5,     137, 100.0,   8.7 to 1
Pioneer Valley Performing Arts Charter Public,04790000,      39.5,  62.8,     351,  92.0,  10.2 to 1
Pittsfield,02360000,     483.6,  95.9,"   2,539",  90.5,  11.9 to 1
Plainville,02380000,      51.4, 100.0,     270, 100.0,  14.4 to 1
Plymouth,02390000,     617.5,  99.2,"   3,313",  93.7,  12.5 to 1
Plympton,02400000,      18.2, 100.0,      87, 100.0,  11.9 to 1
Prospect Hill Academy Charter,04870000,      87.4,  73.3,     395,  88.4,  13.1 to 1
Provincetown,02420000,      19.0,  97.1,      89,  95.5,   5.8 to 1
Quabbin,07530000,     166.9,  98.8,     811,  99.5,  14.7 to 1
Quaboag Regional,07780000,      92.3,  95.1,     473, 100.0,  15.0 to 1
Quincy,02430000,     693.1,  99.5,"   3,621", 100.0,  13.3 to 1
Ralph C Mahar,07550000,      63.9,  98.3,     519,  98.7,  12.8 to 1
Randolph,02440000,     255.2,  99.0,     930,  96.2,  11.4 to 1
Reading,02460000,     313.2, 100.0,"   1,327",  99.2,  14.1 to 1
Revere,02480000,     513.1,  99.0,"   3,532",  99.9,  13.7 to 1
Richmond,02490000,      16.5,  99.4,     104,  72.1,   9.6 to 1
Rising Tide Charter Public,04830000,      46.7,  65.2,     258,  97.7,  12.9 to 1
River Valley Charter,04820000,      18.4,  91.9,      96,  94.8,  15.6 to 1
Rochester,02500000,      33.7, 100.0,     144, 100.0,  14.1 to 1
Rockland,02510000,     143.4,  99.3,     756,  99.5,  15.8 to 1
Rockport,02520000,      84.1, 100.0,     425,  99.1,  11.4 to 1
Rowe,02530000,       8.1, 100.0,      30,  73.3,   7.9 to 1
Roxbury Preparatory Charter,04840000,      77.6,  51.1,     190,  98.4,  11.4 to 1
Sabis International Charter,04410000,      64.6,  88.2,     417, 100.0,  24.4 to 1
Salem,02580000,     419.1,  99.5,"   1,760",  99.4,  10.0 to 1
Salem Academy Charter,04850000,      42.8,  69.6,     140, 100.0,   8.7 to 1
Sandwich,02610000,     186.3,  99.2,     957,  99.3,  15.4 to 1
Saugus,02620000,     208.5,  97.4,"   1,044",  99.6,  13.1 to 1
Savoy,02630000,       4.1, 100.0,      45, 100.0,  10.0 to 1
Scituate,02640000,     245.7,  99.6,"   1,020",  99.2,  12.6 to 1
Seekonk,02650000,     144.1, 100.0,     597,  99.5,  13.6 to 1
Seven Hills Charter Public,04860000,      56.3, 100.0,     175, 100.0,  11.8 to 1
Sharon,02660000,     255.8,  99.6,"   1,178",  99.6,  13.6 to 1
Shawsheen Valley Regional Vocational Technical,08710000,     129.2, 100.0,     317, 100.0,  10.6 to 1
Sherborn,02690000,      30.4, 100.0,     150, 100.0,  12.9 to 1
Shrewsbury,02710000,     396.1,  98.2,"   1,951",  99.0,  15.2 to 1
Shutesbury,02720000,      14.1, 100.0,      54, 100.0,  11.0 to 1
Silver Hill Horace Mann Charter,04770000,      37.0, 100.0,     242, 100.0,  16.0 to 1
Silver Lake,07600000,     134.5,  98.5,     574, 100.0,  14.2 to 1
Somerset,02730000,     117.3, 100.0,     639,  99.5,  15.6 to 1
Somerset Berkley Regional School District,07630000,      82.5, 100.0,     404,  99.8,  11.2 to 1
Somerville,02740000,     421.4,  98.6,"   1,858",  99.2,  11.8 to 1
South Hadley,02780000,     140.8, 100.0,     672, 100.0,  13.3 to 1
South Middlesex Regional Vocational Technical,08290000,      77.1,  96.1,     207,  94.2,   9.0 to 1
South Shore Charter Public,04880000,      56.6,  85.2,     229,  99.6,  10.4 to 1
South Shore Regional Vocational Technical,08730000,      53.8,  98.1,     144, 100.0,  11.1 to 1
Southampton,02750000,      33.7, 100.0,     166, 100.0,  16.0 to 1
