District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
whately,3370000,Rural,92.9,2013,high,15224.99,14226.003507473800,medium,66858.0,62471.11771519620,low,15.3,small
whitman-hanson,7800000,Suburban,90.0,2013,medium,10449.68,9764.025088488000,low,74190.0,69322.0291257651,medium,22.9,large
whittier regional vocational technical,8850000,Suburban,94.6,2013,high,18164.36,16972.506981680600,high,77775.0,72671.79963952530,high,12.5,small
williamsburg,3400000,Rural,83.3,2013,low,13393.97,12515.125737291100,low,64293.0,60074.41998359370,low,14.4,small
williamstown,3410000,Rural,97.3,2013,high,13795.89,12890.673788864400,low,72017.0,67291.61034573700,medium,18.4,medium
wilmington,3420000,Suburban,88.1,2013,medium,14049.37,13127.521719081400,low,68334.0,63850.2700940832,medium,18.3,medium
winchendon,3430000,Suburban,89.6,2013,medium,13479.95,12595.464166516500,low,69546.0,64982.74481170590,medium,18.0,medium
winchester,3440000,Suburban,88.3,2013,medium,12380.46,11568.117114306100,low,74169.0,69302.40703907360,medium,19.4,large
winthrop,3460000,Suburban,82.4,2013,low,11621.9,10859.329967606500,low,57879.0,54081.274076966700,low,19.8,large
woburn,3470000,Suburban,93.6,2013,high,14153.94,13225.230366954200,low,74197.0,69328.56982132890,medium,17.2,medium
worcester,3480000,Urban,79.2,2013,low,13465.78,12582.223929925100,low,91504.0,85499.97241035190,high,16.3,small
wrentham,3500000,Suburban,90.0,2013,medium,12096.7,11302.976003850200,low,66625.0,62253.405991428800,low,20.1,large
state totals,0,,87.6,2013,medium,14023.09,13102.96607916470,low,71983.0,67259.84125299840,medium,18.2,medium
state totals,0,,89.9,2013,medium,14023.09,13102.96607916470,low,71983.0,67259.84125299840,medium,18.2,medium
abington,10000,Suburban,90.3,2014,medium,12986.67,11959.935633731900,low,71464.0,65814.01083796040,medium,21.4,large
acton-boxborough,6000000,Suburban,91.1,2014,high,14937.27,13756.319960673100,medium,78012.0,71844.32180525810,high,21.0,large
acushnet,30000,Suburban,98.5,2014,high,11588.84,10672.618960027300,low,64276.0,59194.29867654680,low,18.5,medium
adams-cheshire,6030000,Rural,85.4,2014,low,12990.43,11963.398365747300,low,71398.0,65753.22883981720,medium,15.4,small
agawam,50000,Suburban,90.4,2014,medium,13646.91,12567.976640611600,low,63384.0,58372.82076224790,low,16.7,small
amesbury,70000,Suburban,94.4,2014,high,13243.58,12196.534166201100,low,75143.0,69202.14676476070,medium,19.0,large
amherst,80000,Urban,84.2,2014,low,19571.8,18024.441079682000,high,70462.0,64891.22959342280,medium,20.1,large
amherst-pelham,6050000,Urban,83.3,2014,low,19573.77,18026.255330232600,high,79282.0,73013.91479983170,high,13.8,small
andover,90000,Suburban,89.0,2014,medium,15185.41,13984.841854904200,medium,79015.0,72768.02398916150,high,18.7,medium
arlington,100000,Suburban,85.1,2014,low,13084.88,12050.381088847700,low,69547.0,64048.57007371030,medium,17.6,medium
ashburnham-westminster,6100000,Suburban,91.9,2014,high,12611.5,11614.426811862400,low,68013.0,62635.84908656390,low,18.8,medium
ashland,140000,Suburban,94.0,2014,high,13270.71,12221.519251195400,low,75153.0,69211.35615841870,medium,18.3,medium
assabet valley regional vocational technical,8010000,Suburban,92.0,2014,high,18380.27,16927.11419714320,high,76778.0,70707.88262785350,high,15.5,small
athol-royalston,6150000,Suburban,78.1,2014,low,13377.9,12320.23474181620,low,61878.0,56985.88607734400,low,18.5,medium
attleboro,160000,Suburban,89.8,2014,medium,12777.14,11766.971208414500,low,76054.0,70041.12252700990,medium,19.5,large
auburn,170000,Suburban,91.6,2014,high,13353.45,12297.717774322200,low,68440.0,63029.09019576300,low,18.5,medium
avon,180000,Suburban,79.7,2014,low,13437.26,12374.901702570400,low,62811.0,57845.12250564100,low,16.4,small
ayer shirley school district,6160000,Suburban,86.5,2014,medium,13547.5,12476.426058256900,low,62476.0,57536.607818096000,low,17.8,medium
barnstable,200000,Urban,91.0,2014,high,14925.27,13745.2686882834,medium,79370.0,73094.95746402270,high,16.8,medium
bedford,230000,Suburban,89.7,2014,medium,17225.67,15863.797605383500,medium,78305.0,72114.15703943930,high,14.8,small
belchertown,240000,Rural,92.0,2014,high,11950.48,11005.667472277400,low,62155.0,57240.98628167230,low,16.7,small
bellingham,250000,Suburban,89.7,2014,medium,12979.07,11952.936494551800,low,69701.0,64190.394736044400,medium,18.0,medium
belmont,260000,Suburban,87.5,2014,medium,12799.17,11787.259502643300,low,82943.0,76385.47381804750,high,21.1,large
berkley,270000,Rural,95.2,2014,high,11716.49,10790.176870072400,low,69615.0,64111.19395058510,medium,18.7,medium
berkshire hills,6180000,Rural,89.2,2014,medium,16243.62,14959.389101193700,medium,70789.0,65192.37676604130,medium,15.3,small
berlin,280000,Suburban,81.0,2014,low,18489.29,17027.515006803300,high,77006.0,70917.85680325730,high,14.8,small
berlin-boylston,6200000,Suburban,82.2,2014,low,13952.2,12849.13021959860,low,64373.0,59283.62979503000,low,16.6,small
beverly,300000,Suburban,87.6,2014,medium,13117.97,12080.854972462200,low,69317.0,63836.75401957490,medium,19.0,large
billerica,310000,Suburban,86.9,2014,medium,14384.69,13247.42728591600,medium,72620.0,66878.61674483210,medium,19.1,large
blackstone valley regional vocational technical,8050000,Suburban,86.0,2014,medium,18214.56,16774.505334835400,high,75798.0,69805.3620493636,medium,19.7,large
blackstone-millville,6220000,Suburban,87.9,2014,medium,12204.15,11239.282161201400,low,61300.0,56453.58312390810,low,18.1,medium
blue hills regional vocational technical,8060000,Rural,88.0,2014,medium,21181.42,19506.803501670600,high,83157.0,76582.55484233000,high,16.1,small
boston,350000,Urban,78.1,2014,low,19204.5,17686.18005062140,high,91661.0,84414.22320914430,high,17.3,medium
bourne,360000,Suburban,86.3,2014,medium,14754.01,13587.548612495500,medium,70817.0,65218.16306828390,medium,17.3,medium
boxford,380000,Suburban,85.5,2014,low,15121.97,13926.41746153740,medium,80489.0,74125.48861435960,high,17.6,medium
boylston,390000,Suburban,95.7,2014,high,12583.09,11588.26292447990,low,75897.0,69896.5350465784,medium,18.1,medium
braintree,400000,Suburban,90.9,2014,high,13067.49,12034.365953276300,low,69673.0,64164.60843380180,medium,17.6,medium
brewster,410000,Suburban,91.8,2014,high,20735.55,19096.184266638700,high,77616.0,71479.62981639890,high,18.1,medium
bridgewater-raynham,6250000,Rural,92.9,2014,high,12095.92,11139.608893640200,low,78904.0,72665.79971955710,high,20.3,large
brimfield,430000,Rural,84.4,2014,low,15314.88,14104.075874595100,medium,58817.0,54166.890678611800,low,17.4,medium
bristol county agricultural,9100000,Suburban,80.0,2014,low,19807.04,18241.082856094200,high,63509.0,58487.9381829736,low,17.6,medium
bristol-plymouth regional vocational technical,8100000,Suburban,94.8,2014,high,17923.5,16506.45672302390,high,78206.0,72022.98404222450,high,18.2,medium
brockton,440000,Rural,92.4,2014,high,14120.42,13004.050639714400,low,83847.0,77218.00300473610,high,18.9,medium
brookfield,450000,Suburban,92.3,2014,high,12251.11,11282.529473819600,low,65849.0,60642.936298959700,low,20.0,large
brookline,460000,Suburban,86.4,2014,medium,17290.76,15923.741548703800,high,93213.0,85843.5211048752,high,17.1,medium
burlington,480000,Urban,89.9,2014,medium,17700.37,16300.967522331600,high,87264.0,80364.85281769530,high,18.1,medium
cambridge,490000,Suburban,84.4,2014,low,27162.64,25015.144455216800,high,80024.0,73697.25180925980,high,14.5,small
canton,500000,Suburban,89.3,2014,medium,14290.9,13161.052382797000,medium,74729.0,68820.87786731700,medium,19.5,large
cape cod regional vocational technical,8150000,Rural,78.1,2014,low,23211.69,21376.5590678856,high,71044.0,65427.21630432190,medium,12.9,small
carlisle,510000,Rural,91.7,2014,high,17703.68,16304.015831632500,high,91588.0,84346.99463544040,high,18.7,medium
carver,520000,Rural,82.8,2014,low,13091.89,12056.836873802000,low,65110.0,59962.362107629000,low,18.2,medium
central berkshire,6350000,Suburban,91.3,2014,high,14775.87,13607.680347032000,medium,66942.0,61649.52302578560,low,15.3,small
chelmsford,560000,Suburban,90.3,2014,medium,12436.49,11453.253213452700,low,70730.0,65138.04134345880,medium,19.1,large
chelsea,570000,Rural,80.5,2014,low,13715.93,12631.539875639600,low,65436.0,60262.588340881800,low,21.4,large
chesterfield-goshen,6320000,Suburban,94.1,2014,high,13304.05,12252.223369651400,low,62912.0,57938.13738158740,low,15.3,small
chicopee,610000,Suburban,89.4,2014,medium,13468.18,12403.377147761100,low,62596.0,57647.12054199270,low,17.3,medium
clarksburg,630000,Suburban,87.5,2014,medium,13682.52,12600.771291428000,low,62654.0,57700.535025209500,low,19.2,large
clinton,640000,Suburban,86.9,2014,medium,12082.18,11126.955186754000,low,68165.0,62775.83187016640,low,19.0,large
cohasset,650000,Suburban,89.8,2014,medium,13913.04,12813.066234033600,low,80935.0,74536.22757150910,high,19.9,large
concord,670000,Suburban,91.0,2014,high,16456.67,15155.595233078700,medium,91142.0,83936.25567829100,high,17.5,medium
concord-carlisle,6400000,Rural,89.5,2014,medium,20446.33,18829.830183260300,high,100008.0,92101.304095527,high,18.2,medium
conway,680000,Suburban,80.0,2014,low,14229.04,13104.083073628300,medium,68940.0,63489.55987866600,medium,15.5,small
danvers,710000,Suburban,89.0,2014,medium,13625.14,12547.927790618000,low,75124.0,69184.64891681040,medium,19.4,large
dartmouth,720000,Suburban,89.4,2014,medium,11990.73,11042.735281751000,low,69098.0,63635.06829846340,medium,19.7,large
dedham,730000,Suburban,85.3,2014,low,16906.11,15569.502221646600,medium,74937.0,69012.43325540460,medium,16.7,small
deerfield,740000,Suburban,88.6,2014,medium,13493.77,12426.943986132100,low,51179.0,47132.755802585600,low,16.0,small
dennis-yarmouth,6450000,Rural,90.8,2014,high,16453.94,15153.081068610100,medium,67298.0,61977.377440012600,low,15.1,small
dighton-rehoboth,6500000,Suburban,91.2,2014,high,12800.64,11788.613283511000,low,68950.0,63498.769272324100,medium,19.7,large
douglas,770000,Rural,93.2,2014,high,10527.49,9695.179964129060,low,66340.0,61095.1175275704,low,21.0,large
dover,780000,Rural,88.1,2014,medium,21336.27,19649.4109624657,high,93410.0,86024.94615993900,high,19.0,large
dover-sherborn,6550000,Suburban,92.7,2014,high,17650.16,16254.727156774500,high,90476.0,83322.91006066420,high,15.0,small
dracut,790000,Suburban,91.2,2014,high,10907.37,10045.02641041150,low,68201.0,62808.98568733540,low,23.8,large
dudley-charlton reg,6580000,Suburban,89.2,2014,medium,11397.59,10496.48930631690,low,66263.0,61024.20519640330,low,20.6,large
duxbury,820000,Suburban,90.4,2014,medium,12711.84,11706.833867827400,low,73510.0,67698.25278039950,medium,21.2,large
east bridgewater,830000,Suburban,86.9,2014,medium,10322.83,9506.700513523210,low,69478.0,63985.02525746970,medium,23.1,large
east longmeadow,870000,Suburban,89.7,2014,medium,13318.93,12265.92694741460,low,71650.0,65985.3055600003,medium,19.0,large
eastham,850000,Suburban,92.3,2014,high,22495.72,20717.194110149500,high,81066.0,74656.87062842960,high,15.2,small
easthampton,860000,Suburban,86.4,2014,medium,12110.14,11152.704651421900,low,61591.0,56721.57647935770,low,19.3,large
easton,880000,Suburban,90.8,2014,high,11962.05,11016.322740739700,low,70386.0,64821.238201621500,medium,19.9,large
edgartown,890000,Rural,88.0,2014,medium,22661.56,20869.922694574700,high,83081.0,76512.56345052880,high,17.0,medium
erving,910000,Suburban,80.0,2014,low,18508.83,17045.51016201120,high,62251.0,57329.39646078970,low,21.2,large
everett,930000,Suburban,86.8,2014,medium,13116.85,12079.823520372500,low,72342.0,66622.59560113810,medium,20.2,large
fairhaven,940000,Suburban,83.0,2014,low,13158.06,12117.775431637400,low,64875.0,59745.9413566646,low,17.4,medium
fall river,950000,Suburban,76.4,2014,low,13534.09,12464.0762613614,low,63693.0,58657.391026281900,low,19.4,large
falmouth,960000,Rural,90.8,2014,high,15610.43,14376.259504159000,medium,75757.0,69767.60353536560,medium,17.9,medium
farmington river reg,6620000,Rural,88.2,2014,medium,16536.73,15229.325638705100,medium,49478.0,45566.23794134950,low,15.3,small
fitchburg,970000,Rural,85.1,2014,low,13683.2,12601.397530196700,low,73415.0,67610.7635406479,medium,17.5,medium
florida,980000,Rural,85.7,2014,low,16742.88,15419.177288966100,medium,39762.0,36618.39106317840,low,11.2,small
foxborough,990000,Suburban,90.7,2014,high,14287.63,13158.040911070900,medium,78314.0,72122.44549373150,high,16.5,small
framingham,1000000,Urban,84.3,2014,low,17099.64,15747.731617111000,medium,77100.0,71004.42510364300,high,16.8,medium
franklin,1010000,Suburban,82.4,2014,low,11887.66,10947.814061317400,low,71215.0,65584.69693587470,medium,20.1,large
franklin county regional vocational technical,8180000,Rural,85.5,2014,low,24159.19,22249.149116986800,high,67216.0,61901.86041201650,low,11.2,small
freetown-lakeville,6650000,Rural,85.8,2014,low,11533.28,10621.451568863100,low,73423.0,67618.13105557430,medium,20.6,large
frontier,6700000,Suburban,88.1,2014,medium,17105.21,15752.861249378500,medium,61576.0,56707.76238887060,low,13.0,small
gardner,1030000,Suburban,86.2,2014,medium,12109.61,11152.216553558100,low,60973.0,56152.435951289600,low,18.1,medium
gateway,6720000,Rural,89.4,2014,medium,14893.15,13715.68811585370,medium,56586.0,52112.27495349860,low,15.6,small
georgetown,1050000,Suburban,85.7,2014,low,11802.12,10869.036907966400,low,66266.0,61026.96801450080,low,18.6,medium
gill-montague,6740000,Rural,79.8,2014,low,15698.73,14457.578450159700,medium,56672.0,52191.47573895790,low,14.2,small
gloucester,1070000,Suburban,93.1,2014,high,14980.29,13795.938772190000,medium,72911.0,67146.61010028170,medium,18.0,medium
grafton,1100000,Suburban,91.4,2014,high,10614.09,9774.933313207870,low,70633.0,65048.710224975600,medium,21.0,large
granby,1110000,Rural,81.1,2014,low,12891.23,11872.041180659400,low,64713.0,59596.74917940400,low,15.5,small
greater fall river regional vocational technical,8210000,Suburban,94.0,2014,high,17811.24,16403.072069818600,high,76547.0,70495.1456343523,high,13.0,small
greater lawrence regional vocational technical,8230000,Suburban,83.1,2014,low,19672.46,18117.14283624400,high,75697.0,69712.34717341720,medium,12.9,small
greater lowell regional vocational technical,8280000,Suburban,88.9,2014,medium,18816.14,17328.52403851700,high,75645.0,69664.45832639530,medium,14.1,small
greater new bedford regional vocational technical,8250000,Suburban,95.0,2014,high,17923.54,16506.493560598600,high,77584.0,71450.15975669310,high,15.1,small
greenfield,1140000,Rural,82.3,2014,low,14492.61,13346.815062273800,medium,66728.0,61452.442001503100,low,16.2,small
groton-dunstable,6730000,Rural,85.2,2014,low,13087.93,12053.189953913400,low,74918.0,68994.93540745430,medium,18.7,medium
hadley,1170000,Suburban,86.3,2014,medium,12079.16,11124.17394986930,low,62099.0,57189.413677187100,low,15.7,small
halifax,1180000,Rural,94.4,2014,high,13382.23,12324.2224092701,low,80464.0,74102.46513021440,high,19.4,large
hamilton-wenham,6750000,Rural,84.9,2014,low,15186.82,13986.14037941000,medium,72594.0,66854.67232132120,medium,18.2,medium
hampden-wilbraham,6800000,Rural,87.8,2014,medium,13344.37,12289.355644880700,low,69202.0,63730.84599250720,medium,18.9,medium
hampshire,6830000,Rural,92.3,2014,high,15071.28,13879.735045084700,medium,70958.0,65348.015518862500,medium,14.3,small
hancock,1210000,Rural,87.5,2014,medium,12582.73,11587.931386308200,low,57738.0,53173.19710290710,low,5.9,small
hanover,1220000,Suburban,90.1,2014,medium,11817.93,10883.596959339800,low,75871.0,69872.59062306740,medium,19.3,large
harvard,1250000,Rural,90.4,2014,medium,15522.64,14295.410237234900,medium,83215.0,76635.96932554670,high,17.1,medium
hatfield,1270000,Suburban,93.2,2014,high,12660.1,11659.184465040600,low,52447.0,48300.50691842760,low,13.7,small
haverhill,1280000,Suburban,87.8,2014,medium,12294.61,11322.590336232200,low,65389.0,60219.30419068890,low,17.9,medium
hawlemont,6850000,Rural,81.8,2014,low,16016.2,14749.949070622100,medium,63912.0,58859.076747393400,low,15.4,small
hingham,1310000,Suburban,95.5,2014,high,11675.71,10752.620962734800,low,75886.0,69886.40471355450,medium,18.9,medium
holbrook,1330000,Suburban,79.8,2014,low,14106.83,12991.535073733100,low,59315.0,54625.51848278320,low,16.6,small
holland,1350000,Rural,90.0,2014,medium,13291.86,12240.997118782200,low,60248.0,55484.75491108020,low,19.4,large
holliston,1360000,Suburban,92.0,2014,high,12985.72,11959.06074133440,low,77202.0,71098.36091895520,high,16.5,small
holyoke,1370000,Suburban,74.4,2014,low,16728.85,15406.256509663800,medium,65143.0,59992.75310670060,low,17.6,medium
hopedale,1380000,Suburban,91.5,2014,high,11365.57,10467.000827823800,low,62649.0,57695.93032838040,low,20.0,large
hopkinton,1390000,Suburban,90.2,2014,medium,13106.43,12070.227332180800,low,82350.0,75839.35677412460,high,20.1,large
hudson,1410000,Suburban,88.3,2014,medium,14280.68,13151.640382478500,medium,71878.0,66195.27973540410,medium,18.0,medium
hull,1420000,Suburban,81.9,2014,low,16750.02,15425.752796037900,medium,77210.0,71105.72843388170,high,15.3,small
ipswich,1440000,Suburban,85.6,2014,low,13160.48,12120.004104902600,low,69235.0,63761.236991578800,medium,17.3,medium
king philip,6900000,Suburban,90.8,2014,high,13433.35,12371.300829650100,low,68112.0,62727.02208377870,low,20.7,large
kingston,1450000,Rural,90.3,2014,medium,11123.36,10243.94010403190,low,66576.0,61312.45921790060,low,23.8,large
lanesborough,1480000,Rural,90.9,2014,high,18935.6,17438.539455156200,high,60842.0,56031.792894369000,low,16.9,medium
lawrence,1490000,Suburban,72.3,2014,low,14027.23,12918.228300215000,low,67269.0,61950.67019840420,low,18.8,medium
lee,1500000,Suburban,90.3,2014,medium,15660.35,14422.232797300100,medium,62936.0,57960.23992636680,low,12.6,small
leicester,1510000,Suburban,89.3,2014,medium,12399.17,11418.883756320800,low,70084.0,64543.11451314810,medium,18.6,medium
lenox,1520000,Suburban,91.1,2014,high,16525.08,15218.596695093500,medium,70541.0,64963.98380332140,medium,12.7,small
leominster,1530000,Suburban,89.1,2014,medium,13006.29,11978.004464089000,low,68901.0,63453.64324339960,medium,17.0,medium
leverett,1540000,Rural,95.0,2014,high,19846.98,18277.865174364500,high,63849.0,58801.05756734760,low,15.2,small
lexington,1550000,Suburban,86.7,2014,medium,17413.09,16036.400061322900,high,78713.0,72489.90030068810,high,19.6,large
lincoln,1570000,Suburban,85.4,2014,low,19911.4,18337.192088309700,high,82249.0,75746.34189817810,high,15.2,small
lincoln-sudbury,6950000,Rural,94.8,2014,high,18115.73,16683.488897312800,high,89798.0,82698.51317064770,high,19.7,large
littleton,1580000,Suburban,87.6,2014,medium,13679.1,12597.62167879690,low,68809.0,63368.91682174540,low,18.9,medium
longmeadow,1590000,Suburban,94.5,2014,high,14008.39,12900.87780256320,low,67817.0,62455.34497086590,low,19.0,large
lowell,1600000,Suburban,91.4,2014,high,13616.85,12540.293203275500,low,78475.0,72270.71673162630,high,19.3,large
ludlow,1610000,Suburban,91.2,2014,high,13224.79,12179.229715517600,low,58168.0,53569.20103020370,low,16.4,small
lunenburg,1620000,Suburban,91.3,2014,high,12384.22,11405.115712802000,low,74504.0,68613.66651001060,medium,19.2,large
lynn,1630000,Suburban,86.9,2014,medium,13223.16,12177.72858435130,low,67216.0,61901.86041201650,low,19.6,large
lynnfield,1640000,Suburban,89.7,2014,medium,13447.56,12384.387378038200,low,77120.0,71022.84389095920,high,19.3,large
malden,1650000,Suburban,87.7,2014,medium,13526.63,12457.206053692500,low,79708.0,73406.23496966510,high,20.8,large
manchester essex regional,6980000,Suburban,89.7,2014,medium,14873.17,13697.287747324900,medium,73236.0,67445.91539416860,medium,17.6,medium
mansfield,1670000,Suburban,91.5,2014,high,12836.97,11822.071010670700,low,75156.0,69214.11897651620,medium,17.6,medium
marblehead,1680000,Suburban,88.8,2014,medium,13217.85,12172.83839631890,low,68182.0,62791.48783938510,low,16.8,medium
marion,1690000,Suburban,91.2,2014,high,14930.65,13750.223342071400,medium,78423.0,72222.82788460440,high,21.2,large
marlborough,1700000,Suburban,89.0,2014,medium,14981.23,13796.804455193900,medium,75914.0,69912.1910157971,medium,17.5,medium
marshfield,1710000,Suburban,91.4,2014,high,11946.5,11002.002133601400,low,69390.0,63903.98259327870,medium,22.3,large
martha's vineyard,7000000,Suburban,83.5,2014,low,26075.74,24014.17545852230,high,88893.0,81865.06304459330,high,11.9,small
masconomet,7050000,Suburban,94.8,2014,high,14265.65,13137.798663810400,medium,87472.0,80556.40820578290,high,17.8,medium
mashpee,1720000,Suburban,88.2,2014,medium,15873.05,14618.116600407000,medium,72748.0,66996.49698365530,medium,15.5,small
mattapoisett,1730000,Suburban,94.9,2014,high,15448.83,14227.435702644800,medium,71107.0,65485.23548436760,medium,19.2,large
maynard,1740000,Suburban,86.6,2014,medium,14138.79,13020.968295864300,low,69991.0,64457.46715212810,medium,17.3,medium
medfield,1750000,Suburban,87.9,2014,medium,13074.68,12040.987507316500,low,78328.0,72135.3386448528,high,18.2,medium
medford,1760000,Suburban,85.5,2014,low,14733.35,13568.52200519790,medium,69833.0,64311.95873233080,medium,16.2,small
medway,1770000,Suburban,85.8,2014,low,12627.16,11628.84872233100,low,86234.0,79416.28527091510,high,18.8,medium
melrose,1780000,Suburban,83.3,2014,low,11915.06,10973.047799940500,low,60338.0,55567.63945400280,low,20.6,large
mendon-upton,7100000,Suburban,91.1,2014,high,13055.24,12023.084446045200,low,72622.0,66880.45862356370,medium,18.6,medium
methuen,1810000,Suburban,90.4,2014,medium,12481.22,11494.446831285200,low,76440.0,70396.60512221110,high,20.5,large
middleborough,1820000,Suburban,89.2,2014,medium,12874.95,11857.048287784000,low,67110.0,61804.24083924100,low,20.0,large
middleton,1840000,Suburban,91.2,2014,high,13880.9,12783.467242816600,low,69780.0,64263.14894594310,medium,15.5,small
milford,1850000,Suburban,92.3,2014,high,12897.08,11877.428675949300,low,70754.0,65160.14388823810,medium,18.7,medium
millbury,1860000,Suburban,89.8,2014,medium,14596.83,13442.795362978100,medium,75715.0,69728.9240820017,medium,17.6,medium
millis,1870000,Suburban,95.1,2014,high,12413.77,11432.329471061600,low,70235.0,64682.17635738480,medium,18.4,medium
milton,1890000,Suburban,93.3,2014,high,13499.07,12431.824964770900,low,78732.0,72507.39814863840,high,19.0,large
minuteman regional vocational technical,8300000,Rural,91.6,2014,high,25364.32,23359.00077490060,high,83480.0,76880.01825748530,high,13.0,small
mohawk trail,7170000,Rural,85.4,2014,low,16883.23,15548.431128956900,medium,70401.0,64835.052292108600,medium,14.0,small
monomoy regional school district,7120000,Suburban,90.4,2014,medium,15760.97,14514.897716287500,medium,68725.0,63291.55791501770,low,14.0,small
monson,1910000,Rural,84.5,2014,low,13032.41,12002.059400323800,low,63023.0,58040.36165119190,low,19.2,large
montachusett regional vocational technical,8320000,Suburban,92.2,2014,high,18290.08,16844.054675741100,high,77097.0,71001.66228554560,high,18.8,medium
mount greylock,7150000,Rural,91.4,2014,high,18501.25,17038.52944161840,high,73305.0,67509.46021040920,medium,12.3,small
nahant,1960000,Suburban,85.7,2014,low,12961.91,11937.13317503450,low,69903.0,64376.4244879372,medium,17.1,medium
nantucket,1970000,Rural,88.6,2014,medium,20012.49,18430.289848799000,high,85059.0,78334.18151609300,high,16.0,small
narragansett,7200000,Rural,93.0,2014,high,13958.52,12854.950556390400,low,72601.0,66861.1188968818,medium,17.9,medium
nashoba,7250000,Suburban,87.8,2014,medium,13648.84,12569.75405358760,low,71991.0,66299.34588374010,medium,18.5,medium
nashoba valley regional vocational technical,8520000,Suburban,85.5,2014,low,16164.77,14886.773032199900,medium,69117.0,63652.56614641370,medium,13.5,small
natick,1980000,Suburban,85.1,2014,low,13549.72,12478.470543648900,low,66825.0,61541.77311998630,low,19.6,large
nauset,6600000,Suburban,94.6,2014,high,17722.71,16321.541307763800,high,79547.0,73257.96373177030,high,15.7,small
needham,1990000,Suburban,88.3,2014,medium,15019.87,13832.389552288600,medium,87175.0,80282.88921413850,high,19.1,large
new bedford,2010000,Suburban,83.2,2014,low,12791.83,11780.499807698200,low,72397.0,66673.24726625740,medium,17.8,medium
new salem-wendell,7280000,Rural,92.9,2014,high,16681.87,15362.990778258200,medium,59084.0,54412.781489282000,low,17.2,medium
newburyport,2040000,Suburban,90.7,2014,high,14072.83,12960.223135295700,low,81088.0,74677.13129447740,high,17.7,medium
newton,2070000,Urban,89.3,2014,medium,17580.68,16190.740289638300,high,75862.0,69864.30216877520,medium,18.6,medium
norfolk,2080000,Suburban,88.9,2014,medium,13827.04,12733.86544857430,low,74013.0,68161.48528139990,medium,21.6,large
norfolk county agricultural,9150000,Suburban,88.9,2014,medium,22212.63,20456.48538508350,high,68621.0,63195.7802209739,low,16.8,medium
north adams,2090000,Rural,83.9,2014,low,15484.16,14259.972490438700,medium,57036.0,52526.69766811130,low,13.3,small
north andover,2110000,Suburban,91.4,2014,high,11889.43,10949.444123994900,low,76974.0,70888.38674355150,high,22.1,large
north attleborough,2120000,Suburban,90.6,2014,high,10898.12,10036.507721277700,low,73430.0,67624.57763113500,medium,18.5,medium
north brookfield,2150000,Rural,89.1,2014,medium,12865.41,11848.26252623420,low,68636.0,63209.59431146100,low,13.8,small
north middlesex,7350000,Rural,88.9,2014,medium,13147.35,12107.912171029600,low,62660.0,57706.060661404300,low,20.2,large
north reading,2170000,Suburban,91.3,2014,high,13291.02,12240.223529714900,low,71702.0,66033.19440702220,medium,20.9,large
northampton,2100000,Suburban,89.4,2014,medium,13198.26,12154.79719414280,low,59719.0,54997.57798656880,low,15.7,small
northampton-smith vocational agricultural,4060000,Urban,85.4,2014,low,22105.83,20358.129060815400,high,58833.0,54181.62570846470,low,11.5,small
northboro-southboro,7300000,Urban,90.2,2014,medium,14088.37,12974.534533040400,low,81692.0,75233.3786714242,high,17.7,medium
northborough,2130000,Suburban,92.7,2014,high,14439.64,13298.032904067000,medium,78560.0,72348.9965777198,high,17.2,medium
northbridge,2140000,Suburban,84.9,2014,low,12135.8,11176.33595554850,low,67427.0,62096.178618201500,low,19.2,large
northeast metropolitan regional vocational technical,8530000,Suburban,95.7,2014,high,20485.38,18865.79286549500,high,82485.0,75963.68358850840,high,19.9,large
northern berkshire regional vocational technical,8510000,Rural,97.9,2014,high,19676.18,18120.56873068480,high,70022.0,64486.016272468100,medium,14.1,small
norton,2180000,Suburban,90.2,2014,medium,12359.27,11382.13827562520,low,64345.0,59257.843492787400,low,18.4,medium
norwell,2190000,Rural,89.1,2014,medium,14047.1,12936.52736541350,low,73032.0,67258.04376354420,medium,18.7,medium
norwood,2200000,Suburban,89.7,2014,medium,15037.65,13848.763854212700,medium,71119.0,65496.286756757300,medium,16.9,medium
oak bluffs,2210000,Suburban,89.1,2014,medium,19649.6,18096.090162341700,high,78896.0,72658.4322046306,high,12.8,small
old colony regional vocational technical,8550000,Rural,83.9,2014,low,18514.95,17051.1463109299,high,79006.0,72759.73553486930,high,13.0,small
old rochester,7400000,Rural,95.5,2014,high,13956.41,12853.007374328600,low,76968.0,70882.86110735660,high,18.4,medium
orange,2230000,Rural,88.9,2014,medium,12588.35,11593.107065544000,low,71684.0,66016.6174984377,medium,17.9,medium
orleans,2240000,Suburban,96.6,2014,high,23146.83,21316.826940619400,high,64362.0,59273.499462006100,low,16.0,small
oxford,2260000,Suburban,91.4,2014,high,13071.56,12038.114176495100,low,64078.0,59011.95268211720,low,16.2,small
palmer,2270000,Suburban,87.4,2014,medium,13944.65,12842.177127386700,low,63913.0,58859.99768675920,low,15.3,small
pathfinder regional vocational technical,8600000,Suburban,88.9,2014,medium,22634.38,20844.891562612100,high,66077.0,60852.91047436340,low,11.0,small
