District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
chatham,550000,Suburban,91.5,2011,high,15749.28,15495.159386068500,medium,70171.0,69038.76426603700,medium,14.2,small
chelmsford,560000,Suburban,92.2,2011,high,11048.79,10870.51357733180,low,66416.0,65344.352617079900,medium,22.1,large
chelsea,570000,Suburban,84.2,2011,low,13707.78,13486.599763872500,low,63751.0,62722.35340417160,low,19.6,large
chesterfield-goshen,6320000,Rural,88.2,2011,medium,11537.94,11351.770956316400,low,54499.0,53619.63793781980,low,19.2,large
chicopee,610000,Suburban,93.5,2011,high,12695.02,12490.181031090100,low,64059.0,63025.383707201900,low,18.3,medium
clarksburg,630000,Suburban,87.5,2011,medium,12291.1,12092.778433687500,low,52340.0,51495.474222747000,low,21.4,large
clinton,640000,Suburban,89.3,2011,medium,11738.76,11549.35064935070,low,72778.0,71603.69933097210,high,17.9,medium
cohasset,650000,Suburban,90.3,2011,medium,13223.1,13009.74025974030,low,71360.0,70208.5792994884,high,20.6,large
concord,670000,Suburban,93.1,2011,high,16637.25,16368.801652892600,medium,83291.0,81947.06808343170,high,17.4,medium
concord-carlisle,6400000,Suburban,89.3,2011,medium,20065.6,19741.833923652100,high,89892.0,88441.55844155850,high,18.5,medium
conway,680000,Rural,86.7,2011,medium,12789.6,12583.234946871300,low,52287.0,51443.329397874900,low,18.2,medium
danvers,710000,Suburban,87.6,2011,medium,12816.18,12609.386068477000,low,71015.0,69869.14600550960,medium,19.5,large
dartmouth,720000,Suburban,84.1,2011,low,10837.51,10662.642660369900,low,66531.0,65457.49704840610,medium,19.8,large
dedham,730000,Suburban,92.4,2011,high,15458.82,15209.386068477000,medium,69546.0,68423.84887839430,medium,17.6,medium
deerfield,740000,Suburban,92.9,2011,high,11722.8,11533.648170011800,low,55015.0,54127.31208185750,low,19.5,large
dennis-yarmouth,6450000,Suburban,89.3,2011,medium,14139.45,13911.304604486400,low,66620.0,65545.06099960650,medium,16.6,small
