2013Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Blackstone-Millville,06220000,"          $20,548,506.17","           1,872.5","              $10,973.84","          $22,932,510.17","           1,970.1","              $11,640.28",
Blue Hills Regional Vocational Technical,08060000,"          $17,465,032.00",             808.1,"              $21,612.46","          $17,470,032.00",             809.1,"              $21,591.93",
Boston,00350000,"       $1,044,069,138.19","          56,599.1","              $18,446.74","       $1,178,270,619.38","          63,807.6","              $18,466.00",
Bourne,00360000,"          $29,075,345.43","           2,090.1","              $13,910.98","          $32,217,768.43","           2,251.3","              $14,310.74",
Boxborough,00370000,"           $6,895,238.92",             405.2,"              $17,016.88","           $7,477,343.12",             414.1,"              $18,056.85",
Boxford,00380000,"          $10,924,304.00",             781.1,"              $13,985.79","          $11,406,204.00",             793.1,"              $14,381.80",
Boylston,00390000,"           $4,385,331.08",             383.0,"              $11,449.95","           $4,903,465.08",             421.1,"              $11,644.42",
Braintree,00400000,"          $66,065,422.18","           5,614.8","              $11,766.30","          $72,455,726.93","           5,723.4","              $12,659.56",
Brewster,00410000,"           $8,955,677.00",             453.7,"              $19,739.20","           $9,105,509.00",             474.8,"              $19,177.57",
Bridgewater-Raynham,06250000,"          $60,628,507.00","           5,443.4","              $11,137.98","          $67,443,114.00","           5,674.3","              $11,885.72",
Brimfield,00430000,"           $3,939,810.00",             324.2,"              $12,152.41","           $4,622,220.00",             330.3,"              $13,994.01",
Bristol County Agricultural,09100000,"           $8,620,469.81",             447.7,"              $19,255.01","           $8,620,469.81",             447.7,"              $19,255.01",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $21,581,091.69","           1,272.3","              $16,962.27","          $21,609,338.69","           1,276.3","              $16,931.24",
Brockton,00440000,"         $203,751,690.19","          16,477.0","              $12,365.82","         $222,117,401.10","          17,098.0","              $12,990.84",
Brookfield,00450000,"           $3,778,440.00",             316.3,"              $11,945.75","           $4,120,823.18",             324.2,"              $12,710.74",
Brookline,00460000,"         $115,095,344.52","           7,072.9","              $16,272.72","         $121,070,102.52","           7,153.7","              $16,924.12",
Burlington,00480000,"          $54,353,978.07","           3,577.7","              $15,192.44","          $61,154,177.07","           3,674.5","              $16,642.86",
Cambridge,00490000,"         $160,577,528.41","           6,187.2","              $25,953.18","         $185,893,277.67","           6,766.2","              $27,473.81",
Canton,00500000,"          $40,795,399.00","           3,202.1","              $12,740.20","          $45,015,349.00","           3,276.5","              $13,738.85",
Cape Cod Regional Vocational Technical,08150000,"          $14,837,953.48",             648.6,"              $22,876.89","          $14,837,953.48",             648.6,"              $22,876.89",
Carlisle,00510000,"          $10,454,376.23",             638.2,"              $16,381.03","          $11,232,170.11",             650.0,"              $17,280.26",
Carver,00520000,"          $21,790,571.25","           1,797.6","              $12,122.04","          $23,746,560.00","           1,840.3","              $12,903.64",
Central Berkshire,06350000,"          $25,822,024.00","           1,766.1","              $14,620.93","          $27,166,242.00","           1,920.8","              $14,143.19",
Chelmsford,00560000,"          $56,751,689.62","           5,087.3","              $11,155.56","          $64,950,348.48","           5,342.4","              $12,157.52",
Chelsea,00570000,"          $73,922,104.17","           5,864.6","              $12,604.80","          $85,845,124.50","           6,377.8","              $13,459.99",
Chesterfield-Goshen,06320000,"           $2,054,659.00",             169.3,"              $12,136.20","           $2,200,136.00",             184.3,"              $11,937.80",
Chicopee,00610000,"          $98,619,442.38","           7,565.1","              $13,036.11","         $103,576,736.38","           7,850.9","              $13,192.98",
Clarksburg,00630000,"           $2,435,389.00",             170.5,"              $14,283.81","           $3,096,602.00",             224.9,"              $13,768.80",
Clinton,00640000,"          $20,639,189.21","           1,903.7","              $10,841.62","          $26,158,758.74","           2,223.4","              $11,765.21",
Cohasset,00650000,"          $19,980,769.90","           1,584.8","              $12,607.75","          $21,798,667.77","           1,617.3","              $13,478.43",
Concord,00670000,"          $32,390,368.98","           2,138.9","              $15,143.47","          $35,156,794.00","           2,183.9","              $16,098.17",
Concord-Carlisle,06400000,"          $22,030,506.56","           1,216.9","              $18,103.79","          $26,261,922.78","           1,265.6","              $20,750.57",
Conway,00680000,"           $2,485,337.00",             182.8,"              $13,595.94","           $2,649,371.00",             192.4,"              $13,770.12",
Danvers,00710000,"          $44,060,603.83","           3,593.9","              $12,259.83","          $49,223,310.83","           3,720.1","              $13,231.72",
Dartmouth,00720000,"          $41,434,699.50","           3,745.0","              $11,064.01","          $44,295,296.93","           3,795.3","              $11,671.09",
Dedham,00730000,"          $42,049,806.25","           2,795.8","              $15,040.35","          $47,721,607.12","           2,903.9","              $16,433.63",
Deerfield,00740000,"           $5,630,552.00",             438.0,"              $12,855.14","           $5,942,252.00",             461.7,"              $12,870.37",
Dennis-Yarmouth,06450000,"          $48,544,638.98","           2,999.9","              $16,182.09","          $55,344,439.23","           3,563.3","              $15,531.79",
Dighton-Rehoboth,06500000,"          $35,342,915.72","           3,019.7","              $11,704.11","          $38,470,525.54","           3,090.6","              $12,447.59",
Douglas,00770000,"          $16,464,086.82","           1,644.9","              $10,009.17","          $17,399,196.01","           1,705.3","              $10,203.01",
Dover,00780000,"           $8,691,661.00",             527.0,"              $16,492.72","          $10,449,800.00",             540.8,"              $19,322.86",
Dover-Sherborn,06550000,"          $19,713,801.00","           1,157.2","              $17,035.78","          $20,451,642.00","           1,194.4","              $17,122.94",
Dracut,00790000,"          $36,693,790.76","           3,839.0","               $9,558.16","          $41,782,162.76","           4,019.4","              $10,395.12",
Dudley-Charlton Reg,06580000,"          $41,873,262.28","           4,035.7","              $10,375.71","          $45,080,705.23","           4,132.7","              $10,908.29",
Duxbury,00820000,"          $37,982,896.33","           3,191.3","              $11,902.01","          $40,265,356.93","           3,221.9","              $12,497.39",
East Bridgewater,00830000,"          $21,335,580.53","           2,253.2","               $9,469.01","          $24,118,755.27","           2,322.6","              $10,384.38",
East Longmeadow,00870000,"          $32,377,226.22","           2,724.2","              $11,885.04","          $36,024,435.14","           2,814.9","              $12,797.77",
Eastham,00850000,"           $4,246,648.00",             206.2,"              $20,594.80","           $4,503,422.00",             221.2,"              $20,359.05",
Easthampton,00860000,"          $18,194,916.95","           1,601.0","              $11,364.72","          $22,702,167.95","           1,920.5","              $11,820.97",
Easton,00880000,"          $41,473,813.18","           3,852.7","              $10,764.87","          $45,002,815.10","           3,921.5","              $11,475.92",
Edgartown,00890000,"           $8,273,503.00",             347.1,"              $23,836.08","           $9,128,550.00",             414.0,"              $22,049.64",
Erving,00910000,"           $3,261,680.00",             149.9,"              $21,759.04","           $4,738,025.01",             275.5,"              $17,197.91",
Essex Agricultural Technical,09130000,"          $10,993,482.71",             474.9,"              $23,149.05","          $10,993,482.71",             474.9,"              $23,149.05",
Everett,00930000,"          $75,808,931.48","           6,648.5","              $11,402.41","          $90,972,057.48","           7,286.9","              $12,484.33",
Fairhaven,00940000,"          $21,884,399.90","           1,996.6","              $10,960.83","          $24,162,559.08","           2,051.8","              $11,776.27",
Fall River,00950000,"         $132,798,435.00","          10,107.1","              $13,139.12","         $149,963,495.60","          11,027.5","              $13,599.05",
Falmouth,00960000,"          $51,363,635.36","           3,530.9","              $14,546.90","          $56,585,125.36","           3,707.3","              $15,263.16",
Farmington River Reg,06620000,"           $3,343,204.00",             145.2,"              $23,024.82","           $4,592,025.00",             296.4,"              $15,492.66",
Fitchburg,00970000,"          $64,665,834.44","           4,864.8","              $13,292.60","          $76,232,582.68","           5,618.3","              $13,568.62",
Florida,00980000,"           $1,402,361.00",              99.5,"              $14,094.08","           $1,700,075.00",             120.0,"              $14,167.29",
Foxborough,00990000,"          $36,205,570.21","           2,727.8","              $13,272.81","          $39,520,447.65","           2,869.1","              $13,774.51",
Framingham,01000000,"         $124,217,422.25","           8,152.0","              $15,237.66","         $144,005,599.00","           8,719.8","              $16,514.78",
Franklin,01010000,"          $60,607,982.22","           5,908.9","              $10,257.07","          $71,626,162.22","           6,435.1","              $11,130.54",
Franklin County Regional Vocational Technical,08180000,"          $10,789,718.26",             489.8,"              $22,028.82","          $10,794,718.26",             490.8,"              $21,994.13",
Freetown-Lakeville,06650000,"          $30,775,926.00","           3,023.6","              $10,178.57","          $32,777,748.05","           3,070.0","              $10,676.79",
Frontier,06700000,"          $10,196,882.00",             618.9,"              $16,475.82","          $11,718,605.00",             698.1,"              $16,786.43",
Gardner,01030000,"          $28,358,225.71","           2,483.0","              $11,420.95","          $30,334,486.51","           2,674.1","              $11,343.81",
Gateway,06720000,"          $14,908,143.00","           1,016.1","              $14,671.93","          $16,585,338.00","           1,134.5","              $14,619.07",
Georgetown,01050000,"          $16,116,964.00","           1,554.5","              $10,367.94","          $17,721,110.00","           1,602.8","              $11,056.35",
Gill-Montague,06740000,"          $16,763,883.92","           1,044.6","              $16,048.14","          $19,058,529.02","           1,293.3","              $14,736.36",
Gloucester,01070000,"          $43,940,565.17","           3,047.0","              $14,420.93","          $49,581,477.12","           3,422.0","              $14,489.03",
Grafton,01100000,"          $29,448,534.00","           2,970.1","               $9,915.00","          $31,182,239.00","           3,084.1","              $10,110.64",
Granby,01110000,"          $11,727,766.29","           1,001.6","              $11,709.03","          $13,096,588.00","           1,073.0","              $12,205.58",
Greater Fall River Regional Vocational Technical,08210000,"          $25,159,660.00","           1,400.7","              $17,962.20","          $25,164,660.00","           1,401.7","              $17,952.96",
Greater Lawrence Regional Vocational Technical,08230000,"          $27,811,991.60","           1,270.5","              $21,890.59","          $28,526,874.89","           1,399.9","              $20,377.79",
Greater Lowell Regional Vocational Technical,08280000,"          $39,730,227.33","           2,093.8","              $18,975.18","          $39,974,979.39","           2,139.7","              $18,682.52",
Greater New Bedford Regional Vocational Technical,08250000,"          $38,610,253.56","           2,076.7","              $18,592.12","          $38,628,152.56","           2,078.7","              $18,582.84",
Greenfield,01140000,"          $26,806,022.00","           2,095.3","              $12,793.41","          $32,643,844.67","           2,593.6","              $12,586.31",
Groton-Dunstable,06730000,"          $31,599,345.00","           2,611.2","              $12,101.46","          $35,001,677.00","           2,724.1","              $12,848.90",
Hadley,01170000,"           $7,504,486.01",             671.4,"              $11,177.37","           $8,989,683.28",             800.7,"              $11,227.28",
Halifax,01180000,"           $5,717,581.92",             581.4,"               $9,834.16","           $7,488,364.08",             606.9,"              $12,338.71",
Hamilton-Wenham,06750000,"          $27,935,106.44","           1,929.8","              $14,475.65","          $29,455,652.32","           1,956.3","              $15,056.82",
Hampden-Wilbraham,06800000,"          $41,182,675.92","           3,383.3","              $12,172.34","          $44,273,213.09","           3,448.0","              $12,840.26",
Hampshire,06830000,"          $11,084,028.00",             763.7,"              $14,513.59","          $12,868,436.00",             868.4,"              $14,818.56",
Hancock,01210000,"             $638,686.00",              44.7,"              $14,288.28","           $1,281,520.00",             115.0,"              $11,143.65",
Hanover,01220000,"          $29,438,794.75","           2,691.5","              $10,937.69","          $30,896,678.46","           2,743.6","              $11,261.36",
Harvard,01250000,"          $16,394,472.18","           1,205.8","              $13,596.34","          $18,591,063.23","           1,265.5","              $14,690.69",
Hatfield,01270000,"           $5,452,890.00",             414.1,"              $13,168.05","           $6,312,251.00",             486.4,"              $12,977.49",
Haverhill,01280000,"          $88,849,085.00","           7,078.9","              $12,551.26","         $100,941,630.00","           8,332.1","              $12,114.79",
Hawlemont,06850000,"           $1,596,183.54",              94.5,"              $16,890.83","           $1,762,613.20",             115.2,"              $15,300.46",
Hingham,01310000,"          $44,469,690.97","           4,195.9","              $10,598.37","          $48,826,532.00","           4,271.7","              $11,430.23",
Holbrook,01330000,"          $14,933,223.65","           1,211.1","              $12,330.30","          $17,694,059.15","           1,279.5","              $13,828.89",
Holland,01350000,"           $2,420,887.00",             228.2,"              $10,608.62","           $3,006,844.00",             232.2,"              $12,949.37",
Holliston,01360000,"          $33,315,393.90","           2,817.9","              $11,822.77","          $36,229,220.67","           2,887.2","              $12,548.22",
Holyoke,01370000,"          $90,592,949.15","           5,585.3","              $16,219.89","         $106,445,760.53","           6,590.5","              $16,151.39",
Hopedale,01380000,"          $13,399,755.14","           1,265.2","              $10,591.02","          $14,709,036.14","           1,328.0","              $11,076.08",
Hopkinton,01390000,"          $42,158,501.05","           3,392.1","              $12,428.44","          $45,084,994.82","           3,466.7","              $13,005.16",
Hudson,01410000,"          $38,460,224.89","           2,886.1","              $13,326.02","          $42,645,846.86","           3,043.0","              $14,014.41",
Hull,01420000,"          $16,411,767.07","           1,081.0","              $15,182.02","          $17,822,147.31","           1,141.4","              $15,614.29",
Ipswich,01440000,"          $23,667,333.39","           2,038.3","              $11,611.31","          $25,042,410.07","           2,096.7","              $11,943.73",
King Philip,06900000,"          $24,432,446.00","           2,120.1","              $11,524.20","          $28,251,235.00","           2,197.7","              $12,854.91",
Kingston,01450000,"           $9,695,430.17","           1,127.8","               $8,596.76","          $13,340,641.62","           1,169.5","              $11,407.13",
Lanesborough,01480000,"           $3,660,350.17",             223.5,"              $16,377.41","           $4,374,362.19",             272.4,"              $16,058.60",
Lawrence,01490000,"         $175,699,697.46","          13,071.8","              $13,441.12","         $200,571,694.90","          14,480.0","              $13,851.64",
Lee,01500000,"          $11,960,778.16",             750.9,"              $15,928.59","          $12,696,080.25",             839.1,"              $15,130.59",
Leicester,01510000,"          $17,880,347.32","           1,688.6","              $10,588.86","          $21,533,120.12","           1,826.1","              $11,791.86",
Lenox,01520000,"          $12,558,273.25",             763.4,"              $16,450.45","          $13,039,075.91",             814.8,"              $16,002.79",
Leominster,01530000,"          $73,210,962.31","           6,152.6","              $11,899.19","          $83,171,150.81","           6,671.2","              $12,467.19",
Leverett,01540000,"           $2,546,179.00",             147.0,"              $17,320.95","           $2,661,793.00",             156.6,"              $16,997.40",
Lexington,01550000,"         $103,456,010.96","           6,519.8","              $15,867.97","         $111,425,173.54","           6,624.2","              $16,820.93",
Lincoln,01570000,"          $23,234,656.42","           1,222.4","              $19,007.41","          $23,727,321.42","           1,238.7","              $19,155.02",
Lincoln-Sudbury,06950000,"          $23,876,094.57","           1,547.1","              $15,432.81","          $29,343,942.30","           1,608.1","              $18,247.59",
Littleton,01580000,"          $18,180,683.93","           1,585.7","              $11,465.40","          $21,911,720.93","           1,722.8","              $12,718.67",
Longmeadow,01590000,"          $35,203,656.39","           2,850.9","              $12,348.26","          $39,997,727.98","           2,920.6","              $13,695.04",
Lowell,01600000,"         $178,663,586.97","          13,809.8","              $12,937.45","         $195,910,238.67","          14,879.3","              $13,166.63",
Ludlow,01610000,"          $33,827,463.61","           2,830.8","              $11,949.79","          $36,886,988.03","           2,931.6","              $12,582.54",
Lunenburg,01620000,"          $17,931,343.00","           1,581.0","              $11,341.77","          $20,676,292.00","           1,719.2","              $12,026.69",
Lynn,01630000,"         $179,724,043.95","          14,145.3","              $12,705.57","         $199,452,371.95","          15,145.1","              $13,169.43",
Lynnfield,01640000,"          $27,581,479.43","           2,240.9","              $12,308.22","          $28,611,791.45","           2,268.1","              $12,614.87",
Malden,01650000,"          $79,877,446.38","           6,522.3","              $12,246.82","          $94,852,889.04","           7,414.8","              $12,792.37",
Manchester Essex Regional,06980000,"          $21,226,313.06","           1,555.6","              $13,645.10","          $22,866,203.51","           1,597.1","              $14,317.33",
Mansfield,01670000,"          $52,115,590.19","           4,439.1","              $11,740.13","          $56,060,516.00","           4,632.8","              $12,100.78",
Marblehead,01680000,"          $40,448,637.00","           3,253.3","              $12,433.11","          $43,908,663.00","           3,455.7","              $12,706.16",
Marion,01690000,"           $5,703,687.00",             469.9,"              $12,138.09","           $6,124,965.00",             479.2,"              $12,781.65",
Marlborough,01700000,"          $63,720,286.12","           4,650.5","              $13,701.81","          $76,092,194.11","           5,168.1","              $14,723.44",
Marshfield,01710000,"          $48,018,876.72","           4,450.8","              $10,788.82","          $52,055,033.72","           4,556.8","              $11,423.59",
Marthas Vineyard,07000000,"          $17,210,230.00",             681.5,"              $25,253.46","          $18,934,186.00",             725.9,"              $26,083.74",
Masconomet,07050000,"          $25,558,375.85","           2,043.2","              $12,508.99","          $27,990,831.58","           2,093.0","              $13,373.55",
Mashpee,01720000,"          $25,151,450.00","           1,715.4","              $14,662.15","          $27,918,536.00","           1,865.9","              $14,962.50",
Mattapoisett,01730000,"           $7,411,882.00",             501.8,"              $14,770.59","           $8,148,057.00",             514.1,"              $15,849.17",
Maynard,01740000,"          $18,887,691.00","           1,340.1","              $14,094.24","          $20,489,507.00","           1,430.2","              $14,326.32",
Medfield,01750000,"          $32,678,465.06","           2,757.7","              $11,849.90","          $34,328,760.06","           2,786.2","              $12,321.00",
Medford,01760000,"          $61,714,067.29","           4,617.4","              $13,365.54","          $70,705,796.29","           5,065.0","              $13,959.68",
Medway,01770000,"          $28,784,607.00","           2,482.1","              $11,596.88","          $32,171,351.00","           2,587.8","              $12,431.93",
Melrose,01780000,"          $40,594,416.21","           3,670.2","              $11,060.55","          $45,820,538.21","           3,982.7","              $11,504.89",
Mendon-Upton,07100000,"          $28,153,453.83","           2,520.1","              $11,171.56","          $31,467,968.56","           2,644.3","              $11,900.30",
Methuen,01810000,"          $77,638,102.00","           7,022.0","              $11,056.41","          $86,095,576.00","           7,250.3","              $11,874.76",
Middleborough,01820000,"          $39,355,895.74","           3,245.6","              $12,125.92","          $42,026,801.60","           3,352.5","              $12,535.96",
Middleton,01840000,"          $10,247,714.29",             812.5,"              $12,612.57","          $10,378,488.29",             815.9,"              $12,720.29",
Milford,01850000,"          $48,602,104.58","           4,143.7","              $11,729.16","          $54,620,427.49","           4,394.8","              $12,428.42",
Millbury,01860000,"          $23,031,327.00","           1,758.3","              $13,098.63","          $24,959,190.63","           1,805.6","              $13,823.21",
Millis,01870000,"          $15,974,142.00","           1,437.9","              $11,109.36","          $17,578,587.00","           1,500.6","              $11,714.37",
Milton,01890000,"          $47,673,502.36","           3,944.9","              $12,084.84","          $52,127,894.45","           4,012.4","              $12,991.70",
Minuteman Regional Vocational Technical,08300000,"          $17,659,380.11",             672.1,"              $26,274.93","          $17,692,195.31",             672.1,"              $26,323.75",
Mohawk Trail,07170000,"          $16,755,278.20",             999.6,"              $16,761.98","          $18,217,152.40","           1,119.5","              $16,272.58",
Monomoy Regional School District,07120000,"          $30,889,198.29","           1,894.3","              $16,306.39","          $34,167,720.43","           2,163.5","              $15,792.80",
Monson,01910000,"          $14,697,009.00","           1,244.1","              $11,813.37","          $16,109,663.00","           1,305.8","              $12,337.01",
Montachusett Regional Vocational Technical,08320000,"          $25,051,293.19","           1,381.4","              $18,134.71","          $25,271,669.76","           1,419.2","              $17,806.98",
Mount Greylock,07150000,"          $10,392,642.41",             560.5,"              $18,541.73","          $11,039,053.33",             590.7,"              $18,688.09",
Nahant,01960000,"           $2,222,810.00",             186.6,"              $11,912.17","           $4,133,293.00",             344.1,"              $12,011.89",
Nantucket,01970000,"          $26,841,411.64","           1,385.7","              $19,370.29","          $28,041,152.64","           1,396.9","              $20,073.84",
Narragansett,07200000,"          $16,377,626.50","           1,400.1","              $11,697.47","          $18,415,933.98","           1,536.4","              $11,986.42",
Nashoba,07250000,"          $44,391,872.00","           3,448.3","              $12,873.55","          $47,186,870.07","           3,600.1","              $13,107.10",
Nashoba Valley Regional Vocational Technical,08520000,"          $10,535,604.15",             694.5,"              $15,170.06","          $10,565,570.15",             699.5,"              $15,104.46",
Natick,01980000,"          $63,375,956.59","           5,075.3","              $12,487.14","          $70,831,834.89","           5,242.7","              $13,510.56",
Nauset,06600000,"          $24,560,458.28","           1,535.3","              $15,997.17","          $28,277,903.28","           1,681.4","              $16,818.07",
Needham,01990000,"          $73,788,955.64","           5,481.6","              $13,461.21","          $79,639,710.75","           5,561.5","              $14,319.83",
New Bedford,02010000,"         $164,878,135.00","          12,583.0","              $13,103.25","         $177,327,314.00","          13,368.5","              $13,264.56",
New Salem-Wendell,07280000,"           $2,124,016.00",             132.2,"              $16,066.69","           $2,165,436.00",             141.2,"              $15,335.95",
Newburyport,02040000,"          $30,732,498.74","           2,338.6","              $13,141.41","          $34,943,383.54","           2,592.1","              $13,480.72",
Newton,02070000,"         $197,397,753.00","          12,213.2","              $16,162.66","         $212,304,634.00","          12,385.9","              $17,140.83",
Norfolk,02080000,"          $11,523,149.00",             929.5,"              $12,397.15","          $12,352,334.00",             943.5,"              $13,092.03",
Norfolk County Agricultural,09150000,"           $9,890,816.68",             465.4,"              $21,252.29","           $9,890,816.68",             465.4,"              $21,252.29",
North Adams,02090000,"          $22,960,962.15","           1,516.9","              $15,136.77","          $26,077,209.69","           1,726.5","              $15,104.09",
North Andover,02110000,"          $51,715,306.39","           4,747.2","              $10,893.85","          $56,943,490.00","           4,838.5","              $11,768.83",
North Attleborough,02120000,"          $46,334,612.95","           4,633.7","               $9,999.48","          $49,587,733.58","           4,765.0","              $10,406.66",
North Brookfield,02150000,"           $7,291,686.00",             581.4,"              $12,541.60","           $8,508,238.59",             705.0,"              $12,068.42",
North Middlesex,07350000,"          $40,755,386.00","           3,562.8","              $11,439.15","          $46,849,489.01","           3,774.9","              $12,410.79",
North Reading,02170000,"          $31,320,200.80","           2,463.6","              $12,713.18","          $33,844,644.45","           2,512.4","              $13,471.04",
North Shore Regional Vocational Technical,08540000,"          $10,968,889.84",             468.3,"              $23,422.78","          $11,001,875.84",             470.6,"              $23,378.40",
Northampton,02100000,"          $32,823,378.42","           2,722.8","              $12,055.01","          $37,899,565.69","           3,025.7","              $12,525.88",
Northampton-Smith Vocational Agricultural,04060000,"           $8,337,474.96",             413.9,"              $20,143.69","           $8,337,474.96",             413.9,"              $20,143.69",
Northboro-Southboro,07300000,"          $19,264,059.04","           1,444.5","              $13,336.14","          $20,331,143.65","           1,484.2","              $13,698.39",
Northborough,02130000,"          $23,507,851.25","           1,902.6","              $12,355.65","          $25,242,906.05","           1,952.4","              $12,929.17",
Northbridge,02140000,"          $28,518,044.68","           2,532.0","              $11,263.05","          $31,128,837.57","           2,670.8","              $11,655.25",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $24,002,751.00","           1,223.5","              $19,618.10","          $24,012,201.00","           1,225.4","              $19,595.40",
Northern Berkshire Regional Vocational Technical,08510000,"           $9,283,165.27",             486.8,"              $19,069.77","           $9,288,165.27",             487.8,"              $19,040.93",
Norton,02180000,"          $29,891,138.23","           2,615.6","              $11,428.02","          $36,888,134.23","           2,871.2","              $12,847.64",
Norwell,02190000,"          $29,325,384.85","           2,302.5","              $12,736.32","          $31,096,283.50","           2,332.3","              $13,332.88",
Norwood,02200000,"          $46,610,433.25","           3,512.2","              $13,271.01","          $50,178,386.25","           3,587.9","              $13,985.45",
Oak Bluffs,02210000,"           $7,859,445.85",             394.7,"              $19,912.45","           $8,765,784.85",             461.7,"              $18,985.89",
Old Colony Regional Vocational Technical,08550000,"          $10,028,783.63",             567.5,"              $17,671.87","          $10,033,783.63",             568.5,"              $17,649.58",
Old Rochester,07400000,"          $16,942,609.15","           1,180.2","              $14,355.71","          $16,989,256.15","           1,184.8","              $14,339.35",
Orange,02230000,"           $8,346,195.00",             658.9,"              $12,666.86","           $9,017,198.00",             708.3,"              $12,730.76",
Orleans,02240000,"           $4,382,979.00",             202.5,"              $21,644.34","           $4,436,306.00",             208.0,"              $21,328.39",
Oxford,02260000,"          $24,068,571.41","           1,906.8","              $12,622.49","          $25,779,255.79","           2,013.3","              $12,804.48",
Palmer,02270000,"          $18,603,401.83","           1,522.2","              $12,221.39","          $21,330,491.93","           1,625.0","              $13,126.46",
Pathfinder Regional Vocational Technical,08600000,"          $13,337,011.97",             646.0,"              $20,645.53","          $13,387,221.97",             654.0,"              $20,469.76",
Peabody,02290000,"          $71,153,510.00","           6,105.5","              $11,654.00","          $78,715,612.00","           6,349.9","              $12,396.35",
