2013Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",
Acton,00020000,"          $28,981,055.00","           2,511.3","              $11,540.26","          $30,976,806.00","           2,545.6","              $12,168.76",
Acton-Boxborough,06000000,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",
Acushnet,00030000,"          $10,475,460.52",             982.1,"              $10,666.39","          $14,632,524.52","           1,266.9","              $11,549.87",
Adams-Cheshire,06030000,"          $18,789,640.51","           1,393.9","              $13,479.91","          $20,272,964.51","           1,533.0","              $13,224.37",
Agawam,00050000,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",
Amesbury,00070000,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",
Amherst,00080000,"          $23,147,827.00","           1,195.9","              $19,355.99","          $24,493,757.00","           1,285.5","              $19,053.88",
Amherst-Pelham,06050000,"          $27,730,062.00","           1,519.0","              $18,255.47","          $30,957,738.00","           1,656.6","              $18,687.52",
Andover,00090000,"          $83,772,253.00","           6,226.8","              $13,453.50","          $90,825,972.00","           6,317.6","              $14,376.66",
Arlington,00100000,"          $56,938,151.41","           4,955.7","              $11,489.43","          $63,919,361.64","           5,094.9","              $12,545.75",
Ashburnham-Westminster,06100000,"          $26,596,624.48","           2,269.6","              $11,718.64","          $28,745,755.28","           2,343.0","              $12,268.78",
Ashland,00140000,"          $30,748,130.49","           2,547.8","              $12,068.50","          $33,858,444.25","           2,670.9","              $12,676.79",
Assabet Valley Regional Vocational Technical,08010000,"          $18,967,230.76","           1,041.0","              $18,220.20","          $19,028,106.42","           1,042.5","              $18,252.38",
Athol-Royalston,06150000,"          $20,294,425.97","           1,440.7","              $14,086.50","          $24,007,354.36","           1,774.8","              $13,526.79",
Attleboro,00160000,"          $69,059,403.00","           5,842.3","              $11,820.58","          $76,348,600.00","           6,274.8","              $12,167.50",
Auburn,00170000,"          $28,659,921.89","           2,302.8","              $12,445.68","          $30,813,569.17","           2,379.8","              $12,947.97",
Avon,00180000,"           $9,359,314.46",             749.2,"              $12,492.41","           $9,633,506.46",             755.3,"              $12,754.54",
Ayer Shirley School District,06160000,"          $20,855,792.00","           1,652.3","              $12,622.28","          $25,756,864.00","           1,962.6","              $13,123.85",
Barnstable,00200000,"          $67,862,311.63","           4,910.8","              $13,818.99","          $78,492,009.31","           5,562.7","              $14,110.42",
Bedford,00230000,"          $36,495,932.40","           2,455.8","              $14,861.12","          $43,405,002.10","           2,554.3","              $16,992.91",
Belchertown,00240000,"          $27,412,880.24","           2,475.6","              $11,073.23","          $29,877,379.38","           2,609.5","              $11,449.47",
Bellingham,00250000,"          $29,108,222.00","           2,433.7","              $11,960.48","          $31,870,914.00","           2,559.0","              $12,454.44",
Belmont,00260000,"          $46,463,434.57","           4,047.6","              $11,479.26","          $52,172,156.85","           4,121.3","              $12,659.15",
Berkley,00270000,"           $9,534,407.00",             878.1,"              $10,858.00","           $9,767,620.00",             884.0,"              $11,049.34",
Berkshire Hills,06180000,"          $22,329,280.49","           1,364.0","              $16,370.44","          $23,752,484.65","           1,474.8","              $16,105.56",
Berlin,00280000,"           $3,688,207.14",             221.9,"              $16,621.03","           $3,807,846.14",             235.6,"              $16,162.34",
Berlin-Boylston,06200000,"           $5,774,725.93",             425.8,"              $13,562.06","           $7,736,295.05",             514.4,"              $15,039.45",
Beverly,00300000,"          $49,874,971.27","           4,323.2","              $11,536.59","          $57,702,932.27","           4,568.3","              $12,631.16",
Billerica,00310000,"          $70,212,998.00","           5,478.0","              $12,817.27","          $78,862,269.00","           5,795.0","              $13,608.67",
Blackstone Valley Regional Vocational Technical,08050000,"          $20,521,514.10","           1,158.6","              $17,712.34","          $20,521,514.10","           1,158.6","              $17,712.34",
